'장애인	'/SS+장애인/NNG
시	시/NNG
등	등/NNB
3단계로	3/SN+단계/NNG+로/JKB
나눠	나누/VV+어/EC
각각	각각/MAG
59만원,	59/SN+만/NR+원/NNB+,/SP
88만5천원,	88/SN+만/NR+5/SN+천/NR+원/NNB+,/SP
95만7천원의	95/SN+만/NR+7/SN+천/NR+원/NNB+의/JKG
부담금을	부담금/NNG+을/JKO
부과하고	부과하/VV+고/EC
있다	있/VX+다/EC

이중	이중/NNG
절반	절반/NNG
이상	이상/NNG
고용	고용/NNG
시	시/NNG
단계를	단계/NNG+를/JKO
3/4	3/SN+//SP+4/SN
이상	이상/NNG
고용과	고용/NNG+과/JC
1/2~3/4미만으로	1/SN+//SP+2/SN+~/SO+3/SN+//SP+4/SN+미만/NNG+으로/JKB
구분,	구분/NNG+,/SP
3/4이상	3/SN+//SP+4/SN+이상/NNG
시에는	시/NNB+에/JKB+는/JX
종전과	종전/NNG+과/JKB
같은	같/VA+은/ETM
1인당	1/SN+인/NNG+당/XSN
59만원을,	59/SN+만/NR+원/NNB+을/JKO+,/SP
1/2~3/4미만의	1/SN+//SP+2/SN+~/SO+3/SN+//SP+4/SN+미만/NNP+의/JKG
경우	경우/NNG
월	월/NNG
73만7천원을	73/SN+만/NR+7/SN+천/NR+원/NNB+을/JKO
부과토록	부과하/VV+도록/EC
한다는	하/VX+ㄴ다는/ETM
것이다	것/NNB+이/VCP+다/EC

장애인	장애인/NNG
고용부담금이란	고용부담금/NNG+이/VCP+란/ETM
상시근로자를	상시근로자/NNG+를/JKO
100명이상	100/SN+명/NNB+이상/NNG
고용하고	고용하/VV+고/EC
있는	있/VX+는/ETM
공공기관	공공기관/NNG
및	및/MAG
민간기업	민간기업/NNG
중	중/NNB
장애인	장애인/NNG
의무고용률	의무고용/NNG+률/XSN
미만으로	미만/NNG+으로/JKB
장애인을	장애인/NNG+을/JKO
고용한	고용하/VV+ㄴ/ETM
사업주에게	사업주/NNG+에게/JKB
부과하는	부과하/VV+는/ETM
부담금을	부담금/NNG+을/JKO
말한다	말하/VV+ㄴ다/EF

현재	현재/MAG
공기업과	공기업/NNG+과/JC
준정부기관의	준/NNP+정부기관/NNG+의/JKG
장애인	장애인/NNG
의무고용률은	의무고용/NNG+률/XSN+은/JX
3%,	3/SN+%/SW+,/SP
기타공공기관과	기타공공기관/NNG+과/JC
민간기업의	민간기업/NNG+의/JKG
장애인	장애인/NNG
의무고용률은	의무고용률/NNG+은/JX
2	2/SN

5%로	5/SN+%/SW+로/JKB
이를	이르/VV+ㄹ/ETM
지키지	지키/VV+지/EC
않으면	않/VX+으면/EC
고용부담금을	고용부담금/NNG+을/JKO
내야	내/VV+어야/EC
한다	하/VX+ㄴ다/EF

또한	또한/MAG
장애인표준사업장	장애인표준사업장/NNG
설립요건	설립요건/NNG
중	중/NNB
중증장애인	중증장애인/NNG
의무고용	의무고용/NNG
인원을	인원/NNG+을/JKO
사업장	사업장/NNG
규모가	규모/NNG+가/JKS
클수록	크/VA+ㄹ수록/EC
줄여준다는	줄이/VV+어/EC+주/VX+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

이는	이/NP+는/JX
대규모	대규모/NNG
장애인	장애인/NNG
표준사업장의	표준사업장/NNG+의/JKG
설립을	설립/NNG+을/JKO
쉽게	쉽/VA+게/EC
함으로써	하/VX+ㅁ/ETN+으로써/JKB
장애인	장애인/NNG
및	및/MAG
중증장애인이	중증장애인/NNG+이/JKS
고용될	고용되/VV+ㄹ/ETM
공간을	공간/NNG+을/JKO
더욱	더욱/MAG
넓히고	넓히/VV+고/EC
이를	이/NP+를/JKO
통해	통하/VV+여/EC
대기업	대기업/NNG
등의	등/NNB+의/JKG
장애인고용률을	장애인고용률/NNG+을/JKO
높이겠다는	높이/VV+겠/EP+다는/ETM
취지다	취지/NNG+이/VCP+다/EF

이에	이/NP+에/JKB
상시근로자수	상시근로자수/NNG
100명	100/SN+명/NNB
미만은	미만/NNG+은/JX
상시근로자수의	상시근로자수/NNG+의/JKG
15%,	15/SN+%/SW+,/SP
100~300명	100/SN+~/SO+300/SN+명/NNB
미만은	미만/NNG+은/JX
상시근로자수	상시근로자수/NNG
10%에	10/SN+%/SW+에/JKB
5명,	5/SN+명/NNB+,/SP
300명	300/SN+명/NNB
이상은	이상/NNG+은/JX
상시근로자수	상시근로자수/NNG
5%에	5/SN+%/SW+에/JKB
20명을	20/SN+명/NNB+을/JKO
추가해	추가하/VV+여/EC
중증장애인을	중증장애인/NNG+을/JKO
고용하면	고용하/VV+면/EC
된다	되/VV+ㄴ다/EF

현재	현재/MAG
장애인표준사업장	장애인표준사업장/NNG
설립요건은	설립요건/NNG+은/JX
상시근로자수의	상시근로자수/NNG+의/JKG
30%를	30/SN+%/SW+를/JKO
장애인으로	장애인/NNG+으로/JKB
그중	그중/NNG
50%룰	50/SN+%/SW+루/VV+ㄹ/ETM
중증장애인으로	중증장애인/NNG+으로/JKB
고용해야	고용하/VV+여야/EC
한다	하/VX+ㄴ다/EF

또한	또한/MAG
상시근로자수의	상시근로자수/NNG+의/JKG
30%를	30/SN+%/SW+를/JKO
초과해	초과하/VV+여/EC
장애인을	장애인/NNG+을/JKO
고용하는	고용하/VV+는/ETM
경우에는	경우/NNG+에/JKB+는/JX
그	그/MM
초과하는	초과하/VV+는/ETM
인원	인원/NNG
중	중/NNB
25%이상을	25/SN+%/SW+이상/NNG+을/JKO
중증장애인으로	중증장애인/NNG+으로/JKB
고용해야	고용하/VV+여야/EC
했다	하/VX+였/EP+다/EC

이	이/MM
때문에	때문/NNB+에/JKB
중증장애인	중증장애인/NNG
의무고용	의무고용/NNG
인원이	인원/NNG+이/JKS
장애인	장애인/NNG
표준사업장의	표준사업장/NNG+의/JKG
규모와	규모/NNG+와/JKB
관계없이	관계없이/MAG
일률적으로	일률적/NNG+으로/JKB
규정돼	규정되/VV+어/EC
있어	있/VX+어/EC
규모가	규모/NNG+가/JKS
클수록	크/VA+ㄹ수록/EC
증장장애인	증장장애인/NNG
의무고용	의무고용/NNG
부담이	부담/NNG+이/JKS
컸다	크/VA+었/EP+다/EF

고용노동부	고용노동부/NNG
이채필	이채필/NNP
장관은	장관/NNG+은/JX
“두	“/SN+두/NR
가지	가지/NNB
제도	제도/NNG
개선	개선/NNG
방안이	방안/NNG+이/JKS
본격	본격/NNG
시행되면	시행되/VV+면/EC
기업	기업/NNG
특히	특히/MAG
대기업의	대기업/NNG+의/JKG
장애인	장애인/NNG
고용률을	고용/NNG+률/XSN+을/JKO
높이는데	높이/VV+는/ETM+데/NNB
기여하게	기여하/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC
