장애인고용부담금의	장애인고용부담금/NNG+의/JKG
때만	때/NNG+만/JX
납부의무가	납부의무/NNG+가/JKS
있을	있/VA+을/ETM
뿐	뿐/NNB
공무원의	공무원/NNG+의/JKG
경우	경우/NNG
제외된다	제외되/VV+ㄴ다/EF

공공부문	공공부문/NNG
장애인	장애인/NNG
의무고용	의무고용/NNG
이행	이행/NNG
현황	현황/NNG

ⓒ고용노동부	ⓒ/SL+고용노동부/NNG
고용노동부가	고용노동부/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
7월초	7/SN+월초/NNB
공표한	공표하/VV+ㄴ/ETM
장애인의무고용률	장애인의무고용률/NNG
미달	미달/NNG
공공부문	공공부문/NNG
명단에	명단/NNG+에/JKB
따르면	따르/VV+면/EC
국가·자치단체	국가/NNG+·/SP+자치단체/NNG
81개	81/SN+개/NNB
기관	기관/NNG
중	중/NNB
29곳이	29/SN+곳/NNG+이/JKS
장애인	장애인/NNG
공무원	공무원/NNG
고용이	고용/NNG+이/JKS
저조했다	저조하/VV+였/EP+다/EC

특히	특히/MAG
교육청의	교육청/NNG+의/JKG
경우	경우/NNG
전국	전국/NNG
16개	16/SN+개/NNB
교육청이	교육청/NNG+이/JKS
명단에	명단/NNG+에/JKB
이름을	이름/NNG+을/JKO
올려	올리/VV+어/EC
외면의	외면/NNG+의/JKG
정도가	정도/NNG+가/JKS
가장	가장/MAG
심했다	심하/VA+었/EP+다/EC

하지만	하지만/MAJ
29개	29/SN+개/NNB
기관은	기관/NNG+은/JX
법으로	법/NNG+으로/JKB
정해진	정하/VV+여/EC+지/VX+ㄴ/ETM
장애인	장애인/NNG
고용	고용/NNG
의무를	의무/NNG+를/JKO
지키지	지키/VV+지/EC
않았음에도	않/VX+았/EP+음/ETN+에/JKB+도/JX
부담금으로	부담금/NNG+으로/JKB
단	단/MM
1원도	1/SN+원/NNB+도/JX
내지	내/VV+지/EC
않는다	않/VX+는다/EF

한국장애인고용공단	한국/NNP+장애인고용공단/NNG
관계자는	관계자/NNG+는/JX
“현행법상	“/SL+현행법/NNG+상/XSN
장애인공무원에	장애인공무원/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
고용의무는	고용의무/NNG+는/JX
있는데	있/VA+는데/EC
부담금	부담금/NNG
납부	납부/NNG
조항이	조항/NNG+이/JKS
없다	없/VA+다/EF

공무원이	공무원/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
근로자만	근로자/NNG+만/JX
부담금	부담금/NNG
납부	납부/NNG
조항이	조항/NNG+이/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
현재로써는	현재/NNG+로써/JKB+는/JX
고용부담금을	고용부담금/NNG+을/JKO
내고	내/VV+고/EC
있지도,	있/VX+지/EC+도/JX+,/SP
납부	납부/NNG
의무도	의무/NNG+도/JX
없다”고	없/VA+다”고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
그는	그/NP+는/JX
“현재로써는	“/SL+현재/NNG+로써/JKB+는/JX
부담금을	부담금/NNG+을/JKO
납부하고	납부하/VV+고/EC
있지	있/VX+지/EC
않지만,	않/VX+지만/EC+,/SP
의무고용률에	의무고용률/NNG+에/JKB
대해	대하/VV+여/EC
사회적으로	사회적/NNG+으로/JKB
공론화가	공론화/NNG+가/JKC
되면	되/VV+면/EC
정부부처	정부부처/NNG
스스로	스스로/MAG
압박이	압박/NNG+이/JKS
돼서	되/VV+어서/EC
자정	자정/NNG
노력을	노력/NNG+을/JKO
하게	하/VV+게/EC
된다”며	되/VV+ㄴ다/EC+”/VV+며/EC
“공단에서는	“/SN+공단/NNG+에서/JKB+는/JX
부처의	부처/NNG+의/JKG
의무고용률을	의무고용률/NNG+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+여/EC
유도할	유도하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	것/NNB+이/JKS
최선”이라고	최선”/NNG+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
