UNIST	UNIST/SL
지난	지나/VV+ㄴ/ETM
4월부터	4/SN+월/NNB+부터/JX
지난달까지	지난달/NNG+까지/JX
연구를	연구/NNG+를/JKO
수행하고서	수행하/VV+고서/EC
이날	이날/NNG
결과를	결과/NNG+를/JKO
발표했다	발표하/VV+였/EP+다/EC

UNIST는	UNIST/SL+는/JX
올해부터	올해/NNG+부터/JX
우수	우수/NNG
이공계	이공/NNG+계/XSN
인재를	인재/NNG+를/JKO
발굴하고	발굴하/VV+고/EC
육성하는	육성하/VV+는/ETM
이	이/MM
프로그램을	프로그램/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

연구주제는	연구주제/NNG+는/JX
△복잡계	△/SN+복잡/NNG+계/XSN
물리를	물리/NNG+를/JKO
이용한	이용하/VV+ㄴ/ETM
스타벅스	스타벅스/NNP
위치	위치/NNG
선정	선정/NNG
△시각장애인을	△/SN+시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
로봇	로봇/NNG
지팡이	지팡이/NNG
△울산	△/SL+울산/NNP
태화강을	태화강/NNP+을/JKO
이용한	이용하/VV+ㄴ/ETM
미생물	미생물/NNG
지표종	지표종/NNG
지도	지도/NNG
작성	작성/NNG
△갑오징어	△/SN+갑오징어/NNG
뼛속에	뼛속/NNG+에/JKB
들어	들/VV+어/EC
있는	있/VX+는/ETM
수산화인회석의	수산화인회석/NNG+의/JKG
물리적,	물리적/NNG+,/SP
화학적	화학적/NNG
특성	특성/NNG
및	및/MAG
생체친화성에	생체친화성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
연구	연구/NNG
등이다	등/NNB+이/VCP+다/EC

로봇	로봇/NNG
지팡이는	지팡이/NNG+는/JX
부산과학고	부산과학고/NNP
1학년	1/SN+학년/NNG
정종구,	정종구/NNP+,/SP
최현우,	최현우/NNP+,/SP
박진영,	박진영/NNP+,/SP
박주홍	박주홍/NNP
학생팀이	학생팀/NNG+이/JKS
개발했다	개발하/VV+였/EP+다/EC

부산과학고	부산과학고/NNP
김민국	김민국/NNP
지도교사는	지도교사/NNG+는/JX
"학생들이	"/SS+학생/NNG+들/XSN+이/JKS
로봇공학에	로봇공학/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기초	기초/NNG
지식을	지식/NNG+을/JKO
습득하며	습득하/VV+며/EC
함께	함께/MAG
문제를	문제/NNG+를/JKO
해결해나가는	해결하/VV+여/EC+나가/VX+는/ETM
좋은	좋/VA+은/ETM
경험을	경험/NNG+을/JKO
했다"며	하/VV+였/EP+다/EF+"/SS+며/EC
"학생들이	"/SS+학생/NNG+들/XSN+이/JKS
사회적	사회적/NNG
약자를	약자/NNG+를/JKO
배려하는	배려하/VV+는/ETM
따뜻한	따뜻하/VA+ㄴ/ETM
마음을	마음/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
인재로	인재/NNG+로/JKB
성장하기	성장하/VV+기/ETN
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
기대했다	기대하/VV+였/EP+다/EC

leeyoo@yna	leeyoo/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
