전국	전국/NNG
안창호(새누리당	안창호/NNP+(/SS+새누리당/NNP
지명)·김이수(민주당	지명/NNP+)/SS+·/SP+김이수/NNP+(/SS+민주당/NNP
지명)·강일원(여야	지명/NNG+)/SS+·/SP+강일원/NNP+(/SS+여야/NNP
공동	공동/NNG
지명)	지명/NNP+)/SS
후보	후보/NNG
등	등/NNB
총	총/MM
5명이다	5/SN+명/NNB+이/VCP+다/EC

이들은	이/NP+들/XSN+은/JX
국회	국회/NNG
인사청문회를	인사청문회/NNG+를/JKO
무사히	무사히/MAG
넘기면	넘기/VV+면/EC
헌재에	헌재/NNG+에/JKB
계류	계류/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
시각장애인	시각장애인/NNG
안마사와	안마사/NNG+와/JKB
관련된	관련되/VV+ㄴ/ETM
위헌법률심판과	위헌법률심판/NNG+과/JC
헌법소원에	헌법소원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
심리를	심리/NNG+를/JKO
진행하게	진행하/VV+게/EC
된다	되/VV+ㄴ다/EF

헌재에는	헌재/NNG+에/JKB+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
서울중앙지방법원이	서울중앙/NNP+지방법원/NNG+이/JKS
시각장애인의	시각장애인/NNG+의/JKG
안마사제도를	안마사제도/NNG+를/JKO
규정한	규정하/VV+ㄴ/ETM
‘의료법	‘/SL+의료법/NNG
제82조’가	제/XPN+82/SN+조/NR+’/SL+가/XSN
헌법을	헌법/NNG+을/JKO
위배한	위배하/VV+ㄴ/ETM
소지가	소지/NNG+가/JKS
있다고	있/VA+다고/EC
판단해	판단하/VV+여/EC
제청한	제청하/VV+ㄴ/ETM
위헌법률심판이	위헌법률심판/NNG+이/JKS
계류	계류/NNG
중	중/NNB
이다	이/VCP+다/EC

당시	당시/NNG
서울지법은	서울/NNP+지법/NNG+은/JX
위헌심판	위헌심판/NNG
제청	제청/NNG
이유로	이유/NNG+로/JKB
‘생계가	‘/SN+생계/NNG+가/JKS
어려운	어렵/VA+ㄴ/ETM
일반국민	일반국민/NNG
차별’,	차별’/NNG+,/SP
‘안마사	‘/SN+안마사/NNG
선택권부재로	선택권부재/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
소비자의	소비자/NNG+의/JKG
행복추구권	행복추구/NNG+권/XSN
침해’,	침해’/VA+,/SP
‘마사지학과	‘/SL+마사지학과/NNG
마사지사의	마사지사/NNG+의/JKG
직업선택	직업선택/NNG
제한’을	제한’/NNG+을/JKO
들었다	듣/VV+었/EP+다/EF

또한	또한/MAG
지난	지나/VV+ㄴ/ETM
8월에는	8/SN+월/NNB+에/JKB+는/JX
스포츠마사지업계	스포츠마사지업계/NNG
등에	등/NNB+에/JKB
종사하는	종사하/VV+는/ETM
152명이	152/SN+명/NNB+이/JKS
안마사자격제도와	안마사자격제도/NNG+와/JKB
관련해	관련하/VV+여/EC
헌법손원을	헌법손원/NNG+을/JKO
제기,	제기/NP+,/SP
현재	현재/MAG
계류	계류/NNG
중에	중/NNB+에/JKB
있다	있/VA+다/EF

대한안마사협회	대한/NNP+안마사협회/NNG
이병돈	이병돈/NNP
회장은	회장/NNG+은/JX
“시각장애인에게	“/SL+시각장애인/NNG+에게/JKB
직업은	직업/NNG+은/JX
단	단/MM
하나	하나/NR
안마뿐으로	안/NNG+말/VV+뿐/NNB+으로/JKB
꿈이요,	꿈/NNG+이/VCP+요/EC+,/SP
희망이요,	희망/NNG+이/VCP+요/EC+,/SP
생명”이라며	생명”/NNG+이/VCP+라며/EC
“합헌	“/SL+합헌/NNG
판결을	판결/NNG+을/JKO
통해	통하/VV+여/EC
시각장애인의	시각장애인/NNG+의/JKG
생존권을	생존권/NNG+을/JKO
보장해야	보장하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

강학자	강학자/NNP
수석부회장은	수석부회장/NNG+은/JX
“안마사제도는	“/SN+안마사제도/NNG+는/JX
시각장애인이	시각장애인/NNG+이/JKS
정부나	정부/NNG+나/JC
국민에	국민/NNG+에/JKB
의존하지	의존하/VV+지/EC
않고	않/VX+고/EC
스스로	스스로/MAG
자립할	자립하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
우수한	우수하/VA+ㄴ/ETM
복지제도이자	복지제도/NNG+이/VCP+자/EC
고용제도지만	고용제도/NNG+이/VCP+지만/EC
현재	현재/MAG
무자격(비시각장애인)	무자격/NNG+(/SS+비/XPN+시각장애인/NNG+)/SS
안마행위자들에게	안마행위자/NNG+들/XSN+에게/JKB
고스란히	고스란히/MAG
업권이	업권/NNG+이/JKS
침탈	침탈/MAG
된	되/VV+ㄴ/ETM
상태”라고	상태”/NNG+이/VCP+라고/EC
토로했다	토로하/VV+였/EP+다/EF

이어	이어/MAG
“헌재에서	“/SN+헌재/NNG+에서/JKB
두	두/MM
번이나	번/NNB+이나/JX
합헌	합헌/NNG
결정이	결정/NNG+이/JKS
내려졌음에도	내려지/VV+었/EP+음/ETN+에/JKB+도/JX
자신들의	자신/NNG+들/XSN+의/JKG
행위를	행위/NNG+를/JKO
합법적인	합법적/NNG+이/VCP+ㄴ/ETM
영업행위로	영업행위/NNG+로/JKB
정당화하기	정당화하/VV+기/ETN
위해	위하/VV+여/EC
끊임없이	끊임없이/MAG
재심판	재심판/NNG
청구를	청구/NNG+를/JKO
하고	하/VV+고/EC
있는데	있/VX+는데/EC
정부는	정부/NNG+는/JX
이들을	이/NP+들/XSN+을/JKO
단속하고	단속하/VV+고/EC
규제하지	규제하/VV+지/EC
않고	않/VX+고/EC
오히려	오히려/MAG
시각장애인을	시각장애인/NNG+을/JKO
탄압하고	탄압하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

곽경환	곽경환/NNP
제2부회장은	제/XPN+2/SN+부회장/NNG+은/JX
“잘	“/SN+잘/MAG
다니던	다니/VV+던/ETM
직장을	직장/NNG+을/JKO
31살에	31/SN+살/NNB+에/JKB
실명하면서	실명하/VV+면서/EC
그만둬야	그만두/VV+어야/EC
했고	하/VX+였/EP+고/EC
지금은	지금/NNG+은/JX
안마사로	안마사/NNG+로/JKB
두	두/MM
딸	딸/NNG
등	등/NNB
가족의	가족/NNG+의/JKG
생계를	생계/NNG+를/JKO
책임지고	책임지/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“시각장애인에게	“/SL+시각장애인/NNG+에게/JKB
안마는	안마/NNG+는/JX
유일한	유일하/VA+ㄴ/ETM
직업”이라고	직업”/NNG+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

한편	한편/MAG
안마사협회는	안마사협회/NNG+는/JX
안마사자격	안마사자격/NNG
합헌	합헌/NNG
판결	판결/NNG
외에도	외/NNB+에/JKB+도/JX
무자격	무자격/NNG
안마사	안마사/NNG
처벌,	처벌/NNG+,/SP
3호	3/SN+호/NNB
이하	이하/NNG
침	침/NNG
시술권리	시술권리/NNG
보장,	보장/NNG+,/SP
무차별적인	무차별적/NNG+이/VCP+ㄴ/ETM
안마시술소	안마시술/NNG+소/XSN
단속	단속/NNG
중단,	중단/NNG+,/SP
요양시설	요양시설/NNG
및	및/MAG
보건소	보건소/NNG
등	등/NNB
안마사	안마사/NNG
확대	확대/NNG
등을	등/NNB+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

대한안마사협회	대한/NNP+안마사협회/NNG
회원들이	회원/NNG+들/XSN+이/JKS
12일	12/SN+일/NNB
오전	오전/NNG
여의도	여의도/NNP
국회	국회/NNG
국민은행	국민은행/NNP
앞에서	앞/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘안마사자격제도	‘/SN+안마사자격제도/NNG
합헌	합헌/NNG
기원을	기원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
결의대회’에	결의대회/NNG+’/SL+에/JKB
참석,	참석/NNG+,/SP
침울한	침울하/VA+ㄴ/ETM
분위기로	분위기/NNG+로/JKB
앉아	앉/VV+아/EC
있다	있/VX+다/EC

대한안마사협회	대한/NNP+안마사협회/NNG
회원들이	회원/NNG+들/XSN+이/JKS
12일	12/SN+일/NNB
여의도국회	여의도국회/NNP
국민은행	국민은행/NNP
앞에서	앞/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘안마사자격제도	‘/SN+안마사자격제도/NNG
합헌	합헌/NNG
기원을	기원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
결의대회’를	결의대회’/NNG+를/JKO
갖고	갖/VV+고/EC
정부의	정부/NNG+의/JKG
각성을	각성/NNG+을/JKO
촉구하고	촉구하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

대한안마사협회	대한/NNP+안마사협회/NNG
회원이	회원/NNG+이/JKS
‘위헌제청	‘/SN+위헌제청/NNG
왠말이냐	왠말/NNG+이/VCP+냐/EC
법복벗고	법복/NNG+벗/VV+고/EC
속죄하라’는	속죄하/VV+라/EC+’/SL+는/JX
문구가	문구/NNG+가/JKS
들어	들/VV+어/EC
있는	있/VX+는/ETM
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
있다	있/VX+다/EC

대한안마사협회	대한/NNP+안마사협회/NNG
회원이	회원/NNG+이/JKS
‘안마업권	‘/SN+안마업권/NNG
수호하여	수호하/VV+여/EC
맹인복지	맹/XPN+인복지/NNG
이룩하자’라는	이룩하/VV+자/EC+’/SL+이/VCP+라는/ETM
내용이	내용/NNG+이/JKS
든	들/VV+ㄴ/ETM
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
있다	있/VX+다/EC

대한안마사협회의	대한/NNP+안마사협회/NNG+의/JKG
‘안마사자격제도	‘/SL+안마사자격제도/NNG
합헌	합헌/NNG
기원을	기원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
결의대회’	결의대회/NNG+’/SL
현수막	현수막/NNG
모습	모습/NNG
