안철수,	안철수/NNP+,/SP
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사회의	사회/NNG+의/JKG
세심한	세심하/VA+ㄴ/ETM
배려가	배려/NNG+가/JKS
필요함과	필요하/VA+ㅁ/ETN+과/JKB
함께	함께/MAG
장애인의무고용을	장애인의무고용/NNG+을/JKO
외면하고	외면하/VV+고/EC
있는	있/VX+는/ETM
정부와	정부/NNG+와/JC
공기업에	공기업/NNG+에/JKB
대해	대하/VV+여/EC
지적했다	지적하/VV+였/EP+다/EF

안	안/NNP
원장은	원장/NNG+은/JX
“아는	“/SN+아/NNB+는/JX
사람들	사람/NNG+들/XSN
중에	중/NNB+에/JKB
장애인	장애인/NNG
자녀를	자녀/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
가족은	가족/NNG+은/JX
국내에서	국내/NNG+에서/JKB
못	못/MAG
살고	살/VV+고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
외국으로	외국/NNG+으로/JKB
이민을	이민/NNG+을/JKO
가는	가/VV+는/ETM
경우가	경우/NNG+가/JKS
있다”면서	있/VA+다/EC+”/VV+면서/EC
“지금까지	“/SL+지금/NNG+까지/JX
우리	우리/NP
사회가	사회/NNG+가/JKS
장애를	장애/NNG+를/JKO
지닌	지니/VV+ㄴ/ETM
아이를	아이/NNG+를/JKO
키우기	키우/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
사회였다고	사회/NNG+이/VCP+었/EP+다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는데,	있/VA+는데/EC+,/SP
이제는	이제/NNG+는/JX
함께	함께/MAG
돌볼	돌보/VV+ㄹ/ETM
때가	때/NNG+가/JKC
됐다고	되/VV+었/EP+다고/EC
생각	생각/NNG
한다”고	하/VV+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
서울대의	서울대/NNP+의/JKG
엘리베이터	엘리베이터/NNG
설치	설치/NNG
예를	예/NNG+를/JKO
들며,	들/VV+며/EC+,/SP
“처음부터	“/SL+처음/NNG+부터/JX
설치를	설치/NNG+를/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
기존	기존/NNG
건물에	건물/NNG+에/JKB
추가하면	추가하/VV+면/EC
돈이	돈/NNG+이/JKS
더	더/MAG
많이	많이/MAG
들기	들/VV+기/ETN
때문에	때문/NNB+에/JKB
앞으로	앞/NNG+으로/JKB
모든	모든/MM
건물의	건물/NNG+의/JKG
설계	설계/NNG
단계부터	단계/NNG+부터/JX
장애인을	장애인/NNG+을/JKO
세심하게	세심하/VA+게/EC
배려해야할	배려하/VV+여야/EC+하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

안	안/NNP
원장은	원장/NNG+은/JX
“장애인이	“/SL+장애인/NNG+이/JKS
일자리를	일자리/NNG+를/JKO
갖고	갖/VV+고/EC
자립할	자립하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하기	하/VX+기/ETN
위해서는	위하/VV+여서/EC+는/JX
공공기관부터	공공기관/NNG+부터/JX
고용의무를	고용의무/NNG+를/JKO
준수해야	준수하/VV+여야/EC
하고,	하/VX+고/EC+,/SP
돈으로	돈/NNG+으로/JKB
때우려	때우/VV+려/EC
하지	하/VX+지/EC
말고	말/VX+고/EC
실제로	실제로/MAG
고용할	고용하/VV+ㄹ/ETM
것과	것/NNB+과/JKB
더불어	더불/VV+어/EC
그	그/MM
나라의	나라/NNG+의/JKG
수준은	수준/NNG+은/JX
전시행사보다	전시행사/NNG+보다/JKB
장애인과	장애인/NNG+과/JC
소수자에	소수자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
따뜻한	따뜻하/VA+ㄴ/ETM
배려에서	배려/NNG+에서/JKB
결정된다는	결정되/VV+ㄴ다는/ETM
인식이	인식/NNG+이/JKS
필요하다”고	필요하/VA+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC
