전동보장구,	전동보장구/NNG+,/SP
6년까지만	6/SN+년/NNB+까지만/JX
받을	받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EC

이후에는	이후/NNG+에/JKB+는/JX
보장구를	보장구/NNG+를/JKO
새로	새로/MAG
구입하지	구입하/VV+지/EC
않으면	않/VX+으면/EC
정부로부터	정부/NNG+로부터/JKB
배터리	배터리/NNG
지원금을	지원금/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
없다	없/VA+다/EF

즉	즉/MAG
전동보장구를	전동보장구/NNG+를/JKO
구매하고	구매하/VV+고/EC
4년6개월	4/SN+년/NNB+6/SN+개월/NNB
안에서만	안/NNG+에서/JKB+만/JX
배터리	배터리/NNG
지원금이	지원금/NNG+이/JKS
주어진다	주어지/VV+ㄴ다/EC

반면	반면/NNG
건보공단이	건보공단/NNG+이/JKS
지난해	지난해/NNG
실시한	실시하/VV+ㄴ/ETM
‘전동보장구	‘/SL+전동보장구/NNG
사용	사용/NNG
실태조사’에	실태조사/NNG+’/SL+에/JKB
따르면	따르/VV+면/EC
전동보장구	전동보장구/NNG
일평균	일평균/NNG
사용량은	사용량/NNG+은/JX
2	2/SN

1시간	1/SN+시간/NNB
이었다	잇/VV+었/EP+다/EF

하루	하루/NNG
1시간	1/SN+시간/NNB
이하로	이하/NNG+로/JKB
사용하는	사용하/VV+는/ETM
장애인도	장애인/NNG+도/JX
66	66/SN

5%나	5/SN+%/SW+나/JX
됐다	되/VV+었/EP+다/EC

전동보장구	전동보장구/NNG
구입	구입/NNG
후	후/NNG
5년	5/SN+년/NNB
이상	이상/NNG
사용가능한	사용/NNG+가능하/VA+ㄴ/ETM
비율도	비율/NNG+도/JX
83	83/SN

5%로	5/SN+%/SW+로/JKB
나타났다	나타나/VV+았/EP+다/EC

김정록	김정록/NNP
의원은	의원/NNG+은/JX
“전동보장구	“/SL+전동보장구/NNG
관리를	관리/NNG+를/JKO
잘해	잘하/VV+여/EC
내구연한	내구연한/NNG
이상	이상/NNG
쓰는	쓰/VV+는/ETM
장애인들도	장애인/NNG+들/XSN+도/JX
많은데	많/VA+은데/EC
정작	정작/NNG
내구연한이	내구연한/NNG+이/JKS
지나면	지나/VV+면/EC
배터리	배터리/NNG
지원이	지원/NNG+이/JKS
끊겨	끊기/VV+어/EC
보장구가	보장구/NNG+가/JKS
고물이	고물/NNG+이/JKC
돼	되/VV+어/EC
버린다”며	버리/VX+ㄴ다/EF+”/SN+며/EC
“보완대책이	“/SL+보완대책/NNG+이/JKS
필요하다”고	필요하/VA+다”고/EC
지적했다	지적하/VV+였/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
건보공단	건보공단/NNG
김종대	김종대/NNP
이사장은	이사장/NNG+은/JX
“알았다”며	“/SN+알/VV+았/EP+다/EC+”/VX+며/EC
검토의	검토/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
내비쳤다	내비치/VV+었/EP+다/EF
