"장애인생산품	"/SS+장애인생산품/NNG
‘공급망	‘/SL+공급망/NNG
관리(SCM)’부터	관리/NNG+(/SS+SCM/SL+)/SS+’/SL+부터/JX
생산,	생산/NNG+,/SP
구매,	구매/NNG+,/SP
회계,	회계/NNG+,/SP
인사	인사/NNG
등	등/NNB
회사의	회사/NNG+의/JKG
‘전사적	‘/SL+전사적/NNG
자원관리	자원관리/NNG
시스템(ERP)’이	시스템/NNG+(/SS+ERP/SL+)/SS+’/SL+이/JKS
포함되어	포함되/VV+어/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“개발을	“/SN+개/NNB+발/NNG+을/JKO
한다고	하/VV+ㄴ다고/EC
해도	하/VV+여도/EC
이름조차	이름/NNG+조차/JX
생소한	생소하/VA+ㄴ/ETM
복잡한	복잡하/VA+ㄴ/ETM
시스템을	시스템/NNG+을/JKO
영세한	영세하/VV+ㄴ/ETM
생산시설에서	생산시설/NNG+에서/JKB
운용할	운용하/VV+ㄹ/ETM
여력이	여력/NNG+이/JKS
있을지	있/VA+을지/EC
의문이	의문/NNG+이/JKS
든다”고	들/VV+ㄴ다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

현재	현재/MAG
중증장애인생산품	중증장애인생산품/NNG
생산시설은	생산시설/NNG+은/JX
전체	전체/NNG
생산	생산/NNG
근로자	근로자/NNG
수가	수/NNG+가/JKS
평균	평균/NNG
20명	20/SN+명/NNB
초반으로	초반/NNG+으로/JKB
최소	최소/NNG
5~7명의	5/SN+~/SO+7/SN+명/NNB+의/JKG
인원으로	인원/NNG+으로/JKB
운영되는	운영되/VV+는/ETM
등	등/NNB
규모가	규모/NNG+가/JKS
영세한	영세하/VA+ㄴ/ETM
업체가	업체/NNG+가/JKS
대부분이다	대부분/NNG+이/VCP+다/EC

결국	결국/NNG
생산/판매시설의	생산/NNG+//SP+판매시설/NNG+의/JKG
운영관리	운영관리/NNG
시스템은	시스템/NNG+은/JX
무용화	무용화/NNG
되거나	되/VV+거나/EC
시스템	시스템/NNG
자체가	자체/NNG+가/JKS
중증장애인생산품	중증장애인생산품/NNG
생산시설로써의	생산시설/NNG+로써/JKB+의/JKG
자격을	자격/NNG+을/JKO
유지하는	유지하/VV+는/ETM
데	데/NNB
장애로	장애/NNG+로/JKB
발생해	발생하/VV+여/EC
업체들이	업체/NNG+들/XSN+이/JKS
중증장애인생산품	중증장애인생산품/NNG
지정	지정/NNG
사업장	사업장/NNG
자격을	자격/NNG+을/JKO
포기할	포기하/VV+ㄹ/ETM
가능성도	가능성/NNG+도/JX
배제할	배제하/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것	것/NNB

문	문/NNP
의원은	의원/NNG+은/JX
“최초	“최/SN+초/NNB
시스템의	시스템/NNG+의/JKG
개발범위를	개발범위/NNG+를/JKO
결정하는	결정하/VV+는/ETM
단계에서	단계/NNG+에서/JKB
발생했다	발생하/VV+였/EP+다/EC

타당성	타당성/NNG
조사와	조사/NNG+와/JC
전략계획	전략계획/NNG
수립	수립/NNG
모두가	모두/NNG+가/JKS
시스템	시스템/NNG
개발업체에	개발업체/NNG+에/JKB
의해	의하/VV+여/EC
이뤄졌다”며	이루어지/VV+었/EP+다”며/EC
"연구용역	"/SS+연구용역/NNG
업체	업체/NNG
선정	선정/NNG
등	등/NNB
사업검토	사업검토/NNG
단계에서	단계/NNG+에서/JKB
문제가	문제/NNG+가/JKS
발생했다"고	발생하/VV+였/EP+다/EF+"/SS+고/JKQ
꼬집었다	꼬집/VV+었/EP+다/EF

특히	특히/MAG
문	문/NNP
의원은	의원/NNG+은/JX
현재	현재/MAG
시스템	시스템/NNG
개발	개발/NNG
계획	계획/NNG
범위를	범위/NNG+를/JKO
‘구매실적집계	‘/SL+구매실적집/NNG+계/XSN
및	및/MAG
통계	통계/NNG
시스템’과	시스템’/NNG+과/JC
‘생산품의	‘/SL+생산품/NNG+의/JKG
개별정보	개별정보/NNG
제공	제공/NNG
및	및/MAG
판매(쇼핑몰)	판매/NNG+(/SS+쇼핑몰/NNG+)/SS
시스템’에서	시스템/NNG+’/SL+에서/JKB
판매(쇼핑몰)	판매/NNG+(/SS+쇼핑몰/NNG+)/SS
부문을	부문/NNG+을/JKO
제외한	제외하/VV+ㄴ/ETM
시스템으로	시스템/NNG+으로/JKB
개발	개발/NNG
범위를	범위/NNG+를/JKO
제한하는	제한하/VV+는/ETM
것이	것/NNB+이/JKS
바람직하다고	바람직하/VA+다고/EC
제시했다	제시하/VV+였/EP+다/EC

이어	이어/MAG
“시스템	“/SN+시스템/NNG
개발하는	개발하/VV+는/ETM
몇	몇/MM
년간	년/NNB+간/XSN
총	총/NNG
사업비	사업비/NNG
26억원에	26/SN+억/NR+원/NNB+에/JKB
국한된	국한되/VV+ㄴ/ETM
사업이지만,	사업/NNG+이/VCP+지만/EC+,/SP
이미	이미/MAG
법으로	법/NNG+으로/JKB
1%이상의	1/SN+%/SW+이상/NNG+의/JKG
의무구매비율이	의무구매비율/NNG+이/JKS
정해져	정하/VV+여/EC+지/VX+어/EC
있는	있/VX+는/ETM
이상	이상/NNG
이	이/MM
시스템은	시스템/NNG+은/JX
중증장애인생산시설	중증장애인생산시설/NNG
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
전체	전체/NNG
공공기관	공공기관/NNG
및	및/MAG
지자체의	지자체/NNG+의/JKG
구매담당자	구매담당자/NNG
모두에게	모두/NNG+에게/JKB
영향을	영향/NNG+을/JKO
주는	주/VV+는/ETM
만큼	만큼/NNB
신중하게	신중하/VA+게/EC
판단해	판단하/VV+여/EC
줄	주/VX+ㄹ/ETM
것”을	것/NNB+”/SL+을/JKO
주문했다	주문하/VV+였/EP+다/EF

한국장애인개발원	한국/NNP+장애인개발/NNG+원/XSN
변용찬	변용찬/NNP
원장은	원장/NNG+은/JX
“그렇게	“그렇/VA+게/EC
하겠다”고	하/VV+겠/EP+다”고/EC
답변했다	답변하/VV+였/EP+다/EF
