10년간	10/SN+년/NNB+간/XSN
나와	나오/VV+아/EC
외출할	외출하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다	되/VV+었/EP+다/EC

이를	이/NP+를/JKO
반증하듯	반증하/VV+듯/EC
에이블뉴스	에이블뉴스/NNP
'올해의	'/SS+올해/NNG+의/JKG
키워드'에	키워드/NNG+'/SS+에/JKB
저상버스,	저상버스/NNG+,/SP
장애인콜택시	장애인콜택시/NNG
등의	등/NNB+의/JKG
단어가	단어/NNG+가/JKS
10위권	10/SN+위/NNB+권/XSN
밖으로	밖/NNG+으로/JKB
꾸준히	꾸준히/MAG
오르내리고	오르내리/VV+고/EC
있다	있/VX+다/EC

하지만	하지만/MAJ
아직도	아직/MAG+도/JX
장애인들은	장애인/NNG+들/XSN+은/JX
2시간	2/SN+시간/NNB
넘게	넘/VV+게/EC
기다려야만	기다리/VV+어야/EC+만/JX
저상버스나	저상버스/NNG+나/JC
장애인콜택시를	장애인콜택시/NNG+를/JKO
탈	타/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없는	없/VA+는/ETM
현실에	현실/NNG+에/JKB
놓여져있다	놓이/VV+어/EC+지/VX+어/EC+있/VX+다/EC

10년	10/SN+년/NNB
전과	전/NNG+과/JC
후	후/NNG
여전히	여전히/MAG
장애인들은	장애인/NNG+들/XSN+은/JX
이동권을	이동/NNG+권/XSN+을/JKO
보장해달라고	보장하/VV+여/EC+달/VX+라고/EC
외치고	외치/VV+고/EC
있다	있/VX+다/EC

10년이나	10/SN+년/NNB+이나/JX
훌쩍	훌쩍/MAG
지나	지나/VV+아/EC
온	온/MM
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
투쟁의	투쟁/NNG+의/JKG
역사를	역사/NNG+를/JKO
들여다본다	들여다보/VV+ㄴ다/EF

장애인들에게	장애인/NNG+들/XSN+에게/JKB
제일	제일/MAG
필요한	필요하/VA+ㄴ/ETM
것이	것/NNB+이/JKS
무엇일까?	무엇/NP+이/VCP+ㄹ까/EF+?/SF
바로	바로/MAG
일상생활에서	일상생활/NNG+에서/JKB
제일	제일/MAG
필요한	필요하/VA+ㄴ/ETM
것은	것/NNB+은/JX
비장애인들과	비장애인/NNG+들/XSN+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
원하는	원하/VV+는/ETM
곳으로	곳/NNG+으로/JKB
이동하고자	이동하/VV+고자/EC
하는데	하/VX+는데/EC
불편함이	불편하/VA+ㅁ/ETN+이/JKS
없이	없이/MAG
움직일	움직이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘이동	‘/SL+이동/VV
’할	’하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수단이다	수단/NNG+이/VCP+다/EC

아직도	아직/MAG+도/JX
장애인들은	장애인/NNG+들/XSN+은/JX
2시간	2/SN+시간/NNB
넘게	넘/VV+게/EC
기다려야	기다리/VV+어야/EC
저상버스를	저상버스/NNG+를/JKO
탈	타/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
장애인콜택시를	장애인콜택시/NNG+를/JKO
타려면	타/VV+려면/EC
2시간	2/SN+시간/NNB
전에	전/NNG+에/JKB
예약해야지만	예약하/VV+여야지만/EC
탈	타/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

이처럼	이/NP+처럼/JKB
'우리도	'/SS+우리/NP+도/JX
이동할	이동하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해달라'고	하/VX+여/EC+달/VX+라/EF+'/SS+고/JKQ
요구한	요구하/VV+ㄴ/ETM
지	지/NNB
10년이	10/SN+년/NNB+이/JKS
지났지만	지나/VV+았/EP+지만/EC
여전히	여전히/MAG
장애인들은	장애인/NNG+들/XSN+은/JX
‘이동’의	‘/SL+이동/NNG+’/SL+의/JKG
자유에서	자유/NNG+에서/JKB
벗어나지	벗어나/VV+지/EC
못하고	못하/VX+고/EC
있다	있/VX+다/EC

'장애인도	'/SS+장애인/NNG+도/JX
버스를	버스/NNG+를/JKO
탑시다'	타/VV+ㅂ시다/EF+'/SS
행사를	행사/NNG+를/JKO
하던	하/VV+던/ETM
장애인이동권쟁취를	장애인이동권쟁취/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
연대회의	연대회의/NNG
모습	모습/NNG

주변의	주변/NNG+의/JKG
경찰들이	경찰/NNG+들/XSN+이/JKS
버스를	버스/NNG+를/JKO
타려고	타/VV+려고/EC
하는	하/VX+는/ETM
장애인들을	장애인/NNG+들/XSN+을/JKO
막고있다	막/VV+고/EC+있/VX+다/EC

D	D/SL

B	B/SL
추락사	추락사/NNG
계기로	계기/NNG+로/JKB
장애인	장애인/NNG
이동권,	이동/NNG+권/XSN+,/SP
‘꿈틀’이동권	‘/SN+꿈틀/MAG+’/SL+이동/NNG+권/XSN
투쟁	투쟁/NNG
역사를	역사/NNG+를/JKO
되돌아보면	되돌아보/VV+면/EC
‘장애인도	‘/SL+장애인/NNG+도/JX
버스를	버스/NNG+를/JKO
탑시다’를	탑시/VV+다/EC+’/SL+를/JKO
빼놓고	빼놓/VV+고/EC
말	말/VV
할	하/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

2001년	2001/SN+년/NNB
1월	1/SN+월/NNB
지하철	지하철/NNG
4호선	4/SN+호/NNB+선/XSN
오이도역에서	오이도/NNP+역/NNG+에서/JKB
발생한	발생하/VV+ㄴ/ETM
장애인	장애인/NNG
노부부	노부부/NNG
추락	추락/NNG
참사를	참사/NNG+를/JKO
계기로	계기/NNG+로/JKB
전국장애인차별철페연대(이하	전/MM+국장애인차별철페연대/NNG+(/SS+이하/NNG
전장연)를	전장연/NNP+)/SS+를/JKO
주축으로	주축/NNG+으로/JKB
장애인의	장애인/NNG+의/JKG
이동권에	이동/NNG+권/XSN+에/JKB
대해	대하/VV+여/EC
목소리를	목소리/NNG+를/JKO
내기	내/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

‘오이도역장애인추락참사대책위원회’가	‘/SL+오이도역장애인추락참사대책위원회/NNG+’/SL+가/JKS
‘장애인이동권쟁취를위한연대회의(이하연대회의)’로	‘/SN+장애인이동권쟁취/NNG+를/JKO+위한연대회의/NNG+(/SS+이하연대회의/NNG+)/SS+’/SL+로/JKB
재편되며,	재편되/VV+며/EC+,/SP
같은해	같/VA+은/ETM+해/NNG
7월	7/SN+월/NNB
23일	23/SN+일/NNB
서울	서울/NNP
광화문에서	광화문/NNP+에서/JKB
첫	첫/MM
장애인	장애인/NNG
버스타기	버스타기/NNG
행사를	행사/NNG+를/JKO
열었다	열/VV+었/EP+다/EC

장애인	장애인/NNG
이동권의	이동/NNG+권/XSN+의/JKG
중요성을	중요성/NNG+을/JKO
알리기	알리/VV+기/ETN
위해	위하/VV+여/EC
버스를	버스/NNG+를/JKO
점거하거나	점거하/VV+거나/EC
도로를	도로/NNG+를/JKO
점거하는	점거하/VV+는/ETM
조금은	조금/NNG+은/JX
과격한	과격하/VA+ㄴ/ETM
투쟁을	투쟁/NNG+을/JKO
벌였고,	벌이/VV+었/EP+고/EC+,/SP
이와	이/NP+와/JC
중에	중/NNB+에/JKB
경찰과의	경찰/NNG+과/JKB+의/JKG
싸움은	싸움/NNG+은/JX
비일비재했다	비일비재하/VA+었/EP+다/EC

한때는	한때/NNG+는/JX
경찰이	경찰/NNG+이/JKS
버스에	버스/NNG+에/JKB
탄	타/VV+ㄴ/ETM
장애인들의	장애인/NNG+들/XSN+의/JKG
하차를	하차/NNG+를/JKO
막아	막/VV+아/EC
8시간동안	8/SN+시간동안/NNG
비자발적인	비/XPN+자발적/NNG+이/VCP+ㄴ/ETM
버스	버스/NNG
점거농성이	점거농성/NNG+이/JKS
벌어지기도	벌어지/VV+기/ETN+도/JX
했고,	하/VX+였/EP+고/EC+,/SP
버스에	버스/NNG+에/JKB
태운	태우/VV+ㄴ/ETM
채	채/NNB
장애인들을	장애인/NNG+들/XSN+을/JKO
경찰서로	경찰서/NNG+로/JKB
연행해	연행하/VV+여/EC
간	가/VX+ㄴ/EF
적도	적/NNB+도/JX
있었다	있/VA+었/EP+다/EF

회가	회가/NNG
거듭될수록	거듭되/VV+ㄹ수록/EC
장애인	장애인/NNG
당사자들의	당사자/NNG+들/XSN+의/JKG
참여는	참여/NNG+는/JX
늘어났고,	늘어나/VV+았/EP+고/EC+,/SP
점차	점차/MAG
장애인의	장애인/NNG+의/JKG
이동권	이동/NNG+권/XSN
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
‘장애인이동보장법률’	‘/SN+장애인이동보장법률/NNG+’/SN
제정과	제정/NNG+과/JC
장애인콜택시	장애인콜택시/NNG
제도	제도/NNG
개선을	개선/NNG+을/JKO
요구하는	요구하/VV+는/ETM
목소리도	목소리/NNG+도/JX
더욱	더욱/MAG
높아졌다	높아지/VV+었/EP+다/EC

물론	물론/MAG
지금까지도	지금/NNG+까지도/JX
장애인콜택시의	장애인콜택시/NNG+의/JKG
긴	길/VA+ㄴ/ETM
대기시간에	대기시간/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불만이	불만/NNG+이/JKS
나오고	나오/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
당시	당시/NNG
장애인콜택시는	장애인콜택시/NNG+는/JX
운행시간	운행시간/NNG
한정과	한정/NNG+과/JC
차량대수	차량대수/NNG
부족,	부족/NNG+,/SP
운전자를	운전자/NNG+를/JKO
봉사원으로	봉사/NNG+원/XSN+으로/JKB
한정해	한정하/VV+여/EC
놓는	놓/VX+는/ETM
등으로	등/NNB+으로/JKB
인해	인하/VV+여/EC
실제	실제/NNG
이용의	이용/NNG+의/JKG
어려움은	어려움/NNG+은/JX
더욱	더욱/MAG
컸다	크/VA+었/EP+다/EF

이동권연대는	이동권연대/NNG+는/JX
2002년	2002/SN+년/NNB
39일간	39/SN+일/NNB+간/XSN
국가인권위원회	국가인권위원회/NNG
점거	점거/NNG
단식농성을	단식농성/NNG+을/JKO
진행하며	진행하/VV+며/EC
서울시로부터	서울시/NNP+로부터/JKB
지하철	지하철/NNG
전	전/MM
역사의	역사/NNG+의/JKG
엘리베이터	엘리베이터/NNG
설치,	설치/NNG+,/SP
저상버스	저상버스/NNG
도입	도입/NNG
등의	등/NNB+의/JKG
약속을	약속/NNG+을/JKO
받아냈다	받/VV+아/EC+내/VX+었/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
서울시는	서울시/NNP+는/JX
2003년	2003/SN+년/NNB
저상버스	저상버스/NNG
도입계획을	도입계획/NNG+을/JKO
마련하고,	마련하/VV+고/EC+,/SP
시내버스	시내버스/NNG
노선에	노선/NNG+에/JKB
저상버스	저상버스/NNG
시범운행을	시범운행/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

또한	또한/MAG
이동권연대가	이동권연대/NNG+가/JKS
서울시와	서울시/NNP+와/JC
도시철도공사를	도시철도공사/NNG+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
손해배상	손해배상/NNG
청구소송에서	청구소송/NNG+에서/JKB
발산역	발산역/NNP
장애인	장애인/NNG
리프트	리프트/NNG
추락사고	추락사고/NNG
이후	이후/NNG
3년만에	3/SN+년만/NNB+에/JKB
도시철도공사는	도시철도공사/NNG+는/JX
8,870만원을	8,870/SN+만/NR+원/NNB+을/JKO
지급하라는	지급하/VV+라는/ETM
판결이	판결/NNG+이/JKS
받기도	받/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

이는	이/NP+는/JX
2002년	2002/SN+년/NNB
5월	5/SN+월/NNB
지하철	지하철/NNG
5호선	5/SN+호/NNB+선/XSN
발산역	발산역/NNP
휠체어리프트를	휠체어리프트/NNG+를/JKO
이용하던	이용하/VV+던/ETM
장애인이	장애인/NNG+이/JKS
추락해	추락하/VV+여/EC
숨진	숨지/VV+ㄴ/ETM
사건으로,	사건/NNG+으로/JKB+,/SP
이후	이후/NNG
장애계는	장애/NNG+계/XSN+는/JX
휠체어리프트를	휠체어리프트/NNG+를/JKO
‘살인기계’라	‘/SN+살인기계’/NNG+이/VCP+라/EC
불리우며	불리우/VV+며/EC
추가	추가/NNG
설치를	설치/NNG+를/JKO
강력하게	강력하/VA+게/EC
반대했다	반대하/VV+였/EP+다/EC

이동권	이동/NNG+권/XSN
보장	보장/NNG
받기	받/VV+기/ETN
위해	위하/VV+여/EC
목숨	목숨/NNG
걸고	걸/VV+고/EC
싸우다서울역,	싸우다서울역/NNP+,/SP
부산역	부산역/NNP
등	등/NNB
연이은	연잇/VV+은/ETM
휠체어리프트	휠체어리프트/NNP
추락사고	추락사고/NNG
발생에도	발생/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
서울시나	서울시/NNP+나/JC
정부는	정부/NNG+는/JX
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
대책	대책/NNG
하나	하나/NR
마련하지	마련하/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
결국	결국/NNG
장애인들은	장애인/NNG+들/XSN+은/JX
이동권	이동/NNG+권/XSN
보장을	보장/NNG+을/JKO
요구하며	요구하/VV+며/EC
목숨걸고	목숨/NNG+걸/VV+고/EC
투쟁에	투쟁/NNG+에/JKB
나서기	나서/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

이들은	이/NP+들/XSN+은/JX
서울역	서울역/NNP
무기한	무기한/NNG
천막농성,	천막농성/NNG+,/SP
서울시	서울시/NNP
장애인복지과	장애인복지/NNG+과/JC
점거농성,	점거농성/NNG+,/SP
지하철	지하철/NNG
철로로	철로/NNG+로/JKB
내려가	내려가/VV+아/EC
휠체어를	휠체어/NNG+를/JKO
탄	타/VV+ㄴ/ETM
몸으로	몸/NNG+으로/JKB
저항했다	저항하/VV+었/EP+다/EC

40여차례에	40/SN+여/XSN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
‘장애인도	‘/VV+장애인/NNG+도/JX
버스를	버스/NNG+를/JKO
탑시다’	탑시/VV+다/EC+’/SL
행사와	행사/NNG+와/JC
55만여명의	55/SN+만/NR+여/XSN+명/NNB+의/JKG
시민	시민/NNG
서명도	서명/NNG+도/JX
받아	받/VV+아/EC
냈다	내/VX+었/EP+다/EF

더욱이	더욱이/MAG
송내역	송내역/NNP
등	등/NNB
휠체어	휠체어/NNG
리프트	리프트/NNG
추락사고는	추락사고/NNG+는/JX
끊임없이	끊임없이/MAG
발생했함에	발생하/VV+였/EP+함/NNG+에/JKB
따라	따르/VV+아/EC
점거농성,	점거농성/NNG+,/SP
기자회견	기자회견/NNG
개최,	개최/NNG+,/SP
서울시	서울시/NNP
장애인복지과	장애인복지/NNG+과/JC
관계자들과의	관계자/NNG+들/XSN+과/JKB+의/JKG
면담,	면담/NNG+,/SP
점거농성까지	점거농성/NNG+까지/JX
진행하며	진행하/VV+며/EC
이동권	이동/NNG+권/XSN
투쟁의	투쟁/NNG+의/JKG
열을	열/NNG+을/JKO
올렸다	올리/VV+었/EP+다/EC

장애인이동권보장법	장애인이동권보장법/NNG
제정을	제정/NNG+을/JKO
요구하던	요구하/VV+던/ETM
장애인이동권쟁취를	장애인이동권쟁취/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
연대회의	연대회의/NNG
소속	소속/NNG
장애인	장애인/NNG
모습	모습/NNG

D	D/SL

B	B/SL
만	만/MM
4년만의	4/SN+년만/NNB+의/JKG
결실…이동권	결실/NNG+…/SE+이동/NNG+권/XSN
법적	법적/NNG
명시	명시/NNG
된	되/VV+ㄴ/ETM
법	법/NNG
제정이	제정/NNG+이/JKS
같은	같/VA+은/ETM
노력	노력/NNG
끝에	끝/NNG+에/JKB
장애인	장애인/NNG
이동권을	이동/NNG+권/XSN+을/JKO
법적으로	법적/NNG+으로/JKB
보장받기	보장/NNG+받/VV+기/ETN
위한	위하/VV+ㄴ/ETM
법률	법률/NNG
제정은	제정/NNG+은/JX
가시화	가시화/NNG
됐다	되/VV+었/EP+다/EC

하지만	하지만/MAJ
법	법/NNG
제정에	제정/NNG+에/JKB
앞서	앞서/VV+어/EC
장애계와	장애/NNG+계/XSN+와/JC
건설교통부(현	건설교통부/NNG+(/SS+현/MM
국토해양부)는	국토해양부/NNG+)/SS+는/JX
크게	크/VA+게/EC
대립했다	대립하/VV+였/EP+다/EC

건설교통부가	건설교통부/NNG+가/JKS
준비한	준비하/VV+ㄴ/ETM
법안이	법안/NNG+이/JKS
저상버스	저상버스/NNG
의무화가	의무화/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
저상버스	저상버스/NNG
확대	확대/NNG
권고	권고/NNG
수준에	수준/NNG+에/JKB
불과했고,	불과하/VA+었/EP+고/EC+,/SP
장애인들이	장애인/NNG+들/XSN+이/JKS
요구하는	요구하/VV+는/ETM
수준에	수준/NNG+에/JKB
미치지	미치/VV+지/EC
못했기	못하/VX+였/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

당초	당초/NNG
이동권연대를	이동권연대/NNG+를/JKO
주축으로	주축/NNG+으로/JKB
구성된	구성되/VV+ㄴ/ETM
‘장애인이동보장법률입법추진공동대책위원회’는	‘/SN+장애인이동보장법률입법추진공동대책위원회/NNG+’/SL+는/JX
저상버스	저상버스/NNG
도입	도입/NNG
의무화,	의무화/NNG+,/SP
대·폐차	대/NNG+·/SP+폐차/NNG
시내버스	시내버스/NNG
100%	100/SN+%/SW
저상버스로	저상버스/NNG+로/JKB
도입,	도입/NNG+,/SP
편의시설기준을	편의시설기준/NNG+을/JKO
위반한	위반하/VV+ㄴ/ETM
교통사업자에	교통사업자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
징벌적	징벌적/NNG
손해배상제도	손해배상제도/NNG
등의	등/NNB+의/JKG
내용인	내용/NNG+이/VCP+ㄴ/ETM
‘장애인이동권보장법’	‘/SN+장애인이동권보장법/NNG+’/SL
제정을	제정/NNG+을/JKO
촉구해왔다	촉구하/VV+여/EC+오/VX+았/EP+다/EF

특히	특히/MAG
장애인의	장애인/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
반영된	반영되/VV+ㄴ/ETM
이동보장법	이동보장법/NNG
제정을	제정/NNG+을/JKO
위해	위하/VV+여/EC
당시	당시/NNG
민주노동당	민주노동당/NNP
현애자	현애자/NNP
의원의	의원/NNG+의/JKG
‘장애인·노인·임산부	‘/SL+장애인/NNG+·/SP+노인/NNG+·/SP+임산부/NNG
등의	등/NNB+의/JKG
교통수단	교통수단/NNG
이용	이용/NNG
및	및/MAG
이동보장에	이동보장/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률(이하	법률/NNG+(/SS+이하/NNG
장애인이동보장법)’이	장애인이동보장법/NNG+)/SS+’/SL+이/JKS
통과되어야	통과되/VV+어야/EC
한다며	하/VX+ㄴ다며/EC
국회에서	국회/NNG+에서/JKB
노숙농성을	노숙농성/NNG+을/JKO
진행,	진행/NNG+,/SP
쇠사슬	쇠사슬/NNG
시위도	시위/NNG+도/JX
서슴치	서슴/VV+지/EC
않았다	않/VX+았/EP+다/EF

장애인들이	장애인/NNG+들/XSN+이/JKS
민주노동당	민주노동당/NNP
현애자	현애자/NNG
의원의	의원/NNG+의/JKG
‘장애인·노인·임산부	‘/SL+장애인/NNG+·/SP+노인/NNG+·/SP+임산부/NNG
등의	등/NNB+의/JKG
교통수단	교통수단/NNG
이용	이용/NNG
및	및/MAG
이동보장에	이동보장/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’이	법률/NNG+’/SL+이/JKS
제정되어야	제정되/VV+어야/EC
한다며	하/VX+ㄴ다며/EC
국회에서	국회/NNG+에서/JKB
노숙농성을	노숙농성/NNG+을/JKO
진행,	진행/NNG+,/SP
쇠사슬	쇠사슬/NNG
시위를	시위/NNG+를/JKO
하는	하/VV+는/ETM
모습	모습/NNG

D	D/SL

B	B/SL
실질적으로	실질적/NNG+으로/JKB
이동권	이동/NNG+권/XSN
보장을	보장/NNG+을/JKO
받기	받/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
지하철(엘리베이터	지하철/NNG+(/SS+엘리베이터/NNG
설치)을	설치/NNG+)/SS+을/JKO
비롯해	비롯하/VV+여/EC
저상버스	저상버스/NNG
등의	등/NNB+의/JKG
일반	일반/NNG
대중교통	대중교통/NNG
이용이	이용/NNG+이/JKS
절실했던	절실하/VA+었/EP+던/ETM
이유였다	이유/NNG+이/VCP+었/EP+다/EC

앞서	앞서/MAG
현애자	현애자/NNG
의원은	의원/NNG+은/JX
장애계에서	장애/NNG+계/XSN+에서/JKB
요구하는	요구하/VV+는/ETM
내용을	내용/NNG+을/JKO
다수	다수/NNG
포함시킨	포함/NNG+시키/XSV+ㄴ/ETM
‘장애인이동보장법’을	‘/SN+장애인이동보장법/NNG+’/SL+을/JKO
발의해	발의하/VV+여/EC
장애계의	장애/NNG+계/XSN+의/JKG
뜨거운	뜨겁/VA+ㄴ/ETM
지지를	지지/NNG+를/JKO
받았다	받/VV+았/EP+다/EC

2004년	2004/SN+년/NNB
12월	12/SN+월/NNB
국회는	국회/NNG+는/JX
현애자	현애자/NNP
의원이	의원/NNG+이/JKS
발의한	발의하/VV+ㄴ/ETM
장애인이동보장법의	장애인이동보장법/NNG+의/JKG
핵심조항이었던	핵심조항/NNG+이/VCP+었/EP+던/ETM
저상버스	저상버스/NNG
도입을	도입/NNG+을/JKO
의무조항으로	의무조항/NNG+으로/JKB
정하고,	정하/VV+고/EC+,/SP
예산의	예산/NNG+의/JKG
범위	범위/NNG
내	내/NNB
저상버스를	저상버스/NNG+를/JKO
도입하는	도입하/VV+는/ETM
방향의	방향/NNG+의/JKG
정부안을	정부안/NNG+을/JKO
병합심사,	병합심사/NNG+,/SP
‘교통약자의	‘/SN+교통약자/NNG+의/JKG
이동편의증진법률’	이동편의증진법률/NNG+’/SN
대안으로	대안/NNG+으로/JKB
통과시켰다	통과/NNG+시키/XSV+었/EP+다/EF

이에	이/NP+에/JKB
장애계가	장애/NNG+계/XSN+가/JKS
요구하던	요구하/VV+던/ETM
장애인	장애인/NNG
이동권이	이동/NNG+권/XSN+이/JKS
법적으로	법적/NNG+으로/JKB
명시되고,	명시되/VV+고/EC+,/SP
저상버스	저상버스/NNG
도입이	도입/NNG+이/JKS
이동편의증진법의	이동편의증진법/NNG+의/JKG
의무조항으로	의무조항/NNG+으로/JKB
삽입됐다	삽입되/VV+었/EP+다/EF

또한	또한/MAG
교통약자이동편의증진계획	교통약자이동편의증진계획/NNG
수립	수립/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
전국에서의	전국/NNG+에서/JKB+의/JKG
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
보장의	보장/NNG+의/JKG
기틀을	기틀/NNG+을/JKO
마련하게	마련하/VV+게/EC
됐다	되/VV+었/EP+다/EC

이는	이/NP+는/JX
만	만/MM
4년	4/SN+년/NNB
만의	만/NNB+의/JKG
누리는	누리/VV+는/ETM
이동권	이동/NNG+권/XSN
투쟁의	투쟁/NNG+의/JKG
또	또/MAG
다른	다른/MM
결실이었다	결실/NNG+이/VCP+었/EP+다/EF

2004년	2004/SN+년/NNB
12월	12/SN+월/NNB
‘교통약자의	‘/SN+교통약자/NNG+의/JKG
이동편의증진법률’	이동편의증진법률’/NNG
제정이	제정/NNG+이/JKS
된	되/VV+ㄴ/ETM
후	후/NNG
크게	크/VA+게/EC
기뻐하는	기뻐하/VV+는/ETM
장애인들	장애인/NNG+들/XSN

D	D/SL

B	B/SL
5개년	5/SN+개년/NNB
계획	계획/NNG
수립에도	수립/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
실제	실제/NNG
이행은	이행/NNG+은/JX
‘지지부진’이동편의증진법	‘/SL+지지부진/NNG+’/SL+이동편의증진법/NNG
제정으로	제정/NNG+으로/JKB
따라	따르/VV+아/EC
이동권	이동/NNG+권/XSN
보장을	보장/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
투쟁의	투쟁/NNG+의/JKG
강도는	강도/NNG+는/JX
주춤해지기도	주춤하/VA+여/EC+지/VX+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

하지만	하지만/MAJ
2006년	2006/SN+년/NNB
인천	인천/NNP
지하철	지하철/NNG
신연수역에서	신연수역/NNP+에서/JKB
휠체어리프트	휠체어리프트/NNG
추락	추락/NNG
사고로	사고/NNG+로/JKB
여성장애인이	여성장애인/NNG+이/JKS
뇌사	뇌사/NNG
상태에	상태/NNG+에/JKB
빠지면서,	빠지/VV+면서/EC+,/SP
장애인	장애인/NNG
이동권의	이동/NNG+권/XSN+의/JKG
완전한	완전하/VA+ㄴ/ETM
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
투쟁은	투쟁/NNG+은/JX
재점화	재/XPN+점화/NNG
됐다	되/VV+었/EP+다/EC

실제	실제/NNG
리프트가	리프트/NNG+가/JKS
장착	장착/NNG
된	되/VV+ㄴ/ETM
마을버스가	마을버스/NNG+가/JKS
있지만	있/VA+지만/EC
이용이	이용/NNG+이/JKS
불가하거나	불가하/VA+거나/EC
저상버스가	저상버스/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
계단이	계단/NNG+이/JKS
있는	있/VA+는/ETM
일반버스만	일반버스/NNG+만/JX
운행되는	운행되/VV+는/ETM
등	등/NNB
법이	법/NNG+이/JKS
