아쉬움	아쉬움/NNG
대해	대하/VV+여/EC
사전에	사전/NNG+에/JKB
듣지	듣/VV+지/EC
못하고	못하/VX+고/EC
와서	오/VV+아서/EC
아쉽다"고	아쉽/VA+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

최고령	최/XPN+고령/NNG
참가자인	참가자/NNG+이/VCP+ㄴ/ETM
최의필(87)씨는	최의필/NNP+(/SS+87/SN+)/SS+씨/NNB+는/JX
"공공의료	"/SS+공공의료/NNG
분야에	분야/NNG+에/JKB
대해	대하/VV+여/EC
얘기하러	얘기하/VV+러/EC
왔는데	오/VV+았/EP+는데/EC
테이블을	테이블/NNG+을/JKO
무작위로	무작위/NNG+로/JKB
지정받아	지정/NNG+받/VV+아/EC
소득	소득/NNG
분야에	분야/NNG+에/JKB
앉았다"며	앉/VV+았/EP+다/EF+"/SS+며/EC
"보건은	"/SS+보건/NNG+은/JX
사전	사전/NNG
예방이	예방/NNG+이/JKS
중요하다는	중요하/VA+다는/ETM
얘기를	얘기/NNG+를/JKO
꼭	꼭/MAG
하려고	하/VV+려고/EC
왔는데	오/VX+았/EP+는데/EC
당황스럽다	당황스럽/VA+다/EC

이건	이그것/NP+ㄴ/JX
또	또/MAG
다른	다른/MM
전시행정	전시행정/NNG
아니냐"고	아니/VCN+냐/EF+"/SS+고/JKQ
항의했다	항의하/VV+였/EP+다/EC

시는	시/NNG+는/JX
사전에	사전/NNG+에/JKB
시민들의	시민/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
듣고	듣/VV+고/EC
내용을	내용/NNG+을/JKO
충분히	충분히/MAG
공지했다고	공지하/VV+였/EP+다고/EC
설명했지만	설명하/VV+었/EP+지만/EC
회의장	회의장/NNG
분위기는	분위기/NNG+는/JX
테이블마다	테이블/NNG+마다/JX
제각각이었다	제각각/NNG+이/VCP+었/EP+다/EF

진행도우미의	진행도우미/NNG+의/JKG
역량과	역량/NNG+과/JC
참가자들의	참가자/NNG+들/XSN+의/JKG
정책	정책/NNG
인지	인지/NNG
정도에	정도/NNG+에/JKB
따라	따르/VV+아/EC
활발히	활발히/MAG
토론이	토론/NNG+이/JKS
이뤄지는	이루어지/VV+는/ETM
테이블이	테이블/NNG+이/JKS
있는가	있/VA+는가/EC
하면	하/VV+면/EC
대화는	대화/NNG+는/JX
거의	거의/MAG
없이	없이/MAG
포스트잇에	포스트잇/NNG+에/JKB
짧게	짧/VA+게/EC
적어내고	적/VV+어/EC+내/VV+고/EC
중간에	중간/NNG+에/JKB
일어서는	일어서/VV+는/ETM
팀도	팀/NNG+도/JX
적지	적/VA+지/EC
않았다	않/VX+았/EP+다/EF

재정이	재정/NNG+이/JKS
반드시	반드시/MAG
수반되는	수반되/VV+는/ETM
복지정책을	복지정책/NNG+을/JKO
논하면서	논하/VV+면서/EC
예산에	예산/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이야기는	이야기/NNG+는/JX
전혀	전혀/MAG
없었다는	없/VA+었/EP+다는/ETM
지적도	지적/NNG+도/JX
나왔다	나오/VV+았/EP+다/EF

최연소	최/XPN+연소/NNG
참가자인	참가자/NNG+이/VCP+ㄴ/ETM
남우현(11)군은	남우현/NNP+(/SS+11/SN+)/SS+군/NNB+은/JX
"직접	"/SS+직접/MAG
참여하면서	참여하/VV+면서/EC
많이	많이/MAG
배우고	배우/VV+고/EC
있고	있/VX+고/EC
기회가	기회/NNG+가/JKS
오면	오/VV+면/EC
또	또/MAG
참가하고	참가하/VV+고/EC
싶다"면서도	싶/VX+다/EF+"/SS+면서/EC+도/JX
"정책을	"/SS+정책/NNG+을/JKO
집행하려면	집행하/VV+려면/EC
예산이	예산/NNG+이/JKS
필요할	필요하/VA+ㄹ/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
그에	그/NP+에/JKB
대해서는	대하/VV+여서/EC+는/JX
미리	미리/MAG
들은	듣/VV+은/ETM
게	것/NNB+이/JKS
없어	없/VA+어/EC
공부를	공부/NNG+를/JKO
못했다"고	못하/VV+였/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

회의는	회의/NNG+는/JX
3시간	3/SN+시간/NNB
가량	가량/XSN
진행됐지만	진행되/VV+었/EP+지만/EC
시간이	시간/NNG+이/JKS
부족한	부족하/VA+ㄴ/ETM
탓에	탓/NNG+에/JKB
사회자는	사회자/NNG+는/JX
토론을	토론/NNG+을/JKO
일찍	일찍/MAG
끝내고	끝내/VV+고/EC
빨리	빨리/MAG
투표를	투표/NNG+를/JKO
해달라고	하/VV+여/EC+달/VX+라고/EC
독촉했으며	독촉하/VV+였/EP+으며/EC
진행도우미들은	진행도우미/NNG+들/XSN+은/JX
원하는	원하/VV+는/ETM
정책을	정책/NNG+을/JKO
길게	길/VA+게/EC
쓰지말라고	쓰/VV+지/EC+말/VX+라고/EC
요구하기도	요구하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

lisa@yna	lisa/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
