찜통더위	찜통더위/NNG
노인이	노인/NNG+이/JKS
1330명으로	1330/SN+명/NNB+으로/JKB
노인,	노인/NNG+,/SP
어린이	어린이/NNG
등	등/NNB
같은	같/VA+은/ETM
취약계층에게서	취약계층/NNG+에게서/JKB
폭염환자가	폭염환자/NNG+가/JKS
더	더/MAG
많이	많이/MAG
발생했다	발생하/VV+였/EP+다/EC

지역별로	지역/NNG+별/XSN+로/JKB
보면	보/VV+면/EC
충청북도가	충청북도/NNP+가/JKS
1878명(14	1878/SN+명/NNB+(/SS+14/SN

6%)으로	6/SN+%/SW+)/SS+으로/JKB
가장	가장/MAG
많았다	많/VA+았/EP+다/EC

이어	이어/MAG
경기	경기/NNG
1744명(13	1744/SN+명/NNB+(/SS+13/SN

6%),	6/SN+%/SW+)/SS+,/SP
충남	충남/NNP
1,479명(11	1,479/SN+명/NNB+(/SS+11/SN

5%)	5/SN+%/SW+)/SS
순이었다	순/XSN+이/VCP+었/EP+다/EF

연도별로	연도/NNG+별/XSN+로/JKB
보면,	보/VV+면/EC+,/SP
2007년도에는	2007/SN+년도/NNB+에/JKB+는/JX
충북이	충북이/NNP
22	22/SN

6%(1,847명),	6/SN+%/SW+(/SS+1,847/SN+명/NNB+)/SS+,/SP
2009년에는	2009/SN+년/NNB+에/JKB+는/JX
경남이	경남/NNP+이/JKS
22%(2,515명),	22%/SW+(/SS+2,515/SN+명/NNB+)/SS+,/SP
2011년에는	2011/SN+년/NNB+에/JKB+는/JX
충북	충북/NNP
14	14/SN

6%(1,878명)으로	6/SN+%/SW+(/SS+1,878/SN+명/NNB+)/SS+으로/JKB
가장	가장/MAG
많은	많/VA+은/ETM
것으로	것/NNB+으로/JKB
나타나	나타나/VV+아/EC
충북지역에	충북/NNP+지역/NNG+에/JKB
폭염환자가	폭염환자/NNG+가/JKS
심각한	심각하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

이에	이/NP+에/JKB
김정록	김정록/NNP
의원은	의원/NNG+은/JX
“지구온난화	“/SL+지구온난화/NNG
등	등/NNB
이상기온	이상기온/NNG
현상으로	현상/NNG+으로/JKB
연일	연일/NNG
무더위가	무더위/NNG+가/JKS
계속되면서	계속되/VV+면서/EC
여성,	여성/NNG+,/SP
노인,	노인/NNG+,/SP
어린이	어린이/NNG
등	등/NNB
사회취약계층의	사회취약계층/NNG+의/JKG
폭염환자가	폭염환자/NNG+가/JKS
증가하고	증가하/VV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
심각한	심각하/VA+ㄴ/ETM
문제”	문제”/NNG
라며	이/VCP+라며/EC
“정부는	“/SL+정부/NNG+는/JX
폭염으로	폭염/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
피해가	피해/NNG+가/JKS
국민	국민/NNG
생활	생활/NNG
전반에	전반/NNG+에/JKB
불편을	불편/NNG+을/JKO
가중시키는	가중/NNG+시키/XSV+는/ETM
만큼	만큼/NNB
폭염피해를	폭염피해/NNG+를/JKO
최소화	최소화/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
과학적이고	과학적/NNG+이/VCP+고/EC
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
대책을	대책/NNG+을/JKO
수립해야	수립하/VV+여야/EC
하며,	하/VX+며/EC+,/SP
특히	특히/MAG
폭염에	폭염/NNG+에/JKB
취약한	취약하/VA+ㄴ/ETM
노약자,	노약자/NNG+,/SP
어린이	어린이/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
폭염예방	폭염예방/NNG
홍보	홍보/NNG
및	및/MAG
교육을	교육/NNG+을/JKO
강화하는	강화하/VV+는/ETM
등	등/NNB
맞춤별	맞춤/NNG+별/XSN
폭염예방	폭염예방/NNG
대책을	대책/NNG+을/JKO
시급히	시급히/MAG
마련해야	마련하/VV+여야/EC
한다“고	하/VX+ㄴ다“고/EC
말했다	말하/VV+였/EP+다/EC
