‘부양의무제	‘/SL+부양의무제/NNG
지원이	지원/NNG+이/JKS
끊긴	끊기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

하지만	하지만/MAJ
이씨는	이/NNP+씨/NNB+는/JX
출가한	출가하/VV+ㄴ/ETM
딸의	딸/NNG+의/JKG
형편이	형편/NNG+이/JKS
좋지	좋/VA+지/EC
않아	않/VX+아/EC
그동안	그동안/NNG
노령연금과	노령연금/NNG+과/JC
기초생활지원금	기초생활지원금/NNG
등	등/NNB
최저생계비에	최저생계비/NNG+에/JKB
해당하는	해당하/VV+는/ETM
월	월/NNG
50여만의	50/SN+여/XSN+만/NR+의/JKG
정부보조금으로	정부보조금/NNG+으로/JKB
생계를	생계/NNG+를/JKO
유지해	유지하/VV+여/EC
왔다	오/VX+았/EP+다/EF

이씨는	이/NNP+씨/NNB+는/JX
기초수급이	기초수급/NNG+이/JKS
탈락	탈락/NNG
통보	통보/NNG
이후	이후/NNG
거제시를	거제시/NNP+를/JKO
찾았지만	찾/VV+았/EP+지만/EC
‘기초생활수급	‘/SL+기초생활수급/NNG
지원	지원/NNG
대상	대상/NNG
기준을	기준/NNG+을/JKO
초과해	초과하/VV+여/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없었다’는	없/VA+었/EP+다’/EC+는/JX
답변만을	답변/NNG+만/JX+을/JKO
들었던	듣/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

반면	반면/NNG
복지부는	복지부/NNG+는/JX
수급자	수급/NNG+자/XSN
일제조사와	일제조사/NNG+와/JC
사회복지통합전산망	사회복지통합전산망/NNG
도입을	도입/NNG+을/JKO
통해	통하/VV+여/EC
약	약/MM
10만	10/SN+만/NR
명의	명/NNB+의/JKG
부정수급자를	부정수급/NNG+자/XSN+를/JKO
적발해냈다고	적발하/VV+여/EC+내/VX+었/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

이중	이/MM+중/NNB
‘실제	‘/SN+실/NNB+제/XSN
부양하지	부양하/VV+지/EC
않는	않/VX+는/ETM
부양의무자’로	부양의무자/NNG+’/SL+로/JKB
인해	인하/VV+여/EC
수급권이	수급권/NNG+이/JKS
탈락하는	탈락하/VV+는/ETM
사례도	사례/NNG+도/JX
있었다	있/VA+었/EP+다/EF

현재	현재/MAG
실제	실제/NNG
부양여부	부양여부/NNG
조사	조사/NNG
없이	없이/MAG
사회복지통합전산망에	사회복지통합전산망/NNG+에/JKB
집계된	집계되/VV+ㄴ/ETM
소득만을	소득/NNG+만/JX+을/JKO
근거로	근거/NNG+로/JKB
탈락	탈락/NNG
또는	또는/MAG
수급비가	수급비/NNG+가/JKS
삭감되고	삭감되/VV+고/EC
있다는	있/VX+다는/ETM
지적도	지적/NNG+도/JX
나오고	나오/VV+고/EC
있다	있/VX+다/EC

보건복지	보건복지/NNG
면담	면담/NNG
기자회견에	기자회견/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
한	한/MM
장애인단체	장애인단체/NNG
활동가	활동가/NNG
모습	모습/NNG

이에	이/NP+에/JKB
공동행동은	공동행동/NNG+은/JX
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
복지부	복지부/NNG
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
열고	열/VV+고/EC
이씨의	이/NNP+씨/NNB+의/JKG
죽음에	죽음/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
복지부의	복지부/NNG+의/JKG
공식	공식/NNG
사과와	사과/NNG+와/JC
대책	대책/NNG
마련,	마련/NNG+,/SP
면담을	면담/NNG+을/JKO
촉구한바	촉구하/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

공동행동의	공동행동/NNG+의/JKG
면담요청서에는	면담요청서/NNG+에/JKB+는/JX
현재	현재/MAG
수급자들의	수급자/NNG+들/XSN+의/JKG
탈락	탈락/NNG
및	및/MAG
삭감현황과	삭감현황/NNG+과/JC
구제현황,	구제현황/NNG+,/SP
복지부의	복지부/NNG+의/JKG
부양의무자	부양의무자/NNG
기준에	기준/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공식입장	공식입장/NNG
등을	등/NNB+을/JKO
질의하는	질의하/VV+는/ETM
내용을	내용/NNG+을/JKO
담았었다	담/VV+았었/EP+다/EF

공동행동은	공동행동/NNG+은/JX
“많은	“/SL+많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
복지의	복지/NNG+의/JKG
책임을	책임/NNG+을/JKO
개인에게	개인/NNG+에게/JKB
떠넘긴	떠넘기/VV+ㄴ/ETM
이	이/MM
나라	나라/NNG
정부에	정부/NNG+에/JKB
의해	의하/VV+여/EC
살해됐으며	살해되/VV+었/EP+으며/EC
수많은	수많/VA+은/ETM
빈곤층이	빈곤/NNG+층/XSN+이/JKS
부양의무자	부양의무자/NNG
기준으로	기준/NNG+으로/JKB
인해	인하/VV+여/EC
신음하고	신음하/VV+고/EC
있다”고	있/VX+다/EC+”/SN+고/EC
토로했다	토로하/VV+였/EP+다/EF

이어	이어/MAG
공동행동은	공동행동/NNG+은/JX
“복지부는	“/SN+복지부/NNG+는/JX
더	더/MAG
이상	이상/NNG
가난한	가난하/VA+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
목소리를	목소리/NNG+를/JKO
외면해서는	외면하/VV+여서/EC+는/JX
안된다”며	안되/VV+ㄴ다/EC+”/VV+며/EC
“공식적인	“/SL+공식적/NNG+이/VCP+ㄴ/ETM
사과와	사과/NNG+와/JC
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지의	폐지/NNG+의/JKG
약속을	약속/NNG+을/JKO
기대한다”고	기대하/VV+ㄴ다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

이날	이날/NNG
동자동사랑방	동자동사랑방/NNG
조승화	조승화/NNP
사무국장은	사무국/NNG+장/XSN+은/JX
“기초수급	“/SN+기초수급/NNG
탈락자들이	탈락자/NNG+들/XSN+이/JKS
자살하는	자살하/VV+는/ETM
사례가	사례/NNG+가/JKS
빈번하게	빈번하/VA+게/EC
발생하고	발생하/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“제도	“/SL+제도/NNG
개선이	개선/NNG+이/JKS
시급하다”고	시급하/VA+다/EC+”/SN+고/EC
촉구했다	촉구하/VV+였/EP+다/EC

한편	한편/MAG
공동행동은	공동행동/NNG+은/JX
기자회견을	기자회견/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
복지부와	복지부/NNG+와/JC
면담에	면담/NNG+에/JKB
나섰다	나서/VV+었/EP+다/EF

면담에는	면담/NNG+에/JKB+는/JX
홈리스	홈리스/NNG
행동,	행동/NNG+,/SP
동자동	동자동/NNP
사랑방,	사랑방/NNG+,/SP
빈곤문제연구소,	빈곤문제연구소/NNG+,/SP
빈곤사회연대	빈곤사회연대/NNG
실무자들이	실무자/NNG+들/XSN+이/JKS
참여했다	참여하/VV+였/EP+다/EF
