안철수,	안철수/NNP+,/SP
사회가	사회/NNG+가/JKS
해야	하/VV+여야/EC
할	하/VX+ㄹ/ETM
일은	일/NNG+은/JX
전시행정이나	전시행정/NNG+이나/JC
동정보다	동정/NNG+보다/JKB
그들이(장애인이)	그/NP+들/XSN+이/JKS+(/SS+장애인/NNG+이/JKS+)/SS
사회의	사회/NNG+의/JKG
당당한	당당하/VA+ㄴ/ETM
일원으로	일원/NNG+으로/JKB
거듭날	거듭나/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원하고,	지원하/VV+고/EC+,/SP
고용의무준수를	고용의무준수/NNG+를/JKO
통해	통하/VV+여/EC
시각장애인	시각장애인/NNG
고용이	고용/NNG+이/JKS
실제로	실제로/MAG
이뤄지도록	이루어지/VV+도록/EC
해야	하/VX+여야/EC
한다”며	하/VX+ㄴ다”며/EC
“공공시설과	“/SL+공공시설/NNG+과/JC
문화혜택을	문화혜택/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
각종	각종/NNG
서비스에	서비스/NNG+에/JKB
있어서도	있/VA+어서/EC+도/JX
장애인도	장애인/NNG+도/JX
비장애인과	비장애인/NNG+과/JKB
동등하게	동등하/VA+게/EC
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
설계되어야	설계되/VV+어야/EC
한다”고	하/VX+ㄴ다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

안	안/NNP
후보는	후보/NNG+는/JX
“6개의	“6/SN+개/NNB+의/JKG
점으로	점/NNG+으로/JKB
시각장애인들에게	시각장애인/NNG+들/XSN+에게/JKB
새로운	새롭/VA+ㄴ/ETM
글자의	글자/NNG+의/JKG
세계를	세계/NNG+를/JKO
선물한	선물하/VV+ㄴ/ETM
루이	루이/NNP
브라유,	브라유/NNP+,/SP
한글	한글/NNG
점자를	점자/NNG+를/JKO
만들어	만들/VV+어/EC
제2의	제/XPN+2/SN+의/JKG
세종대왕으로	세종/NNP+대왕/NNG+으로/JKB
불리는	불리/VV+는/ETM
송암	송암/NNP
박두성	박두성/NNP
선생의	선생/NNG+의/JKG
마음을	마음/NNG+을/JKO
헤아려	헤아리/VV+어/EC
본다”면서	보/VX+ㄴ다”면서/EC
“장애는	“/SL+장애/NNG+는/JX
결코	결코/MAG
그들의	그/NP+들/XSN+의/JKG
문제가	문제/NNG+가/JKC
아니라	아니/VCN+라/EC
우리	우리/NP
모두의	모두/NNG+의/JKG
문제다	문제/NNG+이/VCP+다/EF

장애인과	장애인/NNG+과/JC
비장애인과	비장애인/NNG+과/JKB
함께	함께/MAG
어울려	어울리/VV+어/EC
사는	살/VV+는/ETM
사회를	사회/NNG+를/JKO
위해	위하/VV+여/EC
최선을	최선/NNG+을/JKO
다하겠다”고	다하/VV+겠/EP+다/EC+”/VV+고/EC
전했다	전하/VV+었/EP+다/EC

한편	한편/MAG
매년	매년/MAG
10월	10/SN+월/NNB
15일은	15/SN+일/NNB+은/JX
'흰	'/SS+희/VA+ㄴ/ETM
지팡이의	지팡이/NNG+의/JKG
날'로,	날/NNG+'/SS+로/JKB+,/SP
시각장애와	시각장애/NNG+와/JKB
관련된	관련되/VV+ㄴ/ETM
다채로운	다채롭/VA+ㄴ/ETM
행사가	행사/NNG+가/JKS
진행되고	진행되/VV+고/EC
있다	있/VX+다/EC
