朴	朴/SL
잡곡밥	잡곡밥/NNG
도시락	도시락/NNG
이야기,	이야기/NNG+,/SP
명동에	명동/NNP+에/JKB
입고	입/VV+고/EC
나온	나오/VV+ㄴ/ETM
여대생	여대생/NNG
박근혜의	박근혜/NNP+의/JKG
옷,	옷/NNG+,/SP
평상시	평상시/NNG
자신이	자신/NNG+이/JKS
봐온	보/VV+아/EC+오/VX+ㄴ/ETM
'친구	'/SS+친구/NNG
박근혜'의	박근혜/NNP+'/SS+의/JKG
품성	품성/NNG
등을	등/NNB+을/JKO
이야기할	이야기하/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
이	이/MM
단장이	단장/NNG+이/JKS
전했다	전하/VV+었/EP+다/EC

이	이/NNP
단장은	단장/NNG+은/JX
"자신이	"/SS+자신/NNG+이/JKS
지켜본	지켜보/VV+ㄴ/ETM
친구	친구/NNG
박근혜의	박근혜/NNP+의/JKG
평상시	평상시/NNG
모습을	모습/NNG+을/JKO
친구로서	친구/NNG+로서/JKB
이야기하면서	이야기하/VV+면서/EC
대통령	대통령/NNG
후보로	후보/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
장한	장하/VA+ㄴ/ETM
친구인	친구/NNG+이/VCP+ㄴ/ETM
동시에	동시/NNG+에/JKB
어려운	어렵/VA+ㄴ/ETM
길을	길/NNG+을/JKO
택해서	택하/VV+여서/EC
걱정도	걱정/NNG+도/JX
많다는	많/VA+다는/ETM
것을	것/NNB+을/JKO
전할	전하/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"박	"/SS+박/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
바람과	바람/NNG+과/JC
마지막으로	마지막/NNG+으로/JKB
박	박/NNP
후보에게	후보/NNG+에게/JKB
소중한	소중하/VA+ㄴ/ETM
표를	표/NNG+를/JKO
호소할	호소하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
설명했다	설명하/VV+었/EP+다/EC

3일	3/SN+일/NNB
TV	TV/SL
찬조연설은	찬조연설/NNG+은/JX
농아인협회	농아/NNG+인/XSN+협회/NNG
회장이	회장/NNG+이/JKS
맡을	맡/VV+을/ETM
예정이다	예정/NNG+이/VCP+다/EC

이	이/NNP
단장은	단장/NNG+은/JX
"농아인협회장이	"/SS+농아/NNP+인/XSN+협회/NNG+장/XSN+이/JKS
수화로	수화/NNG+로/JKB
연설하고	연설하/VV+고/EC
(화면	(/SS+화면/NNG
아래)	아래/NNG+)/SS
조그마한	조그마하/VA+ㄴ/ETM
원	원/NNG
안에	안/NNG+에/JKB
농아인	농아/NNG+인/XSN
협회에서	협회/NNG+에서/JKB
같이	같이/MAG
봉사하는	봉사하/VV+는/ETM
분이	분/NNB+이/JKS
내레이션을	내레이션/NNG+을/JKO
할	하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
설명했다	설명하/VV+었/EP+다/EC

새누리당은	새누리당/NNP+은/JX
추후	추후/NNG
TV	TV/SL
등	등/NNB
방송	방송/NNG
찬조연설도	찬조연설/NNG+도/JX
"일상에서	"/SS+일상/NNG+에서/JKB
접할	접하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사람들	사람/NNG+들/XSN
위주로	위주/NNG+로/JKB
할	하/VV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
설명했다	설명하/VV+었/EP+다/EC

yjkim84@yna	yjkim/SL+84/SN+@/SW+yna/SL

co	co/SL

krrunran@yna	krrunran/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
