민주당,	민주당/NNP+,/SP
정책협약식을	정책협약/NNG+식/XSN+을/JKO
갖고	갖/VV+고/EC
12대	12/SN+대/NNB
요구	요구/NNG
공약을	공약/NNG+을/JKO
모두	모두/MAG
수용했다	수용하/VV+였/EP+다/EC

하지만	하지만/MAJ
민주당	민주당/NNP
매니페스토	매니페스토/NNP
본부는	본부/NNG+는/JX
장애인권리보장법	장애인권리보장법/NNG
제정·장애등급제	제정/NNG+·/SP+장애등급/NNG+제/XSN
폐지는	폐지/NNG+는/JX
장애인복지법	장애인복지법/NNG
전면개정을	전면개정/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
‘장애인복지	‘/SL+장애인복지/NNG
및	및/MAG
권리보장에	권리보장/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’	법률/NNG+’/SN
마련으로,	마련/NNG+으로/JKB+,/SP
국민기초생활보장법의	국민기초생활보장법/NNG+의/JKG
부양의무자	부양의무자/NNG
기준	기준/NNG
‘폐지’는	‘/SL+폐지’/NNG+는/JX
‘완화’로	‘/SL+완화’/NNG+로/JKB
수용했다	수용하/VV+였/EP+다/EF

현재	현재/MAG
대선연대의	대선연대/NNG+의/JKG
12대	12/SN+대/NNB
요구	요구/NNG
공약에는	공약/NNG+에/JKB+는/JX
장애인권리보장법제정·장애등급제	장애인권리보장법제정/NNG+·/SP+장애등급/NNG+제/XSN
폐지,	폐지/NNG+,/SP
장애인활동지원	장애인활동지원/NNG
24시간	24/SN+시간/NNB
보장,	보장/NNG+,/SP
발달장애인법	발달장애인법/NNG
제정,	제정/NNG+,/SP
한국수화언어기본법	한국/NNP+수화언어기본법/NNG
제정	제정/NNG
등	등/NNB
농교육	농교육/NNG
환경개선,	환경개선/NNG+,/SP
국민기초생활보장법의	국민기초생활보장법/NNG+의/JKG
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지	폐지/NNG
등이	등/NNB+이/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EC

이날	이날/NNG
대선연대	대선연대/NNG
변승일	변승일/NNG
공동대표는	공동대표/NNG+는/JX
“빈	“/SL+비/VV+ㄴ/ETM
공약이	공약/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
실천공약이	실천공약/NNG+이/JKC
되도록	되/VV+도록/EC
노력해	노력하/VV+여/EC
달라”고	달라”/VV+고/EC
민주당	민주당/NNP
측에	측/NNB+에/JKB
당부했다	당부하/VV+였/EP+다/EC

박경석	박경석/NNP
공동대표는	공동대표/NNG+는/JX
“공약	“/SL+공약/NNG
실현으로	실현/NNG+으로/JKB
장애인이	장애인/NNG+이/JKS
치료·동정의	치료/NNG+·/SP+동정/NNG+의/JKG
대상이	대상/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
권리주체로서	권리주체/NNG+로서/JKB
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
세상으로	세상/NNG+으로/JKB
바뀌어	바뀌/VV+어/EC
가길	가/VV+기/ETN+ㄹ/JKO
바란다”고	바란다”/VV+고/EC
희망했다	희망하/VV+였/EP+다/EC

한편	한편/MAG
오는	오/VV+는/ETM
24일에는	24/SN+일/NNB+에/JKB+는/JX
세	세/MM
번째로	번째/NNB+로/JKB
통합진보당	통합진보당/NNP
이정희	이정희/NNP
대선	대선/NNG
예비후보가	예비후보/NNG+가/JKS
국회	국회/NNG
정론관에서	정론관/NNG+에서/JKB
대선연대의	대선연대/NNG+의/JKG
‘12대	‘/SL+12/SN+대/NNG
요구	요구/NNG
공약	공약/NNG
전면	전면/NNG
수용’을	수용/NNG+’/SL+을/JKO
약속하는	약속하/VV+는/ETM
정책협약식을	정책협약/NNG+식/XSN+을/JKO
갖는다	갖/VV+는다/EF
