최동익,	최동익/NNP+,/SP
설명했다	설명하/VV+었/EP+다/EC

최	최/NNP
장관은	장관/NNG+은/JX
윤	윤/NNP
회장과	회장/NNG+과/JKB
관련된	관련되/VV+ㄴ/ETM
지적에	지적/NNG+에/JKB
대해	대하/VV+여/EC
“기소되어	“/SL+기소되/VV+어/EC
재판	재판/NNG
중으로	중/NNB+으로/JKB
아직	아직/MAG
판결	판결/NNG
안	안/MAG
나왔고,	나오/VV+았/EP+고/EC+,/SP
규정이	규정/NNG+이/JKS
기소된	기소되/VV+ㄴ/ETM
상태에서는	상태/NNG+에서/JKB+는/JX
회장을	회장/NNG+을/JKO
그만두게	그만두/VV+게/EC
할	하/VX+ㄹ/ETM
수가	수/NNB+가/JKS
없다"면서	없/VA+다/EF+"/SS+면서/EC
"판결이	"/SS+판결/NNG+이/JKS
나오면	나오/VV+면/EC
그만두게는	그만두/VV+게/EC+는/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다”고/EC
답변했다	답변하/VV+였/EP+다/EF

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
최	최/NNP
의원은	의원/NNG+은/JX
'2014인천아시아장애인경기대회',	'/SS+2014/SN+인천아시아/NNP+장애인경기대회/NNG+'/SS+,/SP
'2018평창동계장애인올림픽'의	'/SS+2018/SN+평창동/NNP+계장애인올림픽/NNG+'/SS+의/JKG
대회	대회/NNG
운영	운영/NNG
계획	계획/NNG
등을	등/NNB+을/JKO
빠른	빠르/VA+ㄴ/ETM
시일	시일/NNG
내	내/NNB
수립	수립/NNG
해	하/VV+여/EC
보고해줄	보고하/VV+여/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다	요구하/VV+었/EP+다/EC
