안철수,	안철수/NNP+,/SP
■장애등급제	■/SW+장애등급/NNG+제/XSN
폐지	폐지/NNG
및	및/MAG
활동보조서비스	활동보조서비스/NNG
확대…장애인	확대/NNG+…/SE+장애인/NNG
중심의	중심/NNG+의/JKG
개별화된	개별/NNG+화/XSN+되/XSV+ㄴ/ETM
서비스	서비스/NNG
전달체계	전달체계/NNG
구축=먼저	구축/NNG+=/SW+먼저/JX
의학적	의학적/NNG
기준에	기준/NNG+에/JKB
따라	따르/VV+아/EC
획일적이고	획일적/NNG+이/VCP+고/EC
일률적으로	일률적/NNG+으로/JKB
부여되는	부여되/VV+는/ETM
장애등급제를	장애등급/NNG+제/XSN+를/JKO
폐지하고	폐지하/VV+고/EC
장애등급제는	장애등급/NNG+제/XSN+는/JX
존치시켜,	존치/NNG+시키/XSV+어/EC+,/SP
장애인	장애인/NNG
현황을	현황/NNG+을/JKO
파악하고	파악하/VV+고/EC
관리하는	관리하/VV+는/ETM
기초	기초/NNG
자료로만	자료/NNG+로/JKB+만/JX
활용한다	활용하/VV+ㄴ다/EC

또한	또한/MAG
전략에는	전략/NNG+에/JKB+는/JX
개인의	개인/NNG+의/JKG
욕구와	욕구/NNG+와/JC
환경에	환경/NNG+에/JKB
기초한	기초하/VV+ㄴ/ETM
서비스별	서비스/NNG+별/XSN
장애	장애/NNG
사정	사정/NNG
기준을	기준/NNG+을/JKO
마련하고,	마련하/VV+고/EC+,/SP
사회복지서비스	사회복지서비스/NNG
신청권을	신청/NNG+권/XSN+을/JKO
간소화·활성화	간소화/NNG+·/SP+활성화/NNG
한다	하/VV+ㄴ다/EF

활동보조서비스	활동보조서비스/NNG
대상을	대상/NNG+을/JKO
확대하고	확대하/VV+고/EC
서비스	서비스/NNG
제공	제공/NNG
상한선도	상한선/NNG+도/JX
폐지한다	폐지하/VV+ㄴ다/EC

신청자격에서	신청자격/NNG+에서/JKB
장애등급	장애등급/NNG
제한을	제한/NNG+을/JKO
페지하고	페지하/VV+고/EC
활동지원	활동지원/NNG
급여에	급여/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
별도의	별도/NNG+의/JKG
선정기준을	선정기준/NNG+을/JKO
마련해	마련하/VV+여/EC
등급제	등급/NNG+제/XSN
폐지	폐지/NNG
후	후/NNG
개인별	개인별/NNG
욕구사정과	욕구사정/NNG+과/JKB
연동하겠다는	연동하/VV+겠/EP+다는/ETM
것	것/NNB

현재	현재/MAG
5만	5/SN+만/NR
5천명을	5/SN+천/NR+명/NNB+을/JKO
약간	약간/MAG
넘는	넘/VV+는/ETM
정도만이	정도/NNG+만/JX+이/JKS
서비스	서비스/NNG
혜택을	혜택/NNG+을/JKO
받고	받/VV+고/EC
있어	있/VX+어/EC
2017년까지	2017/SN+년/NNB+까지/JX
단계적으로	단계적/NNG+으로/JKB
예산을	예산/NNG+을/JKO
늘려	늘리/VV+어/EC
제공	제공/NNG
대상을	대상/NNG+을/JKO
확대한다	확대하/VV+ㄴ다/EF

‘장애인활동	‘/SL+장애인활동/NNG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’과	법률/NNG+’/SL+과/JC
시행규칙	시행규칙/NNG
개정을	개정/NNG+을/JKO
통해	통하/VV+여/EC
활동보조서비스	활동보조서비스/NNG
제공의	제공/NNG+의/JKG
상한선을	상한선/NNG+을/JKO
폐지하고	폐지하/VV+고/EC
서비스	서비스/NNG
제공	제공/NNG
필요도에	필요도/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
서비스	서비스/NNG
제공	제공/NNG
기준을	기준/NNG+을/JKO
마련한다	마련하/VV+ㄴ다/EF

더불어	더불/VV+어/EC
65세	65/SN+세/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
장애인의	장애인/NNG+의/JKG
경우	경우/NNG
노인장기요양보험과	노인장기요양보험/NNG+과/JC
장애인활동지원	장애인활동지원/NNG
중	중/NNB
선택	선택/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
‘서비스	‘/SN+서비스/NNG
선택권’을	선택권/NNG+’/SL+을/JKO
부여한다	부여하/VV+ㄴ다/EC

■장애인	■/SW+장애인/NNG
차별없이	차별/NNG+없이/MAG
사회참여	사회참여/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기반	기반/NNG
구축=1차적으로	구축/NNG+=/SW+1/SN+차/NNB+적/XSN+으로/JKB
소화기	소화기/NNG
장애,	장애/NNG+,/SP
중증	중증/NNG
피부질환,	피부질환/NNG+,/SP
기질성	기질/NNG+성/XSN
뇌증후군을	뇌증후군/NNG+을/JKO
법정	법정/NNG
장애	장애/NNG
범주에	범주/NNG+에/JKB
포함시키고	포함/NNG+시키/XSV+고/EC
비뇨기계,	비뇨기/NNG+계/XSN+,/SP
혈관,	혈관/NNG+,/SP
학습장애	학습장애/NNG
등에	등/NNB+에/JKB
대해서도	대하/VV+여서/EC+도/JX
범주	범주/NNG
확대를	확대/NNG+를/JKO
검토한다	검토하/VV+ㄴ다/EC

영구	영구/NNG
장애	장애/NNG
뿐	뿐/JX
만	말/VX+ㄴ/EF
아니라	아니/VCN+라/EC
일시	일시/NNG
장애(2년	장애/NNG+(/SS+2/SN+년/NNB
미만의	미만/NNG+의/JKG
장애)도	장애/NNG+)/SS+도/JX
장애	장애/NNG
범주에	범주/NNG+에/JKB
포함시켜	포함/NNG+시키/XSV+어/EC
필요한	필요하/VA+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
제공	제공/NNG
받게끔	받/VV+게끔/EC
하고,	하/VV+고/EC+,/SP
지역사회	지역사회/NNG
내	내/NNB
독립적인	독립적/NNG+이/VCP+ㄴ/ETM
거주를	거주/NNG+를/JKO
희망하는	희망하/VV+는/ETM
장애인에	장애인/NNG+에/JKB
대해서	대하/VV+여서/EC
자립홈이나	자립홈/NNG+이나/JC
하프웨이	하프웨이/NNG
하우스(halfway	하우스/NNG+(/SS+halfway/SL
house)	house/SL+)/SS
등의	등/NNB+의/JKG
대안적	대안/NNG+적/XSN
거주	거주/NNG
공간을	공간/NNG+을/JKO
마련한다	마련하/VV+ㄴ다/EF

장애인자립생활센터의	장애인자립생활센터/NNG+의/JKG
역할을	역할/NNG+을/JKO
재정립해	재정립하/VV+여/EC
해당	해당/NNG
장애인이	장애인/NNG+이/JKS
지역사회	지역사회/NNG
생활에	생활/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
자원을	자원/NNG+을/JKO
개발하고	개발하/VV+고/EC
연계함으로써	연계하/VV+ㅁ/ETN+으로써/JKB
초기	초기/NNG
정착을	정착/NNG+을/JKO
돕는	돕/VV+는/ETM
역할을	역할/NNG+을/JKO
강화할	강화하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

■장애인의	■/SW+장애인/NNG+의/JKG
인간다운	인간/NNG+답/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
소득과	소득/NNG+과/JC
근로권	근로권/NNG
보장=장애인연금의	보장/NNG+=/SW+장애인연금/NNG+의/JKG
기초급여액을	기초급여액/NNG+을/JKO
현실화하고,	현실화하/VV+고/EC+,/SP
장애인연금의	장애인연금/NNG+의/JKG
부가급여액	부가급여액/NNG
및	및/MAG
장애수당	장애수당/NNG
급여수준의	급여수준/NNG+의/JKG
현실화	현실화/NNG
한다	하/VV+ㄴ다/EF

특히	특히/MAG
공공부조에서의	공공부조/NNG+에서/JKB+의/JKG
부양의무자	부양의무자/NNG
기준의	기준/NNG+의/JKG
대폭적	대폭적/NNG
완화를	완화/NNG+를/JKO
통해	통하/VV+여/EC
실질적으로	실질적/NNG+으로/JKB
폐지해,	폐지하/VV+여/EC+,/SP
장애빈곤을	장애빈곤/NNG+을/JKO
해소한다	해소하/VV+ㄴ다/EF

장애인	장애인/NNG
근로자에게	근로자/NNG+에게/JKB
근로기준법	근로기준법/NNG+,/SP
상의	상의/NNG
근로3권과	근로/NNG+3/SN+권/NNB+과/JC
유급휴가,	유급휴가/NNG+,/SP
퇴직금	퇴직금/NNG
등	등/NNB
근로자라면	근로자/NNG+이/VCP+라면/EC
누구나	누구/NP+나/JX
누리는	누리/VV+는/ETM
권리에서	권리/NNG+에서/JKB
배제되지	배제되/VV+지/EC
않도록	않/VX+도록/EC
노동관계법을	노동관계법/NNG+을/JKO
개정한다	개정하/VV+ㄴ다/EF

공공영역에서의	공공영역/NNG+에서/JKB+의/JKG
장애인	장애인/NNG
일자리와	일자리/NNG+와/JC
중증장애인이	중증장애인/NNG+이/JKS
일	일/VV
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원고용(중증장애인	지원고용/NNG+(/SS+중/XPN+증장애인/NNG
근로지원인)을	근로지원인/NNG+)/SS+을/JKO
확대한다	확대하/VV+ㄴ다/EF

분질적인	분질적/NNG+이/VCP+ㄴ/ETM
고용	고용/NNG
및	및/MAG
직업재활시스템을	직업재활시스템/NNG+을/JKO
개선하고	개선하/VV+고/EC
최저임금	최저임금/NNG
적용제외	적용제외/NNG
규정을	규정/NNG+을/JKO
삭제한다	삭제하/VV+ㄴ다/EF

‘최저임금법’	‘/SL+최저임금법/NNG+’/SN
제7조	제/XPN+7/SN+조/NNB
최저임금	최저임금/NNG
적용제외	적용제외/NNG
조항에서	조항/NNG+에서/JKB
‘정신장애나	‘/SL+정신장애/NNG+나/JC
신체장애로	신체장애/NNG+로/JKB
근로능력이	근로능력/NNG+이/JKS
현저히	현저히/MAG
낮은	낮/VA+은/ETM
자’를	자’/NNG+를/JKO
삭제한다는	삭제하/VV+ㄴ다는/ETM
것	것/NNB

또한	또한/MAG
OECD	OECD/SL
국가들처럼	국가/NNG+들/XSN+처럼/JKB
정부가	정부/NNG+가/JKS
중증장애인	중증장애인/NNG
근로자의	근로자/NNG+의/JKG
임금을	임금/NNG+을/JKO
보조하는	보조하/VV+는/ETM
보조금	보조금/NNG
고용	고용/NNG
제도(중증장애인	제도/NNG+(/SS+중/XPN+증장애인/NNG
고용	고용/NNG
시	시/NNG
임금	임금/NNG
보조)를	보조/NNG+)/SS+를/JKO
도입해	도입하/VV+여/EC
최저임금	최저임금/NNG
이상의	이상/NNG+의/JKG
임금을	임금/NNG+을/JKO
보장한다	보장하/VV+ㄴ다/EC

■삶의	■/SW+삶/NNG+의/JKG
질	질/NNG
향상을	향상/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
기본적	기본적/NNG
인권	인권/NNG
보장=현재	보장/NNG+=/SW+현재/MAG
특수교육	특수교육/NNG
현장으로	현장/NNG+으로/JKB
손	손/NNG
꼽히는	꼽히/VV+는/ETM
과밀학급	과밀학급/NNG
해소	해소/NNG
및	및/MAG
교원	교원/NNG
확보	확보/NNG
할	하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

학급	학급/NNG
수	수/NNG
및	및/MAG
이에	이/NP+에/JKB
따른	따르/VV+ㄴ/ETM
담당	담당/NNG
교원	교원/NNG
수를	수/NNG+를/JKO
증원해	증원하/VV+여/EC
교육의	교육/NNG+의/JKG
질을	질/NNG+을/JKO
제고한다	제고하/VV+ㄴ다/EF

또한	또한/MAG
장애인의	장애인/NNG+의/JKG
의료기관	의료기관/NNG
이용을	이용/NNG+을/JKO
위해	위하/VV+여/EC
장애인	장애인/NNG
진료	진료/NNG
활성화	활성화/NNG
및	및/MAG
공공성을	공공성/NNG+을/JKO
강화한다	강화하/VV+ㄴ다/EF

이를	이/NP+를/JKO
위해	위하/VV+여/EC
장애인	장애인/NNG
진료의	진료/NNG+의/JKG
난이도	난이도/NNG
및	및/MAG
위험	위험/NNG
부담	부담/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
가중치를	가중치/NNG+를/JKO
두어	두/VV+어/EC
수가를	수가/NNG+를/JKO
일정	일정/NNG
수준	수준/NNG
상향하는	상향하/VV+는/ETM
등	등/NNB
진료	진료/NNG
수가를	수가/NNG+를/JKO
차등화	차등화/NNG
하고,	하/VV+고/EC+,/SP
공공재활의료기관을	공공재활의료기관/NNG+을/JKO
포함한	포함하/VV+ㄴ/ETM
권역별	권역/NNG+별/XSN
재활병원을	재활병원/NNG+을/JKO
지속적으로	지속적/NNG+으로/JKB
확대	확대/NNG
및	및/MAG
평가,	평가/NNG+,/SP
인증,	인증/NNG+,/SP
지원	지원/NNG
체계	체계/NNG
등을	등/NNB+을/JKO
마련한다	마련하/VV+ㄴ다/EF

정보접근권과	정보접근권/NNG+과/JC
시설접근권을	시설접근/NNG+권/XSN+을/JKO
보장할	보장하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

시각장애인의	시각장애인/NNG+의/JKG
출판물	출판물/NNG
접근권	접근권/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
저작권법	저작권법/NNG
개정을	개정/NNG+을/JKO
추진한다	추진하/VV+ㄴ다/EF

저상버스	저상버스/NNG
확대	확대/NNG
및	및/MAG
대중교통시설의	대중교통시설/NNG+의/JKG
전자문자	전자문자/NNG
안내판	안내판/NNG
및	및/MAG
음성	음성/NNG
알림	알리/VV+ㅁ/ETN
장치	장치/NNG
등	등/NNB
정당한	정당하/VA+ㄴ/ETM
편의제공을	편의제공/NNG+을/JKO
강화한다	강화하/VV+ㄴ다/EF

■장애인의	■/SW+장애인/NNG+의/JKG
중복	중복/NNG
차별	차별/NNG
해소와	해소/NNG+와/JC
권리	권리/NNG
보장=발달장애인	보장/NNG+=/SW+발달장애인/NNG
인권침해	인권침해/NNG
예방	예방/NNG
및	및/MAG
권리	권리/NNG
보호	보호/NNG
체계	체계/NNG
및	및/MAG
지원체계를	지원체계/NNG+를/JKO
마련한다	마련하/VV+ㄴ다/EF

발달장애인에	발달장애인/NNG+에/JKB
친화적인	친화/NNG+적/XSN+이/VCP+ㄴ/ETM
공공기관의	공공기관/NNG+의/JKG
정보를	정보/NNG+를/JKO
제공하고	제공하/VV+고/EC
의사소통	의사소통/NNG
지원,	지원/NNG+,/SP
발달장애인	발달장애인/NNG
형사사건	형사사건/NNG
전담조사제	전담조사제/NNG
도입	도입/NNG
및	및/MAG
법률구조	법률구조/NNG
체계를	체계/NNG+를/JKO
만든다	만들/VV+ㄴ다/EF

발달장애인	발달장애인/NNG
맞춤형	맞춤/NNG+형/XSN
장애인활동지원제도를	장애인활동지원제도/NNG+를/JKO
구축한다	구축하/VV+ㄴ다/EF

정신장애인에	정신장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
차별과	차별/NNG+과/JC
편견	편견/NNG
해소	해소/NNG
및	및/MAG
정신보건센터	정신보건센터/NNG
기능을	기능/NNG+을/JKO
강화할	강화하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

국민기초생활보장법	국민기초생활보장법/NNG
상	상/NNG
소득공제,	소득공제/NNG+,/SP
중증장애인생산품우선구매특별법에서의	중증장애인생산품우선구매특별법/NNG+에서/JKB+의/JKG
정신장애인	정신장애인/NNG
차별을	차별/NNG+을/JKO
해소하고,	해소하/VV+고/EC+,/SP
사회복귀시설과	사회복귀시설/NNG+과/JC
정신보건센터의	정신보건센터/NNG+의/JKG
역할을	역할/NNG+을/JKO
명확히	명확히/MAG
규정한다	규정하/VV+ㄴ다/EC

각	각/MM
시·군·구에	시/NNG+·/SP+군/NNG+·/SP+구/NNG+에/JKB
최소	최소/NNG
1개	1/SN+개/NNB
이상의	이상/NNG+의/JKG
정신보건센터	정신보건센터/NNG
설치를	설치/NNG+를/JKO
의무화한다	의무화하/VV+ㄴ다/EF

여성장애인의	여성장애인/NNG+의/JKG
임신과	임신/NNG+과/JC
출산,	출산/NNG+,/SP
육아	육아/NNG
권리보장	권리보장/NNG
및	및/MAG
가정폭력·성폭력	가정폭력/NNG+·/SP+성폭력/NNG
방지	방지/NNG
및	및/MAG
피해자	피해자/NNG
보호한다	보호하/VV+ㄴ다/EF

여성장애인을	여성장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
임신·출산·육아정보	임신/NNG+·/SP+출산/NNG+·/SP+육아정보/NNG
개발	개발/NNG
및	및/MAG
관련	관련/NNG
사이트를	사이트/NNG+를/JKO
구축하고,	구축하/VV+고/EC+,/SP
부모교육	부모교육/NNG
및	및/MAG
상담서비스를	상담서비스/NNG+를/JKO
제공한다	제공하/VV+ㄴ다/EF

여성장애인에게	여성장애인/NNG+에게/JKB
특성화된	특성/NNG+화/XSN+되/XSV+ㄴ/ETM
병원	병원/NNG
육성	육성/NNG
및	및/MAG
거점	거점/NNG
병원을	병원/NNG+을/JKO
지정하고,	지정하/VV+고/EC+,/SP
가정폭력·성폭력	가정폭력/NNG+·/SP+성폭력/NNG
피해자	피해자/NNG
상담	상담/NNG
·보호시설	·/SP+보호시설/NNG
확충	확충/NNG
및	및/MAG
사회적	사회적/NNG
지원	지원/NNG
체계를	체계/NNG+를/JKO
구축한다	구축하/VV+ㄴ다/EF

더불어	더불/VV+어/EC
장애	장애/NNG
영·유아	영/NNG+·/SP+유아/NNG
교육·보육지원	교육/NNG+·/SP+보육지원/NNG
강화를	강화/NNG+를/JKO
위해	위하/VV+여/EC
유치원	유치원/NNG
과정	과정/NNG
특수교육대상자	특수교육대상자/NNG
의무교육	의무교육/NNG
시스템을	시스템/NNG+을/JKO
구축한다	구축하/VV+ㄴ다/EF

특수교육지원센터와	특수교육지원센터/NNG+와/JC
장애아동지원센터(2013년	장애아동지원센터/NNG+(/SS+2013/SN+년/NNB
시행)간의	시행/NNG+)/SS+간/NNB+의/JKG
긴밀한	긴밀하/VA+ㄴ/ETM
연계	연계/NNG
협력체계를	협력체계/NNG+를/JKO
구축하고,	구축하/VV+고/EC+,/SP
장애	장애/NNG
영·유아	영/NNG+·/SP+유아/NNG
통합교육·통합보육을	통합교육/NNG+·/SP+통합보육/NNG+을/JKO
활성화	활성화/NNG
한다	하/VV+ㄴ다/EF
