<대선	</SS+대선/NNG
투표보조용구가	투표보조용구/NNG+가/JKS
제작,	제작/NNG+,/SP
비치	비치/NNG
됐다	되/VV+었/EP+다/EC

투표보조용구는	투표보조용구/NNG+는/JX
위에서	위/NNG+에서/JKB
아래의	아래/NNG+의/JKG
순으로	순/NNG+으로/JKB
기호,	기호/NNG+,/SP
정당명,	정당명/NNG+,/SP
후보자명이	후보자명/NNG+이/JKS
점자로	점자/NNG+로/JKB
인쇄돼	인쇄되/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
그	그/MM
옆에	옆/NNG+에/JKB
기표홈이	기표홈/NNG+이/JKS
있다	있/VA+다/EF

선택한	선택하/VV+ㄴ/ETM
후보자의	후보자/NNG+의/JKG
기표홈	기표홈/NNG
안에	안/NNG+에/JKB
기표하면	기표하/VV+면/EC
된다	되/VV+ㄴ다/EF

참고로	참고/NNG+로/JKB
재보궐	재보궐/NNG
선거에	선거/NNG+에/JKB
있어서는	있/VA+어서/EC+는/JX
기호만,	기호/NNG+만/JX+,/SP
교육감재선거에	교육감재선거/NNG+에/JKB
있어서는	있/VA+어서/EC+는/JX
후보자명만	후보자명/NNG+만/JX
점자로	점자/NNG+로/JKB
인쇄돼	인쇄되/VV+어/EC
있다는	있/VX+다는/ETM
점도	점/NNG+도/JX
명심해야	명심하/VV+여야/EC
한다	하/VX+ㄴ다/EF

또한	또한/MAG
기표소에	기표소/NNG+에/JKB
비치된	비치되/VV+ㄴ/ETM
기표용구	기표용구/NNG
이외에	이외/NNG+에/JKB
도장	도장/NNG
등으로	등/NNB+으로/JKB
기표를	기표/NNG+를/JKO
하면	하/VV+면/EC
무효가	무효/NNG+가/JKC
되며,	되/VV+며/EC+,/SP
자신이	자신/NNG+이/JKS
혼자서	혼자/NNG+서/JKS
기표할	기표하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
시각장애인일	시각장애인/NNG+이/VCP+ㄹ/ETM
경우,	경우/NNG+,/SP
그	그/MM
가족,	가족/NNG+,/SP
또는	또는/MAG
본인이	본인/NNG+이/JKS
지명하는	지명하/VV+는/ETM
2인을	2/SN+인/NNG+을/JKO
동반해	동반하/VV+여/EC
투표를	투표/NNG+를/JKO
보조할	보조하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

■거소	■/SW+거소/NNG
투표는	투표/NNG+는/JX
어떻게?=투표소로	어떻/VA+게/EF+?/SF+=/SW+투표소/NNG+로/JKB
직접	직접/MAG
가셔서	가/VV+시/EP+어서/EC
투표하는	투표하/VV+는/ETM
장애인들도	장애인/NNG+들/XSN+도/JX
있는	있/VA+는/ETM
반면,	반면/NNG+,/SP
거소	거소/MAG
즉,	즉/MAG+,/SP
특히	특히/MAG
몸이	몸/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들	중증장애인/NNG+들/XSN
중에서	중/NNB+에서/JKB
집에서	집/NNG+에서/JKB
투표하는	투표하/VV+는/ETM
경우가	경우/NNG+가/JKS
있다	있/VA+다/EC

거소	거소/NNG
투표는	투표/NNG+는/JX
용지가	용지/NNP+가/JKS
선거	선거/NNG
당일	당일/NNG
오후	오후/NNG
6시까지	6/SN+시/NNB+까지/JX
선거관리위원회로	선거관리위원회/NNG+로/JKB
도착을	도착/NNG+을/JKO
해야	하/VV+여야/EC
한다	하/VX+ㄴ다/EF

혹시나	혹시나/MAG
우편발송을	우편발송/NNG+을/JKO
못했다면,	못하/VX+었/EP+다면/EC+,/SP
선거	선거/NNG
당일	당일/NNG
주민등록지	주민등록지/NNG
투표소에가서	투표소/NNG+에가서/JKB
투표관리원에게	투표관리원/NNG+에게/JKB
부재자투표용지와	부재자투표용지/NNG+와/JC
회송용봉투를	회송용봉/NNG+투/XSN+를/JKO
반납하면	반납하/VV+면/EC
투표를	투표/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

투표를	투표/NNG+를/JKO
하기	하/VV+기/ETN
전에는	전/NNG+에/JKB+는/JX
후보자의	후보자/NNG+의/JKG
정책이	정책/NNG+이/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EC

실현	실현/NNG
가능한지	가능하/VA+ㄴ지/EC

무엇보다	무엇/NP+보다/JKB
중요한	중요하/VA+ㄴ/ETM
실천할	실천하/VV+ㄹ/ETM
의지와	의지/NNG+와/JC
능력이	능력/NNG+이/JKS
있는지	있/VA+는지/EC
꼼꼼히	꼼꼼히/MAG
살피는	살피/VV+는/ETM
게	것/NNB+이/JKS
가장	가장/MAG
중요하다	중요하/VA+다/EC

나라를	나라/NNG+를/JKO
사랑하는	사랑하/VV+는/ETM
마음으로	마음/NNG+으로/JKB
꼭	꼭/MAG
투표해	투표하/VV+여/EC
자랑스런	자랑스럽/VA+ㄴ/ETM
우리	우리/NP
대통령,	대통령/NNG+,/SP
희망이	희망/NNG+이/JKS
넘치는	넘치/VV+는/ETM
우리나라를	우리나라/NNG+를/JKO
함께	함께/MAG
만들어가길	만들/VV+어/EC+가/VX+기/ETN+ㄹ/JKO
기원해본다	기원하/VV+여/EC+보/VX+ㄴ다/EF
