‘장애인생산품	‘/SL+장애인생산품/NNG
장애인생산품의	장애인생산품/NNG+의/JKG
수의계약	수의계약/NNG
근거를	근거/NNG+를/JKO
담고	담/VV+고/EC
있는	있/VX+는/ETM
장애인복지법	장애인복지법/NNG
제44조	제/XPN+44/SN+조/NR
전문이	전문/NNG+이/JKS
개정됐다	개정되/VV+었/EP+다/EF

그동안	그동안/NNG
장애인복지법	장애인복지법/NNG
44조는	44/SN+조/NNB+는/JX
장애인복지단체의	장애인복지단체/NNG+의/JKG
수의계약을	수의계약/NNG+을/JKO
통해	통하/VV+여/EC
장애인복지법에서	장애인복지법/NNG+에서/JKB
명시한	명시하/VV+ㄴ/ETM
장애인복지단체의	장애인복지단체/NNG+의/JKG
보호·육성의	보호/NNG+·/SP+육성/NNG+의/JKG
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
기능을	기능/NNG+을/JKO
해왔다	하/VV+여/EC+오/VX+았/EP+다/EF

문제는	문제/NNG+는/JX
그나마	그나마/MAG
장애인단체의	장애인단체/NNG+의/JKG
재정적	재정적/NNG
열약	열약/NNG
상황에서	상황/NNG+에서/JKB
실질적	실질적/NNG
지원책이	지원/NNG+책/XSN+이/JKS
됐던	되/VV+었/EP+던/ETM
것이	것/NNB+이/JKS
법	법/NNG
개정으로	개정/NNG+으로/JKB
장애인	장애인/NNG
단체의	단체/NNG+의/JKG
활동	활동/NNG
위축	위축/NNG
등	등/NNB
피해로	피해/NNG+로/JKB
이어지고	이어지/VV+고/EC
있다는	있/VX+다는/ETM
것	것/NNB

더욱이	더욱이/MAG
상이군경,	상이군경/NNG+,/SP
재향군인회	재향군인/NNG+회/XSN
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
수의계약권은	수의계약권/NNG+은/JX
그대로	그대로/MAG
유지시킨	유지/NNG+시키/XSV+ㄴ/ETM
채	채/NNB
장애인단체의	장애인단체/NNG+의/JKG
수의계약권만을	수의계약권/NNG+만/JX+을/JKO
배제시켜	배제/NNG+시키/XSV+어/EC
형평성	형평성/NNG
논란도	논란/NNG+도/JX
일었다	일/VV+었/EP+다/EF

김	김/NNP
의원실	의원실/NNG
관계자는	관계자/NNG+는/JX
“장애인단체들도	“/SN+장애인단체/NNG+들/XSN+도/JX
생계가	생계/NNG+가/JKS
달려	달리/VV+어/EC
있어	있/VX+어/EC
복지부와의	복지부/NNG+와/JKB+의/JKG
면담을	면담/NNG+을/JKO
벼르고	벼르/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

한편	한편/MAG
김	김/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
국가와	국가/NNG+와/JC
지방자치단체,	지방자치단체/NNG+,/SP
공공단체의	공공단체/NNG+의/JKG
장애인생산품	장애인생산품/NNG
우선	우선/MAG
구매	구매/NNG
및	및/MAG
수의계약을	수의계약/NNG+을/JKO
주요	주요/NNG
내용으로	내용/NNG+으로/JKB
하는	하/VV+는/ETM
장애인복지법	장애인복지법/NNG
일부개정안을	일부개정안/NNG+을/JKO
발의한	발의하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC
