통합진보당,	통합진보당/NNP+,/SP
사업장에서의	사업장/NNG+에서/JKB+의/JKG
중증장애인	중증장애인/NNG
근로자	근로자/NNG
의무고용	의무고용/NNG
비율을	비율/NNG+을/JKO
명기해	명기하/VV+여/EC
위반	위반/NNG
시	시/NNG
강력한	강력하/VA+ㄴ/ETM
불이익을	불이익/NNG+을/JKO
주는	주/VV+는/ETM
패널티를	패널티/NNG+를/JKO
세칙으로	세칙/NNG+으로/JKB
만들	만듣/VV
방침이다	방침/NNG+이/VCP+다/EC

■취약한	■/SW+취약하/VA+ㄴ/ETM
장애유형에	장애유형/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기본적	기본적/NNG
권리와	권리/NNG+와/JC
지원	지원/NNG
보장=발달장애인의	보장/NNG+=/SW+발달장애인/NNG+의/JKG
사회적	사회적/NNG
지원체계와	지원체계/NNG+와/JC
권리확보를	권리확보/NNG+를/JKO
위해	위하/VV+여/EC
발달장애인법을	발달장애인법/NNG+을/JKO
제정하고	제정하/VV+고/EC
그룹홈	그룹홈/NNG
물량	물량/NNG
확대	확대/NNG
및	및/MAG
지원체계를	지원체계/NNG+를/JKO
확보한다	확보하/VV+ㄴ다/EF

또한	또한/MAG
체험홈·자립홈과	체험홈/NNG+·/SP+자립홈/NNG+과/JKB
같은	같/VA+은/ETM
자립형	자립/NNG+형/XSN
주거공간,	주거공간/NNG+,/SP
주간보호센터	주간보호센터/NNG
확대하고,	확대하/VV+고/EC+,/SP
재활치료가	재활치료/NNG+가/JKS
필요한	필요하/VA+ㄴ/ETM
모든	모든/MM
장애아동에게	장애아동/NNG+에게/JKB
무상의	무상/NNG+의/JKG
공적인	공적/NNG+이/VCP+ㄴ/ETM
재활치료서비스를	재활치료서비스/NNG+를/JKO
제공할	제공하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

■장애인계,	■/SW+장애인계/NNG+,/SP
만족하지만	만족하/VA+지만/EC
보완	보완/NNG
필요=토론자로	필요/NNG+=/SW+토론자/NNG+로/JKB
참석한	참석하/VV+ㄴ/ETM
전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
남병준	남병준/NNG
정책실장과	정책실장/NNG+과/JC
발달장애인법제정추진연대	발달장애인법제정추진연대/NNG
윤진철	윤진철/NNP
간사는	간사/NNG+는/JX
9대	9/SN+대/NNG
공약에	공약/NNG+에/JKB
찬성을	찬성/NNG+을/JKO
표하면서도,	표하/VV+면서/EC+도/JX+,/SP
각	각/MM
정책마다	정책/NNG+마다/JX
보완해야할	보완하/VV+여야/EC+하/VX+ㄹ/ETM
점이	점/NNG+이/JKS
있다고	있/VA+다고/EC
지적했다	지적하/VV+였/EP+다/EF

남	남/NNP
정책실장은	정책실장/NNG+은/JX
“장애등급제	“/SN+장애등급/NNG+제/XSN
폐지를	폐지/NNG+를/JKO
요구하는	요구하/VV+는/ETM
이유가	이유/NNG+가/JKS
장애를	장애/NNG+를/JKO
의료적	의료/NNG+적/XSN
기준으로	기준/NNG+으로/JKB
개인의	개인/NNG+의/JKG
신체기능손상	신체기능손상/NNG
정도로서	정도/NNG+로서/JKB
규정하는	규정하/VV+는/ETM
구시대적	구시대적/NNG
이념이	이념/NNG+이/JKC
아니고,	아니/VCN+고/EC+,/SP
등급제로	등급/NNG+제/XSN+로/JKB
인해	인하/VV+여/EC
획일적	획일적/NNG
서비스	서비스/NNG
체계가	체계/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
개인별지원체계를	개인별지원체계/NNG+를/JKO
구축하기	구축하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것”이라면서	것/NNB+”/SL+이/VCP+라면서/EC
“장애등급제	“/SL+장애등급/NNG+제/XSN
폐지	폐지/NNG
말로는	말/NNG+로/JKB+는/JX
쉽지만	쉽/VA+지만/EC
실제	실제/NNG
폐지	폐지/NNG
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
어떻게	어떻/VA+게/EC
장애인	장애인/NNG
욕구에	욕구/NNG+에/JKB
따라	따르/VV+아/EC
서비스를	서비스/NNG+를/JKO
할	하/VV+ㄹ/ETM
것이냐는	것/NNB+이/VCP+냐는/ETM
등의	등/NNB+의/JKG
대안적인	대안/NNG+적/XSN+이/VCP+ㄴ/ETM
모습이	모습/NNG+이/JKS
함께	함께/MAG
있었으면	있/VA+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EC+”/SN+고/EC
설명했다	설명하/VV+었/EP+다/EC

또한	또한/MAG
장애인연금	장애인연금/NNG
인상에	인상/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
“주요	“/SN+주요/NNG
개선	개선/NNG
방향에는	방향/NNG+에/JKB+는/JX
전적으로	전적/NNG+으로/JKB
동의하지만,	동의하/VV+지만/EC+,/SP
세부내용에	세부내용/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
조금	조금/MAG
더	더/MAG
상세한	상세하/VA+ㄴ/ETM
접근이	접근/NNG+이/JKS
필요하다”며	필요하/VA+다/EC+”/VX+며/EC
“현재	“/SL+현재/MAG
기초급여는	기초급여/NNG+는/JX
94,600원으로	94,600/SN+원/NNB+으로/JKB
A값(국민연금	A/SL+값/NNG+(/SS+국민연금/NNG
가입자	가입자/NNG
최근	최근/NNG
3년간	3/SN+년/NNB+간/XSN
월평균소득)의	월평균소득/NNG+)/SS+의/JKG
5%이며,	5/SN+%/SW+이/VCP+며/EC+,/SP
2028년까지	2028/SN+년/NNB+까지/JX
10%로	10/SN+%/SW+로/JKB
이상하도록	이상하/VA+도록/EC
부칙에	부칙/NNG+에/JKB
규정되어	규정되/VV+어/EC
있는	있/VX+는/ETM
상태다	상태/NNG+이/VCP+다/EC

장애인연금법	장애인연금법/NNG
개정을	개정/NNG+을/JKO
통해	통하/VV+여/EC
2017년까지	2017/SN+년/NNB+까지/JX
10%로	10/SN+%/SW+로/JKB
인상해야	인상하/VV+여야/EC
되는	되/VV+는/ETM
부분”이라고	부분”/NNG+이/VCP+라고/EC
제시했다	제시하/VV+였/EP+다/EC

특히	특히/MAG
남	남/NNG
정책실장은	정책실장/NNG+은/JX
중증장애인	중증장애인/NNG
고용	고용/NNG
시	시/NNG
‘더블카운트제’	‘더블카운트제’/NNG
보다는	보다/JKB+는/JX
‘고용할당제’로	‘/SL+고용할당/NNG+제/XSN+’/SL+로/JKB
변환되어야	변환되/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
주문했다	주문하/VV+였/EP+다/EF

남	남/NNP
실장은	실장/NNG+은/JX
“중증장애인	“/SL+중증장애인/NNG
및	및/MAG
장애여성	장애여성/NNG
할증제	할증제/NNG
요구는	요구/NNG+는/JX
오류가	오류/NNG+가/JKS
있어	있/VA+어/EC
수정될	수정되/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”며	있/VA+다”며/EC
“이미	“/SW+이미/MAG
2010년부터	2010/SN+년/NNB+부터/JX
중증장애인	중증장애인/NNG
1명	1/SN+명/NNB
고용	고용/NNG
시	시/NNG
2명으로	2/SN+명/NNB+으로/JKB
인정하는	인정하/VV+는/ETM
더블카운트제가	더블카운트/NNP+제/XSN+가/JKS
시행되고	시행되/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
실질적으로	실질적/NNG+으로/JKB
중증장애인	중증장애인/NNG
고용촉진	고용촉진/NNG
효과는	효과/NNG+는/JX
없다	없/VA+다/EC

이러한	이러하/VA+ㄴ/ETM
더블카운트	더블카운트/NNP
제도	제도/NNG
요구	요구/NNG
보다는	보다/JKB+는/JX
중증장애인	중증장애인/NNG
및	및/MAG
(중증)장애여성	(/SS+중증/NNG+)/SS+장애여성/NNG
할당제가	할당제/NNG+가/JKS
실효성	실효성/NNG
있는	있/VA+는/ETM
요구라고	요구/NNG+이/VCP+라고/EC
보여진다”고	보이/VV+어/EC+지/VX+ㄴ다/EC+”/VV+고/EC
제안했다	제안하/VV+였/EP+다/EC

윤진철	윤진철/NNP
간사는	간사/NNG+는/JX
각	각/MM
분야별	분야/NNG+별/XSN
공약이	공약/NNG+이/JKS
전반적으로	전반적/NNG+으로/JKB
발달장애인	발달장애인/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
당	당/NNG
내	내/NNB
노력의	노력/NNG+의/JKG
모습은	모습/NNG+은/JX
보이지	보이/VV+지/EC
않는다고	않/VX+는다고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

윤	윤/NNP
간사는	간사/NNG+는/JX
“장애인의	“/SN+장애인/NNG+의/JKG
자립생활에	자립생활/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공약은	공약/NNG+은/JX
발달장애인을	발달장애인/NNG+을/JKO
포함하지	포함하/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
단순히	단순히/MAG
신체적장애인을	신체적장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
모델만	모델/NNG+만/JX
제시하고	제시하/VV+고/EC
있는	있/VX+는/ETM
것	것/NNB
같아	같/VA+아/EC
보였다”며	보이/VV+었/EP+다/EC+”/VX+며/EC
“현재	“/SL+현재/NNG
장애인교육권의	장애인교육권/NNG+의/JKG
경우	경우/NNG
특수교사가	특수교사/NNG+가/JKS
부족한	부족하/VA+ㄴ/ETM
문제점이	문제점/NNG+이/JKS
있음에도	있/VA+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
자세한	자세하/VA+ㄴ/ETM
세부	세부/NNG
내용	내용/NNG
없이	없이/MAG
교육의	교육/NNG+의/JKG
질	질/NNG
제고만	제고/NNG+만/JX
달랑	달랑/MAG
나와있어	나오/VV+아/EC+있/VX+어/EC
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
내용이	내용/NNG+이/JKS
없다고	없/VA+다고/EC
느꼈다	느끼/VV+었/EP+다/EF

현장에서	현장/NNG+에서/JKB
실질적으로	실질적/NNG+으로/JKB
장애인교육	장애인교육/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
노력을	노력/NNG+을/JKO
찾는	찾/VV+는/ETM
것이	것/NNB+이/JKS
중요하다”고	중요하/VA+다”고/EC
요구했다	요구하/VV+었/EP+다/EC

이어	이어/MAG
“직업훈련이나	“/SN+직업훈련/NNG+이나/JC
잡코치	잡코치/NNG
등이	등/NNB+이/JKS
보장이	보장/NNG+이/JKC
안	안/MAG
되고	되/VV+고/EC
있는	있/VX+는/ETM
현	현/MM
상황에서	상황/NNG+에서/JKB
환경적인	환경적/NNG+이/VCP+ㄴ/ETM
변화	변화/NNG
없이	없이/MAG
단순히	단순히/MAG
의무고용율만	의무고용율/NNG+만/JX
늘리는	늘리/VV+는/ETM
것은	것/NNB+은/JX
효과적이지	효과적/NNG+이/VCP+지/EC
않아	않/VX+아/EC
또	또/MAG
다른	다른/MM
방안을	방안/NNG+을/JKO
찾아야	찾/VV+아야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

한편	한편/MAG
통합진보당	통합진보/NNG+당/XSN
장애인위원회는	장애인위원회/NNG+는/JX
토론회에서	토론회/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
반영해	반영하/VV+여/EC
수정된	수정되/VV+ㄴ/ETM
최종	최종/NNG
대선	대선/NNG
장애인공약을	장애인공약/NNG+을/JKO
이달	이달/NNG
중순경	중순/NNG+경/XSN
발표할	발표하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC
