文캠프	文/SL+캠프/NNG
공동대표	공동대표/NNG
이학영	이학영/NNP
민주당	민주당/NNP
국회의원	국회의원/NNG
인태연	인태연/NNP
전국유통상인연합회	전국유통상인연합회/NNP
공동대표	공동대표/NNG
장건	장건/NNG
국민농업포럼	국민농업포럼/NNP
감사	감사/NNG
등이다	등/NNB+이/VCP+다/EC

이와	이/NP+와/JKB
함께	함께/MAG
시민캠프	시민캠프/NNG
대변인에는	대변인/NNG+에/JKB+는/JX
유정아	유정아/NNP
전	전/MM
KBS	KBS/SL
아나운서와	아나운서/NNG+와/JC
백무현	백무현/NNP
만화가가	만화가/NNG+가/JKS
임명됐다	임명되/VV+었/EP+다/EF
