발달장애인	발달장애인/NNG
인해	인하/VV+여/EC
서비스	서비스/NNG
전달체계를	전달체계/NNG+를/JKO
하나로	하나/NNG+로/JKB
통일시켜	통일/NNG+시키/XSV+어/EC
현재는	현재/NNG+는/JX
매우	매우/MAG
효과적인	효과적/NNG+이/VCP+ㄴ/ETM
서비스	서비스/NNG
전달체계를	전달체계/NNG+를/JKO
구축하고	구축하/VV+고/EC
있다고	있/VX+다고/EC
한다	하/VV+ㄴ다/EF

아주	아주/MAG
개인적인	개인적/NNG+이/VCP+ㄴ/ETM
의견이지만,	의견/NNG+이/VCP+지만/EC+,/SP
현재	현재/MAG
우리나라역시	우리나라역시/NNP
노동부와	노동부/NNG+와/JC
복지부라는	복지부/NNG+이/VCP+라는/ETM
두	두/MM
축의	축/NNB+의/JKG
직업재활서비스	직업재활서비스/NNG
전달체계로	전달체계/NNG+로/JKB
인해	인하/VV+여/EC
많은	많/VA+은/ETM
비효율적인	비효율/NNG+적/XSN+이/VCP+ㄴ/ETM
문제들이	문제/NNG+들/XSN+이/JKS
발생하고	발생하/VV+고/EC
있어서	있/VX+어서/EC
우리나라도	우리나라/NNG+도/JX
일리노이주의	일리노이주/NNP+의/JKG
이러한	이러하/VA+ㄴ/ETM
경험들을	경험/NNG+들/XSN+을/JKO
참고해서	참고하/VV+여서/EC
정책적인	정책적/NNG+이/VCP+ㄴ/ETM
효율성을	효율/NNG+성/XSN+을/JKO
극대화	극대화/NNG
시킬	시키/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방안을	방안/NNG+을/JKO
모색하는	모색하/VV+는/ETM
것도	것/NNB+도/JX
좋을	좋/VA+을/ETM
듯하다	듯하/VX+다/EC

둘째,	둘째/NR+,/SP
직업재활전문가들	직업재활전문가/NNG+들/XSN
간의	간/NNB+의/JKG
협력이다	협력/NNG+이/VCP+다/EC

일리노이주	일리노이주/NNP
상공회의소	상공회의소/NNG
소속의	소속/NNG+의/JKG
직업재활사들은	직업재활사/NNG+들/XSN+은/JX
정기적인	정기적/NNG+이/VCP+ㄴ/ETM
모임을	모임/NNG+을/JKO
갖고	갖/VV+고/EC
서로간의	서로/NNG+간/NNB+의/JKG
구직정보와	구직정보/NNG+와/JC
구인정보에	구인정보/NNG+에/JKB
대해	대하/VV+여/EC
많은	많/VA+은/ETM
공유를	공유/NNG+를/JKO
하며	하/VV+며/EC
서로	서로/MAG
상호	상호/NNG
보완하는	보완하/VV+는/ETM
존재가	존재/NNG+가/JKC
된다는	되/VV+ㄴ다는/ETM
것이다	것/NNB+이/VCP+다/EC

개인	개인/NNG
전문가	전문가/NNG
대	대/XPN
전문가	전문가/NNG
사이의	사이/NNG+의/JKG
관계가	관계/NNG+가/JKC
아니라	아니/VCN+라/EC
조직과	조직/NNG+과/JC
조직사이의	조직사이/NNG+의/JKG
관계	관계/NNG
역시	역시/MAG
마찬	마찬/NNG
가지다	가지/VV+다/EC

나의	나/NP+의/JKG
생각을	생각/NNG+을/JKO
밝히자면	밝히/VV+자면/EC
우리나라	우리나라/NNG
역시	역시/MAG
같아	같/VA+아/EC
보이지만	보이/VV+지만/EC
한국의	한국/NNP+의/JKG
직업재활조직들에게는	직업재활조직/NNG+들/XSN+에게/JKB+는/JX
바로	바로/MAG
‘실적’,	‘/SN+실적’/NNG+,/SP
‘성과평가’라는	‘/SL+성과평가’/NNG+이/VCP+라는/ETM
바탕이	바탕/NNG+이/JKS
깔려있다	깔리/VV+어/EC+있/VX+다/EC

우리나라의	우리나라/NNG+의/JKG
많은	많/VA+은/ETM
조직과	조직/NNG+과/JC
개인들은	개인/NNG+들/XSN+은/JX
바로	바로/MAG
실적과	실적/NNG+과/JC
가시적인	가시/NNG+적/XSN+이/VCP+ㄴ/ETM
성과	성과/NNG
때문에	때문/NNB+에/JKB
전문가	전문가/NNG
개인들	개인/NNG+들/XSN
간에,	간/NNB+에/JKB+,/SP
또한	또한/MAG
조직들	조직/NNG+들/XSN
간에	간/NNB+에/JKB
이러한	이러하/VA+ㄴ/ETM
상호협력이	상호협력/NNG+이/JKS
잘	잘/MAG
이루어지지	이루어지/VV+지/EC
않고	않/VX+고/EC
있다고	있/VX+다고/EC
생각한다	생각하/VV+ㄴ다/EF

발달장애국에서	발달장애국/NNG+에서/JKB
많은	많/VA+은/ETM
대화를	대화/NNG+를/JKO
나누고	나누/VV+고/EC
우리	우리/NP
팀은	팀/NNG+은/JX
시각장애인복지관과	시각장애인복지관/NNG+과/JKB
같은	같/VA+은/ETM
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
'lighthouse'를	'/SS+lighthouse/SL+'/SS+를/JKO
방문했다	방문하/VV+였/EP+다/EC

이곳에서	이곳/NP+에서/JKB
본	보/VV+ㄴ/ETM
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
시계를	시계/NNG+를/JKO
만드는	만들/VV+는/ETM
모습에	모습/NNG+에/JKB
발달장애인들인	발달장애인/NNG+들/XSN+이/VCP+ㄴ/ETM
우리팀원들은	우리/NP+팀원/NNG+들/XSN+은/JX
많은	많/VA+은/ETM
용기와	용기/NNG+와/JC
희망을	희망/NNG+을/JKO
얻을	얻/VV+을/ETM
수가	수/NNB+가/JKS
있었다	있/VA+었/EP+다/EF

미국에서	미국/NNP+에서/JKB
공공기관	공공기관/NNG
건물에	건물/NNG+에/JKB
걸리는	걸리/VV+는/ETM
벽걸이	벽걸이/NNG
시계는	시계/NNG+는/JX
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
만드는	만들/VV+는/ETM
것을	것/NNB+을/JKO
사용해야	사용하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
법률(Wagner	법률/NNG+(/SS+Wagner/SL
O'day	O/SL+'/SS+day/SL
Act)이	Act/SL+)/SS+이/JKS
있다고	있/VA+다고/EC
한다	하/VV+ㄴ다/EF

자율적인	자율적/NNG+이/VCP+ㄴ/ETM
시장경제	시장경제/NNG
체제하에서	체제/NNG+하/XSN+에서/JKB
사회적	사회적/NNG
약자를	약자/NNG+를/JKO
위해	위하/VV+여/EC
이러한	이러하/VA+ㄴ/ETM
강제적인	강제적/NNG+이/VCP+ㄴ/ETM
법률을	법률/NNG+을/JKO
두는	두/VV+는/ETM
것도	것/NNB+도/JX
좋은	좋/VA+은/ETM
방법일	방법/NNG+이/VCP+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

미국이라고	미국/NNP+이/VCP+라고/EC
모든	모든/MM
것들이	것/NNB+들/XSN+이/JKS
완벽하게	완벽하/VA+게/EC
잘	잘/MAG
이루어지고	이루어지/VV+고/EC
있지는	있/VX+지/EC+는/JX
않지만,	않/VX+지만/EC+,/SP
이러한	이러하/VA+ㄴ/ETM
점들은	점/NNG+들/XSN+은/JX
우리가	우리/NP+가/JKS
참고하고	참고하/VV+고/EC
정책에	정책/NNG+에/JKB
반영시킬	반영/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다면	있/VA+다면/EC
좋을	좋/VA+을/ETM
것	것/NNB
같다	같/VA+다/EC

*이글은	*/SW+이글/NNP+은/JX
'2012장애청년드림팀	'/SS+2012/SN+장애/NNB+청년드림팀/NNG
6대륙에	6/SN+대륙/NNG+에/JKB
도전하다'	도전하/VA+다/EF+'/SS
CASS팀의	CASS/SL+팀/NNG+의/JKG
박세진님이	박세진/NNP+님/XSN+이/JKS
보내왔습니다	보내오/VV+았/EP+습니다/EF
