당정	당정/NNG
미성년자에서	미성년자/NNG+에서/JKB
여성으로	여성/NNG+으로/JKB
확대키로	확대하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

◇취약아동	◇/SW+취약아동/NNG
돌봄	돌보/VV+ㅁ/ETN
기능	기능/NNG
강화	강화/NNG
=	=/SW
통영에서	통영/NNP+에서/JKB
납치	납치/NNG
살해된	살해되/VV+ㄴ/ETM
한아름	한아름/NNP
양이	양/NNB+이/JKS
끼니를	끼니/NNG+를/JKO
제때	제때/NNG
챙기지	챙기/VV+지/EC
못할	못하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
보살핌을	보살피/VV+ㅁ/ETN+을/JKO
받지	받/VV+지/EC
못했던	못하/VX+였/EP+던/ETM
사실이	사실/NNG+이/JKS
알려지면서	알려지/VV+면서/EC
취약계층	취약계층/NNG
아동	아동/NNG
보호시스템도	보호시스템/NNG+도/JX
도마에	도마/NNG+에/JKB
올랐다	오르/VV+았/EP+다/EC

정부는	정부/NNG+는/JX
이에	이/NP+에/JKB
따라	따르/VV+아/EC
아름양과	아름양/NNG+과/JKB
같은	같/VA+은/ETM
취약계층	취약계층/NNG
아동을	아동/NNG+을/JKO
돌보는	돌보/VV+는/ETM
지역아동센터를	지역아동센터/NNG+를/JKO
확대하기로	확대하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

작년	작년/NNG
현재	현재/MAG
지역아동센터는	지역아동센터/NNG+는/JX
3천985곳이다	3/SN+천/NR+985/SN+곳/NNG+이/VCP+다/EC

농어촌	농어촌/NNG
지역의	지역/NNG+의/JKG
경우	경우/NNG
민간	민간/NNG
자립으로	자립/NNG+으로/JKB
신규	신규/NNG
지역아동센터를	지역아동센터/NNG+를/JKO
세우는	세우/VV+는/ETM
것이	것/NNB+이/JKS
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
만큼	만큼/NNB
지자체가	지자체/NNG+가/JKS
공립형	공립형/NNG
센터를	센터/NNG+를/JKO
설치,	설치/NNG+,/SP
운영하도록	운영하/VV+도록/EC
유도하기로	유도하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

또	또/MAG
저소득층	저소득층/NNG
아동을	아동/NNG+을/JKO
돕는	돕/VV+는/ETM
드림스타트센터를	드림스/NNP+타트센터/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
지역사회	지역사회/NNG
내	내/NNB
취약계층	취약계층/NNG
아동의	아동/NNG+의/JKG
사례를	사례/NNG+를/JKO
관리하고	관리하/VV+고/EC
초등돌봄교실,	초등돌봄교실/NNG+,/SP
엄마품	엄마품/NNG
온종일돌봄교실	온종일돌봄교실/NNG
등	등/NNB
방과후	방과후/NNG
돌봄	돌보/VV+ㅁ/ETN
기능을	기능/NNG+을/JKO
확대하기로	확대하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

◇성범죄자	◇/SW+성범죄자/NNG
처벌ㆍ피해자	처벌/NNG+ㆍ/SP+피해자/NNG
지원	지원/NNG
강화	강화/NNG
=	=/SW
당정은	당정/NNG+은/JX
살인과	살인/NNG+과/JC
강도살인	강도살인/NNG
등	등/NNB
생명을	생명/NNG+을/JKO
앗아가는	앗/VV+아/EC+가/VX+는/ETM
범죄에	범죄/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
공소시효를	공소시효/NNG+를/JKO
폐지하는	폐지하/VV+는/ETM
방안도	방안/NNG+도/JX
추진할	추진하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

전자발찌	전자발찌/NNG
제도도	제도/NNG+도/JX
개선한다	개선하/VV+ㄴ다/EF

강도의	강도/NNG+의/JKG
경우	경우/NNG
성폭력으로	성폭력/NNG+으로/JKB
돌변할	돌변하/VV+ㄹ/ETM
위험성이	위험성/NNG+이/JKS
큰	크/VA+ㄴ/ETM
만큼	만큼/NNB
전자발찌	전자발찌/NNG
부착대상	부착대상/NNG
범죄에	범죄/NNG+에/JKB
강도범죄를	강도범죄/NNG+를/JKO
추가하기로	추가하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

또	또/MAG
장애인을	장애인/NNG+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
성폭력	성폭력/NNG
범죄의	범죄/NNG+의/JKG
경우	경우/NNG
단	단/MM
1번만	1/SN+번/NNB+만/JX
범행을	범행/NNG+을/JKO
저질러도	저지르/VV+어도/EC
전자발찌를	전자발찌/NNG+를/JKO
부착할	부착하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
법률	법률/NNG
개정을	개정/NNG+을/JKO
추진하기로	추진하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

시중에	시중/NNG+에/JKB
거래되는	거래되/VV+는/ETM
전자발찌	전자발찌/NNG
전파교란장치	전파교란장치/NNG
판매도	판매/NNG+도/JX
단속한다	단속하/VV+ㄴ다/EF

특히	특히/MAG
전체	전체/NNG
성폭력	성폭력/NNG
우범자	우범자/NNG
2만219명의	2/SN+만/NR+219/SN+명/NNB+의/JKG
재범	재범/NNG
위험성에	위험성/NNG+에/JKB
대해	대하/VV+여/EC
첩보를	첩보/NNG+를/JKO
수집하는	수집하/VV+는/ETM
등	등/NNB
특별점검을	특별점검/NNG+을/JKO
벌이기로	벌이/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

다만	다만/MAG
인권침해	인권침해/NNG
논란을	논란/NNG+을/JKO
차단하고	차단하/VV+고/EC
경찰의	경찰/NNG+의/JKG
전과자	전과자/NNG
정보수집에	정보수집/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
명확한	명확하/VA+ㄴ/ETM
법적	법적/NNG
근거를	근거/NNG+를/JKO
마련하기	마련하/VV+기/ETN
위해	위하/VV+여/EC
경찰관직무집행법을	경찰관직무집행법/NNG+을/JKO
개정하기로	개정하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

성폭력피해자에	성폭력피해자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원도	지원/NNG+도/JX
한층	한층/MAG
강화한다	강화하/VV+ㄴ다/EF

해바라기	해바라기/NNG
아동센터	아동센터/NNG
등	등/NNB
성폭력	성폭력/NNG
피해	피해/NNG
아동	아동/NNG
전문	전문/NNG
치료기관을	치료기관/NNG+을/JKO
전국으로	전국/NNG+으로/JKB
확대하고	확대하/VV+고/EC
상담	상담/NNG
인력도	인력/NNG+도/JX
늘리기로	늘리/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

이밖에	이/NP+밖에/JX
피해	피해/NNG
가족의	가족/NNG+의/JKG
안정과	안정/NNG+과/JC
건강한	건강하/VA+ㄴ/ETM
가족관계의	가족관계/NNG+의/JKG
회복을	회복/NNG+을/JKO
지원하기	지원하/VV+기/ETN
위해	위하/VV+여/EC
피해자	피해자/NNG
이외의	이외/NNG+의/JKG
가족에	가족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의료비	의료비/NNG
지원도	지원/NNG+도/JX
확대할	확대하/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

hanajjang@yna	hanajjang/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
