내년	내년/NNG
있다”며	있/VX+다/EC+”/VV+며/EC
“이런	“/SW+이런/MM
식으로	식/NNB+으로/JKB
예산	예산/NNG
편성을	편성/NNG+을/JKO
하면서	하/VV+면서/EC
복지	복지/NNG
재원이	재원/NNG+이/JKS
없다는	없/VA+다는/ETM
것은	것/NNB+은/JX
핑계일	핑계/NNG+이/VCP+ㄹ/ETM
뿐”이라고	뿐/NNB+”/SL+이/VCP+라고/EC
지적하고	지적하/VV+고/EC
“기획재정부	“/SW+기획재정부/NNG
예산심사	예산심사/NNG
과정에서	과정/NNG+에서/JKB
취약계층과	취약계층/NNG+과/JC
민생을	민생/NNG+을/JKO
위해	위하/VV+여/EC
대폭	대폭/MAG
조정될	조정되/VV+ㄹ/ETM
것을	것/NNB+을/JKO
기대한다”고	기대하/VV+ㄴ다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC
