“아·태장애인10년	“/SL+아/VCN+·/SP+태장애인/NNG+10/SN+년/NNB
속내를	속내/NNG+를/JKO
내비쳤다	내비치/VV+었/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
반론에	반론/NNG+에/JKB
아태장애인연맹	아태장애인연맹/NNG
동북아지역	동북아/NNP+지역/NNG
김대성	김대성/NNP
의장(한국장애인연맹	의장/NNG+(/SS+한국장애인연맹/NNP
회장)은	회장/NNG+)/SS+은/JX
“유엔장애인권리협약을	“/SN+유엔/NNP+장애인권리협약/NNG+을/JKO
비준한	비준하/VA+ㄴ/ETM
나라는	나라/NNG+는/JX
국가보고서를	국가보고서/NNG+를/JKO
내도록	내/VV+도록/EC
정하고	정하/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“인천전략도	“/SL+인천전략/NNG+도/JX
국가의	국가/NNG+의/JKG
약속인	약속/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
국가보고서를	국가보고서/NNG+를/JKO
제출하도록	제출하/VV+도록/EC
하는	하/VX+는/ETM
방법이	방법/NNG+이/JKS
필요할	필요하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보일/VV+ㄴ다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

제1,	제/XPN+1/SN+,/SP
2차	2/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년에는	10/SN+년/NNB+에/JKB+는/JX
5년을	5/SN+년/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
중간평가와	중간평가/NNG+와/JC
마무리	마무리/NNG
평가를	평가/NNG+를/JKO
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
전부였다	전부/NNG+이/VCP+었/EP+다/EF

하지만	하지만/MAJ
아이코	아이코/NNP
아키야마	아키야마/NNP
부장은	부장/NNG+은/JX
“인천전략의	“/SN+인천전략/NNG+의/JKG
노력은	노력/NNG+은/JX
분명	분명/MAG
정부들로부터	정부/NNG+들/XSN+로부터/JKB
데이터를	데이터/NNG+를/JKO
제공하도록	제공하/VV+도록/EC
요구를	요구/NNG+를/JKO
할	하/VV+ㄹ/ETM
것”이라면서도	것/NNB+”/SL+이/VCP+라면서/EC+도/JX
“많은	“/SL+많/VA+은/ETM
인권조약들이	인권조약/NNG+들/XSN+이/JKS
있고	있/VA+고/EC
이와	이/NP+와/JKB
관련해	관련하/VV+여/EC
정부들이	정부/NNG+들/XSN+이/JKS
보고를	보고/NNG+를/JKO
하는	하/VV+는/ETM
상황에서	상황/NNG+에서/JKB
인천전략까지	인천/NNP+전략/NNG+까지/JX
보고를	보고/NNG+를/JKO
하도록	하/VV+도록/EC
한다면	하/VX+ㄴ다면/EC
부담을	부담/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
언급했다	언급하/VV+였/EP+다/EC

김대성	김대성/NNP
의장은	의장/NNG+은/JX
“조금더	“/SL+조금더/VA
목표가	목표/NNG+가/JKS
명확하고	명확하/VA+고/EC
아시아권에	아시아/NNP+권/XSN+에/JKB
맞게끔	맞/VV+게끔/EC
아태장애인들이	아태장애인/NNG+들/XSN+이/JKS
목표를	목표/NNG+를/JKO
개발하고	개발하/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
별도의	별도/NNG+의/JKG
보고서를	보고서/NNG+를/JKO
받아야지만	받/VV+아야지만/EC
그	그/MM
국가가	국가/NNG+가/JKS
얼마나	얼마나/MAG
이행하고	이행하/VV+고/EC
있는지를	있/VX+는지/EC+를/JKO
검토할	검토하/VV+ㄹ/ETM
수	수/NNB
있지	있/VA+지/EC
않을까	않/VX+을까/EC
생각한다”고	생각하/VV+ㄴ다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

이어	이어/MAG
김대성	김대성/NNP
의장은	의장/NNG+은/JX
“만일	“/SN+만/NR+일/NNB
국가보고서가	국가보고서/NNG+가/JKS
의무화된다면	의무화되/VV+ㄴ다면/EC
국가들이	국가/NNG+들/XSN+이/JKS
보고서를	보고서/NNG+를/JKO
거짓으로	거짓/NNG+으로/JKB
꾸밀	꾸미/VV+ㄹ/ETM
수도	수/NNB+도/JX
있는	있/VA+는/ETM
만큼	만큼/NNB
보고서	보고서/NNG
작성에	작성/NNG+에/JKB
장애인당사자이	장애인당사자/NNG+이/JKS
함께해야	함께하/VV+여야/EC
하며,	하/VX+며/EC+,/SP
평가하도	평가하/NNP+도/JX
함께	함께/MAG
가져야한다”고도	가지/VV+어야/EC+하/VX+ㄴ다”고/EC+도/JX
주장했다	주장하/VV+였/EP+다/EC
