“박근혜,	“/SL+박근혜/NNP+,/SP
문제로	문제/NNG+로/JKB
현재	현재/MAG
조율중이며,	조율/NNG+중/NNB+이/VCP+며/EC+,/SP
점차적으로	점차적/MAG+으로/JKB
해나가는	하/VV+여/EC+나가/VX+는/ETM
로드맵을	로드맵/NNG+을/JKO
이	이/MM
법안에	법안/NNG+에/JKB
체계적으로	체계적/NNG+으로/JKB
담기	담/VV+기/ETN
위해서	위하/VV+여서/EC
입법과정	입법과정/NNG
중에	중/NNB+에/JKB
있다	있/VA+다/EF

그러나	그러나/MAJ
분명히	분명히/MAG
발달장애인법은	발달장애인법/NNG+은/JX
제정이	제정/NNG+이/JKS
될	되/VV+ㄹ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
확실하게	확실하/VA+게/EC
부모님들께	부모님/NNG+들/XSN+께/JKB
약속을	약속/NNG+을/JKO
드릴	드리/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EC+”/VV+고/EC
강조했다	강조하/VV+였/EP+다/EC

한국장애인부모회	한국/NNP+장애인부모회/NNG
노익상	노익상/NNP
회장은	회장/NNG+은/JX
“발달장애인법이	“/SN+발달장애인법/NNG+이/JKS
시간이	시간/NNG+이/JKS
가더라도	가/VV+더라도/EC
발달장애인	발달장애인/NNG
가족에게	가족/NNG+에게/JKB
현실적으로	현실적/NNG+으로/JKB
도움이	도움/NNG+이/JKC
되고,	되/VV+고/EC+,/SP
정부가	정부/NNG+가/JKS
반드시	반드시/MAG
이행하도록	이행하/VV+도록/EC
하는	하/VX+는/ETM
법	법/NNB
안에	안/NNG+에/JKB
강제적인	강제적/NNG+이/VCP+ㄴ/ETM
문구와	문구/NNG+와/JC
조항이	조항/NNG+이/JKS
만들어질	만들/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
추진해나가겠다”면서	추진하/VV+여/EC+나가/VX+겠/EP+다/EC+”/VV+면서/EC
“복지부를	“/SL+복지부/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
행정기관과의	행정기관/NNG+과/JKB+의/JKG
협의를	협의/NNG+를/JKO
12월	12/SN+월/NNB
초부터	초/NNB+부터/JX
추진,	추진/NNG+,/SP
진행	진행/NNG
해나갈	하/VV+여/EC+나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

양	양/MM
기관의	기관/NNG+의/JKG
협약에	협약/NNG+에/JKB
따라	따르/VV+아/EC
박근혜	박근혜/NNP
후보는	후보/NNG+는/JX
발달장애인법	발달장애인법/NNG
제정을	제정/NNG+을/JKO
추진하고,	추진하/VV+고/EC+,/SP
발달장애인평생교육시설	발달장애인평생교육시설/NNG
설치·운영,	설치/NNG+·/SP+운영/NNG+,/SP
발달장애인	발달장애인/NNG
전문	전문/NNG
직업시설을	직업시설/NNG+을/JKO
설치·운영,	설치/NNG+·/SP+운영/NNG+,/SP
발달장애아동의	발달장애아동/NNG+의/JKG
특수교육	특수교육/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
특수교사	특수교사/NNG
7천명	7/SN+천/NR+명/NNB
이상	이상/NNG
확충	확충/NNG
등을	등/NNB+을/JKO
공약으로	공약/NNG+으로/JKB
내세울	내세우/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

앞서	앞서/MAG
발제련은	발제련/NNG+은/JX
민주통합당	민주통합당/NNP
제18대	제/XPN+18/SN+대/NNG
문재인	문재/NNG+이/VCP+ㄴ/ETM
대통령	대통령/NNG
후보	후보/NNG
선대위	선대위/NNG
매니페스토	매니페스토/NNP
본부와도	본부/NNG+와/JKB+도/JX
‘발달장애인	‘/SN+발달장애인/NNG
매니페스토	매니페스토/NNG
정책	정책/NNG
협약식’을	협약/NNG+식/XSN+’/SL+을/JKO
가진	가지/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

이주영	이주영/NNP
단장과	단장/NNG+과/JC
한국장애인부모회	한국/NNP+장애인부모회/NNG
노익상	노익상/NNP
회장이	회장/NNG+이/JKS
'발달장애인	'/SS+발달장애/NNG+이/VCP+ㄴ/ETM
매니페스토	매니페스토/NNG
정책	정책/NNG
협약'을	협약/NNG+'/SS+을/JKO
체결한	체결하/VV+ㄴ/ETM
뒤	뒤/NNG
전국장애인부모연대	전/MM+국장애인부모연대/NNG
윤종술	윤종술/NNP
회장과	회장/NNG+과/JC
새누리당	새누리당/NNP
김정록	김정록/NNP
의원과	의원/NNG+과/JKB
함께	함께/MAG
기념사진을	기념사진/NNG+을/JKO
찍고	찍/VV+고/EC
있다	있/VX+다/EC

'발달장애인	'/SS+발달장애/NNG+이/VCP+ㄴ/ETM
매니페스토	매니페스토/NNG
정책	정책/NNG
협약'을	협약/NNG+'/SS+을/JKO
체결하고	체결하/VV+고/EC
협약식에	협약/NNG+식/XSN+에/JKB
참석한	참석하/VV+ㄴ/ETM
발달장애인과	발달장애인/NNG+과/JC
부모들이	부모/NNG+들/XSN+이/JKS
함께	함께/MAG
나와	나오/VV+아/EC
'발달장애인	'/SS+발달장애인/NNG
화이팅'을	화이팅/NNG+'/SS+을/JKO
외치고	외치/VV+고/EC
있다	있/VX+다/EC
