정부,	정부/NNG+,/SP
패륜적	패륜/NNG+적/XSN
성폭행	성폭행/NNG
사건으로	사건/NNG+으로/JKB
사회	사회/NNG
불안이	불안/NNG+이/JKS
가중되고	가중되/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"성범죄는	"/SS+성범죄/NNG+는/JX
우리	우리/NP
사회에	사회/NNG+에/JKB
발붙이지	발붙이/VV+지/EC
못하도록	못하/VX+도록/EC
정부가	정부/NNG+가/JKS
모든	모든/MM
대책을	대책/NNG+을/JKO
강구할	강구하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

정부가	정부/NNG+가/JKS
이날	이날/NNG
이명박	이명박/NNP
대통령	대통령/NNG
주재로	주재/NNG+로/JKB
청와대에서	청와대/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국무회의에서	국무회의/NNG+에서/JKB
`성충동	`/SW+성충동/NNP
약물치료'(일명	약물치료/NNG+'(/SS+일명/NNG
화학적	화학적/NNG
거세)	거세/NNG+)/SS
대상자를	대상자/NNG+를/JKO
확대하는	확대하/VV+는/ETM
방안을	방안/NNG+을/JKO
검토키로	검토하/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
이	이/NP
같은	같/VA+은/ETM
의지를	의지/NNG+를/JKO
반영한	반영하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

법무부는	법무부/NNG+는/JX
현행	현행/NNG
16세	16/SN+세/NNB
미만을	미만/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
성범죄자에	성범죄자/NNG+에/JKB
대해서	대하/VV+여서/EC
약물치료를	약물치료/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VX+ㄴ/EF
현행	현행/NNG
법을	법/NNG+을/JKO
고쳐	고치/VV+어/EC
19세	19/SN+세/NNB
미만을	미만/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
범죄자까지	범죄자/NNG+까지/JX
확대하는	확대하/VV+는/ETM
방안을	방안/NNG+을/JKO
적극	적극/NNG
검토하겠다고	검토하/VV+겠/EP+다고/EC
보고했다	보고하/VV+였/EP+다/EC

일각에서	일각/NNG+에서/JKB
제기되는	제기되/VV+는/ETM
인권침해나	인권침해/NNG+나/JC
효과	효과/NNG
논란을	논란/NNG+을/JKO
고려해	고려하/VV+여/EC
일단	일단/MAG
미성년자에	미성년자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
성범죄자를	성범죄자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
하겠다는	하/VV+겠/EP+다는/ETM
것으로	것/NNB+으로/JKB
풀이된다	풀이되/VV+ㄴ다/EF

또	또/MAG
성범죄에	성범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
형량을	형량/NNG+을/JKO
강화하는	강화하/VV+는/ETM
동시에	동시/NNG+에/JKB
전자발찌	전자발찌/NNG
착용의	착용/NNG+의/JKG
소급적용을	소급적용/NNG+을/JKO
적극적으로	적극적/NNG+으로/JKB
추진하고,	추진하/VV+고/EC+,/SP
성범죄자의	성범죄자/NNG+의/JKG
주소를	주소/NNG+를/JKO
상세히	상세히/MAG
공개하는	공개하/VV+는/ETM
등	등/NNB
범죄	범죄/NNG
억지를	억지/NNG+를/JKO
위해	위하/VV+여/EC
거론되는	거론되/VV+는/ETM
수단을	수단/NNG+을/JKO
모두	모두/MAG
동원할	동원하/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

이와	이/NP+와/JKB
함께	함께/MAG
정부는	정부/NNG+는/JX
실제	실제/NNG
국민	국민/NNG
실생활에	실생활/NNG+에/JKB
근접해	근접하/VV+여/EC
치안을	치안/NNG+을/JKO
담당하는	담당하/VV+는/ETM
지구대별로	지구대/NNG+별/XSN+로/JKB
새로운	새롭/VA+ㄴ/ETM
범죄	범죄/NNG
양상을	양상/NNG+을/JKO
반영해	반영하/VV+여/EC
순찰	순찰/NNG
지역을	지역/NNG+을/JKO
확대	확대/NNG
개편하고,	개편하/VV+고/EC+,/SP
방범용	방범/NNG+용/XSN
폐쇄회로TV(CCTV)ㆍ조명을	폐쇄회/NNG+로/JKB+TV/SL+(/SS+CCTV/SL+)/SS+ㆍ/SP+조명/NNG+을/JKO
정비하는	정비하/VV+는/ETM
등	등/NNB
범죄	범죄/NNG
예방에	예방/NNG+에/JKB
총력을	총력/NNG+을/JKO
기울일	기울이/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

이는	이/NP+는/JX
이	이/MM
대통령이	대통령/NNG+이/JKS
나주	나주/NNP
7세	7/SN+세/NNB
여아	여아/NNG
납치ㆍ성폭행	납치ㆍ성폭행/NNG
사건이	사건/NNG+이/JKS
발생한	발생하/VV+ㄴ/ETM
지	지/NNB
하루만인	하루/NNG+만/NNB+이/VCP+ㄴ/ETM
지난달	지난달/NNG
31일	31/SN+일/NNB
서울	서울/NNP
서대문	서대문/NNP
경찰청을	경찰청/NNG+을/JKO
방문해	방문하/VV+여/EC
근본적인	근본적/NNG+이/VCP+ㄴ/ETM
대책을	대책/NNG+을/JKO
강구하라고	강구하/VV+라고/EC
지시한	지시하/VV+ㄴ/ETM
이후	이후/NNG
나온	나오/VV+ㄴ/ETM
조치다	조치/VV+다/EC

이	이/NNP
대통령은	대통령/NNG+은/JX
당시	당시/NNG
경찰	경찰/NNG
인력	인력/NNG
보강,	보강/NNG+,/SP
민생치안	민생치안/NNG
예산	예산/NNG
증액,	증액/NNG+,/SP
인터넷	인터넷/NNG
음란물	음란물/NNG
차단과	차단/NNG+과/JC
같은	같/VA+은/ETM
대책을	대책/NNG+을/JKO
주문했다	주문하/VV+였/EP+다/EF

이	이/NNP
대통령은	대통령/NNG+은/JX
3일	3/SN+일/NNB
라디오	라디오/NNG
연설에서도	연설/NNG+에서/JKB+도/JX
"전자발찌의	"/SS+전자발찌/NNG+의/JKG
실효성을	실효성/NNG+을/JKO
높여가는	높이/VV+어/EC+가/VX+는/ETM
한편	한편/NNG
그것만으로	그것/NP+만/JX+으로/JKB
부족하면	부족하/VA+면/EC
약물치료를	약물치료/NNG+를/JKO
포함해	포함하/VV+여/EC
가능한	가능하/VA+ㄴ/ETM
모든	모든/MM
대책을	대책/NNG+을/JKO
적극	적극/NNG
검토할	검토하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

청와대는	청와대/NNP+는/JX
최근	최근/NNG
엽기적	엽기적/NNG
성범죄와	성범죄/NNG+와/JC
`묻지마	`/SW+묻/VV+지마/EC
살인사건'이	살인사건/NNG+'/SS+이/JKS
잇따라	잇따르/VV+아/EC
발생하자	발생하/VV+자/EC
그동안	그동안/NNG
사실상	사실상/NNG
폐지했던	폐지하/VV+였/EP+던/ETM
사형	사형/NNG
집행을	집행/NNG+을/JKO
요구하는	요구하/VV+는/ETM
사회	사회/NNG
여론에	여론/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
관심을	관심/NNG+을/JKO
기울이는	기울이/VV+는/ETM
것으로	것/NNB+으로/JKB
전해졌다	전하/VV+여/EC+지/VX+었/EP+다/EF

aayyss@yna	aayyss/SL+@/SW+yna/SL

co	co/SL

krbscharm@yna	krbscharm/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
