10년	10/SN+년/NNB
장애를	장애/NNG+를/JKO
이유로	이유/NNG+로/JKB
차별을	차별/NNG+을/JKO
금지하는	금지하/VV+는/ETM
장애인차별금지법(이하	장애인차별금지법/NNG+(/SS+이하/NNG
장차법)	장차법/NNG+)/SS
제정을	제정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
7년간의	7/SN+년/NNB+간/XSN+의/JKG
기나긴	기나길/VA+ㄴ/ETM
투쟁	투쟁/NNG

2007년과	2007/SN+년/NNB+과/JC
2008년	2008/SN+년/NNB
2년간	2/SN+년/NNB+간/XSN
올해	올해/NNG
장애인계	장애인계/NNG
키워드	키워드/NNG
1위로	1/SN+위/NNB+로/JKB
선정된	선정되/VV+ㄴ/ETM
만큼,	만큼/NNB+,/SP
장차법에	장차법/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
장애인들의	장애인/NNG+들/XSN+의/JKG
관심은	관심/NNG+은/JX
뜨거웠다	뜨겁/VA+었/EP+다/EC

국회의장의	국회의장/NNG+의/JKG
‘땅	‘/SL+땅/NNG

땅	땅/NNG

땅	땅/NNG

’	’/SL
의사봉이	의사봉/NNG+이/JKS
내리치던	내리치/VV+던/ETM
2007년	2007/SN+년/NNB
3월	3/SN+월/NNB
역사적인	역사적/NNG+이/VCP+ㄴ/ETM
순간,	순간/NNG+,/SP
장차법	장차법/NNG
가결	가결/NNG
소식에	소식/NNG+에/JKB
국회	국회/NNG
앞	앞/NNG
장애인들은	장애인/NNG+들/XSN+은/JX
너나할	너나/NP+하/VV+ㄹ/ETM
것이	것/NNB+이/JKS
없이	없이/MAG
서로를	서로/NNG+를/JKO
얼싸안고	얼싸안/VV+고/EC
환호했다	환호하/VV+였/EP+다/EF

장차법은	장차법/NNG+은/JX
금지대상	금지대상/NNG
차별행위를	차별행위/NNG+를/JKO
직접차별,	직접차별/NNG+,/SP
간접차별,	간접차별/NNG+,/SP
정당한	정당하/VA+ㄴ/ETM
편의제공	편의제공/NNG
거부	거부/NNG
등으로	등/NNB+으로/JKB
나누고,	나누/VV+고/EC+,/SP
차별금지	차별금지/NNG
영역을	영역/NNG+을/JKO
고용	고용/NNG
교육	교육/NNG
재화와	재화/NNG+와/JC
용역의	용역/NNG+의/JKG
제공	제공/NNG
및	및/MAG
이용	이용/NNG
사법·행정절차,	사법/NNG+·/SP+행정절차/NNG+,/SP
서비스제공	서비스제공/NNG
및	및/MAG
참정권행사	참정권행사/NNG
모·부성권과	모/NNG+·/SP+부성권/NNG+과/JC
성에	성/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
권리	권리/NNG
가정·복지시설	가정/NNG+·/SP+복지시설/NNG
및	및/MAG
건강권	건강/NNG+권/XSN
등	등/NNB
여섯	여섯/NR
가지로	가지/NNB+로/JKB
규정하고	규정하/VV+고/EC
있다	있/VX+다/EC

장애를	장애/NNG+를/JKO
사유로	사유/NNG+로/JKB
한	하/VV+ㄴ/ETM
차별의	차별/NNG+의/JKG
예방·조사·시정조치	예방/NNG+·/SP+조사/NNG+·/SP+시정조치/NNG
등을	등/NNB+을/JKO
위해	위하/VV+여/EC
국가인권위원회	국가인권위원회/NNG
내에	내/NNB+에/JKB
장애인차별시정소위원회를	장애인차별시정소위원회/NNG+를/JKO
두도록	두/VV+도록/EC
했다	하/VX+였/EP+다/EC

또한	또한/MAG
인권위가	인권위/NNG+가/JKS
발하는	발하/VV+는/ETM
시정권고의	시정권고/NNG+의/JKG
실효성을	실효성/NNG+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+여/EC
정당한	정당하/VA+ㄴ/ETM
사유	사유/NNG
없이	없이/MAG
시정권고를	시정권고/NNG+를/JKO
이행하지	이행하/VV+지/EC
않은	않/VX+은/ETM
경우,	경우/NNG+,/SP
법무부장관이	법무부장관/NNG+이/JKS
차별행위자에	차별행위자/NNG+에/JKB
대해	대하/VV+여/EC
시정을	시정/NNG+을/JKO
명할	명하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고,	하/VX+고/EC+,/SP
시정명령을	시정명령/NNG+을/JKO
이행하지	이행하/VV+지/EC
아니한	아니하/VX+ㄴ/ETM
경우	경우/NNG
3천만원	3/SN+천만/NR+원/NNB
이하의	이하/NNG+의/JKG
과태료를	과태료/NNG+를/JKO
부과하도록	부과하/VV+도록/EC
규정했다	규정하/VV+였/EP+다/EC

그렇다면	그렇/VA+다면/EC
장차법의	장차법/NNG+의/JKG
첫	첫/MM
진정대상은	진정대상/NNG+은/JX
누구였을까?	누구/NP+이/VCP+었/EP+을까/EF+?/SF
바로	바로/MAG
휠체어나	휠체어/NNG+나/JC
전동스쿠터를	전동스쿠터/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인이	장애인/NNG+이/JKS
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
구조로	구조/NNG+로/JKB
되어	되/VV+어/EC
있던	있/VX+던/ETM
대구시의회	대구시의회/NNG
건물이다	건물/NNG+이/VCP+다/EC

대구시의회	대구시의회/NNP
건물은	건물/NNG+은/JX
다른	다르/VA+ㄴ/ETM
시·도의회	시/NNG+·/SP+도의회/NNG
건물의	건물/NNG+의/JKG
편의시설	편의시설/NNG
설치	설치/NNG
상황과	상황/NNG+과/JKB
비교해서도	비교하/VV+여서/EC+도/JX
매우	매우/MAG
이례적으로	이례적/NNG+으로/JKB
장애인	장애인/NNG
편의가	편의/NNG+가/JKS
부족한	부족하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
지적돼,	지적되/VV+어/EC+,/SP
대구DPI가	대구/NNP+DPI/SL+가/JKS
국가인권위원회에	국가인권위원회/NNG+에/JKB
첫	첫/MM
진정서를	진정서/NNG+를/JKO
제출한	제출하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

장차법	장차법/NNG
시행이후,	시행이후/NNG+,/SP
진정건수도	진정건수/NNG+도/JX
확연한	확연하/VA+ㄴ/ETM
차이를	차이/NNG+를/JKO
보였다	보이/VV+었/EP+다/EF

인권위가	인권위/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
2001년	2001/SN+년/NNB
11월부터	11/SN+월/NNB+부터/JX
2011년	2011/SN+년/NNB
12월까지	12/SN+월/NNB+까지/JX
장애차별	장애차별/NNG
진정	진정/NNG
건수에	건수/NNG+에/JKB
따르면	따르/VV+면/EC
장차법	장차법/NNG
시행	시행/NNG
이전에는	이전/NNG+에/JKB+는/JX
653건에	653/SN+건/NNB+에/JKB
불과한	불과하/VA+ㄴ/ETM
반면,	반면/NNG+,/SP
시행	시행/NNG
이후에는	이후/NNG+에/JKB+는/JX
3818건으로	3818/SN+건/NNB+으로/JKB
대폭	대폭/MAG
늘었다	늘/VV+었/EP+다/EF

장차법	장차법/NNG
시행	시행/NNG
이전에는	이전/NNG+에/JKB+는/JX
월	월/NNG
평균	평균/NNG
8	8/SN

5건이었던	5/SN+건/NNB+이/VCP+었/EP+던/ETM
사건	사건/NNG
수가	수/NNG+가/JKS
시행	시행/NNG
이후에는	이후/NNG+에/JKB+는/JX
85	85/SN

4건으로	4/SN+건/NNB+으로/JKB
약	약/MM
9배가량	9/SN+배/NNG+가량/XSN
증가했다	증가하/VV+였/EP+다/EC

시행된	시행되/VV+ㄴ/ETM
지	지/NNB
5년이	5/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
지금도	지금/NNG+도/JX
여전히	여전히/MAG
장애인들은	장애인/NNG+들/XSN+은/JX
‘장애인	‘/SN+장애인/NNG
차별’을	차별’/NNG+을/JKO
외치며	외치/VV+며/EC
끊임없이	끊임없이/MAG
진정서를	진정서/NNG+를/JKO
들고	들/VV+고/EC
인권위로	인권위/NNG+로/JKB
향하고	향하/VV+고/EC
있다	있/VX+다/EC

장애인연금법	장애인연금법/NNG
제정을	제정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
투쟁모습	투쟁모습/NNG

■2010년	■/SW+2010/SN+년/NNB
장애인연금법=지난	장애인연금법/NNG+=/SW+지나/VV+ㄴ/ETM
2006년부터	2006/SN+년/NNB+부터/JX
2008년까지	2008/SN+년/NNB+까지/JX
에이블뉴스의	에이블뉴스/NNP+의/JKG
연말	연말/NNG
3년간	3/SN+년/NNB+간/XSN
키워드	키워드/NNG
1위	1/SN+위/NNB
단골손님	단골손님/NNG
LPG사태와	LPG/SL+사태/NNG+와/JC
장애인연금법의	장애인연금법/NNG+의/JKG
‘잘못된	‘/SL+잘못되/VV+ㄴ/ETM
만남’	만남/NNG+’/SN

이들을	이/NP+들/XSN+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
장애계의	장애/NNG+계/XSN+의/JKG
반응은	반응/NNG+은/JX
너무도	너무/MAG+도/JX
뜨거웠다	뜨겁/VA+었/EP+다/EC

LPG제도가	LPG/SL+제도/NNG+가/JKS
없어지고	없어지/VV+고/EC
도입된	도입되/VV+ㄴ/ETM
장애인연금법	장애인연금법/NNG

모든	모든/MM
장애인들에게	장애인/NNG+들/XSN+에게/JKB
지급되던	지급되/VV+던/ETM
장애수당을	장애수당/NNG+을/JKO
18세	18/SN+세/NNB
이상	이상/NNG
중증장애인에	중증장애인/NNG+에/JKB
해당하는	해당하/VV+는/ETM
1,2급,	1,2/SN+급/NNG+,/SP
3급	3/SN+급/NNG
중복장애만을	중복장애/NNG+만/JX+을/JKO
위한	위하/VV+ㄴ/ETM
연금으로	연금/NNG+으로/JKB
전환됐다	전환되/VV+었/EP+다/EF

‘장애인연금은	‘/SN+장애인연금/NNG+은/JX
중증장애인의	중증장애인/NNG+의/JKG
근로능력	근로능력/NNG
상실	상실/NNG
또는	또는/MAG
현저한	현저하/VA+ㄴ/ETM
감소로	감소/NNG+로/JKB
인해	인하/VV+여/EC
줄어드는	줄어들/VV+는/ETM
소득과	소득/NNG+과/JC
장애로	장애/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
추가	추가/NNG
비용을	비용/NNG+을/JKO
보전하기	보전하/VV+기/ETN
위해	위하/VV+여/EC
지급되는	지급되/VV+는/ETM
연금이다	연금/NNG+이/VCP+다/EC

’정부가	’/SL+정부/NNG+가/JKS
밝힌	밝히/VV+ㄴ/ETM
이	이/MM
문장만	문장/NNG+만/JX
봤을	보/VV+았/EP+을/ETM
때는	때/NNG+는/JX
장애계에서는	장애/NNG+계/XSN+에서/JKB+는/JX
당연	당연/NNG
환영해야하는	환영하/VV+여야/EC+하/VX+는/ETM
것이	것/NNB+이/JKS
분명했으나	분명하/VA+었/EP+으나/EC
연금법을	연금법/NNG+을/JKO
바라보는	바라보/VV+는/ETM
장애인들의	장애인/NNG+들/XSN+의/JKG
시선은	시선/NNG+은/JX
불안하기	불안하/VA+기/ETN
짝이	짝/NNG+이/JKS
없었다	없/VA+었/EP+다/EF

장애인연금을	장애인연금/NNG+을/JKO
받게	받/VV+게/EC
돼면	되/VV+어면/EC
수급권자의	수급권자/NNG+의/JKG
경우,	경우/NNG+,/SP
장애인연금을	장애인연금/NNG+을/JKO
받은	받/VV+은/ETM
만큼	만큼/NNB
급여가	급여/NNG+가/JKS
차감당할	차감/NNG+당하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
염려가	염려/NNG+가/JKS
있었기	있/VA+었/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

불안감이	불안감/NNG+이/JKS
커지자,	커지/VV+자/EC+,/SP
복지부에서는	복지부/NNG+에서/JKB+는/JX
국민기초생활보장법	국민기초생활보장법/NNG
시행규칙을	시행규칙/NNG+을/JKO
개정해	개정하/VV+여/EC
수급권자의	수급권자/NNG+의/JKG
생계급여에서	생계급여/NNG+에서/JKB
차감하지	차감하/VV+지/EC
않는	않/VX+는/ETM
것으로	것/NNB+으로/JKB
결론	결론/NNG
내렸다	내리/VV+었/EP+다/EC

그럼에도	그렇/VA+ㅁ에도/EC
장애인연금에	장애인연금/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
현재까지	현재/NNG+까지/JX
설왕설래가	설왕설래/NNG+가/JKS
끊이지	끊이/VV+지/EC
않고	않/VX+고/EC
있다	있/VX+다/EC

바로	바로/MAG
현실과	현실/NNG+과/JKB
동떨어진	동떨어지/VA+ㄴ/ETM
턱	턱/NNB
없이	없이/MAG
부족한	부족하/VA+ㄴ/ETM
금액	금액/NNG
때문이다	때문/NNB+이/VCP+다/EC

장애계는	장애/NNG+계/XSN+는/JX
꾸준한	꾸준하/VA+ㄴ/ETM
인상을	인상/NNG+을/JKO
위해	위하/VV+여/EC
힘써왔지만	힘쓰/VV+어/EC+오/VX+았/EP+지만/EC
현재	현재/MAG
장애인연금은	장애인연금/NNG+은/JX
최저	최저/NNG
9만4,000원에서	9/SN+만/NR+4,000/SN+원/NNB+에서/JKB
최고	최고/NNG
15만4,000원	15/SN+만/NR+4,000/SN+원/NNB
수준에서	수준/NNG+에서/JKB
지급되고	지급되/VV+고/EC
있다	있/VX+다/EC

장애로	장애/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
추가비용을	추가비용/NNG+을/JKO
보전하기에는	보전하/VV+기/ETN+에/JKB+는/JX
턱	턱/NNB
없이	없이/MAG
부족한	부족하/VA+ㄴ/ETM
금액이다	금액/NNG+이/VCP+다/EC

2010년도	2010/SN+년/NNB+도/JX
국민건강보험공단의	국민건강보험공단/NNG+의/JKG
‘장애인	‘/SL+장애인/NNG
가구와	가구/NNG+와/JC
비장애인	비/XPN+장애인/NNG
가구	가구/NNG
의료비용	의료비용/NNG
비교	비교/NNG
자료’를	자료’/NNG+를/JKO
보면	보/VV+면/EC
의료비용	의료비용/NNG
지출이	지출/NNG+이/JKS
비장애인	비/XPN+장애인/NNG
가구는	가구/NNG+는/JX
11만원인	11/SN+만/NR+원/NNB+이/VCP+ㄴ/ETM
반면	반면/NNG
장애인	장애인/NNG
가구는	가구/NNG+는/JX
24만원을	24/SN+만/NR+원/NNB+을/JKO
지출하고	지출하/VV+고/EC
있다	있/VX+다/EC

이	이/MM
것만으로	것/NNB+만/JX+으로/JKB
봐도	보/VV+아도/EC
연금은	연금/NNG+은/JX
현실과	현실/NNG+과/JC
동떨어짐을	동떨어지/VV+ㅁ/ETN+을/JKO
확연히	확연히/MAG
알	알/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EF

그렇다면	그렇/VA+다면/EC
언제쯤	언제/NP+쯤/XSN
연금의	연금/NNG+의/JKG
현실화는	현실화/NNG+는/JX
이뤄질까?	이루어지/VV+ㄹ까/EF+?/SF
내년도	내년도/NNG
예산안을	예산안/NNG+을/JKO
보면	보/VV+면/EC
장애인연금	장애인연금/NNG
기초급여는	기초급여/NNG+는/JX
현	현/MM
9만4,600원보다	9/SN+만/NR+4,600/SN+원/NNB+보다/JKB
2,600원	2,600/SN+원/NNB
인상된	인상되/VV+ㄴ/ETM
9만7,200원으로	9/SN+만/NR+7,200/SN+원/NNB+으로/JKB
편성했으며	편성하/VV+였/EP+으며/EC
나이와	나이/NNG+와/JC
계층별로	계층/NNG+별/XSN+로/JKB
지급되는	지급되/VV+는/ETM
부가급여도	부가급여/NNG+도/JX
2만원	2/SN+만/NR+원/NNB
정도	정도/NNG
인상하는	인상하/VV+는/ETM
수준으로	수준/NNG+으로/JKB
그쳤다	그치/VV+었/EP+다/EC

이에	이/NP+에/JKB
국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
위원들은	위원/NNG+들/XSN+은/JX
장애인연금이	장애인연금/NNG+이/JKS
현실과	현실/NNG+과/JKB
동떨어진	동떨어질/VA+ㄴ/ETM
턱없이	턱없이/MAG
부족하다며,	부족하/VA+다며/EC+,/SP
인상할	인상하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
꾸준히	꾸준히/MAG
주문해오고	주문하/VV+여/EC+오/VX+고/EC
있다	있/VX+다/EC

최근	최근/NNG
오제세	오제세/NNP
보건복지위원장도	보건복지위원장/NNG+도/JX
부가급여를	부가급여/NNG+를/JKO
2017년까지	2017/SN+년/NNB+까지/JX
단계적으로	단계적/NNG+으로/JKB
21만원까지	21/SN+만/NR+원/NNB+까지/JX
인상해	인상하/VV+여/EC
장애로	장애/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
추가비용을	추가비용/NNG+을/JKO
보전할	보전하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하는	하/VX+는/ETM
등의	등/NNB+의/JKG
장애인연금	장애인연금/NNG
현실화	현실화/NNG
방안을	방안/NNG+을/JKO
조속히	조속히/MAG
마련해야	마련하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
주장한	주장하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF

장애계에서도	장애/NNG+계/XSN+에서/JKB+도/JX
대선	대선/NNG
공약에	공약/NNG+에/JKB
장애인연금	장애인연금/NNG
현실화를	현실화/NNG+를/JKO
중요	중요/NNG
순위로	순위/NNG+로/JKB
내보이는	내보이/VV+는/ETM
등	등/NNB
분주한	분주하/VV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
어느	어느/MM
후보가	후보/NNG+가/JKS
대통령으로	대통령/NNG+으로/JKB
뽑혀	뽑히/VV+어/EC
장애인들의	장애인/NNG+들/XSN+의/JKG
설움을	설움/NNG+을/JKO
해결해	해결하/VV+여/EC
줄지	주/VX+ㄹ지/EC
장애계는	장애/NNG+계/XSN+는/JX
12월에	12/SN+월/NNB+에/JKB
촉각을	촉각/NNG+을/JKO
곤두세우고	곤두세우/VV+고/EC
있다	있/VX+다/EC

장애아동복지지원법	장애아동복지지원법/NNG
제정을	제정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
투쟁(왼쪽)과	투쟁/NNG+(/SS+왼쪽/NNG+)/SS+과/JC
축하연에서	축하연/NNG+에서/JKB
제정을	제정/NNG+을/JKO
기뻐하는	기뻐하/VV+는/ETM
부모들(오른쪽)	부모/NNG+들/XSN+(/SS+오른쪽/NNG+)/SS

■2011년	■/SW+2011/SN+년/NNB
장애아동복지지원법=“우리	장애아동복지지원법/NNG+=/SW+“/SL+우리/NP
아이들이	아이/NNG+들/XSN+이/JKS
치료를	치료/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있어	있/VA+어/EC
너무	너무/MAG
기뻐!”	기쁘/VA+어/EC+!/SF+”/SL
장애부모들의	장애부모/NNG+들/XSN+의/JKG
염원,	염원/NNG+,/SP
‘장애아동복지지원법’이	‘/SN+장애아동복지지원법’/NNG+이/JKS
제정된	제정되/VV+ㄴ/ETM
건	것/NNB+ㄴ/JX
지난	지나/VV+ㄴ/ETM
2011년	2011/SN+년/NNB
6월부터다	6/SN+월/NNB+부터다/JX

장애아동복지지원법은	장애아동복지지원법/NNG+은/JX
장애아동에게	장애아동/NNG+에게/JKB
적절한	적절하/VA+ㄴ/ETM
복지지원을	복지지원/NNG+을/JKO
제공하기	제공하/VV+기/ETN
위해	위하/VV+여/EC
△장애아동과	△/SN+장애아동/NNG+과/JC
그	그/MM
가족을	가족/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
복지지원대책의	복지지원대책/NNG+의/JKG
강구	강구/NNG
△장애아동을	△/SN+장애아동/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
복지지원	복지지원/NNG
사업의	사업/NNG+의/JKG
연구·개발	연구/NNG+·/SP+개발/NNG
△장애아동의	△/SN+장애아동/NNG+의/JKG
조기발견을	조기발견/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
홍보	홍보/NNG
△복지지원	△/SL+복지지원/NNG
전달체계의	전달체계/NNG+의/JKG
구축	구축/NNG
△복지지원	△/SN+복지지원/NNG
이용권의	이용권/NNP+의/JKG
수급	수급/NNG
및	및/MAG
이용에	이용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관리·감독	관리/NNG+·/SP+감독/NNG
등을	등/NNB+을/JKO
담고	담/VV+고/EC
있다	있/VX+다/EC

특히	특히/MAG
이	이/MM
법의	법/NNG+의/JKG
핵심사항이라고	핵심사항/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장애아동에게	장애아동/NNG+에게/JKB
적절한	적절하/VA+ㄴ/ETM
복지지원을	복지지원/NNG+을/JKO
제공할	제공하/VV+ㄹ/ETM
‘장애아동지원센터’에	‘/SN+장애아동지원센터’/NNG+에/JKB
부모들의	부모/NNG+들/XSN+의/JKG
관심이	관심/NNG+이/JKS
증대되고	증대되/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
정부에서도	정부/NNG+에서/JKB+도/JX
내년도	내년도/NNG
중앙센터	중앙센터/NNG
설립을	설립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
분주한	분주하/VA+ㄴ/ETM
움직임을	움직임/NNG+을/JKO
보이고	보이/VV+고/EC
있다	있/VX+다/EC

보건복지부는	보건복지부/NNG+는/JX
내년도	내년도/NNG
예산	예산/NNG
5억원을	5/SN+억/NR+원/NNB+을/JKO
편성해	편성하/VV+여/EC
기획재정부에	기획재정부/NNG+에/JKB
제출한	제출하/VV+ㄴ/ETM
상태며,	상태/NNG+이/VCP+며/EC+,/SP
원할한	원할하/VA+ㄴ/ETM
센터	센터/NNG
운영을	운영/NNG+을/JKO
위해	위하/VV+여/EC
5억원의	5/SN+억/NR+원/NNB+의/JKG
사업비를	사업비/NNG+를/JKO
들여	들이/VV+어/EC
오는	오/VV+는/ETM
하반기	하반기/NNG
중앙1개소,	중앙/NNG+1/SN+개소/NNB+,/SP
지역2개소	지역/NNG+2/SN+개소/NNB
등	등/NNB
총	총/MM
3개소의	3/SN+개소/NNB+의/JKG
센터	센터/NNG
시범사업을	시범사업/NNG+을/JKO
연말까지	연말/NNG+까지/JX
운영,	운영/NNG+,/SP
다음해	다음해/NNG
상반기	상반기/NNG
정식	정식/NNG
운영될	운영되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

내년도	내년도/NNG
운영될	운영되/VV+ㄹ/ETM
'중앙장애아동지원센터'는	'/SS+중앙장애아동지원센터/NNG+'/SS+는/JX
△장애아동의	△/SL+장애아동의/NNG
복지지원에	복지지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
조사·연구	조사/NNG+·/SP+연구/NNG
△지역장애아동지원센터에	△/SN+지역장애아동지원센터/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평가	평가/NNG
및	및/MAG
운영	운영/NNG
지원	지원/NNG
△장애아동의	△/SN+장애아동/NNG+의/JKG
복지지원	복지지원/NNG
정책에	정책/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
정보	정보/NNG
및	및/MAG
자료	자료/NNG
제공	제공/NNG
△장애아동의	△/SN+장애아동/NNG+의/JKG
장애유형별	장애유형별/NNG
지원	지원/NNG
프로그램의	프로그램/NNG+의/JKG
개발	개발/NNG
등의	등/NNB+의/JKG
업무를	업무/NNG+를/JKO
수행하게	수행하/VV+게/EC
된다	되/VV+ㄴ다/EF

반면,	반면/NNG+,/SP
내년도	내년도/NNG
운영이	운영/NNG+이/JKS
불투명한	불투명하/VA+ㄴ/ETM
지역센터의	지역센터/NNG+의/JKG
경우,	경우/NNG+,/SP
지자체의	지자체/NNG+의/JKG
예산으로	예산/NNG+으로/JKB
설립됨에	설립되/VV+ㅁ/ETN+에/JKB
있어,	있/VA+어/EC+,/SP
인구,	인구/NNG+,/SP
여건에	여건/NNG+에/JKB
따라	따르/VV+아/EC
각	각/MM
지자체	지자체/NNG
별	별/MM
사정이	사정/NNG+이/JKS
다른	다르/VA+ㄴ/ETM
만큼	만큼/NNB
실제적으로	실제/NNG+적/XSN+으로/JKB
시행될	시행되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지자체의	지자체/NNG+의/JKG
협조가	협조/NNG+가/JKS
필요한	필요하/VA+ㄴ/ETM
실정이다	실정/NNG+이/VCP+다/EC

특수교육법	특수교육법/NNG
제정을	제정/NNG+을/JKO
위해	위하/VV+여/EC
3보	3/SN+보/NNB
1배	1/SN+배/NNG
하는	하/VV+는/ETM
모습(왼쪽)과	모습/NNG+(/SS+왼쪽/NNG+)/SS+과/JC
제정	제정/NNG
축하연자리에서	축하연자리/NNG+에서/JKB
기뻐하는	기뻐하/VV+는/ETM
모습(오른쪽)	모습/NNG+(/SS+오른쪽/NNG+)/SS

■2008년	■/SW+2008/SN+년/NNB
특수교육법=“국회	특수교육법/NNG+=/SW+“/SL+국회/NNG
역사상	역사상/NNG
가장	가장/MAG
아름다운	아름답/VA+ㄴ/ETM
모습이었다	모습/NNG+이/VCP+었/EP+다/EF

”	”/SL
장애인	장애인/NNG
교육의	교육/NNG+의/JKG
새	새/MM
지평을	지평/NNG+을/JKO
열어갈	열/VV+어/EC+가/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
많은	많/VA+은/ETM
기대와	기대/NNG+와/JC
관심	관심/NNG
속에서,	속/NNG+에서/JKB+,/SP
