“새로운	“/SL+새롭/VA+ㄴ/ETM
펀드레이징에	펀드레이징/NNG+에/JKB
대해	대하/VV+여/EC
구체적으로	구체적/NNG+으로/JKB
공개할	공개하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

유엔에스캅에서도	유엔에스캅/NNP+에서/JKB+도/JX
기금	기금/NNG
조성에	조성/NNG+에/JKB
참여해	참여하/VV+여/EC
주길	주/VX+기/ETN+ㄹ/JKO
바란다”고	바란다”/VV+고/EC
당부했다	당부하/VV+였/EP+다/EC
