서울시	서울시/NNP
관한	관하/VV+ㄴ/ETM
법률’에	법률’/NNG+에/JKB
따르면	따르/VV+면/EC
중앙관서의	중앙관서/NNG+의/JKG
장의	장/NNG+의/JKG
승인을	승인/NNG+을/JKO
받지	받/VV+지/EC
않고	않/VX+고/EC
보조사업의	보조사업/NNG+의/JKG
내용을	내용/NNG+을/JKO
변경하거나	변경하/VV+거나/EC
중단한	중단하/VV+ㄴ/ETM
자에게	자/NNB+에게/JKB
1천만원	1/SN+천만/NR+원/NNB
이하의	이하/NNG+의/JKG
벌금을	벌금/NNG+을/JKO
부과해야	부과하/VV+여야/EC
한다	하/VX+ㄴ다/EF

이와	이/NP+와/JKB
관련	관련/NNG
심재철	심재철/NNP
의원은	의원/NNG+은/JX
“서울시가	“/SL+서울시/NNP+가/JKS
주무부처의	주무부처/NNG+의/JKG
국토부와의	국토부/NNG+와/JKB+의/JKG
협의과정을	협의과정/NNG+을/JKO
무시하고	무시하/VV+고/EC
저상버스	저상버스/NNG
예산을	예산/NNG+을/JKO
불법으로	불법/NNG+으로/JKB
대폭	대폭/MAG
삭감했다”면서	삭감하/VV+였/EP+다/EC+”/SN+면서/EC
“장애인과	“/SL+장애인/NNG+과/JC
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
저상버스	저상버스/NNG
도입을	도입/NNG+을/JKO
당초	당초/NNG
계획의	계획/NNG+의/JKG
절반이나	절반/NNG+이나/JX
줄인	줄이/VV+ㄴ/ETM
합당한	합당하/VA+ㄴ/ETM
이유를	이유/NNG+를/JKO
밝히고,	밝히/VV+고/EC+,/SP
불법적인	불법적/NNG+이/VCP+ㄴ/ETM
예산삭감을	예산삭감/NNG+을/JKO
한	하/VV+ㄴ/ETM
담당직원에	담당직원/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
엄중히	엄중히/MAG
책임을	책임/NNG+을/JKO
물어야	묻/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
꼬집었다	꼬집/VV+었/EP+다/EF
