‘아태장애인	‘/SN+아태장애인/NNG
못했으나,	못하/VX+였/EP+으나/EC+,/SP
소수여서	소수/NNG+이/VCP+어서/EC
오히려	오히려/MAG
지역적	지역적/NNG
제한이	제한/NNG+이/JKS
있음에도	있/VA+음/ETN+에/JKB+도/JX
국제적	국제적/NNG
동향을	동향/NNG+을/JKO
잘	잘/MAG
알	알/VV+ㄹ/ETM
수도	수/NNB+도/JX
있음을	있/VA+음/ETN+을/JKO
보여줬다”고	보이/VV+어/EC+주/VX+었/EP+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
