'공천관련	'/SS+공천관련/NNG
검찰은	검찰/NNG+은/JX
그러나	그러나/MAJ
최	최/NNP
의원과	의원/NNG+과/JC
강씨가	강/NNP+씨/NNB+가/JKS
정치자금법을	정치자금법/NNG+을/JKO
위반한	위반하/VV+ㄴ/ETM
정황을	정황/NNG+을/JKO
포착하고	포착하/VV+고/EC
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
법리검토에	법리검토/NNG+에/JKB
들어갔다	들어가/VV+았/EP+다/EC

youngkyu@yna	youngkyu/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
