심상정,	심상정/NNG+,/SP
공동행동	공동행동/NNG
관계자는	관계자/NNG+는/JX
"대선	"/SS+대선/NNG
출마를	출마/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
뒤	뒤/NNG
(심	(/SS+심/NNP
후보에게)공식적인	후보/NNG+에게/JKB+)/SS+공식적/NNG+이/VCP+ㄴ/ETM
입장을	입장/NNG+을/JKO
밝혀달라고	밝히/VV+어/EC+달/VX+라고/EC
했을	하/VV+였/EP+을/ETM
때	때/NNG
제일	제일/MAG
먼저	먼저/MAG
우리의	우리/NP+의/JKG
요구에	요구/NNG+에/JKB
응담해줬다"면서	응담하/VV+여/EC+주/VX+었/EP+다/EF+"/SS+면서/EC
"예비후보가	"/SS+예비후보/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
대선	대선/NNG
후보가	후보/NNG+가/JKS
처음으로	처음/NNG+으로/JKB
농성장을	농성/NNG+장/XSN+을/JKO
찾아	찾/VV+아/EC
우리의	우리/NP+의/JKG
요구를	요구/NNG+를/JKO
듣고,	듣/VV+고/EC+,/SP
장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지를	폐지/NNG+를/JKO
약속했다	약속하/VV+었/EP+다/EC

의미가	의미/NNG+가/JKS
깊다고	깊/VA+다고/EC
생각한다"고	생각하/VV+ㄴ다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

진보정의당	진보정의당/NNP
심상정	심상정/NNP
의원이	의원/NNG+이/JKS
장애등급제와	장애등급/NNG+제/XSN+와/JC
부양의무제	부양의무제/NNG
폐지를	폐지/NNG+를/JKO
선언하고	선언하/VV+고/EC
있는	있/VX+는/ETM
모습	모습/NNG

간담회를	간담회/NNG+를/JKO
찾은	찾/VV+은/ETM
장애인들은	장애인/NNG+들/XSN+은/JX
주의깊게	주의/NNG+깊/VA+게/EC
듣고	듣/VV+고/EC
있다	있/VX+다/EC
