민주당,	민주당/NNP+,/SP
어려우며,	어렵/VA+으며/EC+,/SP
사회구성원으로	사회구성원/NNG+으로/JKB
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
종합적인	종합적/NNG+이/VCP+ㄴ/ETM
복지서비스를	복지서비스/NNG+를/JKO
제공할	제공하/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다”고/EC
설명했다	설명하/VV+었/EP+다/EC

정	정/NNP
부대변인은	부/XPN+대변인/NNG+은/JX
“현행	“/SL+현행/NNG
시스템은	시스템/NNG+은/JX
장애등급이	장애등급/NNG+이/JKS
같으면	같/VA+으면/EC
동일한	동일하/VA+ㄴ/ETM
서비스	서비스/NNG
욕구를	욕구/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
간주	간주/NNG
되고	되/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“장애	“/SL+장애/NNG
유형,	유형/NNG+,/SP
장애	장애/NNG
정도에	정도/NNG+에/JKB
따라	따르/VV+아/EC
다양한	다양하/VA+ㄴ/ETM
서비스	서비스/NNG
욕구를	욕구/NNG+를/JKO
가지고	가지/VV+고/EC
있어	있/VX+어/EC
공급자	공급자/NNG
중심의	중심/NNG+의/JKG
획일적	획일적/NNG
서비스가	서비스/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
수요자	수요자/NNG
중심의	중심/NNG+의/JKG
맞춤형	맞춤/NNG+형/XSN
복지가	복지/NNG+가/JKS
되어야	되/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SN+고/JKQ
제시했다	제시하/VV+였/EP+다/EC

이어	이어/MAG
“복지는	“/SN+복지/NNG+는/JX
등급에	등급/NNG+에/JKB
따라	따르/VV+아/EC
제공하는	제공하/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
국민의	국민/NNG+의/JKG
필요에	필요/NNG+에/JKB
따라	따르/VV+아/EC
서비스를	서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“장애인과	“/SL+장애인/NNG+과/JC
비장애인이	비장애인/NNG+이/JKS
똑같이	똑같이/MAG
잘사는	잘살/VV+는/ETM
대한민국을	대한민국/NNP+을/JKO
위해	위하/VV+여/EC
당에서는	당/NNG+에서/JKB+는/JX
대통령	대통령/NNG
직속	직속/NNG
장애인위원회를	장애인위원회/NNG+를/JKO
설치해	설치하/VV+여/EC
장애인	장애인/NNG
정책의	정책/NNG+의/JKG
위상을	위상/NNG+을/JKO
제고해	제고하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

정	정/NNP
부대변인은	부/XPN+대변인/NNG+은/JX
“장애등급에	“/SN+장애등급/NNG+에/JKB
따라	따르/VV+아/EC
획일적으로	획일적/NNG+으로/JKB
지원하는	지원하/VV+는/ETM
현행	현행/NNG
제도를	제도/NNG+를/JKO
개선하고,	개선하/VV+고/EC+,/SP
장애특성과	장애특성/NNG+과/JC
장애정도를	장애정도/NNG+를/JKO
동시에	동시/NNG+에/JKB
고려하는	고려하/VV+는/ETM
제도로	제도/NNG+로/JKB
발전시켜	발전/NNG+시키/XSV+어/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC
