‘유엔에스캅	‘/SN+유엔에스캅/NNP
필요성을	필요성/NNG+을/JKO
인식,	인식/NNG+,/SP
이후	이후/NNG
몇	몇/MM
개	개/NNB
지역이	지역/NNG+이/JKS
‘지역	‘/SL+지역/NNG
장애인	장애인/NNG
10년’을	10/SN+년/NNB+’/SL+을/JKO
선언했다	선언하/VV+였/EP+다/EC

이중	이/MM+중/NNB
아태지역은	아태/NNP+지역/NNG+은/JX
중국의	중국/NNP+의/JKG
주도하에	주도/NNG+하/XSN+에/JKB
유엔의	유엔/NNP+의/JKG
국제장애인	국제장애/NNG+이/VCP+ㄴ/ETM
10년이	10/SN+년/NNB+이/JKS
끝나자	끝나/VV+자/EC
가장	가장/MAG
먼저	먼저/MAG
지역	지역/NNG
장애인	장애인/NNG
10년,	10/SN+년/NNB+,/SP
즉	즉/MAG
제1차	제/XPN+1/SN+차/NNB
아태장애인	아태장애인/NNG
10년(1992~2002년)을	10/SN+년/NNB+(/SS+1992/SN+~/SO+2002/SN+년/NNB+)/SS+을/JKO
선포했다	선포하/VV+였/EP+다/EF

제1차	제/XPN+1/SN+차/NNB
야태장애인	야태장애인/NNG
10년은	10/SN+년/NNB+은/JX
아프리카	아프리카/NNP
및	및/MAG
아랍	아랍/NNP
장애인	장애인/NNG
10년의	10/SN+년/NNB+의/JKG
시작에	시작/NNG+에/JKB
상당한	상당하/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼쳤다	끼치/VV+었/EP+다/EF

이어	이어/MAG
‘제2차	‘/SL+제/XPN+2/SN+차/NNB
아태장애인	아태장애인/NNG
10년’	10/SN+년/NNB+’/SW
및	및/MAG
행동계획인	행동계획/NNG+이/VCP+ㄴ/ETM
‘아태장애인을	‘/SN+아태장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
포괄적이고	포괄적/NNG+이/VCP+고/EC
무장애적이며	무장애적/NNG+이/VCP+며/EC
권리에	권리/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
사회를	사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
비와코	비와코/NNP
새천년	새/MM+천/NR+년/NNB
행동계획’이	행동계획/NNG+’/SL+이/JKS
선포되고	선포되/VV+고/EC
채택됐다	채택되/VV+었/EP+다/EF

제2차	제/XPN+2/SN+차/NNB
아태장애인	아태장애인/NNG
10년	10/SN+년/NNB
회의	회의/NNG
개최국으로서	개최/NNG+국/XSN+으로서/JKB
일본은	일본/NNP+은/JX
비와코	비와코/MAG
새천년	새/MM+천/NR+년/NNB
행동계획(BMF)의	행동계획/NNG+(/SS+BMF/SL+)/SS+의/JKG
초안	초안/NNG
작성을	작성/NNG+을/JKO
이끌었고,	이끌/VV+었/EP+고/EC+,/SP
일본은	일본/NNP+은/JX
2차	2/SN+차/NNB
10년을	10/SN+년/NNB+을/JKO
재정적으로	재정적/NNG+으로/JKB
프로그램적으로	프로그램/NNG+적/XSN+으로/JKB
주도했다	주도하/VV+였/EP+다/EF

션이치	션/SL+이치/NNG
사무차장은	사무차장/NNG+은/JX
“이번	“/SL+이번/NNG
유엔에스캅	유엔에스캅/NNP
회의는	회의/NNG+는/JX
무엇보다	무엇/NP+보다/JKB
아태지역	아태/NNP+지역/NNG
장애인	장애인/NNG
빈곤층의	빈곤/NNG+층/XSN+의/JKG
문제를	문제/NNG+를/JKO
해결하기	해결하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

빈곤퇴치,	빈곤퇴치/NNG+,/SP
고용창출을	고용창출/NNG+을/JKO
위해서	위하/VV+여서/EC
노력하고자	노력하/VV+고자/EC
모인	모이/VV+ㄴ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“특히	“특히/MAG
노령으로	노령/NNG+으로/JKB
장애유병율이	장애유병/NNG+율/XSN+이/JKS
높아지고	높아지/VV+고/EC
있다	있/VX+다/EC

이제는	이제/NNG+는/JX
제3차	제/XPN+3/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년을	10/SN+년/NNB+을/JKO
통해	통하/VV+여/EC
장애인권리협약을	장애인권리협약/NNG+을/JKO
충실히	충실히/MAG
이행해하고자	이행해하/VV+고자/EC
한다”고	하/VX+ㄴ다/EF+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

션이치	션/SL+이치/NNG
사무차장은	사무차장/NNG+은/JX
“2차	“2/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년이	10/SN+년/NNB+이/JKS
장애인의	장애인/NNG+의/JKG
완전한	완전하/VA+ㄴ/ETM
평등을	평등/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
무대였다면,	무대/NNG+이/VCP+었/EP+다면/EC+,/SP
이번	이번/NNG
인천전략을	인천/NNP+전략/NNG+을/JKO
통해서는	통하/VV+여서/EC+는/JX
장애인	장애인/NNG
포괄적인	포괄적/NNG+이/VCP+ㄴ/ETM
행동개발	행동개발/NNG
계획을	계획/NNG+을/JKO
세우게	세우/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

한편	한편/MAG
유엔장애인권리위원회	유엔/NNP+장애인권리위원회/NNG
몬티안	몬티안/NNP
분탄(태국)	분탄/NNG+(/SS+태국/NNP+)/SS
위원은	위원/NNG+은/JX
축사를	축사/NNG+를/JKO
통해	통하/VV+여/EC
“한국에서	“/SL+한국/NNP+에서/JKB
주도하는	주도하/VV+는/ETM
제3차	제/XPN+3/SN+차/NNB
아태장애인	아태장애인/NNG
10년을	10/SN+년/NNB+을/JKO
통해	통하/VV+여/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
사회에서	사회/NNG+에서/JKB
통합될	통합되/VV+ㄹ/ETM
수	수/NNB
있기를	있/VA+기/ETN+를/JKO
기대한다”고	기대하/VV+ㄴ다/EC+”/VX+고/EC
밝혓다	밝혓/VV+다/EF

보건복지부	보건복지부/NNG
사회복지정책실	사회복지정책실/NNG
박용현	박용현/NNP
실장은	실장/NNG+은/JX
“지난	“/SN+지나/VV+ㄴ/ETM
20년간	20/SN+년/NNB+간/XSN
장애인의	장애인/NNG+의/JKG
빈곤해소,	빈곤해소/NNG+,/SP
교육기회	교육기회/NNG
확대	확대/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
진행해	진행하/VV+여/EC
왔지만	오/VX+았/EP+지만/EC
아직도	아직/MAG+도/JX
많은	많/VA+은/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
교육,	교육/NNG+,/SP
의료	의료/NNG
등에서	등/NNB+에서/JKB
사각	사각/NNG
지대에	지대/NNG+에/JKB
놓여	놓이/VV+어/EC
있다”고	있/VX+다”고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“지금까지의	“/SN+지금/NNG+까지/JX+의/JKG
성과를	성과/NNG+를/JKO
자축하는	자축하/VV+는/ETM
한편,	한편/NNG+,/SP
미처	미처/MAG
개선하지	개선하/VV+지/EC
못한	못하/VX+ㄴ/ETM
것을	것/NNB+을/JKO
반성하고	반성하/VV+고/EC
우리가	우리/NP+가/JKS
나아가야할	나아가/VV+아야/EC+하/VX+ㄹ/ETM
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
전략을	전략/NNG+을/JKO
수립하는	수립하/VV+는/ETM
계기를	계기/NNG+를/JKO
마련하고자	마련하/VV+고자/EC
한다”며	하/VX+ㄴ다”며/EC
“새로운	“/SN+새롭/VA+ㄴ/ETM
10년을	10/SN+년/NNB+을/JKO
만들기	만들/VV+기/ETN
위한	위하/VV+ㄴ/ETM
노력에	노력/NNG+에/JKB
동참해	동참하/VV+여/EC
달라”고	달라”/VV+고/EC
당부했다	당부하/VV+였/EP+다/EC

29일	29/SN+일/NNB
인천	인천/NNP
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
유엔에스캅	유엔에스캅/NNP
정부간고위급회의	정부간고위급회/NNG+의/JKG
개막식	개막식/NNG
장면	장면/NNG
