물먹은	물/NNG+먹/VV+은/ETM
혜택을	혜택/NNG+을/JKO
적용시켜야	적용/NNG+시키/XSV+어야/EC
된다는	되/VV+ㄴ다는/ETM
의견을	의견/NNG+을/JKO
전달했다	전달하/VV+였/EP+다/EC

하지만	하지만/MAJ
국토부는	국토부/NNG+는/JX
“장애인콜택시	“/SN+장애인콜택시/NNG
통행료	통행료/NNG
감면을	감면/NNG+을/JKO
시행할	시행하/VV+ㄹ/ETM
경우	경우/NNG
국가유공자	국가유공자/NNG
등과의	등/NNB+과/JKB+의/JKG
형평성	형평성/NNG
문제가	문제/NNG+가/JKS
발생하고,	발생하/VV+고/EC+,/SP
할인액	할인액/NNG
증가로	증가/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
통행료	통행료/NNG
인상	인상/NNG
요인으로	요인/NNG+으로/JKB
작용하게	작용하/VV+게/EC
돼	되/VV+어/EC
장애인콜택시	장애인콜택시/NNG
통행료	통행료/NNG
감면	감면/NNG
확대가	확대/NNG+가/JKS
어렵다”고	어렵/VA+다/EC+”/VX+고/EC
답변했다	답변하/VV+였/EP+다/EF

이어	이어/MAG
“장애인콜택시는	“/SN+장애인콜택시/NNG+는/JX
지자체에서	지자체/NNG+에서/JKB
운영하고	운영하/VV+고/EC
있으므로	있/VX+으므로/EC
타	타/MM
이용자에게	이용자/NNG+에게/JKB
부담이	부담/NNG+이/JKS
전가되는	전가되/VV+는/ETM
통행료	통행료/NNG
감면보다는	감면/NNG+보다/JKB+는/JX
지자체	지자체/NNG
재정으로	재정/NNG+으로/JKB
통행료의	통행료/NNG+의/JKG
일부	일부/NNG
또는	또는/MAG
전부를	전부/NNG+를/JKO
직접	직접/MAG
지원하는	지원하/VV+는/ETM
것이	것/NNB+이/JKS
바람직하다”고	바람직하/VA+다/EC+”/SN+고/JKQ
제시했다	제시하/VV+였/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
정책솔루션은	정책솔루션/NNG+은/JX
장애인이	장애인/NNG+이/JKS
처해있는	처하/VV+여/EC+있/VX+는/ETM
이동권의	이동/NNG+권/XSN+의/JKG
열악한	열악하/VA+ㄴ/ETM
현실을	현실/NNG+을/JKO
살펴볼	살펴보/VV+ㄹ/ETM
때	때/NNG
주무부서로써	주무부서/NNG+로써/JKB
안일한	안일하/VA+ㄴ/ETM
대처와	대처/NNG+와/JC
입장을	입장/NNG+을/JKO
표명하고	표명하/VV+고/EC
있다고	있/VX+다고/EC
지적했다	지적하/VV+였/EP+다/EF

정책솔루션은	정책솔루션/NNG+은/JX
“2011년	“2011/SN+년/NNB
장애인실태조사	장애인실태조사/NNG
결과를	결과/NNG+를/JKO
보면	보/VV+면/EC
장애인가구	장애인가구/NNG
중	중/NNB
차량을	차량/NNG+을/JKO
소유하고	소유하/VV+고/EC
있는	있/VX+는/ETM
가구는	가구/NNG+는/JX
52	52/SN

7%	7/SN+%/SW
에	에/JKB
불과하고,	불과하/VA+고/EC+,/SP
이들	이/NP+들/XSN
가구	가구/NNG
중	중/NNB
중증장애인이	중증장애인/NNG+이/JKS
직접	직접/MAG
운전하는	운전하/VV+는/ETM
경우는	경우/NNG+는/JX
17	17/SN

7%밖에	7/SN+%/SW+밖에/JX
되지	되/VV+지/EC
않는	않/VX+는/ETM
것으로	것/NNB+으로/JKB
조사됐다”면서	조사되/VV+었/EP+다”면서/EC
“중증장애인에게	“/SL+중증장애인/NNG+에게/JKB
있어	있/VA+어/EC
장애인콜택시는	장애인콜택시/NNG+는/JX
유일한	유일하/VA+ㄴ/ETM
교통수단이며,	교통수단/NNG+이/VCP+며/EC+,/SP
특히	특히/MAG
(전동)휠체어를	(/SS+전동/NNG+)/SS+휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인에게는	장애인/NNG+에게/JKB+는/JX
절대적”이라고	절대적/NNG+”/SL+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“고속도로	“/SN+고속도로/NNG
통행료	통행료/NNG
감면제도의	감면제도/NNG+의/JKG
시행	시행/NNG
취지를	취지/NNG+를/JKO
제대로	제대로/MAG
이해하고	이해하/VV+고/EC
있다면	있/VX+다면/EC
충분히	충분히/MAG
검토해	검토하/VV+여/EC
볼만	보/VX+ㄹ/ETM+만/NR
한	한/MM
사안이지만,	사안/NNG+이/VCP+지만/EC+,/SP
지자체	지자체/NNG
재정으로	재정/NNG+으로/JKB
지원하는	지원하/VV+는/ETM
것이	것/NNB+이/JKS
바람직하다는	바람직하/VA+다는/ETM
입장을	입장/NNG+을/JKO
계속	계속/MAG
되풀이하는	되풀이하/VV+는/ETM
것은	것/NNB+은/JX
정부부처가	정부부처/NNG+가/JKS
취해야	취하/VV+여야/EC
할	하/VX+ㄹ/ETM
태도가	태도/NNG+가/JKC
아니다”라고	아니/VCN+다”라고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

특히	특히/MAG
정책솔루션은	정책솔루션/NNG+은/JX
“장애인콜택시를	“/SN+장애인콜택시/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인에게	장애인/NNG+에게/JKB
할인	할인/NNG
없는	없/VA+는/ETM
고속도로	고속도로/NNG
통행료를	통행료/NNG+를/JKO
내게	내/VV+게/EC
하는	하/VX+는/ETM
것은	것/NNB+은/JX
경제적	경제적/NNG
부담을	부담/NNG+을/JKO
안겨줄	안기/VV+어/EC+주/VX+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
형평성의	형평성/NNG+의/JKG
원칙에도	원칙/NNG+에/JKB+도/JX
어긋난다”며	어긋나/VV+ㄴ다/EC+”/VV+며/EC
“장애인콜택시	“/SN+장애인콜택시/NNG
차량에	차량/NNG+에/JKB
복지카드를	복지카드/NNG+를/JKO
소지한	소지하/VV+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
탑승한	탑승하/VV+ㄴ/ETM
경우,	경우/NNG+,/SP
장애인차량에	장애인차량/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
고속도로	고속도로/NNG
통행료	통행료/NNG
감면(50%)과	감면/NNG+(/SS+50/SN+%/SW+)/SS+과/JKB
동일한	동일하/VA+ㄴ/ETM
할인혜택을	할인혜택/NNG+을/JKO
해줘야한다”고	하/VV+여/EC+주/VX+어야/EC+하/VX+ㄴ다/EF+”/SN+고/EC
주장했다	주장하/VV+였/EP+다/EC

이와	이/NP+와/JKB
함께	함께/MAG
“유료도로법	“/SL+유료도로법/NNG
제8조	제/XPN+8/SN+조/NNB
제1항을	제/XPN+1/SN+항/NNG+을/JKO
개정해서	개정하/VV+여서/EC
교통약자의	교통약자/NNG+의/JKG
이동편의증진법	이동편의증진법/NNG
제16조에	제/XPN+16/SN+조/NNB+에/JKB
따라	따르/VV+아/EC
운행하는	운행하/VV+는/ETM
특별교통수단	특별교통수단/NNG
차량이	차량/NNG+이/JKS
포함될	포함되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
조속한	조속하/VA+ㄴ/ETM
법	법/NNG
개정이	개정/NNG+이/JKS
필요하다”고	필요하/VA+다”고/EC
강조했다	강조하/VV+였/EP+다/EC
