대선후보에	대선후보/NNG+에/JKB
과제들이다	과제/NNG+들/XSN+이/VCP+다/EC

후보들은	후보/NNG+들/XSN+은/JX
단순한	단순하/VA+ㄴ/ETM
이행이	이행/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
국민과의	국민/NNG+과/JKB+의/JKG
약속으로	약속/NNG+으로/JKB
실천의지를	실천의지/NNG+를/JKO
밝히는	밝히/VV+는/ETM
것이	것/NNB+이/JKS
무엇보다	무엇/NP+보다/JKB
중요하다”고	중요하/VA+다/EC+”/SN+고/JKQ
주장했다	주장하/VV+였/EP+다/EC

이어	이어/MAG
“아직도	“/SN+아직/MAG+도/JX
유력	유력/NNG
대선후보들은	대선후보/NNG+들/XSN+은/JX
차기	차기/NNG
정부의	정부/NNG+의/JKG
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
공약을	공약/NNG+을/JKO
제시하고	제시하/VV+고/EC
있지	있/VX+지/EC
못하다	못하/VX+다/EC

더	더/MAG
이상	이상/NNG
소외계층들의	소외계층/NNG+들/XSN+의/JKG
요구에	요구/NNG+에/JKB
시혜적	시혜/NNG+적/XSN
접근을	접근/NNG+을/JKO
중단하고	중단하/VV+고/EC
보편적	보편적/NNG
권리와	권리/NNG+와/JC
평등에	평등/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
정책으로	정책/NNG+으로/JKB
구체적	구체적/NNG
이행계획과	이행계획/NNG+과/JC
실천방안을	실천방안/NNG+을/JKO
제시해아	제시하/VV+여아/EC
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

특히	특히/MAG
“장애문제는	“/SL+장애문제/NNG+는/JX
장애인의	장애인/NNG+의/JKG
감수성을	감수성/NNG+을/JKO
갖고	갖/VV+고/EC
접근	접근/NNG
할	하/VV+ㄹ/ETM
때	때/NNG
비로소	비로소/MAG
장애인대중과	장애인대중/NNG+과/JC
그	그/MM
가족으로부터	가족/NNG+으로부터/JKB
지지를	지지/NNG+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있고	있/VA+고/EC
대선	대선/NNG
승리로	승리/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

장애인당사자의	장애인당사자/NNG+의/JKG
아래로부터의	아래/NNG+로부터/JKB+의/JKG
요구를	요구/NNG+를/JKO
통해	통하/VV+여/EC
마련된	마련되/VV+ㄴ/ETM
12대	12/SN+대/NNB
요구공약을	요구공약/NNG+을/JKO
수용하고	수용하/VV+고/EC
이행을	이행/NNG+을/JKO
약속하는	약속하/VV+는/ETM
협약식에	협약/NNG+식/XSN+에/JKB
각	각/MM
정당과	정당/NNG+과/JC
대선후보들이	대선후보/NNG+들/XSN+이/JKS
적극적으로	적극적/NNG+으로/JKB
나설	나서/VV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구하다”고	촉구하/VV+다/EC+”/VX+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
