문재인,	문재인/NNG+,/SP
뒤	뒤/NNG
이	이/NP
같이	같이/MAG
시사했다	시사하/VV+였/EP+다/EC

뇌병변장애	뇌병변장애/NNG
1급인	1/SN+급/NNG+이/VCP+ㄴ/ETM
김씨는	김/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
새벽	새벽/NNG
2시	2/SN+시/NNB
10분께	10/SN+분/NNB+께/XSN
자택인	자택/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
행당동의	행당동/NNP+의/JKG
상가건물에서	상가건물/NNG+에서/JKB
원인을	원인/NNG+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
불이	불/NNG+이/JKS
나	나/VV+아/EC
119에	119/SN+에/JKB
신고했지만,	신고하/VV+였/EP+지만/EC+,/SP
소방차가	소방차/NNG+가/JKS
도착하는	도착하/VV+는/ETM
동안	동안/NNG
질식해	질식하/VV+여/EC
생을	생/NNG+을/JKO
마감했다	마감하/VV+였/EP+다/EC

활동보조인이	활동보조인/NNG+이/JKS
전날	전날/NNG
오후	오후/NNG
11시에	11/SN+시/NNB+에/JKB
퇴근한	퇴근하/VV+ㄴ/ETM
이후	이후/NNG
홀로	홀로/MAG
잠을	잠/NNG+을/JKO
자던	자/VV+던/ETM
시간에	시간/NNG+에/JKB
발생한	발생하/VV+ㄴ/ETM
사건으로	사건/NNG+으로/JKB
장애인단체들은	장애인단체/NNG+들/XSN+은/JX
장애인활동지원제도의	장애인활동지원제도/NNG+의/JKG
턱	턱/NNG
없이	없이/MAG
적은	적/VA+은/ETM
급여에	급여/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판의	비판/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
높이고	높이/VV+고/EC
있는	있/VX+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

간담회를	간담회/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
문	문/NNP
후보는	후보/NNG+는/JX
“고인은	“/SL+고인/NNG+은/JX
장애인권리	장애인권리/NNG
확보,	확보/NNG+,/SP
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
보장에	보장/NNG+에/JKB
앞장서	앞장서/VV+어/EC
왔는데,	오/VV+았/EP+는데/EC+,/SP
정작	정작/NNG
본인은	본인/NNG+은/JX
불과	불과/MAG
3m를	3/SN+m/SL+를/JKO
이동하지	이동하/VV+지/EC
못해	못하/VX+여/EC
이런	이런/MM
안타까운	안타깝/VA+ㄴ/ETM
일을	일/NNG+을/JKO
겪어	겪/VV+어/EC
너무	너무/MAG
가슴이	가슴/NNG+이/JKS
아프다”고	아프다/NNP+”/SN+고/EC
말문을	말문/NNG+을/JKO
열었다	열/VV+었/EP+다/EC

이어	이어/MAG
문	문/NNP
후보는	후보/NNG+는/JX
“장애인활동보조는	“/SN+장애인활동보조/NNG+는/JX
대상도	대상/NNG+도/JX
좁고	좁/VA+고/EC
서비스	서비스/NNG
시간도	시간/NNG+도/JX
지금	지금/MAG
12시간	12/SN+시간/NNB
상한으로	상한/NNG+으로/JKB
되어	되/VV+어/EC
있으니	있/VX+으니/EC
정작	정작/NNG
필요할	필요하/VA+ㄹ/ETM
때	때/NNG
도움을	도움/NNG+을/JKO
못	못/MAG
받는다”면서	받/VV+는다/EC+”/VV+면서/EC
“당연히	“/SN+당연히/MAG
장애인들이	장애인/NNG+들/XSN+이/JKS
받아야	받/VV+아야/EC
될	되/VV+ㄹ/ETM
권리로	권리/NNG+로/JKB
그것을	그것/NP+을/JKO
못해주면	못하/VV+여/EC+주/VX+면/EC
차별이	차별/NNG+이/JKC
되고,	되/VV+고/EC+,/SP
인권을	인권/NNG+을/JKO
침해하는	침해하/VV+는/ETM
일”이라고	일”/NNG+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
문	문/NNP
후보는	후보/NNG+는/JX
“활동보조서비스를	“/SN+활동보조서비스/NNG+를/JKO
받는	받/VV+는/ETM
대상도	대상/NNG+도/JX
확대	확대/NNG
되어야	되/VV+어야/EC
되고,	되/VV+고/EC+,/SP
서비스	서비스/NNG
시간도	시간/NNG+도/JX
24시간으로	24/SN+시간/NNB+으로/JKB
늘려야한다”면서	늘리/VV+어야/EC+하/VX+ㄴ다”면서/EC
“어차피	“/SL+어차피/MAG
하위소득자들에게	하위소득자/NNG+들/XSN+에게/JKB
서비스를	서비스/NNG+를/JKO
해주는	하/VV+여/EC+주/VX+는/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
자부담(본인부담금)	자부담/NNG+(/SS+본인부담금/NNG+)/SS
받는	받/VV+는/ETM
것도	것/NNB+도/JX
부당한	부당하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
자부담도	자부담/NNG+도/JX
철폐해야	철폐하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
밝혔다	밝히/VV+었/EP+다/EC

본인부담금은	본인부담금/NNG+은/JX
기초수급자의	기초수급/NNG+자/XSN+의/JKG
경우	경우/NNG
면제인	면제/NNG+이/VCP+ㄴ/ETM
반면,	반면/NNG+,/SP
이외	이외/NNG
대상자는	대상자/NNG+는/JX
소득수준에	소득수준/NNG+에/JKB
따라	따르/VV+아/EC
매월	매월/MAG
일정금액을	일정금액/NNG+을/JKO
내야한다	내/VV+어야/EC+하/VX+ㄴ다/EF

한편,	한편/NNG+,/SP
고(故)	고/NNP+(/SS+故/SL+)/SS
김주영씨의	김주영/NNP+씨/NNB+의/JKG
장례는	장례/NNG+는/JX
5일장으로	5/SN+일장/NNG+으로/JKB
오는	오/VV+는/ETM
30일	30/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
광화문에서	광화문/NNP+에서/JKB
전장연장으로	전장연장/NNG+으로/JKB
치러질	치르/VV+어/EC+지/VX+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
