아태장애인연합	아태장애인연합/NNG
준비위원장으로	준비위원장/NNG+으로/JKB
활동해	활동하/VV+여/EC
왔다	오/VX+았/EP+다/EF

AP-DPO	AP/SL+-/SO+DPO/SL
United	United/SL
회장으로	회장/NNG+으로/JKB
선출된	선출되/VV+ㄴ/ETM
장총련	장총련/NNP
서인환	서인환/NNP
사무총장은	사무총장/NNG+은/JX
“아태지역	“/SN+아태/NNP+지역/NNG
장애인들의	장애인/NNG+들/XSN+의/JKG
권익을	권익/NNG+을/JKO
위해	위하/VV+여/EC
노력하겠다”고	노력하/VV+겠/EP+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

현재	현재/MAG
AP-DPO	AP/SL+-/SO+DPO/SL
United에는	United/SL+에/JKB+는/JX
15개국	15/SN+개국/NNB
39개	39/SN+개/NNB
단체가	단체/NNG+가/JKS
가입해있다	가입하/VV+여/EC+있/VX+다/EC
