장총련,	장총련/NNP+,/SP
특수교육	특수교육/NNG
관련	관련/NNG
서비스	서비스/NNG
센터	센터/NNG
지역사회	지역사회/NNG
내	내/NNB
100개소	100/SN+개소/NNB
추가설치	추가설치/NNG
재활보조기구	재활보조기구/NNG
평가서비스	평가서비스/NNG
대상	대상/NNG
선정	선정/NNG
등	등/NNB
법제화한	법제화하/VV+ㄴ/ETM
재활보조기기지원법	재활보조기기지원법/NNG
제정을	제정/NNG+을/JKO
담고	담/VV+고/EC
있다	있/VX+다/EC

장총련	장총련/NNP
서인환	서인환/NNP
사무총장은	사무총장/NNG+은/JX
“박근혜,	“/SN+박근혜/NNP+,/SP
문재인,	문재인/NNG+,/SP
안철수	안철수/NNP
후보	후보/NNG
측에	측/NNB+에/JKB
15개	15/SN+개/NNB
장애계	장애/NNG+계/XSN
관제가	관제/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
자료집을	자료집/NNG+을/JKO
전달했다”며	전달하/VV+였/EP+다/EC+”/SN+며/EC
“향후	“/SN+향후/NNG
수용	수용/NNG
여부	여부/NNG
등을	등/NNB+을/JKO
지속적으로	지속적/NNG+으로/JKB
체크할	체크하/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/XSN+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC
