대선연대,	대선연대/NNG+,/SP
보장,	보장/NNG+,/SP
장애인	장애인/NNG
문화예술	문화예술/NNG
및	및/MAG
체육활성화	체육활성화/NNG
방안	방안/NNG
마련,	마련/NNG+,/SP
국민기초생활보장법의	국민기초생활보장법/NNG+의/JKG
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지도	폐지/NNG+도/JX
포함됐다	포함되/VV+었/EP+다/EF

장총	장총/NNP
변승일	변승/NNG+이/VCP+ㄹ/ETM
상임대표는	상임대표/NNG+는/JX
기자회견에서	기자회견/NNG+에서/JKB
“대선	“/SN+대선/NNG
후보들은	후보/NNG+들/XSN+은/JX
여러	여러/MM
현안과	현안/NNG+과/JC
주요	주요/NNG
이슈에	이슈/NNG+에/JKB
귀	귀/NNG
기울여야한다”며	기울열/VV+야/EC+하/VX+ㄴ다”며/EC
“공약을	“/SL+공약/NNG+을/JKO
수용해	수용하/VV+여/EC
장애인	장애인/NNG
정책을	정책/NNG+을/JKO
만드는데	만들/VV+는/ETM+데/NNB
노력해야	노력하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
요구했다	요구하/VV+었/EP+다/EC

전장연	전장연/NNP
박경석	박경석/NNP
상임공동대표는	상임공동대표/NNG+는/JX
“12대	“/SL+12/SN+대/NNG
공약	공약/NNG
중에서	중/NNB+에서/JKB
주목해야할	주목하/VV+여야/EC+하/VX+ㄹ/ETM
것은	것/NNB+은/JX
장애등급제	장애등급/NNG+제/XSN
폐지와	폐지/NNG+와/JC
부양의무제	부양의무제/NNG
폐지”라며	폐지”/NNG+이/VCP+라며/EC
“장애등급제	“/SL+장애등급/NNG+제/XSN
폐지는	폐지/NNG+는/JX
장애인의	장애인/NNG+의/JKG
정의를	정의/NNG+를/JKO
바꾸기	바꾸/VV+기/ETN
위한	위하/VV+ㄴ/ETM
혁명”이라고	혁명”/NNG+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

지금까지의	지금/NNG+까지/JX+의/JKG
장애등급은	장애등급/NNG+은/JX
장애	장애/NNG
현상을	현상/NNG+을/JKO
등급으로	등급/NNG+으로/JKB
나눠	나누/VV+어/EC
규정한	규정하/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
장애인을	장애인/NNG+을/JKO
관리하기	관리하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
획일적	획일적/NNG
제도였다는	제도/NNG+이/VCP+었/EP+다는/ETM
비판이	비판/NNG+이/JKS
깃든	깃들/VV+ㄴ/ETM
목소리다	목소리/NNG+이/VCP+다/EF

이어	이어/MAG
박	박/NNP
대표는	대표/NNG+는/JX
“부양의무자	“/SL+부양의무자/NNG
기준은	기준/NNG+은/JX
가구소득에	가구소득/NNG+에/JKB
따라	따르/VV+아/EC
서비스를	서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
척도로	척도/NNG+로/JKB
이는	이/NP+는/JX
국가	국가/NNG
책임을	책임/NNG+을/JKO
회피하기	회피하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
제도	제도/NNG
일뿐”이라며	일뿐”/NNG+이/VCP+라며/EC
“장애인을	“/SL+장애인/NNG+을/JKO
서비스	서비스/NNG
대상으로	대상/NNG+으로/JKB
보는	보/VV+는/ETM
모든	모든/MM
것들을	것/NNB+들/XSN+을/JKO
타파하기	타파하/VV+기/ETN
위해	위하/VV+여/EC
힘써	힘쓰/VV+어/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

한편	한편/MAG
대선연대는	대선연대/NNG+는/JX
기자회견	기자회견/NNG
후	후/NNG
새누리당	새누리당/NNP
관계자에게	관계자/NNG+에게/JKB
박근혜	박근혜/NNP
대선	대선/NNG
예비후보	예비후보/NNG
앞으로	앞/NNG+으로/JKB
된	되/VV+ㄴ/ETM
요구	요구/NNG
공약과	공약/NNG+과/JC
함께	함께/MAG
수용여부·이행계획	수용여부/NNG+·/SP+이행계획/NNG
답변	답변/NNG
요구서를	요구서/NNG+를/JKO
전달했으며,	전달하/VV+였/EP+으며/EC+,/SP
오늘	오늘/NNG
중	중/NNB
민주통합당	민주통합당/NNP
문재인,	문재인/NNG+,/SP
통합진보당	통합진보당/NNP
이정희,	이정희/NNP+,/SP
진보정의당	진보정의당/NNP
심상정,	심상정/NNP+,/SP
무소속	무소속/NNG
안철수	안철수/NNP
후보에게도	후보/NNG+에게/JKB+도/JX
같은	같/VA+은/ETM
내용의	내용/NNG+의/JKG
요구서를	요구서/NNG+를/JKO
전달한다는	전달하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

2012대선장애인연대는	2012/SN+대선장애인연대/NNG+는/JX
새누리에	새누리/NNG+에/JKB
12대	12/SN+대/NNB
요구공약을	요구공약/NNG+을/JKO
제시	제시/NNG
하기	하/VV+기/ETN
앞서	앞서/VV+어/EC
국회	국회/NNG
국민은행	국민은행/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
요구	요구/NNG
공약	공약/NNG
내용을	내용/NNG+을/JKO
공식	공식/NNG
발표했다	발표하/VV+였/EP+다/EC

2012대선장애인연대	2012/SN+대선장애인연대/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
12대	12/SN+대/NNB
요구공약이	요구공약/NNG+이/JKS
담겨	담기/VV+어/EC
있는	있/VX+는/ETM
플래카드를	플래카드/NNG+를/JKO
들고	들/VV+고/EC
18대	18/SN+대/NNB
대선	대선/NNG
예비후보들의	예비후보/NNG+들/XSN+의/JKG
공약수용을	공약수용/NNG+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC
