‘발달장애	‘/SL+발달장애/NNG
때문이라는	때문/NNB+이/VCP+라는/ETM
얘길	얘기/NNG+ㄹ/JKO
들었는데	듣/VV+었/EP+는/ETM+데/NNB
맞냐"고	맞/VV+냐/EF+"/SS+고/JKQ
물었다	묻/VV+었/EP+다/EF

장애인계	장애인계/NNG
내부에서	내부/NNG+에서/JKB
공론화	공론/NNG+화/XSN
되진	되/VV+지/EC+ㄴ/JX
않았지만	않/VX+았/EP+지만/EC
토론회	토론회/NNG
취소	취소/NNG
배경과	배경/NNG+과/JC
관련	관련/NNG
발달장애인법	발달장애인법/NNG
제정에	제정/NNG+에/JKB
복지부의	복지부/NNG+의/JKG
소극적인	소극적/NNG+이/VCP+ㄴ/ETM
태도가	태도/NNG+가/JKS
한몫했다는	한몫하/VV+였/EP+다는/ETM
의견이	의견/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
보건복지부	보건복지부/NNG
임채민	임채민/NNP
장관은	장관/NNG+은/JX
"복지부	"/SS+복지부/NNG
내에서	내/NNB+에서/JKB
(토론회를)	(/SS+토론회/NNG+를/JKO+)/SS
취소시키지	취소/NNG+시키/XSV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
답변했다	답변하/VV+였/EP+다/EF

김	김/NNP
의원은	의원/NNG+은/JX
또한	또한/MAG
"발달장애인들은	"/SS+발달장애인/NNG+들/XSN+은/JX
자기결정,	자기/NP+결정/NNG+,/SP
자기권리주장	자기권리주장/NNG
등	등/NNB
자기보호가	자기보호/NNG+가/JKS
어렵기	어렵/VA+기/ETN
때문에	때문/NNB+에/JKB
성폭력,	성폭력/NNG+,/SP
경제적	경제적/NNG
착취	착취/NNG
등	등/NNB
인권침해에	인권침해/NNG+에/JKB
있어	있/VA+어/EC
심각한	심각하/VA+ㄴ/ETM
위험을	위험/NNG+을/JKO
겪고	겪/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"정부가	"/SS+정부/NNG+가/JKS
발달장애인의	발달장애인/NNG+의/JKG
특성과	특성/NNG+과/JC
요구에	요구/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
맞춤형	맞춤/NNG+형/XSN
복지지원체계를	복지지원체계/NNG+를/JKO
마련하는	마련하/VV+는/ETM
것이	것/NNB+이/JKS
시급히	시급히/MAG
필요하다고	필요하/VA+다고/EC
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
지적했다	지적하/VV+였/EP+다/EF

이에	이/NP+에/JKB
임	임/NNP
장관은	장관/NNG+은/JX
"발달장애인	"/SS+발달장애/NNG+이/VCP+ㄴ/ETM
당사자와	당사자/NNG+와/JC
가족들의	가족/NNG+들/XSN+의/JKG
고통에	고통/NNG+에/JKB
대해	대하/VV+여/EC
사회가	사회/NNG+가/JKS
상대적으로	상대적/NNG+으로/JKB
소홀했다는	소홀하/VA+였/EP+다는/ETM
생각이	생각/NNG+이/JKS
들고	들/VV+고/EC
반성하고	반성하/VV+고/EC
있다	있/VX+다/EC

일단	일단/MAG
1차적으로	1/SN+차/NNB+적/XSN+으로/JKB
발달장애인	발달장애인/NNG
지원계획을	지원계획/NNG+을/JKO
세웠는데	세우/VV+었/EP+는데/EC
발달장애인이	발달장애인/NNG+이/JKS
사회와	사회/NNG+와/JKB
함께	함께/MAG
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기반	기반/NNG
마련,	마련/NNG+,/SP
부모가	부모/NNG+가/JKS
사망한	사망하/VV+ㄴ/ETM
뒤의	뒤/NNG+의/JKG
제도적	제도적/NNG
보완	보완/NNG
등이	등/NNB+이/JKS
반영됐다"면서도	반영되/VV+었/EP+다/EF+"/SS+면서/EC+도/JX
"아직도	"/SS+아직/MAG+도/JX
부족하다는	부족하/VA+다는/ETM
거	거/NNB
알고	알/VV+고/EC
있고	있/VX+고/EC
(여러	(/SS+여러/MM
문제점에	문제점/NNG+에/JKB
대해)	대하/VV+여/EC+)/SS
유념해서	유념하/VV+여서/EC
보완해나가겠다"고	보완하/VV+여/EC+나가/VX+겠/EP+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
김	김/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
복지부가	복지부/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
'발달장애인	'/SS+발달장애/NNG+이/VCP+ㄴ/ETM
지원계획'의	지원계획/NNG+'/SS+의/JKG
수립과정에서	수립과정/NNG+에서/JKB
발달장애인	발달장애인/NNG
당사자의	당사자/NNG+의/JKG
의견수렴	의견수렴/NNG
절차가	절차/NNG+가/JKS
없었다고	없/VA+었/EP+다고/EC
꼬집었다	꼬집/VV+었/EP+다/EF
