재활협회,	재활협회/NNG+,/SP
장애관련	장애관련/NNG
주요	주요/NNG
정책으로,	정책/NNG+으로/JKB+,/SP
정부가	정부/NNG+가/JKS
추구하고자	추구하/VV+고자/EC
하는	하/VX+는/ETM
재활의	재활/NNG+의/JKG
목표를	목표/NNG+를/JKO
가장	가장/MAG
효율적으로	효율적/NNG+으로/JKB
달성하기	달성하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
정부의	정부/NNG+의/JKG
지침이다	지침/NNG+이/VCP+다/EC

의제개발위원회	의제개발위원회/NNG
나운환	나운환/NNP
위원장	위원장/NNG
모습	모습/NNG

의제개발위원회는	의제개발위원회/NNG+는/JX
총	총/MM
3차례의	3/SN+차례/NNG+의/JKG
회의를	회의/NNG+를/JKO
거쳐	거치/VV+어/EC
제4차	제/XPN+4/SN+차/NNB
장애인정책발전	장애인정책발전/NNG
5개년	5/SN+개년/NNB
계획	계획/NNG
의제로	의제/NNG+로/JKB
8가지	8/SN+가지/NNB
영역의	영역/NNG+의/JKG
81개	81/SN+개/NNB
과제를	과제/NNG+를/JKO
개발했다	개발하/VV+였/EP+다/EC

이날	이날/NNG
발표를	발표/NNG+를/JKO
맡은	맡/VV+은/ETM
나운환(대구대학교	나운환/NNP+(/SS+대구대학교/NNP
직업재활학과	직업재활학과/NNG
교수)	교수/NNG+)/SS
위원장에	위원장/NNG+에/JKB
따르면	따르/VV+면/EC
‘제4차	‘/SL+제/XPN+4/SN+차/NNB
5개년	5/SN+개년/NNB
계획’	계획/NNG+’/SL
의제는	의제/NNG+는/JX
총괄,	총괄/NNG+,/SP
복지,	복지/NNG+,/SP
교육·보육,	교육/NNG+·/SP+보육/NNG+,/SP
문화·체육,	문화/NNG+·/SP+체육/NNG+,/SP
소득	소득/NNG
및	및/MAG
고용,	고용/NNG+,/SP
사회참여,	사회참여/NNG+,/SP
건강증진,	건강증진/NNG+,/SP
인권	인권/NNG
등	등/NNB
총	총/MM
8가지	8/SN+가지/NNB
영역이다	영역/NNG+이/VCP+다/EC

총괄영역은	총괄영역/NNG+은/JX
장애인권리기반	장애인권리기반/NNG
장애인	장애인/NNG
복지	복지/NNG
전달체계	전달체계/NNG
개선	개선/NNG
등	등/NNB
7개,	7/SN+개/NNB+,/SP
복지영역은	복지영역/NNP+은/JX
장애인활동지원제도의	장애인활동지원제도/NNG+의/JKG
확충	확충/NNG
등	등/NNB
13개,	13/SN+개/NNB+,/SP
교육·보육영역은	교육/NNG+·/SP+보육영역/NNG+은/JX
특수교육지원센터	특수교육지원센터/NNG
운영	운영/NNG
활성화	활성화/NNG
등	등/NNB
9개,	9/SN+개/NNB+,/SP
문화·체육영역은	문화/NNG+·/SP+체육영역/NNG+은/JX
지식정보	지식정보/NNG
접근	접근/NNG
및	및/MAG
이용확대를	이용확대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
독서환경	독서환경/NNG
구축	구축/NNG
등	등/NNB
13개	13/SN+개/NNB
과제로	과제/NNG+로/JKB
구성됐다	구성되/VV+었/EP+다/EF

소득	소득/NNG
및	및/MAG
고용영역은	고용영역/NNP+은/JX
중증장애인	중증장애인/NNG
일자리	일자리/NNG
확대방안	확대방안/NNG
연구	연구/NNG
등	등/NNB
19개,	19/SN+개/NNB+,/SP
사회참여영역은	사회참여영역/NNG+은/JX
교통약자	교통약자/NNG
이동권	이동/NNG+권/XSN
및	및/MAG
이동수단	이동수단/NNG
확보	확보/NNG
등	등/NNB
4개,	4/SN+개/NNB+,/SP
건강증진영역은	건강증진영역/NNP+은/JX
장애인	장애인/NNG
의료서비스	의료서비스/NNG
확충	확충/NNG
및	및/MAG
접근성	접근성/NNG
강화	강화/NNG
등	등/NNB
7개,	7/SN+개/NNB+,/SP
인권영역은	인권영역/NNG+은/JX
여성장애인의	여성장애인/NNG+의/JKG
폭력예방	폭력예방/NNG
및	및/MAG
피해자	피해자/NNG
지원	지원/NNG
등	등/NNB
9개	9/SN+개/NNB
과제를	과제/NNG+를/JKO
담고	담/VV+고/EC
있다	있/VX+다/EC

특히	특히/MAG
'4차	'/SS+4/SN+차/NNB
5개년	5/SN+개년/NNB
계획'을	계획/NNG+'/SS+을/JKO
위한	위하/VV+ㄴ/ETM
예산(현재	예산/NNG+(/SS+현재/MAG
활동보조	활동보조/NNG
등에	등/NNB+에/JKB
쓰이고	쓰이/VV+고/EC
있는	있/VX+는/ETM
예산은	예산/NNG+은/JX
제외)으로는	제외/NNG+)/SS+으로/JKB+는/JX
2013년부터	2013/SN+년/NNB+부터/JX
2017년까지	2017/SN+년/NNB+까지/JX
해마다	해마다/MAG
1조1000억여원씩	1/SN+조/NR+1000/SN+억/NR+여/XSN+원/NNB+씩/XSN
총	총/MM
5조7000억여원이	5/SN+조/NR+7000/SN+억/NR+여/XSN+원/NNB+이/JKS
소요될	소요되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추계했다	추계하/VV+였/EP+다/EC

나	나/NNP
위원장은	위원장/NNG+은/JX
“1~3차	“/SL+1/SN+~/SO+3/SN+차/NNB
정책수단들을	정책수단/NNG+들/XSN+을/JKO
보면	보/VV+면/EC
1차에서	1/SN+차/NNB+에서/JKB
보건복지,	보건복지/NNG+,/SP
교육,	교육/NNG+,/SP
고용노동부	고용노동부/NNG
중심의	중심/NNG+의/JKG
수단들이,	수단/NNG+들/XSN+이/JKS+,/SP
2차부터는	2/SN+차/NNB+부터는/JX
정보통신,	정보통신/NNG+,/SP
문화체육	문화체육/NNG
등	등/NNB
관계부처가	관계부처/NNG+가/JKS
확대돼	확대되/VV+어/EC
제시됐으나	제시되/VV+었/EP+으나/EC
여전히	여전히/MAG
제한적이고	제한적/NNG+이/VCP+고/EC
3차의	3/SN+차/NNB+의/JKG
경우는	경우/NNG+는/JX
재원	재원/NNG
추계도	추계/NNG+도/JX
빠져	빠지/VV+어/EC
실제	실제/NNG
정책의	정책/NNG+의/JKG
실효성을	실효성/NNG+을/JKO
담보하는	담보하/VV+는/ETM
데	데/NNB
많은	많/VA+은/ETM
의문점이	의문점/NNG+이/JKS
있다”고	있/VA+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

또한	또한/MAG
나	나/NNP
위원장은	위원장/NNG+은/JX
“제4차	“/SL+제/XPN+4/SN+차/NNB
5개년	5/SN+개년/NNB
계획은	계획/NNG+은/JX
근본적으로	근본적/NNG+으로/JKB
장애인지적	장애인지적/NNG
관점과	관점/NNG+과/JC
인권,	인권/NNG+,/SP
통합	통합/NNG
등의	등/NNB+의/JKG
정책적	정책적/NNG
패러다임	패러다임/NNG
등이	등/NNB+이/JKS
기본으로	기본/NNG+으로/JKB
깔려야	깔리/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
밝힌데	밝히/VV+ㄴ/ETM+데/NNB
이어	잇/VV+어/EC
“장애인당사자가	“/SN+장애인당사자/NNG+가/JKC
아니라	아니/VCN+라/EC
사회	사회/NNG
환경의	환경/NNG+의/JKG
문제,	문제/NNG+,/SP
장애인	장애인/NNG
개인의	개인/NNG+의/JKG
변화보다는	변화/NNG+보다/JKB+는/JX
사회	사회/NNG
환경의	환경/NNG+의/JKG
변화에	변화/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞춰	맞추/VV+어/EC
접근했다”고	접근하/VV+였/EP+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

1~3차	1/SN+~/SO+3/SN+차/NNB
5개년	5/SN+개년/NNB
계획이	계획/NNG+이/JKS
장애인당사자의	장애인당사자/NNG+의/JKG
변화를	변화/NNG+를/JKO
목표로	목표/NNG+로/JKB
해왔다면	하/VV+여/EC+오/VX+았/EP+다면/EC
4차는	4/SN+차/NNB+는/JX
사회참여와	사회참여/NNG+와/JC
평등이	평등/NNG+이/JKS
정책	정책/NNG
목표에	목표/NNG+에/JKB
담겨져야	담기/VV+어/EC+지/VX+어야/EC
하는	하/VX+는/ETM
만큼	만큼/NNB
이제는	이제/NNG+는/JX
장애인의	장애인/NNG+의/JKG
변화를	변화/NNG+를/JKO
전제로	전제/NNG+로/JKB
한	하/VV+ㄴ/ETM
평등,	평등/NNG+,/SP
참여보다는	참여/NNG+보다/JKB+는/JX
사회변화를	사회변화/NNG+를/JKO
전제로	전제/NNG+로/JKB
한	하/VV+ㄴ/ETM
평등,	평등/NNG+,/SP
참여가	참여/NNG+가/JKS
필요하다는	필요하/VA+다는/ETM
설명이다	설명/NNG+이/VCP+다/EC

이날	이날/NNG
토론자로	토론자/NNG+로/JKB
참석한	참석하/VV+ㄴ/ETM
한국농아인협회	한국농아인협회/NNP
이미혜	이미혜/NNP
사무처장은	사무처/NNG+장/XSN+은/JX
“통합교육에	“/SN+통합교육/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞추다	맞추/VV+다/EC
보니	보/VX+니/EC
청각장애인은	청각장애인/NNG+은/JX
의사소통의	의사소통/NNG+의/JKG
양식에	양식/NNG+에/JKB
맞지	맞/VV+지/EC
않은데도	않/VX+은데/EC+도/JX
옳은	옳/VA+은/ETM
교육방법인	교육방법/NNG+이/VCP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
주류에	주류/NNG+에/JKB
휩쓸려	휩쓸리/VV+어/EC
따라가고	따라가/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“이는	“/SW+이/VCP+는/ETM
단순한	단순하/VA+ㄴ/ETM
물리적인	물리적/NNG+이/VCP+ㄴ/ETM
통합교육으로	통합교육/NNG+으로/JKB
전체	전체/NNG
생애를	생애/NNG+를/JKO
봤을	보/VV+았/EP+을/ETM
때	때/NNG
위험한	위험하/VA+ㄴ/ETM
통합교육”이라고	통합교육”/NNG+이/VCP+라고/EC
피력했다	피력하/VV+었/EP+다/EC

이어	이어/MAG
“특수교육	“/SN+특수교육/NNG
전문가,	전문가/NNG+,/SP
부모들의	부모/NNG+들/XSN+의/JKG
선택이	선택/NNG+이/JKS
변수가	변수/NNG+가/JKC
되겠지만	되/VV+겠/EP+지만/EC
청각장애	청각장애/NNG
영·유아기는	영/NNG+·/SP+유아기/NNG+는/JX
인지적	인지/NNG+적/XSN
발달을	발달/NNG+을/JKO
돕는	돕/VV+는/ETM
시기인데	시기/NNG+이/VCP+ㄴ데/EC
청인위주의	청인위주/NNG+의/JKG
재활	재활/NNG
뿐”이라며	뿐/JX+”/SL+이/VCP+라며/EC
“향후에는	“/SN+향후/NNG+에/JKB+는/JX
수화와	수화/NNG+와/JC
모국어	모국어/NNG
등을	등/NNB+을/JKO
동시에	동시/NNG+에/JKB
사용할수	사용하/VV+ㄹ/ETM+수/NNB
있는	있/VA+는/ETM
시각인지적	시각인지/NNG+적/XSN
교육의	교육/NNG+의/JKG
강화가	강화/NNG+가/JKS
필요하고	필요하/VA+고/EC
중요하다”고	중요하/VA+다/EC+”/SN+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

또한	또한/MAG
이	이/MM
사무처장은	사무처/NNG+장/XSN+은/JX
“청각장애인을	“/SN+청각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
수화통역센터가	수화통역센터/NNG+가/JKS
있지만	있/VA+지만/EC
통역의	통역/NNG+의/JKG
기능에만	기능/NNG+에/JKB+만/JX
머물러	머무르/VV+어/EC
있다”며	있/VX+다/EC+”/VX+며/EC
“다양한	“/SN+다양하/VA+ㄴ/ETM
영역에서의	영역/NNG+에서/JKB+의/JKG
역할을	역할/NNG+을/JKO
담당할	담당하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
농아인종합지원센터로의	농아인종합지원센터/NNG+로/JKB+의/JKG
확대가	확대/NNG+가/JKS
필요하다”고	필요하/VA+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

이외에도	이외/NNG+에/JKB+도/JX
여성장애인연합회	여성장애인연합회/NNG
신희원	신희원/NNP
사무처장은	사무처/NNG+장/XSN+은/JX
“여성의	“/SN+여성/NNG+의/JKG
영역을	영역/NNG+을/JKO
별도로	별도/NNG+로/JKB
한	하/VV+ㄴ/ETM
의제	의제/NNG
제안이	제안/NNG+이/JKS
필요하다고	필요하/VA+다고/EC
본다”며	보/VV+ㄴ다/EF+”/SN+며/EC
“총괄영역에서는	“/SL+총괄영역/NNG+에서/JKB+는/JX
여성장애인	여성장애인/NNG
정책기구	정책기구/NNG
및	및/MAG
전담부서	전담부서/NNG
설치,	설치/NNG+,/SP
여성장애인	여성장애인/NNG
인지정책을	인지정책/NNG+을/JKO
반영한	반영하/VV+ㄴ/ETM
지표개발과	지표개발/NNG+과/JC
성별통계구축	성별통계구축/NNG
및	및/MAG
성별예산확보	성별예산확보/NNG
등이	등/NNB+이/JKS
필요하다”고	필요하/VA+다/EC+”/SN+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

또한	또한/MAG
“소득	“/SL+소득/NNG
및	및/MAG
고용역역에서는	고용역역/NNG+에서/JKB+는/JX
여성장애인	여성장애인/NNG
장애유형별	장애유형별/NNP
특성과	특성/NNG+과/JC
욕구를	욕구/NNG+를/JKO
고려한	고려하/VV+ㄴ/ETM
교육,	교육/NNG+,/SP
직업훈련	직업훈련/NNG
개발	개발/NNG
및	및/MAG
서비스	서비스/NNG
강화,	강화/NNG+,/SP
건강증진	건강증진/NNG
영역에서는	영역/NNG+에서/JKB+는/JX
여성장애인	여성장애인/NNG
재생산권	재생산권/NNG
강화	강화/NNG
인권영역에서는	인권영역/NNG+에서/JKB+는/JX
사법연수원과	사법연수원/NNG+과/JC
로스쿨	로스쿨/NNG
등에서의	등/NNB+에서/JKB+의/JKG
여성장애인	여성장애인/NNG
성폭력	성폭력/NNG
교육	교육/NNG
의무화	의무화/NNG
등이	등/NNB+이/JKS
담겨야	담기/VV+어야/EC
한다”고	하/VX+ㄴ다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

한편	한편/MAG
정부는	정부/NNG+는/JX
민관	민관/NNG
합동으로	합동/NNG+으로/JKB
‘제4차	‘/SN+제/XPN+4/SN+차/NNB
5개년	5/SN+개년/NNB
계획’수립을	계획/NNG+’/SL+수립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
막바지	막바지/NNG
작업에	작업/NNG+에/JKB
한창으로	한창/NNG+으로/JKB
올	올/NNG
10월께	10/SN+월/NNB+께/XSN
청문회를	청문회/NNG+를/JKO
열어	열/VV+어/EC
최종	최종/NNG
계획안을	계획안/NNG+을/JKO
발표할	발표하/VV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

재활협회는	재활협회/NNG+는/JX
이날	이날/NNG
나온	나오/VV+ㄴ/ETM
의견들을	의견/NNG+들/XSN+을/JKO
취합한	취합하/VV+ㄴ/ETM
후	후/NNG
최종	최종/NNG
의제를	의제/NNG+를/JKO
마련해	마련하/VV+여/EC
이달	이달/NNG
말까지	말/NNB+까지/JX
보건복지부에	보건복지부/NNG+에/JKB
전달,	전달/NNG+,/SP
반영해줄	반영하/VV+여/EC+주/VX+ㄹ/EC
것을	것/NNB+을/JKO
촉구할	촉구하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

한국장애인재활협회는	한국/NNP+장애인재활협회/NNG+는/JX
21일	21/SN+일/NNB
오후	오후/NNG
여의도	여의도/NNP
이룸센터	이룸센터/NNG
누리홀에서	누리홀/NNG+에서/JKB
제41회	제/XPN+41/SN+회/NNB
RI	RI/SL
Korea	Korea/SL
재활대회를	재활대회/NNG+를/JKO
갖고	갖/VV+고/EC
‘제4차	‘/SL+제/XPN+4/SN+차/NNB
장애인정책발전	장애인정책발전/NNG
5개년	5/SN+개년/NNB
계획(2013-2017)’에	계획/NNG+(/SS+2013/SN+-/SO+2017/SN+)/SS+’/SL+에/JKB
필요한	필요하/VA+ㄴ/ETM
민간차원의	민간차원/NNG+의/JKG
의제(과제)를	의제/NNG+(/SS+과제/NNG+)/SS+를/JKO
개발해	개발하/VV+여/EC
발표했다	발표하/VV+였/EP+다/EC
