'유엔장애인권리협약,	'/SS+유엔/NNP+장애인권리협약/NNG+,/SP
채워나간다는	채우/VV+어/EC+나가/VX+ㄴ다는/ETM
것이	것/NNB+이/JKS
커다란	커다랗/VA+ㄴ/ETM
도전과제다	도전과제/NNG+이/VCP+다/EF

현재	현재/MAG
장애인권리협약을	장애인권리협약/NNG+을/JKO
비준한	비준하/VV+ㄴ/ETM
회원국이	회원국/NNG+이/JKS
125개나	125/SN+개/NNB+나/JX
있다	있/VA+다/EC

모든	모든/MM
국가들에	국가/NNG+들/XSN+에/JKB
연락	연락/NNG
해	하/VV+여/EC
장애인권리협약이	장애인권리협약/NNG+이/JKS
실제로	실제로/MAG
그	그/MM
나라에서	나라/NNG+에서/JKB
실천	실천/NNG
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
촉구하고	촉구하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

특히	특히/MAG
반	반/NNG
사무총장은	사무총장/NNG+은/JX
“장애인은	“/SN+장애인/NNG+은/JX
요명을	요명/NNG+을/JKO
얻거나	얻/VV+거나/EC
무시를	무시/NNG+를/JKO
당하거나	당하/VV+거나/EC
심지어	심지어/MAG
노동력	노동력/NNG
착취를	착취/NNG+를/JKO
당하는	당하/VV+는/ETM
등의	등/NNB+의/JKG
장벽에	장벽/NNG+에/JKB
직면해	직면하/VV+여/EC
있다	있/VX+다/EC

투표권을	투표권/NNG+을/JKO
거부당하거나	거부/NNG+당하/XSV+거나/EC
자유롭게	자유롭/VA+게/EC
움직일	움직이/VV+ㄹ/ETM
수	수/NNB
없거나	없/VA+거나/EC
사회적인	사회적/NNG+이/VCP+ㄴ/ETM
보호를	보호/NNG+를/JKO
받지	받/VV+지/EC
못하거나	못하/VX+거나/EC
정당한	정당하/VA+ㄴ/ETM
의료	의료/NNG
서비스를	서비스/NNG+를/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
경우가	경우/NNG+가/JKS
많다”고	많/VA+다/EC+”/VX+고/EC
지적했다	지적하/VV+였/EP+다/EF

여기에	여기/NP+에/JKB
“장애여성들의	“/SN+장애여성/NNG+들/XSN+의/JKG
경우는	경우/NNG+는/JX
이외에도	이외/NNG+에/JKB+도/JX
다른	다른/MM
어려움에	어려움/NNG+에/JKB
직면하는	직면하/VV+는/ETM
경우가	경우/NNG+가/JKS
많다	많/VA+다/EC

장애	장애/NNG
아동들은	아동/NNG+들/XSN+은/JX
더	더/MAG
모두의	모두/NNG+의/JKG
보호와	보호/NNG+와/JC
관심,	관심/NNG+,/SP
지원을	지원/NNG+을/JKO
필요로	필요/NNG+로/JKB
한다	하/VV+ㄴ다/EF

우리	우리/NP
모두는	모두/NNG+는/JX
장애인들의	장애인/NNG+들/XSN+의/JKG
권리가	권리/NNG+가/JKS
보호될	보호되/VV+ㄹ/ETM
때	때/NNG
이	이/MM
세상을	세상/NNG+을/JKO
살아가는	살아가/VV+는/ETM
모두의	모두/NNG+의/JKG
결속력이	결속/NNG+력/XSN+이/JKS
더욱	더욱/MAG
강해진다는	강하/VA+여/EC+지/VX+ㄴ다는/ETM
것을	것/NNB+을/JKO
알고	알/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

이외에도	이외/NNG+에/JKB+도/JX
반	반/NNG
사무총장은	사무총장/NNG+은/JX
유엔의	유엔/NNP+의/JKG
새천년개발목표(MDG)과	새/MM+천/NR+년/NNB+개발목표/NNG+(/SS+MDG/SL+)/SS+과/JC
포스트-2015(MDGs)에	포스트/NNG+-/SO+2015/SN+(/SS+MDGs/SL+)/SS+에/JKB
대해서도	대하/VV+여서/EC+도/JX
언급하며,	언급하/VV+며/EC+,/SP
장애	장애/NNG
관련된	관련되/VV+ㄴ/ETM
내용들이	내용/NNG+들/XSN+이/JKS
포함될	포함되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
언급했다	언급하/VV+였/EP+다/EC

반	반/NNP
사무총장은	사무총장/NNG+은/JX
“유엔의	“/SN+유엔/NNP+의/JKG
새천년	새/MM+천/NR+년/NNB
개발	개발/NNG
계획을	계획/NNG+을/JKO
달성하기	달성하/VV+기/ETN
위해	위하/VV+여/EC
노력하고	노력하/VV+고/EC
있는	있/VX+는/ETM
지금	지금/NNG
2015년을	2015/SN+년/NNB+을/JKO
넘어선	넘어서/VV+ㄴ/ETM
데드라인에	데드라인/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
생각하고	생각하/VV+고/EC
있다	있/VX+다/EC

우리는	우리/NP+는/JX
지금	지금/MAG
포스트-2015	포스트/NNG+-/SO+2015/SN
개발	개발/NNG
아젠다를	아젠다/NNP+를/JKO
만들어	만들/VV+어/EC
낼	내/VX+ㄹ/ETM
역사적인	역사적/NNG+이/VCP+ㄴ/ETM
기회를	기회/NNG+를/JKO
맞이하고	맞이하/VV+고/EC
있다	있/VX+다/EC

여기에는	여기/NP+에/JKB+는/JX
장애인들의	장애인/NNG+들/XSN+의/JKG
권리나	권리/NNG+나/JC
이들에	이/NP+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
관심,	관심/NNG+,/SP
이들의	이/NP+들/XSN+의/JKG
기여와	기여/NNG+와/JKB
관련된	관련되/VV+ㄴ/ETM
많은	많/VA+은/ETM
것들이	것/NNB+들/XSN+이/JKS
포함될	포함되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

포스트-2015은	포스트/NNG+-/SO+2015/SN+은/JX
새천년개발목표가	새천년개/NNP+발목표/NNG+가/JKS
종료되는	종료되/VV+는/ETM
2015년	2015/SN+년/NNB
이후	이후/NNG
20~30년간	20/SN+~/SO+30/SN+년/NNB+간/XSN
국제	국제/NNG
개발	개발/NNG
협력의	협력/NNG+의/JKG
비전과	비전/NNG+과/JC
방향을	방향/NNG+을/JKO
제시할	제시하/VV+ㄹ/ETM
유엔의	유엔/NNP+의/JKG
핵심	핵심/NNG
의제로	의제/NNG+로/JKB
반	반/NNG
사무총장이	사무총장/NNG+이/JKS
두	두/MM
번째	번째/NNB
임기의	임기/NNG+의/JKG
최우선	최우선/NNG
과제로	과제/NNG+로/JKB
내세운	내세우/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

이어	이어/MAG
반	반/NNG
사무총장은	사무총장/NNG+은/JX
“디지털	“/SN+디지털/NNG
기술의	기술/NNG+의/JKG
발달은	발달/NNG+은/JX
장애인들에게	장애인/NNG+들/XSN+에게/JKB
새로운	새롭/VA+ㄴ/ETM
가능성의	가능성/NNG+의/JKG
문을	문/NNG+을/JKO
열어주고	열/VV+어/EC+주/VX+고/EC
있다	있/VX+다/EC

우리	우리/NP
모두는	모두/NNG+는/JX
장애인들의	장애인/NNG+들/XSN+의/JKG
기술과	기술/NNG+과/JKB
관련해서도	관련하/VV+여서/EC+도/JX
접근성을	접근성/NNG+을/JKO
확보해야	확보하/VV+여야/EC
함을	하/VX+ㅁ/ETN+을/JKO
명심해야	명심하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
주장했다	주장하/VV+였/EP+다/EC

반	반/NNP
사무총장은	사무총장/NNG+은/JX
“제3차	“/SN+제/XPN+3/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년을	10/SN+년/NNB+을/JKO
위해	위하/VV+여/EC
많은	많/VA+은/ETM
단체들이	단체/NNG+들/XSN+이/JKS
중요한	중요하/VA+ㄴ/ETM
이벤트들을	이벤트/NNG+들/XSN+을/JKO
연달아	연달/VV+아/EC
진행했다"면서	진행하/VV+였/EP+다/EF+"/SS+면서/EC
"이런	"/SS+이런/MM
모임들이	모임/NNG+들/XSN+이/JKS
유엔의	유엔/NNP+의/JKG
업무로도	업무/NNG+로/JKB+도/JX
흡수되고,	흡수되/VV+고/EC+,/SP
가깝게	가깝/VA+게/EC
서로	서로/MAG
관여해	관여하/VV+여/EC
함께	함께/MAG
나아가길	나아가/VV+기/ETN+ㄹ/JKO
바란다”고	바란다”/VV+고/EC
당부했다	당부하/VV+였/EP+다/EC

한편	한편/MAG
‘제22차	‘/SN+제/XPN+22/SN+차/NNB
RI세계대회’은	RI/SL+세계대회/NNG+’/SL+은/JX
장애인권리협약과	장애인권리협약/NNG+과/JC
빈곤	빈곤/NNG
등	등/NNB
전	전/NNG
세게	세/VA+게/EC
장애인의	장애인/NNG+의/JKG
공동안건에	공동안건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
효과적	효과적/NNG
이행	이행/NNG
전략을	전략/NNG+을/JKO
모색하기	모색하/VV+기/ETN
자리로	자리/NNG+로/JKB
오는	오/VV+는/ETM
11월	11/SN+월/NNB
2일까지,	2/SN+일/NNB+까지/JX+,/SP
총	총/MM
7개의	7/SN+개/NNB+의/JKG
전체토의와	전체토의/NNG+와/JC
17개의	17/SN+개/NNB+의/JKG
분임토의	분임토의/NNG
등	등/NNB
학술대회를	학술대회/NNG+를/JKO
비롯해	비롯하/VV+여/EC
갈라	가르/VV+아/EC
공연	공연/NNG
등이	등/NNB+이/JKS
펼쳐진다	펼치/VV+어/EC+지/VX+ㄴ다/EC

30일	30/SN+일/NNB
오후	오후/NNG
인천	인천/NNP
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘제22차	‘/SN+제/XPN+22/SN+차/NNB
RI세계대회’	RI/SL+세계대회/NNG+’/SL
개회식	개회식/NNG
모습	모습/NNG
