최동익,	최동익/NNP+,/SP
지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
4·11	4/SN+·/SP+11/SN
총선을	총선/NNG+을/JKO
앞두고	앞두/VV+고/EC
4월초까지	4/SN+월초/NNB+까지/JX
3차례에	3/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
장	장/NNP
전	전/MM
의원에게	의원/NNG+에게/JKB
민주당	민주당/NNP
비례대표	비례대표/NNG
후보로	후보/NNG+로/JKB
공천	공천/NNG
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와달라는	돕/VV+아/EC+달/VX+라는/ETM
청탁	청탁/NNG
명목으로	명목/NNG+으로/JKB
7000만원을	7000/SN+만/NR+원/NNB+을/JKO
제공한	제공하/VV+ㄴ/ETM
정황을	정황/NNG+을/JKO
포착해	포착하/VV+여/EC
이뤄졌다	이루어지/VV+었/EP+다/EF

검찰은	검찰/NNG+은/JX
또한	또한/MAG
장	장/NNP
전의원의	전/MM+의원/NNG+의/JKG
부산	부산/NNP
금정구	금정구/NNP
장전동	장전동/NNP
자택과	자택/NNG+과/JC
서울의	서울/NNP+의/JKG
모	모/MM
장애인단체	장애인단체/NNG
사무실	사무실/NNG
등도	등/NNB+도/JX
압수수색했다	압수수색하/VV+였/EP+다/EF

장	장/NNP
전의원은	전/MM+의원/NNG+은/JX
민주당	민주당/NNP
비례대표	비례대표/NNG
후보	후보/NNG
추천	추천/NNG
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
시각장애인	시각장애인/NNG
A씨로부터	A/SL+씨/NNB+로부터/JKB
3300만원을	3300/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있는	있/VX+는/ETM
상태다	상태/NNG+이/VCP+다/EC

이날	이날/NNG
검찰은	검찰/NNG+은/JX
A씨의	A/SL+씨/NNB+의/JKG
경기도	경기도/NNP
과천	과천/NNP
자택도	자택/NNG+도/JX
압수수색한	압수수색하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF
