장애인유권자	장애인유권자/NNG
봤다	보/VX+았/EP+다/EF

장애인권리보장법	장애인권리보장법/NNG
제정·장애등급제	제정/NNG+·/SP+장애등급/NNG+제/XSN
폐지=	폐지/NNG+=/SW
먼저	먼저/MAG
박	박/NNP
후보와	후보/NNG+와/JC
문	문/NNP
후보는	후보/NNG+는/JX
장애계	장애/NNG+계/XSN
염원으로	염원/NNG+으로/JKB
떠오른	떠오르/VV+ㄴ/ETM
장애등급제	장애등급/NNG+제/XSN
폐지와	폐지/NNG+와/JKB
함께	함께/MAG
장애인권리보장법	장애인권리보장법/NNG
제정	제정/NNG
공약을	공약/NNG+을/JKO
수용하고	수용하/VV+고/EC
이행할	이행하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
약속했다	약속하/VV+었/EP+다/EC

박	박/NNP
후보는	후보/NNG+는/JX
최근	최근/NNG
새누리당	새누리당/NNP
18대	18/SN+대/NNB
대통령	대통령/NNG
선거	선거/NNG
정책공약	정책공약/NNG
‘세상을	‘/SN+세상/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
약속	약속/NNG
책임있는	책임/NNG+있/VA+는/ETM
변화’를	변화/NNG+’/SL+를/JKO
발표하고	발표하/VV+고/EC
‘장애인권리보장법	‘/SN+장애인권리보장법/NNG
제정’과	제정’/NNG+과/JC
장애등급제	장애등급/NNG+제/XSN
폐지	폐지/NNG
및	및/MAG
개선을	개선/NNG+을/JKO
공식화했다	공식화하/VV+였/EP+다/EC

문	문/NNP
후보	후보/NNG
역시	역시/MAG
장애인복지법	장애인복지법/NNG
전면	전면/NNG
개정을	개정/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
‘장애인	‘/SL+장애인/NNG
복지	복지/NNG
및	및/MAG
권리보장에	권리보장/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’	법률/NNG+’/SN
마련	마련/NNG
및	및/MAG
장애등급제	장애등급/NNG+제/XSN
폐지	폐지/NNG
이행을	이행/NNG+을/JKO
약속했다	약속하/VV+었/EP+다/EC

문	문/NNP
후보는	후보/NNG+는/JX
장애등급제	장애등급/NNG+제/XSN
폐지가	폐지/NNG+가/JKS
‘국민명령	‘/SN+국민명령/NNG
1호’인	1/SN+호/NNB+’/SN+이/VCP+ㄴ/ETM
만큼,	만큼/NNB+,/SP
대통령에	대통령/NNG+에/JKB
당선되면	당선되/VV+면/EC
대통령	대통령/NNG
직무와	직무/NNG+와/JKB
함께	함께/MAG
대통령	대통령/NNG
행정명령	행정명령/NNG
1호로	1/SN+호/NNB+로/JKB
장애등급제	장애등급/NNG+제/XSN
폐지에	폐지/NNG+에/JKB
서명하겠다는	서명하/VV+겠/EP+다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

중증장애인활동지원	중증장애인활동지원/NNG
24시간	24/SN+시간/NNB
보장=	보장/NNG+=/SW
두	두/MM
후보	후보/NNG
모두	모두/MAG
중증장애인활동지원	중/XPN+증장애인활동지원/NNG
24시간	24/SN+시간/NNB
보장에	보장/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
이견	이견/NNG
없이	없이/MAG
수용·이행을	수용/NNG+·/SP+이행/NNG+을/JKO
약속했다	약속하/VV+었/EP+다/EC

박	박/NNP
후보는	후보/NNG+는/JX
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
퇴근	퇴근/NNG
후	후/NNG
화재	화재/NNG
등으로	등/NNB+으로/JKB
죽음을	죽음/NNG+을/JKO
맞는	맞/VV+는/ETM
일이	일/NNG+이/JKS
발생하지	발생하/VV+지/EC
않도록	않/VX+도록/EC
하루	하루/NNG
24시간을	24/SN+시간/NNB+을/JKO
보장하겠다는	보장하/VV+겠/EP+다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

문	문/NNP
후보도	후보/NNG+도/JX
장애인활동지원	장애인활동지원/NNG
24시간	24/SN+시간/NNB
확대를	확대/NNG+를/JKO
위해	위하/VV+여/EC
서비스	서비스/NNG
상한제와	상한제/NNG+와/JC
대상제한을	대상제한/NNG+을/JKO
폐지하고	폐지하/VV+고/EC
환경과	환경/NNG+과/JC
욕구를	욕구/NNG+를/JKO
포함한	포함하/VV+ㄴ/ETM
서비스	서비스/NNG
판정체계로	판정체계/NNG+로/JKB
개선할	개선하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
공약했다	공약하/VV+였/EP+다/EC

발달장애인법	발달장애인법/NNG
제정=	제정/NNG+=/SW
박	박/NNP
후보는	후보/NNG+는/JX
새누리당이	새누리당/NNP+이/JKS
발달장애인법	발달장애인법/NNG
제정의	제정/NNG+의/JKG
중요성을	중요성/NNG+을/JKO
인식해	인식하/VV+여/EC
19대	19/SN+대/NNB
국회	국회/NNG
1호	1/SN+호/NNB
법안으로	법안/NNG+으로/JKB
발달장애인법안을	발달장애인법안/NNG+을/JKO
발의한	발의하/VV+ㄴ/ETM
만큼	만큼/NNB
당력을	당/NNG+력/XSN+을/JKO
모아	모으/VV+아/EC
약속을	약속/NNG+을/JKO
지킨다는	지키/VV+ㄴ다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

문	문/NNP
후부도	후부/NNG+도/JX
발달장애인의	발달장애인/NNG+의/JKG
사회참여	사회참여/NNG
및	및/MAG
삶의	삶/NNG+의/JKG
질	질/NNG
확보를	확보/NNG+를/JKO
위해	위하/VV+여/EC
발달장애인법이	발달장애인법/NNG+이/JKS
제정될	제정되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
함께한다는	함께하/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

한국수화언어기본법제정,	한국수화언어기본법제정/NNP+,/SP
농교육	농교육/NNG
환경	환경/NNG
개선=	개선/NNG+=/SW
두	두/MM
대선	대선/NNG
후보는	후보/NNG+는/JX
청각장애인을	청각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
복지정책에도	복지정책/NNG+에/JKB+도/JX
앞장설	앞장서/VV+ㄹ/ETM
것을	것/NNB+을/JKO
약속했다	약속하/VV+었/EP+다/EC

박	박/NNP
후보는	후보/NNG+는/JX
대선연대의	대선연대/NNG+의/JKG
요구대로	요구/NNG+대로/JX
수화의	수화/NNG+의/JKG
언어적	언어적/NNG
지위가	지위/NNG+가/JKS
확보될	확보되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
‘한국수화언어기본법’을	‘/SN+한국/NNP+수화언어기본법/NNG+’/SL+을/JKO
제정하고	제정하/VV+고/EC
이와	이/NP+와/JKB
함께	함께/MAG
‘농문화지원법	‘/SL+농문화지원법/NNG
제정’도	제정/NNG+’/SN+도/JX
적극	적극/NNG
추진한다는	추진하/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

여기에	여기/NP+에/JKB
열악한	열악하/VA+ㄴ/ETM
농교육	농교육/NNG
환경을	환경/NNG+을/JKO
실질적으로	실질적/NNG+으로/JKB
개선하기	개선하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
최선을	최선/NNG+을/JKO
다	다/VV
한다는	하/VV+ㄴ다는/ETM
것	것/NNB

문	문/NNP
후보	후보/NNG
역시	역시/MAG
농아인의	농아인/NNG+의/JKG
언어적	언어적/NNG
권리	권리/NNG
확보를	확보/NNG+를/JKO
위해	위하/VV+여/EC
'한국수화언어기본법'을	'/SS+한국/NNP+수화언어기본법/NNG+'/SS+을/JKO
제정하고,	제정하/VV+고/EC+,/SP
농교육	농교육/NNG
환경	환경/NNG
개선을	개선/NNG+을/JKO
위해	위하/VV+여/EC
노력한다는	노력하/VV+ㄴ다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

장애인연금	장애인연금/NNG
인상과	인상/NNG+과/JC
대상	대상/NNG
확대=	확대/NNG+=/SW
장애인들의	장애인/NNG+들/XSN+의/JKG
초미	초미/NNG
관심사인	관심사/NNG+이/VCP+ㄴ/ETM
장애인연금의	장애인연금/NNG+의/JKG
인상과	인상/NNG+과/JC
대상	대상/NNG
관련해서는	관련하/VV+여서/EC+는/JX
다소	다소/MAG
상이한	상이하/VA+ㄴ/ETM
입장을	입장/NNG+을/JKO
보였다	보이/VV+었/EP+다/EF

박	박/NNP
후보는	후보/NNG+는/JX
장애인연금	장애인연금/NNG
인상과	인상/NNG+과/JC
대상	대상/NNG
확대가	확대/NNG+가/JKS
새누리당의	새누리당/NNP+의/JKG
총선	총선/NNG
공약이었던	공약/NNG+이/VCP+었/EP+던/ETM
만큼	만큼/NNB
지속적으로	지속적/NNG+으로/JKB
연금액과	연금/NNG+액/XSN+과/JC
대상이	대상/NNG+이/JKS
확대될	확대되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력한다는	노력하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

앞서	앞서/MAG
새누리당은	새누리당/NNP+은/JX
총선연대를	총선연대/NNG+를/JKO
통해	통하/VV+여/EC
부가급여를	부가급여/NNG+를/JKO
2회에	2/SN+회/NNB+에/JKB
걸쳐	걸치/VV+어/EC
기존	기존/NNG
15만원에서	15/SN+만/NR+원/NNB+에서/JKB
20만원으로	20/SN+만/NR+원/NNB+으로/JKB
상향조정하고,	상향/NNG+조정하/VV+고/EC+,/SP
경제성장	경제성장/NNG
재정확충	재정확충/NNG
정도에	정도/NNG+에/JKB
따라	따르/VV+아/EC
인상추진을	인상추진/NNG+을/JKO
검토하겠다는	검토하/VV+겠/EP+다는/ETM
입장을	입장/NNG+을/JKO
밝힌바	밝히/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

반면	반면/NNG
문	문/NNP
후보는	후보/NNG+는/JX
중증장애인의	중증장애인/NNG+의/JKG
소득하위	소득하위/NNG
56%인	56/SN+%인/SW
지급대상을	지급대상/NNG+을/JKO
80%까지	80/SN+%/SW+까지/JX
상향하고,	상향하/VV+고/EC+,/SP
기초급여	기초급여/NNG
A값을	A/SL+값/NNG+을/JKO
매년	매년/MAG
1%씩	1/SN+%/SW+씩/XSN
상향해	상향하/VV+여/EC
2017년까지	2017/SN+년/NNB+까지/JX
10%로	10/SN+%/SW+로/JKB
끌어	끌/VV+어/EC
올린다는	올리/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

또한	또한/MAG
장애로	장애/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
추가비용	추가비용/NNG
보전을	보전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
부가급여	부가급여/NNG
현실화를	현실화/NNG+를/JKO
위해	위하/VV+여/EC
2017년까지	2017/SN+년/NNB+까지/JX
단계적으로	단계적/NNG+으로/JKB
21만원으로	21/SN+만/NR+원/NNB+으로/JKB
인상하고,	인상하/VV+고/EC+,/SP
경증장애인	경증장애인/NNG
수당은	수당/NNG+은/JX
14만원으로	14/SN+만/NR+원/NNB+으로/JKB
증액한다는	증액하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

저상버스,	저상버스/NNG+,/SP
특별교통수단	특별교통수단/NNG
100%	100/SN+%/SW
확충=	확충/NNG+=/SW
박	박/NNP
후보는	후보/NNG+는/JX
장애인들의	장애인/NNG+들/XSN+의/JKG
이동권	이동/NNG+권/XSN
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
저상버스와	저상버스/NNG+와/JC
장애인콜택시(특별교통수단)	장애인콜택시/NNG+(/SS+특별교통수단/NNG+)/SS
운영	운영/NNG
규모를	규모/NNG+를/JKO
법정	법정/NNG
수준까지	수준/NNG+까지/JX
확충한다는	확충하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

현재	현재/MAG
저상버스는	저상버스/NNG+는/JX
법에	법/NNG+에/JKB
근거해	근거하/VV+여/EC
구체적	구체적/NNG
실현	실현/NNG
목표와	목표/NNG+와/JC
중장기	중장기/NNG
예산계획이	예산계획/NNG+이/JKS
세워져	세우/VV+어/EC+지/VX+어/EC
있지만	있/VX+지만/EC
예산이	예산/NNG+이/JKS
제대로	제대로/MAG
집행되지	집행되/VV+지/EC
않아	않/VX+아/EC
도입	도입/NNG
비율이	비율/NNG+이/JKS
낮다	낮/VA+다/EF

또한	또한/MAG
장애인콜택시는	장애인콜택시/NNG+는/JX
장애인	장애인/NNG
200명당	200/SN+명/NNB+당/XSN
1대	1/SN+대/NNB
운영이	운영/NNG+이/JKS
의무이나	의무/NNG+이나/JC
2010년	2010/SN+년/NNB
12월	12/SN+월/NNB
기준	기준/NNG
2,785대	2,785/SN+대/NNG
대비	대비/NNG
1,302대(46	1,302/SN+대/NNB+(/SS+46/SN

7%)에	7/SN+%/SW+)/SS+에/JKB
불과하다	불과하/VA+다/EC

문	문/NNP
후보는	후보/NNG+는/JX
장애인의	장애인/NNG+의/JKG
이동불편	이동불편/NNG
최소화를	최소화/NNG+를/JKO
위해	위하/VV+여/EC
대중교통과	대중교통/NNG+과/JC
장애인콜택시의	장애인콜택시/NNG+의/JKG
광역	광역/NNG
교통연계	교통연계/NNG
시스템을	시스템/NNG+을/JKO
구축한다는	구축하/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

또한	또한/MAG
저상버스는	저상버스/NNG+는/JX
3,899대(12%)에서	3,899/SN+대/NNB+(/SS+12/SN+%/SW+)/SS+에서/JKB
1만6천대(50%)까지	1/SN+만/NR+6/SN+천/NR+대/NNB+(/SS+50/SN+%/SW+)/SS+까지/JX
단계적으로	단계적/NNG+으로/JKB
확충하고,	확충하/VV+고/EC+,/SP
장애인콜택시는	장애인콜택시/NNG+는/JX
법적	법적/NNG
기준인	기준/NNG+이/VCP+ㄴ/ETM
2,785대를	2,785/SN+대/NNB+를/JKO
조기	조기/NNG
달성할	달성하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
공약했다	공약하/VV+였/EP+다/EC

장애인	장애인/NNG
고용의무	고용의무/NNG
활성화로	활성화/NNG+로/JKB
일자리	일자리/NNG
확대=	확대/NNG+=/SW
박	박/NNP
후보는	후보/NNG+는/JX
장애인	장애인/NNG
일자리	일자리/NNG
확대를	확대/NNG+를/JKO
위해	위하/VV+여/EC
장애인	장애인/NNG
고용	고용/NNG
우수기업	우수기업/NNG
우대를	우대/NNG+를/JKO
강화하는	강화하/VV+는/ETM
등	등/NNB
장애인	장애인/NNG
고용률	고용/NNG+률/XSN
제고를	제고/NNG+를/JKO
약속했다	약속하/VV+었/EP+다/EC

총선연대	총선연대/NNG
실천차원에서	실천차원/NNG+에서/JKB
장애인표준사업장	장애인표준사업장/NNG
설립요건을	설립요건/NNG+을/JKO
완화해	완화하/VV+여/EC
규모가	규모/NNG+가/JKS
큰	크/VA+ㄴ/ETM
장애인표준사업장	장애인표준사업장/NNG
설립을	설립/NNG+을/JKO
쉽도록	쉽/VA+도록/EC
함으로써	하/VX+ㅁ/ETN+으로써/JKB
중증장애인의	중증장애인/NNG+의/JKG
취업기회가	취업기회/NNG+가/JKS
많아지도록	많아지/VV+도록/EC
한다는	하/VX+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

또한	또한/MAG
유능한	유능하/VA+ㄴ/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
중앙부처에서	중앙부처/NNG+에서/JKB
활동하는	활동하/VV+는/ETM
것이	것/NNB+이/JKS
장애인	장애인/NNG
권익을	권익/NNG+을/JKO
향상시키는데	향상/NNG+시키/XSV+는/ETM+데/NNB
중요하다고	중요하/VA+다고/EC
판단해	판단하/VV+여/EC
중앙부처	중앙부처/NNG
공무원의	공무원/NNG+의/JKG
장애인	장애인/NNG
의무고용률을	의무고용률/NNG+을/JKO
임기	임기/NNG
내	내/NNB
4%로	4/SN+%/SW+로/JKB
높인다는	높이/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

문	문/NNP
후보는	후보/NNG+는/JX
장애인	장애인/NNG
일자리를	일자리/NNG+를/JKO
5만개를	5/SN+만/NR+개/NNB+를/JKO
확충해	확충하/VV+여/EC
장애인	장애인/NNG
고용	고용/NNG
활성화를	활성화/NNG+를/JKO
추진한다는	추진하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

문	문/NNP
후보는	후보/NNG+는/JX
다수고용사업장과	다수고용사업장/NNG+과/JC
장애인표준사업장	장애인표준사업장/NNG
등	등/NNB
장애인근로자	장애인근로자/NNG
대상	대상/NNG
사업장을	사업장/NNG+을/JKO
5년간	5/SN+년/NNB+간/XSN
100개,	100/SN+개/NNB+,/SP
각	각/MM
사업장당	사업장당/NNG
장애인일자리	장애인일자리/NNG
1000개씩을	1000/SN+개/NNB+씩/XSN+을/JKO
마련해	마련하/VV+여/EC
일자리	일자리/NNG
1만개를	1/SN+만/NR+개/NNB+를/JKO
확충한다는	확충하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

여기에	여기/NP+에/JKB
중증장애인우선구매	중증장애인우선구매/NNG
제도를	제도/NNG+를/JKO
확대해	확대하/VV+여/EC
일자리	일자리/NNG
3만개를,	3/SN+만/NR+개/NNB+를/JKO+,/SP
장애인	장애인/NNG
공무원	공무원/NNG
및	및/MAG
사회적	사회적/NNG
기업을	기업/NNG+을/JKO
확대해	확대하/VV+여/EC
일자리	일자리/NNG
1만개를	1/SN+만/NR+개/NNB+를/JKO
확충한다는	확충하/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보=	확보/NNG+=/SW
대선연대의	대선연대/NNG+의/JKG
특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보와	확보/NNG+와/JKB
관련해서는	관련하/VV+여서/EC+는/JX
두	두/MM
후보가	후보/NNG+가/JKS
다소	다소/MAG
유사한	유사하/VA+ㄴ/ETM
공약을	공약/NNG+을/JKO
제시했다	제시하/VV+였/EP+다/EC

박	박/NNP
후보는	후보/NNG+는/JX
총선공약	총선공약/NNG
때처럼	때/NNG+처럼/JKB
특수교사를	특수교사/NNG+를/JKO
5년간	5/SN+년/NNB+간/XSN
7천명까지	7/SN+천/NR+명/NNB+까지/JX
확대한다는	확대하/VV+ㄴ다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

새누리당은	새누리당/NNP+은/JX
총선연대와의	총선연대/NNG+와/JKB+의/JKG
공약으로	공약/NNG+으로/JKB
5년간	5/SN+년/NNB+간/XSN
교원	교원/NNG
7천명과	7/SN+천/NR+명/NNB+과/JC
특수학교	특수학교/NNG
학급	학급/NNG
증설	증설/NNG
및	및/MAG
특수학교	특수학교/NNG
전공과	전공/NNG+과/JC
확대	확대/NNG
설치를	설치/NNG+를/JKO
약속한바	약속하/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

또한	또한/MAG
교육과학기술부가	교육과학기술부/NNG+가/JKS
운영	운영/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
장애대학생	장애대학생/NNP
학습도우미	학습도우미/NNP
지원	지원/NNG
사업을	사업/NNG+을/JKO
전국	전국/NNG
대학	대학/NNG
및	및/MAG
전문대학에서	전문대학/NNG+에서/JKB
의무적으로	의무적/NNG+으로/JKB
운영하도록	운영하/VV+도록/EC
추진하겠다고	추진하/VV+겠/EP+다고/EC
밝힌바	밝히/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

문	문/NNP
후보	후보/NNG
역시	역시/MAG
장애인	장애인/NNG
과밀학급	과밀학급/NNG
해소를	해소/NNG+를/JKO
위해	위하/VV+여/EC
특수학급	특수학급/NNG
신증설과	신증설/NNG+과/JC
이에	이/NP+에/JKB
따른	따르/VV+ㄴ/ETM
7천명의	7/SN+천/NR+명/NNB+의/JKG
특수교사를	특수교사/NNG+를/JKO
충원한다는	충원하/VV+ㄴ다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

또한	또한/MAG
장애학생의	장애학생/NNG+의/JKG
학습권과	학습권/NNG+과/JC
교육의	교육/NNG+의/JKG
질	질/NNG
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
장애특성에	장애특성/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
각종	각종/NNG
자격조건을	자격조건/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
교사를	교사/NNG+를/JKO
배치하고,	배치하/VV+고/EC+,/SP
특수교육	특수교육/NNG
여건	여건/NNG
개선을	개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
중앙정부의	중앙정부/NNG+의/JKG
지원	지원/NNG
확대도	확대/NNG+도/JX
추진한다는	추진하/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

공공임대	공공임대/NNG
확대를	확대/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
주거권	주거/NNG+권/XSN
보장=	보장/NNG+=/SW
박	박/NNP
후보는	후보/NNG+는/JX
장애인	장애인/NNG
주거권	주거/NNG+권/XSN
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
장애인	장애인/NNG
특별	특별/NNG
분양	분양/NNG
등	등/NNB
장애인	장애인/NNG
대상	대상/NNG
공공주택	공공주택/NNG
보급	보급/NNG
활성화를	활성화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
적극적	적극적/NNG
대책을	대책/NNG+을/JKO
마련해	마련하/VV+여/EC
추진한다는	추진하/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

문	문/NNP
후보	후보/NNG
역시	역시/MAG
장애인의	장애인/NNG+의/JKG
주거	주거/NNG
안정을	안정/NNG+을/JKO
위해	위하/VV+여/EC
공공임대를	공공임대/NNG+를/JKO
확대	확대/NNG
추진한다는	추진하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

특히	특히/MAG
문	문/NNP
후보는	후보/NNG+는/JX
장애특성에	장애특성/NNG+에/JKB
맞는	맞/VV+는/ETM
주거	주거/NNG
안정적	안정적/NNG
공급	공급/NNG
및	및/MAG
주거비	주거비/NNG
지원	지원/NNG
등	등/NNB
주거권	주거/NNG+권/XSN
보장을	보장/NNG+을/JKO
담은	담/VV+은/ETM
‘탈시설·자립생활	‘/SN+탈시설/NNG+·/SP+자립생활/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
5개년	5/SN+개년/NNB
계획’을	계획/NNG+’/SL+을/JKO
수립하고,	수립하/VV+고/EC+,/SP
주거비	주/MM+거비/NNG
및	및/MAG
정착금을	정착금/NNG+을/JKO
지원한다는	지원하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

공공의료	공공의료/NNG
체계	체계/NNG
강화로	강화로/NNP
건강권	건강/NNG+권/XSN
보장=	보장/NNG+=/SW
박	박/NNP
후보는	후보/NNG+는/JX
장애인	장애인/NNG
건강권	건강/NNG+권/XSN
보장과	보장/NNG+과/JKB
관련해	관련하/VV+여/EC
재활프로그램을	재활프로그램/NNG+을/JKO
확충하고	확충하/VV+고/EC
만성질환을	만성질환/NNG+을/JKO
대비한	대비하/VV+ㄴ/ETM
장애인	장애인/NNG
운동	운동/NNG
활성화	활성화/NNG
프로그램을	프로그램/NNG+을/JKO
약속했다	약속하/VV+었/EP+다/EC

또한	또한/MAG
권역별	권역/NNG+별/XSN
재활병원	재활병원/NNG
및	및/MAG
재활중심	재활중심/NNG
거점	거점/NNG
보건소	보건소/NNG
확충,	확충/NNG+,/SP
장애인	장애인/NNG
보조기기	보조기기/NNG
산업	산업/NNG
육성을	육성/NNG+을/JKO
추진하겠다는	추진하/VV+겠/EP+다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

반면	반면/NNG
문	문/NNP
후보는	후보/NNG+는/JX
장애인의	장애인/NNG+의/JKG
만성질환과	만성질환/NNG+과/JC
2차	2/SN+차/NNB
장애예방을	장애예방/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
건강권	건강/NNG+권/XSN
보장으로	보장/NNG+으로/JKB
권역별	권역/NNG+별/XSN
공공	공공/NNG
장애인	장애인/NNG
재활병원	재활병원/NNG
추가	추가/NNG
확충과	확충/NNG+과/JC
진료장비의	진료장비/NNG+의/JKG
보급	보급/NNG
등을	등/NNB+을/JKO
강조하며,	강조하/VV+며/EC+,/SP
보편적	보편적/NNG
진료	진료/NNG
접근권	접근권/NNG
강화를	강화/NNG+를/JKO
강조했다	강조하/VV+였/EP+다/EC

여기에	여기/NP+에/JKB
장애인의	장애인/NNG+의/JKG
일상적인	일상적/NNG+이/VCP+ㄴ/ETM
진료,	진료/NNG+,/SP
임신,	임신/NNG+,/SP
출산,	출산/NNG+,/SP
치과진료를	치과진료/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지역	지역/NNG
거점	거점/NNG
