새누리	새누리/NNG
않겠다는	않/VX+겠/EP+다는/ETM
것이다	것/NNB+이/VCP+다/EC

또한	또한/MAG
인권을	인권/NNG+을/JKO
보장함에	보장하/VV+ㅁ/ETN+에/JKB
있어	있/VA+어/EC
그	그/MM
어떤	어떤/MM
이유도	이유/NNG+도/JX
장벽이	장벽/NNG+이/JKC
되어서는	되/VV+어서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
것이다	것/NNB+이/VCP+다/EC

향후	향후/NNG
장애인과	장애인/NNG+과/JKB
관련된	관련되/VV+ㄴ/ETM
정책	정책/NNG
및	및/MAG
공약	공약/NNG
입안	입안/NNG
시	시/NNG
위와	위/NNG+와/JKB
같은	같/VA+은/ETM
기조에서	기조/NNG+에서/JKB
장애인과	장애인/NNG+과/JC
그	그/MM
가족이	가족/NNG+이/JKS
당당한	당당하/VA+ㄴ/ETM
대한민국	대한민국/NNP
구성원으로	구성원/NNG+으로/JKB
함께	함께/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하겠다	하/VX+겠/EP+다/EC

장애인	장애인/NNG
정책은	정책/NNG+은/JX
보다	보다/MAG
정밀하게	정밀하/VA+게/EC
장애인과	장애인/NNG+과/JC
그	그/MM
가족의	가족/NNG+의/JKG
입장에서	입장/NNG+에서/JKB
결정되고	결정되/VV+고/EC
시행돼야	시행되/VV+어야/EC
한다	하/VX+ㄴ다/EF

예를	예/NNG+를/JKO
들어	들/VV+어/EC
자치단체	자치단체/NNG
도시·건축위원회	도시/NNG+·/SP+건축위원회/NNG
등엔	등/NNB+에/JKB+ㄴ/JX
반드시	반드시/MAG
장애인	장애인/NNG
또는	또는/MAG
이해대변인이	이해대/NNP+변인/NNG+이/JKS
위원으로	위원/NNG+으로/JKB
참여해	참여하/VV+여/EC
도시를	도시/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
장애인이	장애인/NNG+이/JKS
사회	사회/NNG
구성원의	구성원/NNG+의/JKG
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VX+여야/EC
한다	하/VX+ㄴ다/EF

소수자와	소수자/NNG+와/JC
약자에	약자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
배려는	배려/NNG+는/JX
아무리	아무리/MAG
과해도	과하/VA+여도/EC
지나치지	지나치/VA+지/EC
않다	않/VX+다/EC

장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
좀	좀/MAG
느리고	느리/VA+고/EC
불편할	불편하/VA+ㄹ/ETM
수는	수/NNB+는/JX
있지만	있/VA+지만/EC
이로	이/NP+로/JKB
인해	인하/VV+여/EC
구성원의	구성원/NNG+의/JKG
권리마저	권리/NNG+마저/JX
침해돼서는	침해되/VV+어서/EC+는/JX
안	안/MAG
된다	되/VV+ㄴ다/EF

새누리당이	새누리당/NNP+이/JKS
국민과	국민/NNG+과/JC
한	한/MM
약속은	약속/NNG+은/JX
반드시	반드시/MAG
지켜	지키/VV+어/EC
나갈	나가/VX+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

다만	다만/MAG
국가	국가/NNG
재정이	재정/NNG+이/JKS
문제가	문제/NNG+가/JKC
된다면	되/VV+ㄴ다면/EC
정책의	정책/NNG+의/JKG
우선순위를	우선순위/NNG+를/JKO
정하고	정하/VV+고/EC
사업	사업/NNG
완료	완료/NNG
시한을	시한/NNG+을/JKO
정해	정하/VV+여/EC
실천해	실천하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

특히	특히/MAG
발달장애는	발달장애/NNG+는/JX
작은	작/VA+은/ETM
배려로	배려/NNG+로/JKB
많은	많/VA+은/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
정상적인	정상적/NNG+이/VCP+ㄴ/ETM
사회구성원의	사회구성원/NNG+의/JKG
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

재정의	재정/NNG+의/JKG
문제는	문제/NNG+는/JX
모든	모든/MM
정책에	정책/NNG+에/JKB
관련이	관련/NNG+이/JKS
있지만	있/VA+지만/EC
초기에	초기/NNG+에/JKB
모든	모든/MM
것을	것/NNB+을/JKO
한	한/MM
번에	번/NNB+에/JKB
해결하기	해결하/VV+기/ETN
보다는	보다/JKB+는/JX
연도별	연도/NNG+별/XSN
실천계획을	실천계획/NNG+을/JKO
세우고	세우/VV+고/EC
국민이	국민/NNG+이/JKS
예측	예측/NNG
가능한	가능하/VA+ㄴ/ETM
정책을	정책/NNG+을/JKO
펼쳐	펼치/VV+어/EC
약속을	약속/NNG+을/JKO
지켜나가면	지키/VV+어/EC+나가/VX+면/EC
될	되/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

김태호,	김태호/NNP+,/SP
장애인	장애인/NNG
정치참여	정치참여/NNG
필요…국회의원	필요/NNG+…/SE+국회의원/NNG
할당제	할당제/NNG
정착돼야	정착되/VV+어야/EC
새누리당	새누리당/NNP
김태호	김태호/NNP
대통령	대통령/NNG
경선	경선/NNG
후보	후보/NNG

ⓒ김태호	ⓒ/SL+김태호/NNP
후보	후보/NNG
캠프	캠프/NNG
김태호	김태호/NNP
후보(기호3번)=발표한	후보/NNG+(/SS+기호/NNG+3/SN+번/NNB+)/SS+=/SW+발표하/VV+ㄴ/ETM
공약은	공약/NNG+은/JX
모든	모든/MM
분야와	분야/NNG+와/JC
계층을	계층/NNG+을/JKO
아우를	아우르/VV+ㄹ/ETM
수	수/NNB
있게끔	있/VA+게끔/EC
한	한/MM
공약이	공약/NNG+이/JKS
대부분이다	대부분/NNG+이/VCP+다/EC

아마	아마/MAG
그런	그런/MM
점에서	점/NNG+에서/JKB
장애인	장애인/NNG
관련	관련/NNG
공약이	공약/NNG+이/JKS
부각되지	부각되/VV+지/EC
않은	않/VX+은/ETM
것	것/NNB
같다	같/VA+다/EC

우선	우선/MAG
신개념	신/XPN+개념/NNG
복지타운(김태호의	복지타운/NNP+(/SS+김태호/NNP+의/JKG
해피타운)	해피타운/NNG+)/SS
공약이	공약/NNG+이/JKS
있는데	있/VA+는데/EC
저소득층과	저소득층/NNG+과/JC
저소득	저소득/NNG
장애인	장애인/NNG
등	등/NNB
사회적	사회적/NNG
약자의	약자/NNG+의/JKG
주거와	주거/NNG+와/JC
생활권	생활권/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
시설을	시설/NNG+을/JKO
만들자는	만들/VV+자는/ETM
것이다	것/NNB+이/VCP+다/EC

전국의	전국/NNG+의/JKG
구청,	구청/NNG+,/SP
주민센터,	주민센터/NNG+,/SP
보건소,	보건소/NNG+,/SP
파출소,	파출소/NNG+,/SP
소방서	소방서/NNG
등	등/NNB
정부	정부/NNG
또는	또는/MAG
지자체의	지자체/NNG+의/JKG
공공건물을	공공건물/NNG+을/JKO
복지타운으로	복지타운/NNP+으로/JKB
재건축해	재건축하/VV+여/EC
1층은	1/SN+층/NNG+은/JX
공공기관으로,	공공기관/NNG+으로/JKB+,/SP
그	그/MM
위층은	위층/NNG+은/JX
사회적	사회적/NNG
약자를	약자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공공임대주택으로,	공공임대주택/NNG+으로/JKB+,/SP
지하는	지하/NNG+는/JX
주차장으로	주차장/NNG+으로/JKB
활용하는	활용하/VV+는/ETM
획기적인	획기적/NNG+이/VCP+ㄴ/ETM
방안이다	방안/NNG+이/VCP+다/EC

이	이/MM
타운	타운/NNG
내에서	내/NNB+에서/JKB
장애인들이	장애인/NNG+들/XSN+이/JKS
의료서비스,	의료서비스/NNG+,/SP
행정서비스,	행정서비스/NNG+,/SP
교육	교육/NNG
등을	등/NNB+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
구성하는	구성하/VV+는/ETM
것이다	것/NNB+이/VCP+다/EC

다음으로	다음/NNG+으로/JKB
특수학급의	특수학급/NNG+의/JKG
확충과	확충/NNG+과/JC
특수교사의	특수교사/NNG+의/JKG
양성이다	양성/NNG+이/VCP+다/EC

이	이/MM
부분은	부분/NNG+은/JX
세부공약내에	세부공약/NNG+내/NNB+에/JKB
다루어	다루/VV+어/EC
진	지/VX+ㄴ/ETM
내용이며	내용/NNG+이/VCP+며/EC
꼭	꼭/MAG
추진하고자	추진하/VV+고자/EC
하는	하/VX+는/ETM
공약이다	공약/NNG+이/VCP+다/EC

현재	현재/MAG
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
특수학급은	특수학급/NNG+은/JX
과밀상태여서	과밀상태/NNG+이/VCP+어서/EC
교육을	교육/NNG+을/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
장애학생이	장애학생/NNG+이/JKS
제때	제때/NNG
교육을	교육/NNG+을/JKO
받지	받/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

학부모의	학부모/NNG+의/JKG
불편도	불편/NNG+도/JX
이만저만이	이만저만/NNG+이/JKC
아니다	아니/VCN+다/EC

또한	또한/MAG
특수교사의	특수교사/NNG+의/JKG
수가	수/NNG+가/JKS
부족해	부족하/VA+여/EC
장애학생들이	장애학생/NNG+들/XSN+이/JKS
전문적인	전문적/NNG+이/VCP+ㄴ/ETM
지도를	지도/NNG+를/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
상황이며,	상황/NNG+이/VCP+며/EC+,/SP
교육의	교육/NNG+의/JKG
질은	질/NNG+은/JX
날로	날로/MAG
떨어지고	떨어지/VV+고/EC
있다	있/VX+다/EC

장애학생들이	장애학생/NNG+들/XSN+이/JKS
좋은	좋/VA+은/ETM
환경에서	환경/NNG+에서/JKB
교육을	교육/NNG+을/JKO
받을	받/VV+을/ETM
기회는	기회/NNG+는/JX
반드시	반드시/MAG
보장돼야	보장되/VV+어야/EC
한다	하/VX+ㄴ다/EF

우리나라	우리나라/NNG
등록	등록/NNG
장애인은	장애인/NNG+은/JX
인구의	인구/NNG+의/JKG
5%,	5/SN+%/SW+,/SP
약	약/MM
250만명	250/SN+만/NR+명/NNB
정도이다	정도/NNG+이/VCP+다/EC

정부는	정부/NNG+는/JX
이에	이/NP+에/JKB
맞춰	맞추/VV+어/EC
각종	각종/NNG
장애인	장애인/NNG
정책을	정책/NNG+을/JKO
추진하고	추진하/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
국회는	국회/NNG+는/JX
장애인의	장애인/NNG+의/JKG
기본권과	기본권/NNG+과/JC
생활권을	생활권/NNG+을/JKO
보장하기	보장하/VV+기/ETN
위해	위하/VV+여/EC
각종	각종/NNG
입법활동을	입법활동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다	있/VX+다/EC

그러나	그러나/MAJ
이러한	이러하/VA+ㄴ/ETM
활동들이	활동/NNG+들/XSN+이/JKS
모든	모든/MM
장애인의	장애인/NNG+의/JKG
필요조건을	필요조건/NNG+을/JKO
충족시키지	충족/NNG+시키/XSV+지/EC
못하는	못하/VX+는/ETM
것이	것/NNB+이/JKS
사실이다	사실/NNG+이/VCP+다/EC

대표적인	대표적/NNG+이/VCP+ㄴ/ETM
예가	예/NNG+가/JKS
장애인	장애인/NNG
이동권일	이동/NNG+권/XSN+이/VCP+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

현재	현재/MAG
전국에	전국/NNG+에/JKB
보급된	보급되/VV+ㄴ/ETM
저상버스는	저상버스/NNG+는/JX
12%에	12/SN+%/SW+에/JKB
불과하다	불과하/VA+다/EC

장애인	장애인/NNG
뿐	뿐/NNB
아니라	아니/VCN+라/EC
이동약자의	이동약자/NNG+의/JKG
최소한의	최소한/NNG+의/JKG
이동권을	이동/NNG+권/XSN+을/JKO
보장하기	보장하/VV+기/ETN
위해	위하/VV+여/EC
제도가	제도/NNG+가/JKS
뒷받침	뒷받침/NNG
돼야	되/VV+어야/EC
하나	하/VX+나/EC
정부의	정부/NNG+의/JKG
조치는	조치/NNG+는/JX
미진하기만	미진하/VV+기/ETN+만/JX
하다	하/VX+다/EC

장애인의	장애인/NNG+의/JKG
취업	취업/NNG
역시	역시/MAG
마찬가지다	마찬가지/NNG+이/VCP+다/EC

고용노동부와	고용노동부/NNG+와/JC
보건복지부는	보건복지부/NNG+는/JX
장애인의	장애인/NNG+의/JKG
직업권을	직업권/NNG+을/JKO
위해	위하/VV+여/EC
나름의	나름/NNB+의/JKG
노력은	노력/NNG+은/JX
하고	하/VV+고/EC
있으나	있/VX+으나/EC
실제	실제/NNG
장애인들이	장애인/NNG+들/XSN+이/JKS
하는	하/VV+는/ETM
일이라고는	일/NNG+이/VCP+라고/EC+는/JX
열악한	열악하/VA+ㄴ/ETM
환경에서의	환경/NNG+에서/JKB+의/JKG
단순노무직에	단순노무직/NNG+에/JKB
한정되고	한정되/VV+고/EC
있는	있/VX+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

정부의	정부/NNG+의/JKG
시책이나	시책/NNG+이나/JC
추진	추진/NNG
정책이	정책/NNG+이/JKS
미진하거나	미진하/VA+거나/EC
효과가	효과/NNG+가/JKS
없는	없/VA+는/ETM
것은	것/NNB+은/JX
장애인의	장애인/NNG+의/JKG
입장에서가	입장/NNG+에서/JKB+가/JKC
아닌	아니/VCN+ㄴ/ETM
실무자의	실무자/NNG+의/JKG
입장에서	입장/NNG+에서/JKB
모든	모든/MM
것을	것/NNB+을/JKO
처리하기	처리하/VV+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

그리고	그리고/MAJ
낡은	낡/VA+은/ETM
시스템을	시스템/NNG+을/JKO
정비하려	정비하/VV+려/EC
하지	하/VX+지/EC
않고	않/VX+고/EC
방관만	방관/NNG+만/JX
하고	하/VV+고/EC
있기	있/VX+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

이러한	이러하/VA+ㄴ/ETM
문제들을	문제/NNG+들/XSN+을/JKO
해결하기	해결하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
장애인의	장애인/NNG+의/JKG
정치참여가	정치참여/NNG+가/JKS
반드시	반드시/MAG
필요하고	필요하/VA+고/EC
그러기	그러/VV+기/ETN
위해	위하/VV+여/EC
국회의원	국회의원/NNG
할당제가	할당제/NNG+가/JKS
반드시	반드시/MAG
정착돼야	정착되/VV+어야/EC
한다	하/VX+ㄴ다/EF

제도적	제도적/NNG
정착을	정착/NNG+을/JKO
위해	위하/VV+여/EC
최선을	최선/NNG+을/JKO
다	다/VV
할	하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

제시된	제시되/VV+ㄴ/ETM
10대	10/SN+대/NNG
공약은	공약/NNG+은/JX
충분한	충분하/VA+ㄴ/ETM
조건이	조건/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
최소한의	최소한/NNG+의/JKG
조건이다	조건/NNG+이/VCP+다/EC

최소한의	최소한/NNG+의/JKG
조건마저	조건/NNG+마저/JX
충족시키지	충족/NNG+시키/XSV+지/EC
못한다면	못하/VX+ㄴ다면/EC
장애인의	장애인/NNG+의/JKG
기본권은	기본권/NNG+은/JX
보장받기	보장/NNG+받/VV+기/ETN
힘들다	힘들/VA+다/EC

특히	특히/MAG
장애인위원회	장애인위원회/NNG
상설화는	상설/NNG+화/XSN+는/JX
반드시	반드시/MAG
이루어져야	이루어지/VV+어야/EC
한다	하/VX+ㄴ다/EF

발달장애는	발달장애/NNG+는/JX
중복장애의	중복장애/NNG+의/JKG
위험성,	위험성/NNG+,/SP
보호자가	보호자/NNG+가/JKS
반드시	반드시/MAG
함께	함께/MAG
있어야	있/VA+어야/EC
한다는	하/VX+ㄴ다는/ETM
점,	점/NNG+,/SP
스스로	스스로/MAG
자신을	자신/NNG+을/JKO
보호하기	보호하/VV+기/ETN
힘들다는	힘들/VA+다는/ETM
점	점/NNG
때문에	때문/NNB+에/JKB
발달장애인지원	발달장애인지/NNG+원/XSN
관련	관련/NNG
법안은	법안/NNG+은/JX
꼭	꼭/MAG
필요하다	필요하/VA+다/EC

그러나	그러나/MAJ
관련	관련/NNG
소요예산이	소요예산/NNG+이/JKS
적은	적/VA+은/ETM
규모가	규모/NNG+가/JKC
아니어서	아니/VCN+어서/EC
재원마련에	재원마련/NNG+에/JKB
고민을	고민/NNG+을/JKO
해야	하/VV+여야/EC
하는	하/VX+는/ETM
것은	것/NNB+은/JX
사실이다	사실/NNG+이/VCP+다/EC

하지만	하지만/MAJ
사회적	사회적/NNG
서비스	서비스/NNG
차원의	차원/NNG+의/JKG
발달장애인	발달장애인/NNG
보호가	보호/NNG+가/JKS
주목적인	주목적/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
연차적으로	연차적/NNG+으로/JKB
관련	관련/NNG
예산을	예산/NNG+을/JKO
확보해서	확보하/VV+여서/EC
법안이	법안/NNG+이/JKS
실효성을	실효성/NNG+을/JKO
거둘	거두/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VX+여야/EC
한다	하/VX+ㄴ다/EF

우선	우선/MAG
예산근거를	예산근거/NNG+를/JKO
마련해	마련하/VV+여/EC
특별기금의	특별기금/NNG+의/JKG
설치를	설치/NNG+를/JKO
고려해야	고려하/VV+여야/EC
하고,	하/VX+고/EC+,/SP
예산사용을	예산사용/NNG+을/JKO
위해서는	위하/VV+여서/EC+는/JX
국민적	국민적/NNG
공감대가	공감대/NNG+가/JKS
형성돼야	형성되/VV+어야/EC
할	하/VX+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

이번	이번/NNG
제정안이	제정안/NNG+이/JKS
발달장애인	발달장애/NNG+이/VCP+ㄴ/ETM
지원에	지원/NNG+에/JKB
있어	있/VA+어/EC
부족함이	부족하/VA+ㅁ/ETN+이/JKS
없도록	없/VA+도록/EC
세심하게	세심하/VA+게/EC
살피겠다	살피/VV+겠/EP+다/EF

임태희,	임태희/NNP+,/SP
장애인복지	장애인복지/NNG
생존위해	생존위/NNG+하/XSV+여/EC
필요한	필요하/VA+ㄴ/ETM
재화로	재화/NNG+로/JKB
인식돼야	인식되/VV+어야/EC
새누리당	새누리당/NNP
임태희	임태희/NNP
대통령	대통령/NNG
경선	경선/NNG
후보	후보/NNG

ⓒ임태희	ⓒ/SL+임태희/NNP
후보	후보/NNG
캠프	캠프/NNG
임태희	임태희/NNP
후보(기호1번)=	후보/NNG+(/SS+기호/NNP+1/SN+번/NNB+)/SS+=/SW
지난	지나/VV+ㄴ/ETM
총선때	총선때/NNG
새누리당이	새누리당/NNP+이/JKS
속한	속하/VV+ㄴ/ETM
장애인	장애인/NNG
관련	관련/NNG
공약은	공약/NNG+은/JX
국민에	국민/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
약속이므로	약속/NNG+이/VCP+므로/EC
당연히	당연히/MAG
수용하고	수용하/VV+고/EC
실행해	실행하/VV+여/EC
나가야	나가/VX+아야/EC
한다	하/VX+ㄴ다/EF

대한민국의	대한민국/NNP+의/JKG
장애인들에	장애인/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
현재의	현재/NNG+의/JKG
복지	복지/NNG
정책이	정책/NNG+이/JKS
너무나	너무나/MAG
부족하고	부족하/VA+고/EC
혁신적으로	혁신적/NNG+으로/JKB
변화	변화/NNG
시켜야	시키/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
오랜	오랜/MM
믿음은	믿음/NNG+은/JX
변함이	변하/VV+ㅁ/ETN+이/JKS
없다	없/VA+다/EC

복지는	복지/NNG+는/JX
대한민국의	대한민국/NNP+의/JKG
장애인들에게	장애인/NNG+들/XSN+에게/JKB
공공재가	공공재/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
생존재(생존을	생존재/NNG+(/SS+생존/NNG+을/JKO
위해	위하/VV+여/EC
필요한	필요하/VA+ㄴ/ETM
재화)로	재화/NNG+)/SS+로/JKB
인식돼야	인식되/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
생각한다	생각하/VV+ㄴ다/EF

따라서	따라서/MAJ
복지는	복지/NNG+는/JX
단지	단지/MAG
조금	조금/MAG
편하기	편하/VA+기/ETN
위해	위하/VV+여/EC
필요한	필요하/VA+ㄴ/ETM
사람이	사람/NNG+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
정말	정말/MAG
절실히	절실히/MAG
필요로	필요/NNG+로/JKB
하는	하/VV+는/ETM
사람들	사람/NNG+들/XSN
위주로	위주/NNG+로/JKB
공급돼야	공급되/VV+어야/EC
한다	하/VX+ㄴ다/EF

현재	현재/MAG
대한민국의	대한민국/NNP+의/JKG
약	약/MM
90조원에	90/SN+조/NR+원/NNB+에/JKB
달하는	달하/VV+는/ETM
복지	복지/NNG
예산이	예산/NNG+이/JKS
포퓰리즘적인	포퓰리즘/NNG+적/XSN+이/VCP+ㄴ/ETM
복지	복지/NNG
정책으로	정책/NNG+으로/JKB
인해서,	인하/VV+여서/EC+,/SP
모든	모든/MM
국민에게	국민/NNG+에게/JKB
골고루	골고루/MAG
목표	목표/NNG
없이	없이/MAG
나누어지고	나누/VV+어/EC+지/VX+고/EC
있는	있/VX+는/ETM
현실에	현실/NNG+에/JKB
분노를	분노/NNG+를/JKO
느낀다	느끼/VV+ㄴ다/EF

'생존재로서의	'/SS+생존재/NNG+로서/JKB+의/JKG
복지'	복지/NNG+'/SS
라는	이/VCP+라는/ETM
원칙	원칙/NNG
아래,	아래/NNG+,/SP
장애인	장애인/NNG
복지	복지/NNG
정책을	정책/NNG+을/JKO
추구해	추구하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC
