장애인계,	장애인계/NNG+,/SP
논의가	논의/NNG+가/JKS
있었지만	있/VA+었/EP+지만/EC
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
내용이	내용/NNG+이/JKS
없는	없/VA+는/ETM
것들도	것/NNB+들/XSN+도/JX
있어	있/VA+어/EC
거르는	거르/VV+는/ETM
작업과	작업/NNG+과/JC
대범주별	대범주/NNG+별/XSN
세부내용을	세부내용/NNG+을/JKO
도출하는	도출하/VV+는/ETM
작업이	작업/NNG+이/JKS
필요하다”고	필요하/VA+다”고/EC
설명했다	설명하/VV+었/EP+다/EC

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
공약	공약/NNG
개발이	개발/NNG+이/JKS
마무리되는	마무리되/VV+는/ETM
대로	대로/NNB
기자회견과	기자회견/NNG+과/JKB
함께	함께/MAG
대선후보들에게	대선후보/NNG+들/XSN+에게/JKB
대선공약을	대선공약/NNG+을/JKO
제시한다는	제시하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

한국장애인단체총연합회(이하	한국장애인단체총연합회/NNP+(/SS+이하/NNG
장총련)도	장총련/NNP+)/SS+도/JX
오는	오/VV+는/ETM
9일과	9/SN+일/NNB+과/JC
10일	10/SN+일/NNB
양일간에	양일/NNG+간/XSN+에/JKB
거쳐	거치/VV+어/EC
대선공약	대선공약/NNG
개발에	개발/NNG+에/JKB
착수한다	착수하/VV+ㄴ다/EC

당초	당초/NNG
장총련은	장총련/NNP+은/JX
지난달	지난달/NNG
10일	10/SN+일/NNB
대선연대와는	대선연대/NNG+와/JKB+는/JX
별개로	별개/NNG+로/JKB
독자적	독자적/NNG
노선을	노선/NNG+을/JKO
선택하고	선택하/VV+고/EC
11월	11/SN+월/NNB
3일과	3/SN+일/NNB+과/JC
4일	4/SN+일/NNB
대선공약	대선공약/NNG
개발에	개발/NNG+에/JKB
착수할	착수하/VV+ㄹ/ETM
계획이었으나	계획/NNG+이/VCP+었/EP+으나/EC
내부	내부/NNG
사정으로	사정/NNG+으로/JKB
일정을	일정/NNG+을/JKO
연기했다	연기하/VV+였/EP+다/EC

장총련	장총련/NNP
서인환	서인환/NNP
사무총장은	사무총장/NNG+은/JX
“내부	“/SN+내부/NNG
사정으로	사정/NNG+으로/JKB
공약	공약/NNG
개발이	개발/NNG+이/JKS
불가피하게	불가피하/VA+게/EC
미뤄졌다”며	미루어지/VV+었/EP+다”며/EC
“공약	“/SL+공약/NNG
개발	개발/NNG
후	후/NNG
대선연대	대선연대/NNG
측과	측/NNB+과/JKB
함께	함께/MAG
정책토론회를	정책토론회/NNG+를/JKO
가질	가지/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/XSN+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

현재	현재/MAG
대선연대와	대선연대/NNG+와/JC
전장연,	전장연/NNP+,/SP
장총련은	장총련/NNP+은/JX
오는	오/VV+는/ETM
22일	22/SN+일/NNB
서울시	서울시/NNP
강서구	강서구/NNP
화곡동	화곡동/NNP
소재	소재/NNG
88체육관에서	88/SN+체육관/NNG+에서/JKB
대선후보들과	대선후보/NNG+들/XSN+과/JKB
함께하는	함께하/VV+는/ETM
정책토론회를	정책토론회/NNG+를/JKO
개최한다는	개최하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC
