서울장애인콜택시	서울/NNP+장애인콜택시/NNG
문제의	문제/NNG+의/JKG
해결을	해결/NNG+을/JKO
위해	위하/VV+여/EC
교통관련	교통관련/NNG
부서와	부서/NNG+와/JC
긴밀한	긴밀하/VA+ㄴ/ETM
업무협조가	업무협조/NNG+가/JKS
이뤄질지	이루어지/VV+ㄹ지/EC
의문”이라면서	의문”/NNG+이/VCP+라면서/EC
“(장애인콜택시	“/SL+(/SS+장애인콜택시/NNG
업무	업무/NNG
이관은)	이관은/NNP+)/SS
여전히	여전히/MAG
산적해	산적하/VV+여/EC
있는	있/VX+는/ETM
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
문제를	문제/NNG+를/JKO
수혜적	수혜적/NNG
차원으로	차원/NNG+으로/JKB
해결하려는	해결하/VV+려는/ETM
의도로	의도/NNG+로/JKB
밖에	밖/NNG+에/JKB
보이지	보이/VV+지/EC
않는다”고	않/VX+는다”/EC+고/JKQ
비판했다	비판하/VV+였/EP+다/EF

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
“장애인의	“/SN+장애인/NNG+의/JKG
이동은	이동/NNG+은/JX
복지가	복지/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
교통의	교통/NNG+의/JKG
문제이고,	문제/NNG+이/VCP+고/EC+,/SP
시혜가	시혜/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
인권이다	인권/NNG+이/VCP+다/EC

기본권을	기본권/NNG+을/JKO
보장받기	보장/NNG+받/VV+기/ETN
위해	위하/VV+여/EC
장애계는	장애/NNG+계/XSN+는/JX
10년이	10/SN+년/NNB+이/JKS
넘도록	넘/VV+도록/EC
이동권	이동/NNG+권/XSN
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
투쟁을	투쟁/NNG+을/JKO
해왔고,	하/VV+여/EC+오/VX+았/EP+고/EC+,/SP
여전히	여전히/MAG
진행되고	진행되/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“장애인	“/SL+장애인/NNG
이동권은	이동/NNG+권/XSN+은/JX
공공교통	공공교통/NNG
인프라를	인프라/NNG+를/JKO
구축할	구축하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
행정조직을	행정조직/NNG+을/JKO
구축해야	구축하/VV+여야/EC
되는	되/VV+는/ETM
상황임에도	상황/NNG+이/VCP+ㅁ에도/EC
불구,	불구/NNG+,/SP
서울시는	서울시/NNP+는/JX
복지적	복지/NNG+적/XSN
차원의	차원/NNG+의/JKG
접근으로	접근/NNG+으로/JKB
매우	매우/MAG
시혜적이고	시혜적/NNG+이/VCP+고/EC
제한적인	제한적/NNG+이/VCP+ㄴ/ETM
제도로	제도/NNG+로/JKB
일관하고	일관하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

또한	또한/MAG
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
“서울시는	“/SL+서울시/NNP+는/JX
장애인	장애인/NNG
등	등/NNB
교통약자의	교통약자/NNG+의/JKG
이동지원을	이동지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
특별교통수단인	특별교통수단/NNG+이/VCP+ㄴ/ETM
장애인콜택시의	장애인콜택시/NNG+의/JKG
정체성을	정체성/NNG+을/JKO
다시	다시/MAG
확인하고,	확인하/VV+고/EC+,/SP
신설	신설/NNG
장애인	장애인/NNG
부서가	부서/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
교통약자의	교통약자/NNG+의/JKG
이동편의증진을	이동편의증진/NNG+을/JKO
담당하는	담당하/VV+는/ETM
교통	교통/NNG
관련	관련/NNG
부서가	부서/NNG+가/JKS
계속	계속/MAG
담당할	담당하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VX+여야/EC
된다”고	되/VV+ㄴ다/EC+”/VV+고/EC
강조했다	강조하/VV+였/EP+다/EC

더불어	더불/VV+어/EC
“서울시는	“/SL+서울시/NNP+는/JX
‘교통약자의이동편의증진심의위원회’를	‘/SN+교통약자의이동편의증진심의위원회/NNP+’/SL+를/JKO
부활시키고,	부활/NNG+시키/XSV+고/EC+,/SP
교통약자인	교통약자/NNG+이/VCP+ㄴ/ETM
서울시민의	서울/NNP+시민/NNG+의/JKG
이동편의	이동편/NNG+의/JKG
증진에	증진/NNG+에/JKB
앞장서야	앞장서/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
주문했다	주문하/VV+였/EP+다/EF

이와	이/NP+와/JKB
관련	관련/NNG
서울시	서울시/NNP
관계자는	관계자/NNG+는/JX
"(업무	"(/SS+업무/NNG
이관이)	이관/NNG+이/JKS+)/SS
아직	아직/MAG
확정된	확정되/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니고	아니/VCN+고/EC
(서울시)	(/SS+서울시/NNP+)/SS
내부에서	내부/NNG+에서/JKB
조직개편에	조직개편/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이야기가	이야기/NNG+가/JKS
오가는	오가/VV+는/ETM
것은	것/NNB+은/JX
맞다"며	맞/VV+다/EF+"/SS+며/EC
"어떤	"/SS+어떤/MM
방향이	방향/NNG+이/JKS
(이관	(/SS+이관/NNG
혹은	혹은/MAG
현행	현행/NNG
그대로	그대로/MAG
업무	업무/NNG
진행에)	진행/NNG+에/JKB+)/SS
더	더/MAG
효율적인지	효율적/NNG+이/VCP+ㄴ지/EC
검토하고	검토하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

이	이/MM
관계자는	관계자/NNG+는/JX
"확정된	"/SS+확정되/VV+ㄴ/ETM
서울시	서울시/NNP
내부의	내부/NNG+의/JKG
조직개편안이	조직개편안/NNG+이/JKS
10월	10/SN+월/NNB
중	중/NNB
서울시의회에	서울시/NNP+의회/NNG+에/JKB
상정돼야	상정되/VV+어야/EC
(업무	(/SS+업무/NNG
이관	이관/NNG
여부를)	여부/NNG+를/JKO+)/SS
알게	알/VV+게/EC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF
