장애인들	장애인/NNG+들/XSN
만만치	만만하/VA+지/EC
않았다”며	않/VX+았/EP+다/EC+”/VV+며/EC
“긴	“/SN+기/VV
시간동안	시간동안/NNG
최소한의	최소한/NNG+의/JKG
활동보조	활동보조/NNG
시간의	시간/NNG+의/JKG
혜택만	혜택/NNG+만/JX
받고	받/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
토로했다	토로하/VV+였/EP+다/EF

특히	특히/MAG
노	노/NNP
소장은	소장/NNG+은/JX
“정부는	“/SL+정부/NNG+는/JX
그나마	그나마/MAG
자립생활센터를	자립생활센터/NNG+를/JKO
통해	통하/VV+여/EC
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
지역사회에서	지역사회/NNG+에서/JKB
인간다운	인간/NNG+답/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
살고	살/VV+고/EC
있는데	있/VX+는데/EC
자립생활센터를	자립생활센터/NNG+를/JKO
죽이려	죽이/VV+려/EC
하고	하/VX+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“장애인복지법을	“/SL+장애인복지법/NNG+을/JKO
개정하지	개정하/VV+지/EC
않는다면	않/VX+는다면/EC
중증장애인들은	중증장애인/NNG+들/XSN+은/JX
집구석	집구석/NNG
혹은	혹은/MAG
시설	시설/NNG
안에서	안/NNG+에서/JKB
죽을지도	죽/VV+을지/EC+도/JX
모른다”고	모르/VV+ㄴ다”고/EC
토로했다	토로하/VV+였/EP+다/EF

서울장애인자립생활센터	서울/NNP+장애인자립생활센터/NNG
근육병	근육병/NNG
자조모임	자조모임/NNG
‘날으는	‘/SN+날/NNG+으/JKB+는/JX
코끼리	코끼리/NNG
네트워크’	네트워크/NNG+’/SL
오진석	오진석/NNP
회장은	회장/NNG+은/JX
“최근	“/SL+최근/NNG
호흡기	호흡기/NNG
장애인이	장애인/NNG+이/JKS
활동보조	활동보조/NNG
지원이	지원/NNG+이/JKS
없는	없/VA+는/ETM
시간에	시간/NNG+에/JKB
호흡기	호흡기/NNG
문제로	문제/NNG+로/JKB
불의의	불의/NNG+의/JKG
사고를	사고/NNG+를/JKO
당하고	당하/VV+고/EC
말았다”며	말/VX+았/EP+다/EC+”/VX+며/EC
“다시는	“/SL+다시/VV+는/ETM
이런	이런/MM
일이	일/NNG+이/JKS
재발되지	재발되/VV+지/EC
않도록	않/VX+도록/EC
활동보조	활동보조/NNG
24시간	24/SN+시간/NNB
확대가	확대/NNG+가/JKS
반드시	반드시/MAG
필요하다”고	필요하/VA+다/EC+”/SN+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
오	오/NNP
회장은	회장/NNG+은/JX
“지금	“/SL+지금/MAG
지원	지원/NNG
받는	받/VV+는/ETM
시간으로는	시간/NNG+으로/JKB+는/JX
호흡기	호흡기/NNG
장애인의	장애인/NNG+의/JKG
생명을	생명/NNG+을/JKO
보장할	보장하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다”며	없/VA+다/EC+”/VX+며/EC
“현재	“/SL+현재/MAG
최고	최고/NNG
시간을	시간/NNG+을/JKO
독거장애인에만	독거장애인/NNG+에/JKB+만/JX
정하고	정하/VV+고/EC
있는데	있/VX+는데/EC
호흡기	호흡기/NNG
장애인은	장애인/NNG+은/JX
우선	우선/MAG
24시간	24/SN+시간/NNB
확보	확보/NNG
이전에	이전/NNG+에/JKB
당장	당장/NNG
내년에라도	내년/NNG+에/JKB+라도/JX
먼저	먼저/MAG
독거	독거/NNG
준례에	준례/NNG+에/JKB
준해	준하/VV+여/EC
바우처	바우처/NNP
180시간을	180/SN+시간/NNB+을/JKO
지원해	지원하/VV+여/EC
달라”고	달라”/VV+고/EC
촉구했다	촉구하/VV+였/EP+다/EC

한편	한편/MAG
이들은	이/NP+들/XSN+은/JX
오는	오/VV+는/ETM
16일과	16/SN+일/NNB+과/JC
23일	23/SN+일/NNB

30일에는	30/SN+일/NNB+에/JKB+는/JX
국회	국회/NNG
또는	또는/MAG
복지부	복지부/NNG
앞에서	앞/NNG+에서/JKB
화요집회를	화요집회/NNG+를/JKO
이어나간다는	잇/VV+어/EC+나가/VX+ㄴ다는/ETM
계획이며,	계획/NNG+이/VCP+며/EC+,/SP
오는	오/VV+는/ETM
11월에는	11/SN+월/NNB+에/JKB+는/JX
화요집회와	화요집회/NNG+와/JKB
함께	함께/MAG
천막농성	천막농성/NNG
등도	등/NNB+도/JX
병행한다는	병행하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

부산시	부산시/NNP
사상구장애인자립생활센터	사상구장애인자립생활센터/NNG
노경수	노경수/NNP
소장의	소장/NNG+의/JKG
발언	발언/NNG
모습	모습/NNG

서울장애인자립생활센터	서울/NNP+장애인자립생활센터/NNG
근육병	근육병/NNG
자조모임	자조모임/NNG
‘날으는	‘/SN+날/NNG+으/JKB+는/JX
코끼리	코끼리/NNG
네트워크’	네트워크/NNG+’/SL
오진석	오진석/NNP
회장이	회장/NNG+이/JKS
호흡기	호흡기/NNG
장애인의	장애인/NNG+의/JKG
어려움을	어려움/NNG+을/JKO
호소하며	호소하/VV+며/EC
활동보조시간의	활동보조시간/NNG+의/JKG
확대를	확대/NNG+를/JKO
요구하고	요구하/VV+고/EC
있다	있/VX+다/EC

장애인복지법	장애인복지법/NNG
개정을	개정/NNG+을/JKO
촉구하는	촉구하/VV+는/ETM
화요집회에	화요집회/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
중증장애인의	중증장애인/NNG+의/JKG
자립생활	자립생활/NNG
보장을	보장/NNG+을/JKO
촉구하는	촉구하/VV+는/ETM
플래카드를	플래카드/NNG+를/JKO
들고	들/VV+고/EC
있다	있/VX+다/EC
