‘2012인천세계장애대회’	‘/SL+2012/SN+인천세계장애대회/NNG+’/SL
27개의	27/SN+개/NNB+의/JKG
세부목표,	세부목표/NNG+,/SP
62개의	62/SN+개/NNB+의/JKG
지표로	지표/NNG+로/JKB
구성됐다	구성되/VV+었/EP+다/EF

이는	이/NP+는/JX
당초	당초/NNG
초안보다	초안/NNG+보다/JKB
1개의	1/SN+개/NNB+의/JKG
세부목표와	세부목표/NNG+와/JC
13개의	13/SN+개/NNB+의/JKG
지표가	지표/NNG+가/JKS
늘어난	늘어나/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

무엇보다	무엇/NP+보다/JKB
인천전략에	인천/NNP+전략/NNG+에/JKB
시민사회단체(CS0)의	시민사회단체/NNG+(/SS+CS/SL+0/SN+)/SS+의/JKG
실무그룹(Working	실무그룹/NNG+(/SS+Working/SL
Group)참여를	Group/SL+)/SS+참여/NNG+를/JKO
문서화	문서화/NNG
했다는	하/VV+였/EP+다는/ETM
점에서	점/NNG+에서/JKB
의미가	의미/NNG+가/JKS
크다	크/VA+다/EC

이에	이/NP+에/JKB
시민사회단체들의	시민사회단체/NNG+들/XSN+의/JKG
주도적	주도적/NNG
역할이	역할/NNG+이/JKS
가능해질지	가능하/VA+여/EC+지/VX+ㄹ지/EC
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다	있/VX+다/EC

현재	현재/MAG
에스캅은	에스캅/NNG+은/JX
14새	14/SN+새/NNG
시민사회단체를	시민사회단체/NNG+를/JKO
실무그룹에	실무그룹/NNG+에/JKB
포함시킬	포함/NNG+시키/XSV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

또한	또한/MAG
장애인의	장애인/NNG+의/JKG
권리를	권리/NNG+를/JKO
실현하기	실현하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
펀드를	펀드/NNG+를/JKO
한국이	한국/NNP+이/JKS
주도할	주도하/VV+ㄹ/ETM
주	주/VX
있도록	있/VA+도록/EC
명시하면서	명시하/VV+면서/EC
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년의	10/SN+년/NNB+의/JKG
재원	재원/NNG
마련을	마련/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
방안도	방안/NNG+도/JX
구체적으로	구체적/NNG+으로/JKB
논의될	논의되/VV+ㄹ/ETM
전망이다	전망/NNG+이/VCP+다/EC

아태장애인	아태장애인/NNG
10년의	10/SN+년/NNB+의/JKG
실효적	실효/NNG+적/XSN
이행을	이행/NNG+을/JKO
위해서는	위하/VV+여서/EC+는/JX
재원이	재원/NNG+이/JKS
뒷받침돼야	뒷받침되/VV+어야/EC
하는	하/VX+는/ETM
만큼	만큼/NNB
향후	향후/NNG
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년에	10/SN+년/NNB+에/JKB
어떠한	어떠하/VA+ㄴ/ETM
변화를	변화/NNG+를/JKO
끼칠지	끼치/VV+ㄹ지/EC
주목된다	주목되/VV+ㄴ다/EF

장애인단체	장애인단체/NNG
한	한/MM
관계자는	관계자/NNG+는/JX
“아쉬운	“아쉽/VA+ㄴ/ETM
부분이	부분/NNG+이/JKS
없는	없/VA+는/ETM
것은	것/NNB+은/JX
아니지만	아니/VCN+지만/EC
전반적으로	전반적/NNG+으로/JKB
긍정적인	긍정적/NNG+이/VCP+ㄴ/ETM
평가를	평가/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

아태장애인	아태장애인/NNG
10년	10/SN+년/NNB
인천전략에	인천/NNP+전략/NNG+에/JKB
시민사회단체의	시민사회단체/NNG+의/JKG
의견이	의견/NNG+이/JKS
다수	다수/NNG
반영됐다”고	반영되/VV+었/EP+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

지난달	지난달/NNG
29일	29/SN+일/NNB
오후	오후/NNG
인천	인천/NNP
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
아태장애포럼	아태장애포럼/NNG
폐회식	폐회식/NNG

지난달	지난달/NNG
30일	30/SN+일/NNB
오후	오후/NNG
인천	인천/NNP
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
’제22차	’/SN+제/XPN+22/SN+차/NNB
RI	RI/SL
세계대회’	세계대회/NNG+’/SL
개회식	개회식/NNG

지난달	지난달/NNG
30일	30/SN+일/NNB
인천	인천/NNP
송도컨벤시아에	송도컨벤시아/NNP+에/JKB
열린	열리/VV+ㄴ/ETM
유엔에스캅	유엔에스캅/NNP
고위급회의	고위급회/NNG+의/JKG
모습	모습/NNG
