아태장애인대회,	아태장애인대회/NNG+,/SP
주도적	주도적/NNG
참여를	참여/NNG+를/JKO
위해	위하/VV+여/EC
준비해왔던	준비하/VV+여/EC+오/VX+았/EP+던/ETM
아태장애인연합(AP-DP	아태장애인연합/NNG+(/SS+AP/SL+-/SO+DP/SL
United)도	United/SL+)/SS+도/JX
공식	공식/NNG
출범했다	출범하/VV+였/EP+다/EC

한국장애인연맹	한국/NNP+장애인연맹/NNG
김대성(아태장애인연맹	김대성/NNP+(/SS+아태장애인연맹/NNG
동북아	동북아/NNP
지역	지역/NNG
의장)	의장/NNG+)/SS
회장은	회장/NNG+은/JX
아태장애인대회를	아태장애인대회/NNG+를/JKO
규모와	규모/NNG+와/JC
내용면에서	내용면/NNG+에서/JKB
‘성공적인	‘/SN+성공적/NNG+이/VCP+ㄴ/ETM
대회’였다고	대회/NNG+’/SN+이/VCP+었/EP+다고/EC
평가했다	평가하/VV+였/EP+다/EC

김대성	김대성/NNP
회장은	회장/NNG+은/JX
“소귀의	“/SL+소귀/NNG+의/JKG
성과를	성과/NNG+를/JKO
거뒀다고	거두/VV+었/EP+다고/EC
생각한다	생각하/VV+ㄴ다/EF

장애인	장애인/NNG
당사자들의	당사자/NNG+들/XSN+의/JKG
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년에	10/SN+년/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
열망과	열망/NNG+과/JC
의지를	의지/NNG+를/JKO
보여줬다”고	보이/VV+어/EC+주/VX+었/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

장애인	장애인/NNG
당사자들	당사자/NNG+들/XSN
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
참여를	참여/NNG+를/JKO
통해	통하/VV+여/EC
형식적인	형식적/NNG+이/VCP+ㄴ/ETM
10년이	10/SN+년/NNB+이/JKC
아닌	아니/VCN+ㄴ/ETM
아태지역	아태/NNP+지역/NNG
장애인들의	장애인/NNG+들/XSN+의/JKG
인권이	인권/NNG+이/JKS
증진될	증진되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
공감대가	공감대/NNG+가/JKS
형성되고	형성되/VV+고/EC
이를	이/NP+를/JKO
위한	위하/VV+ㄴ/ETM
결의가	결의/NNG+가/JKS
있었다는	있/VA+었/EP+다는/ETM
것	것/NNB

김	김/NNP
회장은	회장/NNG+은/JX
“아태장애인대회,	“/SL+아태장애인대회/NNG+,/SP
아태장애인자립생활대회,	아태장애인자립생활대회/NNG+,/SP
아태장애인연합대회에서	아태장애인연합대회/NNG+에서/JKB
장애인	장애인/NNG
당사자들의	당사자/NNG+들/XSN+의/JKG
의지가	의지/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
선언문이	선언문/NNG+이/JKS
나왔다	나오/VV+았/EP+다/EF

지금까지	지금/NNG+까지/JX
각	각/MM
정부	정부/NNG
주도	주도/NNG
중심의	중심/NNG+의/JKG
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년과는	10/SN+년/NNB+과/JKB+는/JX
다른	다르/VA+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
변화가	변화/NNG+가/JKS
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“자립생활대회	“/SN+자립생활대회/NNG
12개	12/SN+개/NNB
회원국들이	회원국/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
아태지역의	아태/NNP+지역/NNG+의/JKG
자립생활	자립생활/NNG
확대	확대/NNG
및	및/MAG
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
결의를	결의/NNG+를/JKO
했고,	하/VV+였/EP+고/EC+,/SP
풀뿌리(소규모	풀뿌리/NNG+(/SS+소규모/NNG
단체)	단체/NNG+)/SS
장애인	장애인/NNG
단체까지	단체/NNG+까지/JX
네트워크화	네트워크화/NNG
하는	하/VV+는/ETM
방법을	방법/NNG+을/JKO
만들어	만들/VV+어/EC
냈다	내/VX+었/EP+다/EF

한국	한국/NNP
장애계의	장애/NNG+계/XSN+의/JKG
리더쉽을	리더쉽/NNG+을/JKO
세계에	세계/NNG+에/JKB
보여주는	보이/VV+어/EC+주/VX+는/ETM
계기도	계기/NNG+도/JX
됐다”고	되/VV+었/EP+다/EC+”/VV+고/EC
평가했다	평가하/VV+였/EP+다/EC

특히	특히/MAG
“오는	“/SL+오/VV+는/ETM
29일	29/SN+일/NNB
열리는	열리/VV+는/ETM
유엔에스캅	유엔/NNP+에스캅/NNG
정부간고위급회의에서	정부간고위급회의/NNG+에서/JKB
장애인	장애인/NNG
당사자들의	당사자/NNG+들/XSN+의/JKG
힘이	힘/NNG+이/JKS
전달될	전달되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
믿고	믿/VV+고/EC
있다	있/VX+다/EC

이번	이번/NNG
대회에서	대회/NNG+에서/JKB
채택된	채택되/VV+ㄴ/ETM
선언문	선언문/NNG
및	및/MAG
주요	주요/NNG
내용들을	내용/NNG+들/XSN+을/JKO
유엔에스캅	유엔에스캅/NNP
고위급회의에서	고위급회의/NNG+에서/JKB
전달,	전달/NNG+,/SP
인천전략에	인천/NNP+전략/NNG+에/JKB
포함되도록	포함되/VV+도록/EC
노력할	노력하/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/XSN+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

한국장애인단체총연합회	한국장애인단체총연합회/NNP
서인환	서인환/NNP
사무총장은	사무총장/NNG+은/JX
“이번	“/SL+이번/NNG
아태장애인대회	아태장애인대회/NNG
개최로	개최/NNG+로/JKB
한국이	한국/NNP+이/JKS
아태장애인	아태장애인/NNG
10년을	10/SN+년/NNB+을/JKO
주도하는	주도하/VV+는/ETM
분위기는	분위기/NNG+는/JX
만들어졌다”고	만들/VV+어/EC+지/VX+었/EP+다/EC+”/VX+고/EC
평가했다	평가하/VV+였/EP+다/EC

지금까지는	지금/NNG+까지는/JX
일본이	일본/NNP+이/JKS
국제무대에서	국제무대/NNG+에서/JKB
더스킨재단,	더스키/VV+ㄴ/EF+재단/NNG+,/SP
혹은	혹은/MAG
원조를	원조/NNG+를/JKO
통해	통하/VV+여/EC
금전적으로	금전/NNG+적/XSN+으로/JKB
각국을	각국/NNG+을/JKO
지원하면서	지원하/VV+면서/EC
주도권을	주도권/NNG+을/JKO
갖고	갖/VV+고/EC
타	타/MM
국가를	국가/NNG+를/JKO
끌고	끌/VV+고/EC
가는	가/VV+는/ETM
분위기였다는	분위기/NNG+이/VCP+었/EP+다는/ETM
것	것/NNB

이어	이어/MAG
“아태장애인연합이	“/SN+아태장애인연합/NNG+이/JKS
창립총회를	창립총회/NNG+를/JKO
개최,	개최/NNG+,/SP
출범하면서	출범하/VV+면서/EC
유엔에스캅	유엔에스캅/NNP
워킹그룹으로	워킹그룹/NNG+으로/JKB
활동할	활동하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다”고	되/VV+었/EP+다/EC+”/VV+고/EC
강조했다	강조하/VV+였/EP+다/EC

특히	특히/MAG
“유엔에스캅	“/SL+유엔에스캅/NNP
회의는	회의/NNG+는/JX
원론적인	원론적/NNG+이/VCP+ㄴ/ETM
이야기만	이야기/NNG+만/JX
나오다	나오/VV+다/EC
헤어졌다	헤어지/VV+었/EP+다/EC

장애인	장애인/NNG
당사자들이	당사자/NNG+들/XSN+이/JKS
주체적으로	주체적/NNG+으로/JKB
이끌어	이끌/VV+어/EC
아태	아태/NNP
장애인	장애인/NNG
10년을	10/SN+년/NNB+을/JKO
이끌어	이끌/VV+어/EC
가게	가/VX+게/EC
된다면	되/VV+ㄴ다면/EC
종전과는	종전/NNG+과/JKB+는/JX
다른	다르/VA+ㄴ/ETM
활발한	활발하/VA+ㄴ/ETM
활동,	활동/NNG+,/SP
새로운	새롭/VA+ㄴ/ETM
변화가	변화/NNG+가/JKS
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
기대했다	기대하/VV+였/EP+다/EC
