심상정,	심상정/NNG+,/SP
변하지	변하/VV+지/EC
않을	않/VX+을/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

그동안	그동안/NNG
우리	우리/NP
정치에서	정치/NNG+에서/JKB
매	매/MM
선거	선거/NNG
때마다	때/NNG+마다/JX
반복되어	반복되/VV+어/EC
온	오/VX+ㄴ/ETM
후보단일화를	후보단일화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
중도사퇴는	중도사퇴/NNG+는/JX
이제	이제/MAG
제가	제/NP+가/JKS
마지막이	마지막/NNG+이/JKC
되어야	되/VV+어야/EC
합니다	하/VX+ㅂ니다/EF

대통령	대통령/NNG
후보로서	후보/NNG+로서/JKB
저의	저/NP+의/JKG
역할은	역할/NNG+은/JX
여기서	여기/NP+서/JKB
끝나지만,	끝나/VV+지만/EC+,/SP
노동권	노동권/NNG
강화와	강화/NNG+와/JC
정치개혁의	정치개혁/NNG+의/JKG
향한	향하/VV+ㄴ/ETM
저와	저/NP+와/JC
진보정의당의	진보정의당/NNP+의/JKG
노력은	노력/NNG+은/JX
진보적	진보적/NNG
정권교체를	정권교체/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
정책연대를	정책연대/NNG+를/JKO
통해	통하/VV+여/EC
계속될	계속되/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

외로운	외롭/VA+ㄴ/ETM
선거운동이었지만,	선거운동/NNG+이/VCP+었/EP+지만/EC+,/SP
진보정치의	진보정치/NNG+의/JKG
존재	존재/NNG
의미를	의미/NNG+를/JKO
확인할	확인하/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
무엇보다	무엇/NP+보다/JKB
가슴	가슴/NNG
뿌듯했습니다	뿌듯하/VA+었/EP+습니다/EF

그동안	그동안/NNG
마음으로	마음/NNG+으로/JKB
저를	저/NP+를/JKO
응원해주신	응원하/VV+여/EC+주/VX+시/EP+ㄴ/ETM
비정규직	비정규직/NNG
노동자,	노동자/NNG+,/SP
중소상공인,	중소상공/NNG+이/VCP+ㄴ/ETM+,/SP
장애인,	장애인/NNG+,/SP
농민,	농민/NNG+,/SP
청년,	청년/NNG+,/SP
여성	여성/NNG
등	등/NNB
서민	서민/NNG
여러분께	여러분/NP+께/JKB
감사의	감사/NNG+의/JKG
인사를	인사/NNG+를/JKO
드립니다	드리/VV+ㅂ니다/EF

그리고	그리고/MAJ
진보정의당의	진보정의당/NNP+의/JKG
발전을	발전/NNG+을/JKO
격려해주신	격려하/VV+여/EC+주/VX+시/EP+ㄴ/ETM
국민여러분께도	국민여러분께도/NNP
감사의	감사/NNG+의/JKG
말씀을	말씀/NNG+을/JKO
드립니다	드리/VV+ㅂ니다/EF

감사합니다	감사하/VV+ㅂ니다/EF
