아동ㆍ장애인ㆍ노인	아동/MAG+ㆍ/SN+장애인ㆍ노인/NNG
만18세	말/VV+ㄴ/ETM+18/SN+세/NNB
미만에서	미만/NNG+에서/JKB
만19세	만/MM+19/SN+세/NNB
미만으로	미만/NNG+으로/JKB
확대하는	확대하/VV+는/ETM
공무원연금법	공무원연금법/NNG
개정	개정/NNG
공포안,	공포안/NNG+,/SP
북한이탈주민	북한/NNP+이탈주민/NNG
등을	등/NNB+을/JKO
경력채용	경력채용/NNG
방식으로	방식/NNG+으로/JKB
공무원으로	공무원/NNG+으로/JKB
임용할	임용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
국가공무원법	국가공무원법/NNG
개정	개정/NNG
공포안도	공포안/NNG+도/JX
심의ㆍ의결했다	심의/NNG+ㆍ/JKO+의결하/VV+였/EP+다/EC

정부는	정부/NNG+는/JX
또	또/MAG
농협의	농협/NNP+의/JKG
사업구조	사업구조/NNG
개편의	개편/NNG+의/JKG
효과를	효과/NNG+를/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+여/EC
규제를	규제/NNG+를/JKO
대폭	대폭/MAG
완화하는	완화하/VV+는/ETM
내용의	내용/NNG+의/JKG
농협법	농협법/NNG
개정안을	개정안/NNG+을/JKO
처리했다	처리하/VV+였/EP+다/EC

개정안은	개정안/NNG+은/JX
금융지주회사의	금융지주회사/NNG+의/JKG
자회사인	자회사/NNG+이/VCP+ㄴ/ETM
사모투자전문회사가	사모투자전문회사/NNG+가/JKS
비금융	비/XPN+금융/NNG
계열회사에	계열회사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의결권을	의결권/NNG+을/JKO
행사할	행사하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했고,	하/VX+였/EP+고/EC+,/SP
농협금융지주회사에	농협/NNP+금융지주회사/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
대규모	대규모/NNG
내부거래에	내부거래/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이사회	이사회/NNG
의결과	의결/NNG+과/JC
공시	공시/NNG
의무	의무/NNG
적용을	적용/NNG+을/JKO
배제했다	배제하/VV+였/EP+다/EC

정부는	정부/NNG+는/JX
공무원	공무원/NNG
기능직과	기능직/NNG+과/JC
계약직을	계약직/NNG+을/JKO
폐지하고	폐지하/VV+고/EC
여비	여비/NNG
등을	등/NNB+을/JKO
부정	부정/NNG
수령했을때	수령하/VV+였/EP+을/ETM+때/NNG
수령금액의	수령금액/NNG+의/JKG
2배까지	2/SN+배/NNG+까지/JX
가산	가산/NNG
징수할	징수하/VV+ㄹ/ETM
있도록	있/VX+도록/EC
한	하/VX+ㄴ/EF
국가공무원법	국가공무원법/NNG
개정안도	개정안/NNG+도/JX
처리했다	처리하/VV+였/EP+다/EC

현재	현재/MAG
11월30일인	11/SN+월/NNB+30/SN+일/NNB+이/VCP+ㄴ/ETM
무역의	무역/NNG+의/JKG
날을	날/NNG+을/JKO
무역규모	무역규모/NNG
1조달러를	1/SN+조/NR+달러/NNB+를/JKO
달성한	달성하/VV+ㄴ/ETM
12월5일로	12/SN+월/NNB+5/SN+일/NNB+로/JKB
변경하는	변경하/VV+는/ETM
규정	규정/NNG
개정안과	개정안/NNG+과/JC
레바논	레바논/NNP
동명부대의	동명부대/NNG+의/JKG
파견을	파견/NNG+을/JKO
2013년	2013/SN+년/NNB
12월31일까지	12/SN+월/NNB+31/SN+일/NNB+까지/JX
연장하는	연장하/VV+는/ETM
국제연합	국제연합/NNG
레바논	레바논/NNP
평화유지군(UNIFIL)	평화유지군/NNG+(/SS+UNIFIL/SL+)/SS
파견연장	파견연장/NNG
동의안도	동의안/NNG+도/JX
의결했다	의결하/VV+였/EP+다/EC

jesus7864@yna	jesus/SL+7864/SN+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
