文,	文/SL+,/SP
추진	추진/NNG
주요	주요/NNG
국제인권조약	국제인권조약/NNG
가입	가입/NNG
등도	등/NNB+도/JX
함께	함께/MAG
선언했다	선언하/VV+였/EP+다/EF

문	문/NNP
후보는	후보/NNG+는/JX
“저는	“/SL+저/NP+는/JX
오랫동안	오랫동안/NNG
인권변호사로	인권변호사/NNG+로/JKB
살아왔다	살아오/VV+았/EP+다/EC

인권이	인권/NNG+이/JKS
얼마나	얼마나/MAG
절박한	절박하/VA+ㄴ/ETM
것인지,	것/NNB+이/VCP+ㄴ지/EC+,/SP
또	또/MAG
어떻게	어떻/VA+게/EC
실현해야	실현하/VV+여야/EC
할	하/VX+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
잘	잘/MAG
알고	알/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“‘문재인	“‘/SL+문재/NNG+이/VCP+ㄴ/ETM
정부’는	정부/NNG+’/SL+는/JX
국민의	국민/NNG+의/JKG
인권보장을	인권보장/NNG+을/JKO
국정과제로	국정과제/NNG+로/JKB
제시하고	제시하/VV+고/EC
사람이	사람/NNG+이/JKS
먼저인	먼저인/VA
대한민국을	대한민국/NNP+을/JKO
만들겠다”고	만들/VV+겠/EP+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
