선관위,	선관위/NNG+,/SP
"공직선거	"/SS+공직선거/NNG
후보자를	후보자/NNG+를/JKO
추천하는	추천하/VV+는/ETM
일과	일/NNG+과/JKB
관련해	관련하/VV+여/EC
금품을	금품/NNG+을/JKO
주고받거나	주고받/VV+거나/EC
불법으로	불법/NNG+으로/JKB
정치자금을	정치자금/NNG+을/JKO
기부하는	기부하/VV+는/ETM
행위는	행위/NNG+는/JX
정당	정당/NNG
활동의	활동/NNG+의/JKG
자유와	자유/NNG+와/JC
선거의	선거/NNG+의/JKG
공정성을	공정성/NNG+을/JKO
훼손하고	훼손하/VV+고/EC
대의민주주의를	대의민주주의/NNG+를/JKO
왜곡하는	왜곡하/VV+는/ETM
중대한	중대하/VA+ㄴ/ETM
범죄로	범죄/NNG+로/JKB
엄중	엄중/NNG
조치돼야	조치/NNG+되/XSV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

이와	이/NP+와/JKB
관련해	관련하/VV+여/EC
당사자들은	당사자/NNG+들/XSN+은/JX
혐의를	혐의/NNG+를/JKO
전면	전면/NNG
부인했다	부인하/VV+였/EP+다/EC

홍	홍/NNP
전	전/MM
의원은	의원/NNG+은/JX
이날	이날/NNG
당사에서	당사/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
열어	열/VV+어/EC
불법	불법/NNG
정치자금	정치자금/NNG
수수	수수/NNG
혐의에	혐의/NNG+에/JKB
대해	대하/VV+여/EC
"그런	"/SS+그런/MM
사실이	사실/NNG+이/JKS
전혀	전혀/MAG
없다"면서	없/VA+다/EF+"/SS+면서/EC
"이미	"/SS+이미/MAG
결론이	결론/NNG+이/JKS
난	나/VV+ㄴ/ETM
사안인데	사안/NNG+이/VCP+ㄴ데/EC
왜	왜/MAG
큰	크/VA+ㄴ/ETM
선거를	선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
이런	이런/MM
식으로	식/NNB+으로/JKB
일을	일/NNG+을/JKO
만들어내는	만들/VV+어/EC+내/VX+는/ETM
지	지/NNB
매우	매우/MAG
유감스럽다"고	유감스럽/VA+다/EF+"/SS+고/JKQ
주장했다	주장하/VV+였/EP+다/EC

민주당	민주당/NNP
김현	김현/NNP
대변인도	대변인/NNG+도/JX
국회	국회/NNG
정론관에서	정론관/NNG+에서/JKB
브리핑을	브리핑/NNG+을/JKO
갖고	갖/VV+고/EC
"그분(장	"/SS+그분/NP+(/SS+장/NNG
전	전/MM
의원)과	의원/NNG+)/SS+과/JKB
직접	직접/MAG
확인했는데	확인하/VV+였/EP+는데/EC
사실이	사실/NNG+이/JKC
아니다"라며	아니/VCN+다/EF+"/SS+라며/EC
"새누리당	"/SS+새누리당/NNP
전직	전직/NNG
의원	의원/NNG
사건을	사건/NNG+을/JKO
물타기	물타기/NNG
하려고	하/VV+려고/EC
억지춘향격으로	억지춘/NNP+향격/NNG+으로/JKB
민주당	민주당/NNP
전	전/MM
의원을	의원/NNG+을/JKO
끼어맞추기	끼/VV+어/EC+맞추/VV+기/ETN
수사하는	수사하/VV+는/ETM
게	것/NNB+이/JKC
아닌가"라고	아니/VCN+ㄴ가/EF+"/SS+라고/JKQ
반발했다	반발하/VV+였/EP+다/EF

yjkim84@yna	yjkim/SL+84/SN+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
