안철수,	안철수/NNP+,/SP
적이	적/NNB+이/JKS
있다”면서	있/VA+다”면서/EC
“제가	“/SL+제/XSN+가/JKS
대통령이	대통령/NNG+이/JKC
되어	되/VV+어/EC
새로운	새롭/VA+ㄴ/ETM
정치를	정치/NNG+를/JKO
펼치는	펼치/VV+는/ETM
것도	것/NNB+도/JX
중요하지만	중요하/VA+지만/EC
정치인이	정치인/NNG+이/JKS
국민	국민/NNG
앞에	앞/NNG+에/JKB
드린	드리/VV+ㄴ/ETM
약속을	약속/NNG+을/JKO
지키는	지키/VV+는/ETM
것이	것/NNB+이/JKS
그	그/MM
무엇보다	무엇/NP+보다/JKB
소중한	소중하/VA+ㄴ/ETM
가치”라며	가치”/NNG+이/VCP+라며/EC
사퇴의	사퇴/NNG+의/JKG
배경을	배경/NNG+을/JKO
덧붙였다	덧붙이/VV+었/EP+다/EF

특히	특히/MAG
안	안/NNP
후보는	후보/NNG+는/JX
“이제	“/SL+이/JKS+제/XSN
단일	단일/NNG
후보는	후보/NNG+는/JX
문재인	문재/NNG+이/VCP+ㄴ/ETM
후보”라며	후보”/NNG+이/VCP+라며/EC
“단일화	“/SN+단일화/NNG
과정의	과정/NNG+의/JKG
모든	모든/MM
불협화음에	불협화음/NNG+에/JKB
대해서	대하/VV+여서/EC
저를	저/NP+를/JKO
꾸짖어주시고,	꾸짖/VV+어/EC+주시/VX+고/EC+,/SP
문	문/NNP
후보에게	후보/NNG+에게/JKB
성원을	성원/NNG+을/JKO
보내	보내/VV+어/EC
달라”고	달라”/VV+고/EC
당부하며,	당부하/VV+며/EC+,/SP
향후	향후/NNG
정치인으로서의	정치인/NNG+으로서/JKB+의/JKG
삶에	삶/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
언급했다	언급하/VV+였/EP+다/EC

그는	그/NP+는/JX
“부족한	“/SN+부족하/VA+ㄴ/ETM
탓에	탓/NNG+에/JKB
국민	국민/NNG
여러분의	여러분/NP+의/JKG
변화에	변화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
열망을	열망/NNG+을/JKO
활짝	활짝/MAG
꽃피우지	꽃피우/VV+지/EC
못	못/MAG
하고	하/VV+고/EC
여기서	여기/NP+서/JKB
물러나지만	물러나/VV+지만/EC
주어진	주어지/VV+ㄴ/ETM
시대와	시대/NNG+와/JC
역사의	역사/NNG+의/JKG
소명	소명/NNG
결코	결코/MAG
잊지	잊/VV+지/EC
않겠다”면서	않/VX+겠/EP+다/EC+”/VV+면서/EC
“그것이	“/SN+그것/NP+이/JKS
어떤	어떤/MM
가시밭길이라고	가시밭길/NNG+이/VCP+라고/EC
해도	하/VV+여도/EC
온	온/MM
몸을	몸/NNG+을/JKO
던져	던지/VV+어/EC
계속	계속/MAG
그	그/VV
길	긷/VV
가겠다”고	가/VX+겠/EP+다”고/EC
말했다	말하/VV+였/EP+다/EC
