“장애인	“/SL+장애인/NNG
국가기관	국가기관/NNG
명단에	명단/NNG+에/JKB
따르면	따르/VV+면/EC
국가·자치단체	국가/NNG+·/SP+자치단체/NNG
공무원	공무원/NNG
의무고용률을	의무고용률/NNG+을/JKO
위반한	위반하/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
81개	81/SN+개/NNB
기관	기관/NNG
중	중/NNB
29곳이며,	29/SN+곳/NNG+이/VCP+며/EC+,/SP
공무원이	공무원/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
근로자	근로자/NNG
의무고용률이	의무고용률/NNG+이/JKS
기준에	기준/NNG+에/JKB
미달한	미달하/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
전체	전체/NNG
293곳	293/SN+곳/NNG
중	중/NNB
37곳이었다	37/SN+곳/NNG+이/VCP+었/EP+다/EF

이중	이/MM+중/NNB
김	김/NNP
의원이	의원/NNG+이/JKS
언급한	언급하/VV+ㄴ/ETM
기획재정부,	기획재정부/NNG+,/SP
기상청,	기상청/NNG+,/SP
특허청,	특허청/NNG+,/SP
외교통상부의	외교통상부/NNG+의/JKG
경우	경우/NNG
장애인	장애인/NNG
근로자는	근로자/NNG+는/JX
단	단/MM
한명도	한/MM+명/NNB+도/JX
고용하지	고용하/VV+지/EC
않았다	않/VX+았/EP+다/EF

이에	이/NP+에/JKB
김	김/NNP
의원은	의원/NNG+은/JX
“장애인근로자를	“/SL+장애인근로자/NNG+를/JKO
고용하게	고용하/VV+게/EC
되있는	되있/VV+는/ETM
법을	법/NNB+을/JKO
지키지	지키/VV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
위법이다	위법/NNG+이/VCP+다/EC

정부도	정부/NNG+도/JX
지키지	지키/VV+지/EC
않은	않/VX+은/ETM
것을	것/NNB+을/JKO
민간이	민간/NNG+이/JKS
나서서	나서/VV+어서/EC
지킬	지키/VV+ㄹ/ETM
일이	일/NNG+이/JKS
있겠냐”며	있/VA+겠/EP+냐/EC+”/VX+며/EC
“참고로	“/SL+참고/NNG+로/JKB
저의	저/NP+의/JKG
아버지도	아버지/NNG+도/JX
장애인이다	장애인/NNG+이/VCP+다/EC

장애인을	장애인/NNG+을/JKO
힘없고	힘없/VA+고/EC
어려운	어렵/VA+ㄴ/ETM
사람이라고	사람/NNG+이/VCP+라고/EC
함부로	함부로/MAG
대할	대하/VV+ㄹ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
정부가	정부/NNG+가/JKS
앞서서	앞서/VV+어서/EC
힘으로	힘/NNG+으로/JKB
억눌림	억눌리/VV+ㅁ/ETN
받고	받/VV+고/EC
있는	있/VX+는/ETM
약자들을	약자/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
힘쓰고	힘쓰/VV+고/EC
솔선수범해야	솔선수범하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
질타에	질타/NNG+에/JKB
이성규	이성규/NNP
이사장은	이사장/NNG+은/JX
“아직	“/SL+아직/MAG
법을	법/NNG+을/JKO
이행하지	이행하/VV+지/EC
않은	않/VX+은/ETM
기관들이	기관/NNG+들/XSN+이/JKS
많은	많/VA+은/ETM
것이	것/NNB+이/JKS
사실이다	사실/NNG+이/VCP+다/EC

공공기관을	공공기관/NNG+을/JKO
설득해서	설득하/VV+여서/EC
장애인의무고용률을	장애인의무고용률/NNG+을/JKO
시행할수있도록	시행하/VV+ㄹ/ETM+수/NNB+있/VA+도록/EC
하겠다”고	하/VX+겠/EP+다”고/EC
답변했다	답변하/VV+였/EP+다/EF
