유명무실	유명무실/NNG
주무부처인	주무부처/NNG+이/VCP+ㄴ/ETM
보건복지부는	보건복지부/NNG+는/JX
2007년	2007/SN+년/NNB
4월	4/SN+월/NNB
‘중증장애인활동보조지원사업’을	‘/SN+중/NNB+증장애인활동보조지원사업’/NNG+을/JKO
전국적으로	전국적/NNG+으로/JKB
도입하기에	도입하/VV+기/ETN+에/JKB
이른다	이르/VV+ㄴ다/EC

하지만	하지만/MAJ
장애계와	장애/NNG+계/XSN+와/JC
복지부는	복지부/NNG+는/JX
예산과	예산/NNG+과/JC
활동보조서비스	활동보조서비스/NNG
대상,	대상/NNG+,/SP
제공시간,	제공시/NNP+간/NNG+,/SP
본인부담금,	본인부담금/NNG+,/SP
중개기관	중개기관/NNG
선정	선정/NNG
등을	등/NNB+을/JKO
놓고	놓/VV+고/EC
마찰을	마찰/NNG+을/JKO
벌였다	벌이/VV+었/EP+다/EF

장애계가	장애/NNP+계/XSN+가/JKS
활동보조서비스의	활동보조서비스/NNG+의/JKG
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
시행을	시행/NNG+을/JKO
위해서는	위하/VV+여서/EC+는/JX
1천억원이	1/SN+천억/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
예산이	예산/NNG+이/JKS
필요하다고	필요하/VA+다고/EC
강조한	강조하/VV+ㄴ/ETM
반면,	반면/NNG+,/SP
복지부는	복지부/NNG+는/JX
105억원을	105/SN+억/NR+원/NNB+을/JKO
제시하면서	제시하/VV+면서/EC
격론이	격론/NNG+이/JKS
일었다	일/VV+었/EP+다/EF

활동보조서비스	활동보조서비스/NNG
예산은	예산/NNG+은/JX
국회에서	국회/NNG+에서/JKB
276억원으로	276/SN+억/NR+원/NNB+으로/JKB
결정됐다	결정되/VV+었/EP+다/EF

또한	또한/MAG
복지부는	복지부/NNG+는/JX
서울시가	서울시/NNP+가/JKS
2006년	2006/SN+년/NNB
12월	12/SN+월/NNB
한	한/MM
달	달/NNB
동안	동안/NNG
활동보조서비스를	활동보조서비스/NNG+를/JKO
시범사업으로	시범사업/NNG+으로/JKB
시행하자	시행하/VV+자/EC
장애인들에게	장애인/NNG+들/XSN+에게/JKB
본인부담금	본인부담금/NNG
10%를	10/SN+%/SW+를/JKO
부과할	부과하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요청했다	요청하/VV+였/EP+다/EC

결국	결국/NNG
서울시는	서울시/NNP+는/JX
복지부의	복지부/NNG+의/JKG
요청을	요청/NNG+을/JKO
수락해	수락하/VV+여/EC
본인부담금	본인부담금/NNG
10%를	10/SN+%/SW+를/JKO
부과했고,	부과하/VV+였/EP+고/EC+,/SP
본인부담금	본인부담금/NNG
논란은	논란/NNG+은/JX
수면위로	수면위로/NNG
떠올랐다	떠오르/VV+았/EP+다/EC

중증장애인활동보조지원사업	중증장애인활동보조지원사업/NNG
본격화…불만은	본격화/NNG+…/SE+불만/NNG+은/JX
여전2007년	여전/NNG+2007/SN+년/NNB
4월,	4/SN+월/NNB+,/SP
장애계가	장애/NNG+계/XSN+가/JKS
열망하던	열망하/VV+던/ETM
‘중증장애인활동보조지원사업’이	‘/SL+중증장애인활동보조지원사업’/NNG+이/JKS
본격적으로	본격적/NNG+으로/JKB
시행됐지만	시행되/VV+었/EP+지만/EC
불만의	불만/NNG+의/JKG
목소리는	목소리/NNG+는/JX
여기저기서	여기저기/NNG+서/JKB
터져	터지/VV+어/EC
나왔다	나오/VV+았/EP+다/EF

당초	당초/NNG
복지부는	복지부/NNG+는/JX
장애정도에	장애정도/NNG+에/JKB
따라	따르/VV+아/EC
월	월/NNG
20~80시간의	20/SN+~/SO+80/SN+시간/NNB+의/JKG
기본서비스를	기본서비스/NNG+를/JKO
제공하기로	제공하/VV+기/ETN+로/JKB
했고,	하/VV+였/EP+고/EC+,/SP
특례조항으로	특례조항/NNG+으로/JKB
독거장애인에게는	독거장애인/NNG+에게/JKB+는/JX
월	월/NNG
최대	최대/NNG
180시간까지	180/SN+시간/NNB+까지/JX
추가로	추가/NNG+로/JKB
지원하기로	지원하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

서비스	서비스/NNG
단가는	단가/NNG+는/JX
시간당	시간/NNG+당/XSN
7천원으로	7/SN+천/NR+원/NNB+으로/JKB
하고	하/VV+고/EC
소득수준에	소득수준/NNG+에/JKB
따라	따르/VV+아/EC
10~20%의	10/SN+~/SO+20/SN+%/SW+의/JKG
본인부담금을	본인부담금/NNG+을/JKO
부과하도록	부과하/VV+도록/EC
했다	하/VX+였/EP+다/EC

하지만	하지만/MAJ
지자체와	지자체/NNG+와/JKB
사업시행기관에	사업시행기관/NNG+에/JKB
통보된	통보되/VV+ㄴ/ETM
‘활동보조	‘/SL+활동보조/NNG
지원사업	지원사업/NNG
최종지침서’에서는	최종지침서’/NNG+에서/JKB+는/JX
‘월	‘/SN+월/NNB
최대	최대/NNG
180시간	180/SN+시간/NNB
특례조항’이	특례조항/NNG+’/SL+이/JKS
삭제됐고,	삭제되/VV+었/EP+고/EC+,/SP
서비스제공	서비스제공/NNG
판정기준은	판정기준/NNG+은/JX
턱없이	턱없이/MAG
높아	높/VA+아/EC
중복장애의	중복장애/NNG+의/JKG
중증장애인이	중증장애인/NNG+이/JKC
아니면	아니/VCN+면/EC
월	월/NNG
‘40시간’도	‘/SL+40/SN+시간/NNB+’/SN+도/JX
받기	받/VV+기/ETN
어려웠다	어렵/VA+었/EP+다/EC

실제	실제/NNG
휠체어	휠체어/NNG
이용	이용/NNG
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
‘0시간’을	‘/SL+0/SN+시간/NNB+’/SL+을/JKO
받는	받/VV+는/ETM
사례들이	사례/NNG+들/XSN+이/JKS
속출했다	속출하/VV+였/EP+다/EF

여기에	여기/NP+에/JKB
본인부담금	본인부담금/NNG
부과는	부과/NNG+는/JX
그렇지	그렇/VA+지/EC
않아도	않/VX+아도/EC
빠듯한	빠듯하/VA+ㄴ/ETM
살림에	살림/NNG+에/JKB
힘들어하는	힘들/VA+어/EC+하/VV+는/ETM
장애인들의	장애인/NNG+들/XSN+의/JKG
부담으로	부담/NNG+으로/JKB
작용했다	작용하/VV+였/EP+다/EC

사업시행	사업시행/NNG
직후,	직후/NNG+,/SP
본인부담금이	본인부담금/NNG+이/JKS
부담스러워	부담스럽/VA+어/EC
활동보조서비스를	활동보조서비스/NNG+를/JKO
이용하지	이용하/VV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
이용자들도	이용자/NNG+들/XSN+도/JX
속속	속속/MAG
나타나기	나타나/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
현실에	현실/NNG+에/JKB
장애계는	장애/NNG+계/XSN+는/JX
활동보조지원사업의	활동보조지원사업/NNG+의/JKG
정상화를	정상화/NNG+를/JKO
촉구했고	촉구하/VV+였/EP+고/EC
복지부는	복지부/NNG+는/JX
제도시행	제도시행/NNG
두	두/MM
달만인	달만/NNB+이/VCP+ㄴ/ETM
6월에	6/SN+월/NNB+에/JKB
서비스제공	서비스제공/NNG
판정기준을	판정기준/NNG+을/JKO
완화,	완화/NNG+,/SP
서비스	서비스/NNG
시간을	시간/NNG+을/JKO
확대하기에	확대하/VV+기/ETN+에/JKB
이른다	이르/VV+ㄴ다/EC

판정등급	판정등급/NNG
기준의	기준/NNG+의/JKG
총점	총점/NNG
380점	380/SN+점/NNB
이상은	이상/NNG+은/JX
1등급(80시간),	1/SN+등급/NNG+(/SS+80/SN+시간/NNB+)/SS+,/SP
346~379점	346/SN+~/SO+379/SN+점/NNB
2등급(60시간),	2/SN+등급/NNG+(/SS+60/SN+시간/NNB+)/SS+,/SP
281~345점	281/SN+~/SO+345/SN+점/NNB
3등급(40시간),	3/SN+등급/NNG+(/SS+40/SN+시간/NNB+)/SS+,/SP
220~280점	220/SN+~/SO+280/SN+점/NNB
4등급(20시간)으로	4/SN+등급/NNG+(/SS+20/SN+시간/NNB+)/SS+으로/JKB
하향했다	하향하/VV+였/EP+다/EC

기존에는	기존/NNG+에/JKB+는/JX
총점의	총점/NNG+의/JKG
575~453점	575/SN+~/SO+453/SN+점/NNB
이상은	이상/NNG+은/JX
1등급(80시간),	1/SN+등급/NNG+(/SS+80/SN+시간/NNB+)/SS+,/SP
422~452점	422/SN+~/SO+452/SN+점/NNB
2등급(60시간),	2/SN+등급/NNG+(/SS+60/SN+시간/NNB+)/SS+,/SP
384~421점	384/SN+~/SO+421/SN+점/NNB
3등급(40시간),	3/SN+등급/NNG+(/SS+40/SN+시간/NNB+)/SS+,/SP
351~383점	351/SN+~/SO+383/SN+점/NNB
4등급(20시간)	4/SN+등급/NNG+(/SS+20/SN+시간/NNB+)/SS
이었다	잇/VV+었/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
4등급	4/SN+등급/NNG
커트라인(최하점)이	커트라인/NNG+(/SS+최하점/NNG+)/SS+이/JKS
351점에서	351/SN+점/NNB+에서/JKB
220점,	220/SN+점/NNB+,/SP
3등급은	3/SN+등급/NNG+은/JX
384점에서	384/SN+점/NNB+에서/JKB
281점,	281/SN+점/NNB+,/SP
2등급은	2/SN+등급/NNG+은/JX
422점에서	422/SN+점/NNB+에서/JKB
346점,	346/SN+점/NNB+,/SP
1등급은	1/SN+등급/NNG+은/JX
453점에서	453/SN+점/NNB+에서/JKB
380점으로	380/SN+점/NNB+으로/JKB
하향	하향/NNG
조정됐다	조정되/VV+었/EP+다/EF

다소	다소/MAG
서비스	서비스/NNG
시간이	시간/NNG+이/JKS
확대되긴	확대되/VV+기/ETN+ㄴ/JX
했지만	하/VX+였/EP+지만/EC
장애인들의	장애인/NNG+들/XSN+의/JKG
욕구를	욕구/NNG+를/JKO
충족시키기에는	충족/NNG+시키/XSV+기/ETN+에/JKB+는/JX
역부족이었다	역부족/NNG+이/VCP+었/EP+다/EF

이에	이/NP+에/JKB
장애계는	장애/NNG+계/XSN+는/JX
지자체를	지자체/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
지역별	지역/NNG+별/XSN
투쟁을	투쟁/NNG+을/JKO
이어나갔다	이어나가/VV+았/EP+다/EF

각	각/MM
지역의	지역/NNG+의/JKG
중증장애인들은	중증장애인/NNG+들/XSN+은/JX
각	각/MM
지역의	지역/NNG+의/JKG
시청	시청/NNG
앞	앞/NNG
결의대회,	결의대회/NNG+,/SP
무기한	무기한/NNG
천막농성	천막농성/NNG
등을	등/NNB+을/JKO
벌이며,	벌이/VV+며/EC+,/SP
중앙정부의	중앙정부/NNG+의/JKG
부실한	부실하/VA+ㄴ/ETM
정책을	정책/NNG+을/JKO
지자체가	지자체/NNG+가/JKS
보완해	보완하/VV+여/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구하기에	요구하/VV+기/ETN+에/JKB
나섰다	나서/VV+었/EP+다/EF

여기에	여기/NP+에/JKB
인천시	인천시/NNP
등	등/NNB
지자체가	지자체/NNG+가/JKS
추기지원을	추기지원/NNG+을/JKO
약속했고,	약속하/VV+였/EP+고/EC+,/SP
이들	이/NP+들/XSN
지자체들은	지자체/NNG+들/XSN+은/JX
활동보조서비스	활동보조서비스/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
자체예산을	자체예산/NNG+을/JKO
배정하고	배정하/VV+고/EC
자체기준을	자체기준/NNG+을/JKO
마련해	마련하/VV+여/EC
추가적으로	추가적/NNG+으로/JKB
지원했다	지원하/VV+였/EP+다/EC

하지만	하지만/MAJ
‘180시간	‘/SL+180/SN+시간/NNB
특례조항’,	특례조항/NNG+’/SL+,/SP
‘본인부담금’	‘/SN+본인부담금’/NNG
등의	등/NNB+의/JKG
문제들은	문제/NNG+들/XSN+은/JX
끝내	끝내/MAG
해결되지	해결되/VV+지/EC
않았다	않/VX+았/EP+다/EF

활동보조	활동보조/NNG
지원	지원/NNG
시간	시간/NNG
쥐꼬리에	쥐꼬리/NNG+에/JKB
불과활동보조서비스는	불과활동보조서비스/NNG+는/JX
2008년과	2008/SN+년/NNB+과/JC
2009년에도	2009/SN+년/NNB+에/JKB+도/JX
장애계의	장애/NNG+계/XSN+의/JKG
뜨거운	뜨겁/VA+ㄴ/ETM
감자로	감자/NNG+로/JKB
떠올랐다	떠오르/VV+았/EP+다/EC

대상제한,	대상제한/NNG+,/SP
서비스	서비스/NNG
시간	시간/NNG
부족,	부족/NNG+,/SP
본인부담금	본인부담금/NNG
등의	등/NNB+의/JKG
문제가	문제/NNG+가/JKS
해소되지	해소되/VV+지/EC
않아	않/VX+아/EC
장애인들은	장애인/NNG+들/XSN+은/JX
계속해서	계속하/VV+여서/EC
거리로	거리/NNG+로/JKB
나와	나오/VV+아/EC
복지부와	복지부/NNG+와/JC
맞섰다	맞서/VV+었/EP+다/EC

2008년	2008/SN+년/NNB
활동보조서비스는	활동보조서비스/NNG+는/JX
등급별로	등급/NNG+별/XSN+로/JKB
월	월/NNG
10시간씩	10/SN+시간/NNB+씩/XSN
확대되고	확대되/VV+고/EC
독거장애인에	독거장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추가지원	추가지원/NNG
항목이	항목/NNG+이/JKS
신설,	신설/NNG+,/SP
1등급	1/SN+등급/NNG
독거장애인은	독거장애인/NNG+은/JX
월	월/NNG
30시간,	30/SN+시간/NNB+,/SP
2~4등급	2/SN+~/SO+4/SN+등급/NNG
독거장애인은	독거장애인/NNG+은/JX
20시간의	20/SN+시간/NNB+의/JKG
추가	추가/NNG
시간이	시간/NNG+이/JKS
지원됐다	지원되/VV+었/EP+다/EF

2009년에도	2009/SN+년/NNB+에/JKB+도/JX
월	월/NNG
10시간씩	10/SN+시간/NNB+씩/XSN
확대되는데	확대되/VV+는/ETM+데/NNB
그쳤다	그치/VV+었/EP+다/EC

1등급은	1/SN+등급/NNG+은/JX
기존	기존/NNG
90시간에서	90/SN+시간/NNB+에서/JKB
100시간,	100/SN+시간/NNB+,/SP
2등급은	2/SN+등급/NNG+은/JX
70시간에서	70/SN+시간/NNB+에서/JKB
80시간,	80/SN+시간/NNB+,/SP
3등급은	3/SN+등급/NNG+은/JX
50시간에서	50/SN+시간/NNB+에서/JKB
60시간,	60/SN+시간/NNB+,/SP
4등급은	4/SN+등급/NNG+은/JX
30시간에서	30/SN+시간/NNB+에서/JKB
40시간을	40/SN+시간/NNB+을/JKO
늘어났다	늘어나/VV+았/EP+다/EC

또한	또한/MAG
장애아동	장애아동/NNG
1등급과	1/SN+등급/NNG+과/JC
2등급은	2/SN+등급/NNG+은/JX
50시간에서	50/SN+시간/NNB+에서/JKB
60시간,	60/SN+시간/NNB+,/SP
3등급과	3/SN+등급/NNG+과/JC
4등급은	4/SN+등급/NNG+은/JX
30시간에서	30/SN+시간/NNB+에서/JKB
40시간으로	40/SN+시간/NNB+으로/JKB
늘어났다	늘어나/VV+았/EP+다/EC

독거	독거/NNG
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추가지원은	추가지원/NNG+은/JX
등급에	등급/NNG+에/JKB
상관없이	상관없이/MAG
각	각/MM
20시간씩으로	20/SN+시간/NNB+씩/XSN+으로/JKB
변경되면서	변경되/VV+면서/EC
1등급은	1/SN+등급/NNG+은/JX
추가	추가/NNG
지원이	지원/NNG+이/JKS
깎여야만	깎열/VV+야/EC+만/JX
했다	하/VX+였/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
서비스	서비스/NNG
시간	시간/NNG
확대에도	확대/NNG+에/JKB+도/JX
장애계의	장애/NNG+계/XSN+의/JKG
불만은	불만/NNG+은/JX
여전했다	여전하/VA+었/EP+다/EC

잠정적	잠정적/NNG
서비스	서비스/NNG
대상자가	대상자/NNG+가/JKS
약	약/MM
35만명	35/SN+만/NR+명/NNB
추정되지만	추정되/VV+지만/EC
서비스	서비스/NNG
대상을	대상/NNG+을/JKO
만	만/MM
6세	6/SN+세/NNB
이상	이상/NNG
65세	65/SN+세/NNB
미만의	미만/NNG+의/JKG
1급	1/SN+급/NNG
장애인으로	장애인/NNG+으로/JKB
제한하고	제한하/VV+고/EC
있어	있/VX+어/EC
실질적	실질적/NNG
혜택을	혜택/NNG+을/JKO
받는	받/VV+는/ETM
장애인은	장애인/NNG+은/JX
고작	고작/MAG
2만명에	2/SN+만/NR+명/NNB+에/JKB
불과하다는	불과하/VA+다는/ETM
이유에서다	이유/NNG+에서다/JKB

더욱이	더욱이/MAG
터무니없이	터무니없이/MAG
낮은	낮/VA+은/ETM
지원	지원/NNG
시간으로는	시간/NNG+으로/JKB+는/JX
식사와	식사/NNG+와/JC
용변	용변/NNG
등	등/NNB
기본적인	기본적/NNG+이/VCP+ㄴ/ETM
생존권조차	생존권/NNG+조차/JX
해결하기	해결하/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
목소리가	목소리/NNG+가/JKS
쏟아졌다	쏟아지/VV+었/EP+다/EF

한국장애인자립생활센터협의회와	한국/NNP+장애인자립생활센터협의회/NNG+와/JC
한국장애인자립생활센터총연합회는	한국장애인자립생활센터총연합회/NNP+는/JX
2010년	2010/SN+년/NNB
3월	3/SN+월/NNB
보건복지부	보건복지부/NNG
청사	청사/NNG
앞에서	앞/NNG+에서/JKB
결의대회를	결의대회/NNG+를/JKO
갖고	갖/VV+고/EC
정부의	정부/NNG+의/JKG
활동보조서비스	활동보조서비스/NNG
지침	지침/NNG
철회를	철회/NNG+를/JKO
요구하고	요구하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

설상가상	설상가상/NNG
장애등급	장애등급/NNG
재심사로	재심사/NNG+로/JKB
등급하향	등급하향/NNG
‘울분	‘/SL+울/NNG+분/XSN
토해’설상가상	토해/NNP+’/SN+설상가상/NNG
2010년	2010/SN+년/NNB
4월	4/SN+월/NNB
시행된	시행되/VV+ㄴ/ETM
장애등급	장애등급/NNG
재심사(국민연금공단	재심사/NNG+(/SS+국민연금공단/NNG
심사)로	심사/NNG+)/SS+로/JKB
다수의	다수/NNG+의/JKG
중증장애인,	중증장애인/NNG+,/SP
특히	특히/MAG
뇌병변장애인들이	뇌병변장애인/NNG+들/XSN+이/JKS
기존	기존/NNG
장애	장애/NNG
1급에서	1/SN+급/NNG+에서/JKB
하향되면서	하향되/VV+면서/EC
대거	대거/MAG
활동보조서비스	활동보조서비스/NNG
지원	지원/NNG
대상에서	대상/NNG+에서/JKB
탈락하기에	탈락하/VV+기/ETN+에/JKB
이른다	이르/VV+ㄴ다/EC

갈수록	갈수록/MAG
바깥활동이	바깥활동/NNG+이/JKS
많아져	많아지/VV+어/EC
처음	처음/NNG
사업	사업/NNG
초기	초기/NNG
때	때/NNG
보다	보다/MAG
중증장애인들은	중증장애인/NNG+들/XSN+은/JX
서비스	서비스/NNG
시간을	시간/NNG+을/JKO
더욱	더욱/MAG
필요로	필요/NNG+로/JKB
했지만	하/VV+였/EP+지만/EC
엄격한	엄격하/VA+ㄴ/ETM
기준으로	기준/NNG+으로/JKB
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
일상생활	일상생활/NNG
등의	등/NNB+의/JKG
활동에	활동/NNG+에/JKB
제약을	제약/NNG+을/JKO
받게	받/VV+게/EC
된	되/VV+ㄴ/ETM
것	것/NNB

활동보조	활동보조/NNG
시간이	시간/NNG+이/JKS
