장애인등록증에	장애인등록/NNG+증/XSN+에/JKB
내년	내년/NNG
6월까지	6/SN+월/NNB+까지/JX
장애인복지사업지침과	장애인복지사업지침/NNG+과/JC
장애인복지법	장애인복지법/NNG
시행규칙	시행규칙/NNG
개정을	개정/NNG+을/JKO
추진,	추진/NNG+,/SP
완료한다는	완료하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
내년부터는	내년/NNG+부터는/JX
시·군·구청에서	시/NNG+·/SP+군/NNG+·/SP+구청/NNG+에서/JKB
발급	발급/NNG
받던	받/VV+던/ETM
보육교직원	보육교직원/NNG
경력(재직)증명서를	경력/NNG+(/SS+재직/NNG+)/SS+증명서/NNG+를/JKO
읍·면·동	읍/NNG+·/SP+면/NNG+·/SP+동/NNG
주민센터에서도	주민센터/NNG+에서/JKB+도/JX
즉시	즉시/NNG
발급	발급/NNG
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다	되/VV+ㄴ다/EF

인터넷으로	인터넷/NNG+으로/JKB
신청하면	신청하/VV+면/EC
신청자가	신청자/NNG+가/JKS
즉시	즉시/NNG
인쇄할	인쇄하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
2014년까지	2014/SN+년/NNB+까지/JX
시스템이	시스템/NNG+이/JKS
개선된다	개선되/VV+ㄴ다/EF
