"민주당,	"/SS+민주당/NNP+,/SP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
총선	총선/NNG
직전인	직전/NNG+이/VCP+ㄴ/ETM
4월초까지	4/SN+월초/NNB+까지/JX
3차례에	3/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
장	장/NNP
전의원에게	전의원/NNG+에게/JKB
비례대표	비례대표/NNG
공천	공천/NNG
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
7000만원을	7000/SN+만/NR+원/NNB+을/JKO
전달한	전달하/VV+ㄴ/ETM
혐의를,	혐의/NNG+를/JKO+,/SP
장	장/NNP
전의원은	전/MM+의원/NNG+은/JX
민주당	민주당/NNP
비례대표	비례대표/NNG
후보	후보/NNG
추천	추천/NNG
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
시각장애인	시각장애인/NNG
A씨로부터	A/SL+씨/NNB+로부터/JKB
3300만원을	3300/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다	있/VX+다/EC
