"선관위,	"/SS+선관위/NNG+,/SP
있었으며,	있/VX+었/EP+으며/EC+,/SP
휠체어	휠체어/NNG
이동	이동/NNG
통로가	통로/NNG+가/JKS
미설치	미설치/NNG
된	되/VV+ㄴ/ETM
곳도	곳/NNG+도/JX
3,596곳(26	3,596/SN+곳/NNG+(/SS+26/SN

6%)이나	6/SN+%/SW+)/SS+이나/JX
됐다	되/VV+었/EP+다/EC

또한	또한/MAG
중앙선관위가	중앙선관위/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
1995년부터	1995/SN+년/NNB+부터/JX
장애인	장애인/NNG
투표편의	투표편의/NNG
방도의	방도/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
‘장애인기표대’를	‘/SN+장애인기표대’/NNG+를/JKO
설치해	설치하/VV+여/EC
운영하고	운영하/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
전동스쿠터	전동스쿠터/NNG
장애인은	장애인/NNG+은/JX
고려하지	고려하/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
만들어져	만들/VV+어/EC+지/VX+어/EC
불편을	불편/NNG+을/JKO
느끼는	느끼/VV+는/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

전동스쿠터의	전동스쿠터/NNG+의/JKG
세로길이(129cm	세로길이/NNG+(/SS+129/SN+cm/SL
의료용	의료/NNG+용/XSN
스쿠터)보다	스쿠터/NNG+)/SS+보다/JKB
장애인기표대의	장애인기표대/NNG+의/JKG
세로길이(70cm)가	세로길이/NNG+(/SS+70/SN+cm/SL+)/SS+가/JKS
짧아	짧/VA+아/EC
현행	현행/NNG
장애인기표대의	장애인기표대/NNG+의/JKG
기표용구를	기표용구/NNG+를/JKO
이용해	이용하/VV+여/EC
투표하려면	투표하/VV+려면/EC
전동스쿠터에서	전동스쿠터/NNG+에서/JKB
내리거나	내리/VV+거나/EC
활동보조인,	활동보조/NNG+이/VCP+ㄴ/ETM+,/SP
투표도우미이게	투표도우미/NNG+이/VCP+게/EC
도움을	도움/NNG+을/JKO
요청해야	요청하/VV+여야/EC
한다	하/VX+ㄴ다/EF

이	이/MM
의원은	의원/NNG+은/JX
“점자블록이	“/SL+점자블록/NNG+이/JKS
미설치	미설치/NNG
된	되/VV+ㄴ/ETM
투표소의	투표소/NNG+의/JKG
경우	경우/NNG
안내도우미를	안내도우미/NNG+를/JKO
배치하더라도	배치하/VV+더라도/EC
시각장애인의	시각장애인/NNG+의/JKG
투표에	투표/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
있을	있/VA+을/ETM
수	수/NNB
있다”며	있/VA+다/EC+”/VX+며/EC
“애초에	“/SL+애초/NNG+에/JKB
주출입구	주출입구/NNG
문제,	문제/NNG+,/SP
장애인	장애인/NNG
화장실	화장실/NNG
설치	설치/NNG
등은	등/NNB+은/JX
전수조사	전수조사/NNG
대상이	대상/NNG+이/JKC
되지	되/VV+지/EC
않아	않/VX+아/EC
중앙선관위의	중앙선관위/NNG+의/JKG
장애인	장애인/NNG
투표편의	투표편/NNG+의/JKG
지원대책이	지원대책/NNG+이/JKS
임시경사로에만	임시경사로/NNP+에/JKB+만/JX
중점을	중점/NNG+을/JKO
두고	두/VV+고/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EC+”/VV+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

이어	이어/MAG
“장애인기표대의	“/SN+장애인기표대/NNG+의/JKG
경우	경우/NNG
휠체어	휠체어/NNG
장애인을	장애인/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
것이나	것/NNB+이나/JX
정작	정작/NNG
전동스쿠터를	전동스쿠터/NNG+를/JKO
타는	타/VV+는/ETM
장애인들은	장애인/NNG+들/XSN+은/JX
스쿠터에	스쿠터/NNG+에/JKB
앉은	앉/VV+은/ETM
상태로	상태/NNG+로/JKB
손을	손/NNG+을/JKO
뻗어	뻗/VV+어/EC
기표용구를	기표용구/NNG+를/JKO
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
투표도우미,	투표도우미/NNG+,/SP
활동보조인의	활동보조인/NNG+의/JKG
도움을	도움/NNG+을/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
상황이	상황/NNG+이/JKS
발생되는	발생되/VV+는/ETM
등	등/NNB
비밀투표	비밀투표/NNG
원칙을	원칙/NNG+을/JKO
훼손하게	훼손하/VV+게/EC
된다”고	되/VV+ㄴ다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이	이/MM
의원은	의원/NNG+은/JX
또한	또한/MAG
“현재	“/SL+현재/MAG
중앙선관위는	중앙선관위/NNG+는/JX
이번	이번/NNG
대선에	대선/NNG+에/JKB
이	이/MM
기표대를	기표대/NNG+를/JKO
그대로	그대로/MAG
사용하겠다는	사용하/VV+겠/EP+다는/ETM
입장인데,	입장/NNG+이/VCP+ㄴ데/EC+,/SP
장애인겸용기표대는	장애인겸용기표대/NNG+는/JX
종이기표대에	종이기표대/NNG+에/JKB
비해	비하/VV+여/EC
크기만	크기/NNG+만/JX
조금	조금/MAG
차이	차이/NNG
날	나/VV+ㄹ/ETM
뿐	뿐/NNB
비장애인용과	비장애인/NNG+용/XSN+과/JKB
별반	별반/MAG
차이가	차이/NNG+가/JKS
없어	없/VA+어/EC
생색내기에	생색내기/NNG+에/JKB
불과하다”며	불과하/VA+다/EC+”/VX+며/EC
“휠체어	“/SL+휠체어/NNG
장애인의	장애인/NNG+의/JKG
투표편의	투표편/NNG+의/JKG
제공	제공/NNG
및	및/MAG
비밀투표	비밀투표/NNG
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
장애인겸용기표대의	장애인겸용기표대/NNG+의/JKG
가로	가로/NNG
폭을	폭/NNG+을/JKO
넓히거나	넓히/VV+거나/EC
기표대를	기표대/NNG+를/JKO
좌우	좌우/NNG
양쪽에	양쪽/NNG+에/JKB
설치하는	설치하/VV+는/ETM
방안을	방안/NNG+을/JKO
모색해야	모색하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
주문했다	주문하/VV+였/EP+다/EF
