安,	安/SL+,/SP
의학적	의학적/NNG
기준에	기준/NNG+에/JKB
따라	따르/VV+아/EC
장애	장애/NNG
여부	여부/NNG
및	및/MAG
장애	장애/NNG
정도를	정도/NNG+를/JKO
판단해	판단하/VV+여/EC
등급을	등급/NNG+을/JKO
부여하고	부여하/VV+고/EC
등급별로	등급/NNG+별/XSN+로/JKB
일률적인	일률적/NNG+이/VCP+ㄴ/ETM
복지	복지/NNG
급여를	급여/NNG+를/JKO
제공하고	제공하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
현실을	현실/NNG+을/JKO
전했다	전하/VV+었/EP+다/EC

이에	이/NP+에/JKB
“의학적	“/SN+의학적/NNG
기준에	기준/NNG+에/JKB
따라	따르/VV+아/EC
획일적이고	획일적/NNG+이/VCP+고/EC
일률적으로	일률적/NNG+으로/JKB
부여되는	부여되/VV+는/ETM
장애등급제를	장애등급/NNG+제/XSN+를/JKO
폐지하고,	폐지하/VV+고/EC+,/SP
장애인	장애인/NNG
등록제는	등록제/NNG+는/JX
존치시켜	존치/NNG+시키/XSV+어/EC
개인의	개인/NNG+의/JKG
욕구와	욕구/NNG+와/JC
환경에	환경/NNG+에/JKB
기초한	기초하/VV+ㄴ/ETM
서비스별	서비스/NNG+별/XSN
장애	장애/NNG
사정	사정/NNG
기준을	기준/NNG+을/JKO
마련하겠다”고	마련하/VV+겠/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

■장애	■/SW+장애/NNG
범주의	범주/NNG+의/JKG
확대	확대/NNG
및	및/MAG
일시장애	일시장애/NNG
인정=안	인정/NNG+=/SW+안/NNP
후보는	후보/NNG+는/JX
“교통사고나	“/SL+교통사고/NNG+나/JC
질병으로	질병/NNG+으로/JKB
2년	2/SN+년/NNB
미만	미만/NNG
기간	기간/NNG
동안의	동안/NNG+의/JKG
일시적	일시적/NNG
장애로	장애/NNG+로/JKB
근로를	근로/NNG+를/JKO
하지	하/VV+지/EC
못하고	못하/VX+고/EC
치료를	치료/NNG+를/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
일시장애의	일시장애/NNG+의/JKG
경우,	경우/NNG+,/SP
그	그/MM
기간동안	기간동안/NNG
소득보장이나	소득보장/NNG+이나/JC
의료보장의	의료보장/NNG+의/JKG
사각지대에	사각지대/NNG+에/JKB
놓이게	놓이/VV+게/EC
된다”고	되/VV+ㄴ다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

안	안/NNP
후보는	후보/NNG+는/JX
“1차적으로	“1/SN+차/NNB+적/XSN+으로/JKB
소화기	소화기/NNG
장애,	장애/NNG+,/SP
중증	중증/NNG
피부질환,	피부질환/NNG+,/SP
기질성	기질/NNG+성/XSN
뇌증후군을	뇌증후군/NNG+을/JKO
법정	법정/NNG
장애범주에	장애범주/NNG+에/JKB
포함시키고,	포함/NNG+시키/XSV+고/EC+,/SP
지속적으로	지속적/NNG+으로/JKB
비뇨기계,	비뇨기/NNG+계/XSN+,/SP
혈관,	혈관/NNG+,/SP
학습장애	학습장애/NNG
등에	등/NNB+에/JKB
대해서도	대하/VV+여서/EC+도/JX
단계별	단계/NNG+별/XSN
장애	장애/NNG
범주를	범주/NNG+를/JKO
확대하겠다”고	확대하/VV+겠/EP+다/EC+”/SN+고/JKQ
제시했다	제시하/VV+였/EP+다/EC

■활동보조	■/SW+활동보조/NNG
대상	대상/NNG
확대=안	확대/NNG+=/SW+안/NNG
후보는	후보/NNG+는/JX
“서비스	“/SN+서비스/NNG
필요	필요/NNG
정도를	정도/NNG+를/JKO
평가하는	평가하/VV+는/ETM
인정조사표가	인정조사표/NNG+가/JKS
있지만,	있/VA+지만/EC+,/SP
시행령에서	시행령/NNG+에서/JKB
신청자격을	신청자격/NNG+을/JKO
장애	장애/NNG
1급으로	1/SN+급/NNG+으로/JKB
제한해	제한하/VV+여/EC
실제	실제/NNG
활동보조가	활동보조/NNG+가/JKS
필요한	필요하/VA+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
서비스를	서비스/NNG+를/JKO
받지	받/VV+지/EC
못하고	못하/VX+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
전했다	전하/VV+었/EP+다/EC

또한	또한/MAG
안	안/NNP
후보는	후보/NNG+는/JX
“활동보조가	“/SN+활동보조/NNG+가/JKS
절실한	절실하/VA+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
36만명으로	36/SN+만/NR+명/NNB+으로/JKB
조사됐으나	조사되/VV+었/EP+으나/EC
현재	현재/MAG
5만	5/SN+만/NR
5천명을	5/SN+천/NR+명/NNB+을/JKO
약간	약간/MAG
넘는	넘/VV+는/ETM
수의	수/NNG+의/JKG
장애인만이	장애인/NNG+만/JX+이/JKS
서비스의	서비스/NNG+의/JKG
혜택을	혜택/NNG+을/JKO
받고	받/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“신청자격에서	“/SL+신청자격/NNG+에서/JKB
장애	장애/NNG
등급	등급/NNG
제한을	제한/NNG+을/JKO
없애고,	없애/VV+고/EC+,/SP
활동지원	활동지원/NNG
서비스	서비스/NNG
제공	제공/NNG
대상을	대상/NNG+을/JKO
36만명으로	36/SN+만/NR+명/NNB+으로/JKB
까지	까지/JX
단계적으로	단계적/NNG+으로/JKB
확대하겠다”고	확대하/VV+겠/EP+다/EC+”/SN+고/JKQ
말했다	말하/VV+였/EP+다/EC

■탈시설	■/SW+탈시설/NNG
위해	위하/VV+여/EC
대안적	대안/NNG+적/XSN
거주	거주/NNG
공간	공간/NNG
마련=안	마련/NNG+=/SW+안/NNG
후보는	후보/NNG+는/JX
“거주시설	“/SN+거주시설/NNG
입소	입소/NNG
장애인	장애인/NNG
77	77/SN

9%는	9/SN+%/SW+는/JX
본인	본인/NNG
의지와	의지/NNG+와/JC
무관하게	무관하/VA+게/EC
시설에	시설/NNG+에/JKB
입소하며,	입소하/VV+며/EC+,/SP
68	68/SN

5%가	5/SN+%/SW+가/JKS
자립생활	자립생활/NNG
기반의	기반/NNG+의/JKG
부족으로	부족/NNG+으로/JKB
퇴소의	퇴소/NNG+의/JKG
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“독립적인	“/SL+독립적/NNG+이/VCP+ㄴ/ETM
거주를	거주/NNG+를/JKO
희망하는	희망하/VV+는/ETM
장애인에	장애인/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
자립홈이나	자립홈/NNG+이나/JC
하프웨이	하프웨이/NNG
하우스	하우스/NNG
등의	등/NNB+의/JKG
대안적	대안/NNG+적/XSN
거주	거주/NNG
공간을	공간/NNG+을/JKO
마련할	마련하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
제안했다	제안하/VV+였/EP+다/EC

이	이/MM
밖에	밖/NNG+에/JKB
장애연금의	장애연금/NNG+의/JKG
부가급여액·장애수당	부가급여액/NNG+·/SP+장애수당/NNG
현실화	현실화/NNG
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지	폐지/NNG
최저임금	최저임금/NNG
적용	적용/NNG
제외	제외/NNG
규정	규정/NNG
삭제	삭제/NNG
보조금	보조금/NNG
고용	고용/NNG
제도(장애인	제도/NNG+(/SS+장애인/NNG
고용	고용/NNG
시	시/NNG
임금	임금/NNG
보조)	보조/NNG+)/SS
도입	도입/NNG
퇴직금,	퇴직금/NNG+,/SP
유급휴가	유급휴가/NNG
등에서	등/NNB+에서/JKB
장애인	장애인/NNG
근로자	근로자/NNG
배제되지	배제되/VV+지/EC
않도록	않/VX+도록/EC
노동관계법	노동관계법/NNG
개정	개정/NNG
과밀학급	과밀학급/NNG
해소	해소/NNG
및	및/MAG
교원	교원/NNG
확보	확보/NNG
등	등/NNB
장애인	장애인/NNG
개별화	개별/NNG+화/XSN
교육	교육/NNG
저상버스	저상버스/NNG
확대	확대/NNG
및	및/MAG
대중교통	대중교통/NNG
시설의	시설/NNG+의/JKG
전자문자	전자문자/NNG
안내판,	안내판/NNG+,/SP
음성	음성/NNP
알림	알리/VV+ㅁ/ETN
장치	장치/NNG
등의	등/NNB+의/JKG
편의제공	편의제공/NNG
발달장애인	발달장애인/NNG
인권	인권/NNG
침해	침해/NNG
예방	예방/NNG
및	및/MAG
권리	권리/NNG
보호	보호/NNG
체계	체계/NNG
마련	마련/NNG
정신보건센터	정신보건센터/NNG
기능	기능/NNG
강화	강화/NNG
여성장애인	여성장애인/NNG
임신·출산·육아	임신/NNG+·/SP+출산/NNG+·/SP+육아/NNG
권리	권리/NNG
보장,	보장/NNG+,/SP
성폭력	성폭력/NNG
등	등/NNB
피해자	피해자/NNG
상담·보호시설	상담/NNG+·/SP+보호시설/NNG
확충	확충/NNG
등의	등/NNB+의/JKG
정책방안도	정책방안/NNG+도/JX
담겼다	담기/VV+었/EP+다/EF

보다	보다/MAG
자세한	자세하/VA+ㄴ/ETM
안	안/NNP
후보의	후보/NNG+의/JKG
정책공약집은	정책공약집/NNG+은/JX
진심캠프	진심캠프/NNG
홈페이지(http://jinsimcamp	홈페이지/NNG+(/SS+http/SL+:///SP+jinsimcamp/SL

kr)를	kr/SL+)/SS+를/JKO
통해	통하/VV+여/EC
확인할	확인하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC
