개인운영	개인운영/NNG
국가계약법	국가계약법/NNG
시행령에는	시행령/NNG+에/JKB+는/JX
장애인복지법에	장애인복지법/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
장애인복지시설	장애인복지시설/NNG
또는	또는/MAG
장애인복지단체로만	장애인복지단체/NNG+로/JKB+만/JX
규정하고	규정하/VV+고/EC
있을	있/VX+을/ETM
뿐	뿐/NNB
시설의	시설/NNG+의/JKG
설치·운영	설치/NNG+·/SP+운영/NNG
주체를	주체/NNG+를/JKO
법인이나	법인/NNG+이나/JC
단체,	단체/NNG+,/SP
개인으로	개인/NNG+으로/JKB
한정하고	한정하/VV+고/EC
있지	있/VX+지/EC
않다는	않/VX+다는/ETM
것	것/NNB

특히	특히/MAG
“장애인복지시설에서	“/SL+장애인복지시설/NNG+에서/JKB
생산된	생산되/VV+ㄴ/ETM
제품은	제품/NNG+은/JX
그	그/MM
설치·운영	설치/NNG+·/SP+운영/NNG
주체를	주체/NNG+를/JKO
막론하고	막론하/VV+고/EC
시장에서의	시장/NNG+에서/JKB+의/JKG
경쟁력이	경쟁력/NNG+이/JKS
떨어지고	떨어지/VV+고/EC
그에	그/NP+에/JKB
따른	따르/VV+ㄴ/ETM
판로	판로/NNG
획득(확보)에도	획득/NNG+(/SS+확보/NNG+)/SS+에/JKB+도/JX
어려움이	어려움/NNG+이/JKS
있을	있/VA+을/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“개인의	“/SL+개인/NNG+의/JKG
장애인복지시설도	장애인복지시설/NNG+도/JX
중소기업자로	중소기업자/NNG+로/JKB
간주,	간주/NNG+,/SP
중소기업제품의	중소기업제품/NNG+의/JKG
구매를	구매/NNG+를/JKO
촉진하고	촉진하/VV+고/EC
판로를	판로/NNG+를/JKO
지원하는	지원하/VV+는/ETM
것이	것/NNB+이/JKS
입법의	입법/NNG+의/JKG
취지에도	취지/NNG+에/JKB+도/JX
부합한다“고	부합하/VV+ㄴ다“고/EC
설명했다	설명하/VV+었/EP+다/EC
