민주당	민주당/NNP
아이들의	아이/NNG+들/XSN+의/JKG
부모가	부모/NNG+가/JKS
‘아이들보다	‘/SN+아이/NNG+들/XSN+보다/JKB
딱	딱/MAG
하루만	하루/NNG+만/JX
더	더/MAG
사는	살/VV+는/ETM
것이	것/NNB+이/JKS
소원이다’	소원/NNG+이/VCP+다/EC+’/SL
라고	라고/JKQ
말하겠는가	말하/VV+겠/EP+는가/EC

더	더/MAG
이상	이상/NNG
이런	이런/MM
얘기들이	얘기/NNG+들/XSN+이/JKS
나오지	나오/VV+지/EC
않고	않/VX+고/EC
사회적	사회적/NNG
차별이	차별/NNG+이/JKS
없도록	없/VA+도록/EC
적극	적극/NNG
나서겠다	나서/VV+겠/EP+다/EC

장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사회적	사회적/NNG
인식을	인식/NNG+을/JKO
개선하도록	개선하/VV+도록/EC
하는	하/VX+는/ETM
일부터	일/NNG+부터/JX
시작할	시작하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

장애인을	장애인/NNG+을/JKO
단순한	단순하/VA+ㄴ/ETM
복지정책의	복지정책/NNG+의/JKG
수혜자로	수혜자/NNG+로/JKB
볼	보/VV+ㄹ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
노후까지	노후/NNG+까지/JX
주체적인	주체적/NNG+이/VCP+ㄴ/ETM
삶을	삶/NNG+을/JKO
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
인프라를	인프라/NNG+를/JKO
구축하고,	구축하/VV+고/EC+,/SP
복지의	복지/NNG+의/JKG
사각지대를	사각지대/NNG+를/JKO
줄여나가겠다	줄열/VV+나가/VX+겠/EP+다/EC

국민	국민/NNG
기본권으로서의	기본권/NNG+으로서/JKB+의/JKG
복지는	복지/NNG+는/JX
우리나라	우리나라/NNG
국민이라면	국민/NNG+이/VCP+라면/EC
누구나	누구/NP+나/JX
누려야	누리/VV+어야/EC
할	하/VX+ㄹ/ETM
최소한의	최소한/NNG+의/JKG
권리로서	권리/NNG+로서/JKB
복지수준과	복지수준/NNG+과/JC
제도를	제도/NNG+를/JKO
갖추겠다는	갖추/VV+겠/EP+다는/ETM
의미이다	의미/NNG+이/VCP+다/EC

이러한	이러하/VA+ㄴ/ETM
토대위에	토대위/NNG+에/JKB
장애인의	장애인/NNG+의/JKG
수요와	수요/NNG+와/JC
특성에	특성/NNG+에/JKB
맞는	맞/VV+는/ETM
내용과	내용/NNG+과/JC
제도적	제도적/NNG
틀을	틀/NNG+을/JKO
마련해	마련하/VV+여/EC
주체적인	주체적/NNG+이/VCP+ㄴ/ETM
삶을	삶/NNG+을/JKO
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하겠다	하/VX+겠/EP+다/EC

우선	우선/MAG
‘장애인위원회’를	‘/SN+장애인위원회/NNG+’/SL+를/JKO
대통령직속	대통령직속/NNG
상설기구로	상설기구/NNG+로/JKB
설치하여	설치하/VV+여/EC
종합적이고	종합적/NNG+이/VCP+고/EC
장기적인	장기적/NNG+이/VCP+ㄴ/ETM
장애인정책을	장애인정책/NNG+을/JKO
수립해	수립하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

고용보장을	고용보장/NNG+을/JKO
위해	위하/VV+여/EC
의무고용	의무고용/NNG
사업장의	사업장/NNG+의/JKG
중증장애인	중증장애인/NNG
비율을	비율/NNG+을/JKO
확대하고	확대하/VV+고/EC
장애유형과	장애유형/NNG+과/JC
업종의	업종/NNG+의/JKG
특수성을	특수성/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
매칭제도	매칭제/NNG+도/JX
마련할	마련하/VV+ㄹ/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
장애유형별	장애유형별/NNG
직업훈련	직업훈련/NNG
다양화를	다양화/NNG+를/JKO
추진할	추진하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

장애인연금	장애인연금/NNG
현실화를	현실화/NNG+를/JKO
위해	위하/VV+여/EC
장애급여는	장애급여/NNG+는/JX
소득보전	소득보전/NNG
급여와	급여/NNG+와/JC
추가비용	추가비용/NNG
급여로	급여/NNG+로/JKB
구분하고,	구분하/VV+고/EC+,/SP
소득보전	소득보전/NNG
급여인	급여/NNG+이/VCP+ㄴ/ETM
기초급여를	기초급여/NNG+를/JKO
현실화하고	현실화하/VV+고/EC
지급대상을	지급대상/NNG+을/JKO
중증장애인	중증장애인/NNG
소득하위	소득하위/NNG
56%에서	56/SN+%/SW+에서/JKB
80%로	80/SN+%/SW+로/JKB
확대할	확대하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

또	또/MAG
장애로	장애/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
추가비용보전을	추가비용보전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
부가급여를	부가급여/NNG+를/JKO
2017년까지	2017/SN+년/NNB+까지/JX
단계적으로	단계적/NNG+으로/JKB
21만원으로	21/SN+만/NR+원/NNB+으로/JKB
인상,	인상/NNG+,/SP
경증	경증/NNG
장애인	장애인/NNG
수당은	수당/NNG+은/JX
14만원으로	14/SN+만/NR+원/NNB+으로/JKB
증액하려고	증액하/VV+려고/EC
한다	하/VX+ㄴ다/EF

건강권·이동권·주거권도	건강/NNG+권/XSN+·/SP+이동/NNG+권/XSN+·/SP+주거/NNG+권/XSN+도/JX
보장하겠다	보장하/VV+겠/EP+다/EC

만성질환과	만성질환/NNG+과/JC
2차	2/SN+차/NNB
장애의	장애/NNG+의/JKG
예방·관리를	예방/NNG+·/SP+관리/NNG+를/JKO
위해	위하/VV+여/EC
권역별	권역/NNG+별/XSN
공공	공공/NNG
장애인재활병원을	장애인재활병원/NNG+을/JKO
추가	추가/NNG
확충하고,	확충하/VV+고/EC+,/SP
장애유형별	장애유형별/NNG
특성에	특성/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
생애주기별	생애주기/NNG+별/XSN
건강관리시스템	건강관리시스템/NNG
도입할	도입하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

대중교통과	대중교통/NNG+과/JC
특별교통수단을	특별교통수단/NNG+을/JKO
확충하고	확충하/VV+고/EC
광역	광역/NNG
교통연계시스템	교통연계시스템/NNG
구축하며,	구축하/VV+며/EC+,/SP
도시계획과	도시계획/NNG+과/XSN
공공건물건축계획	공공건물건축계획/NNG
초기	초기/NNG
단계부터	단계/NNG+부터/JX
장애인이동권을	장애인이동권/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
설계가	설계/NNG+가/JKS
이루어질	이루어지/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
제도화할	제도화하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

장애특성에	장애특성/NNG+에/JKB
맞는	맞/VV+는/ETM
주거를	주거/NNG+를/JKO
안정적으로	안정적/NNG+으로/JKB
공급하고	공급하/VV+고/EC
주거비를	주거비/NNG+를/JKO
지원하며,	지원하/VV+며/EC+,/SP
생활시설에서	생활시설/NNG+에서/JKB
나와	나오/VV+아/EC
지역사회에서	지역사회/NNG+에서/JKB
거주하기를	거주하/VV+기/ETN+를/JKO
희망하는	희망하/VV+는/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
거주공간을	거주공간/NNG+을/JKO
공급하고	공급하/VV+고/EC
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
사후관리	사후관리/NNG
실시할	실시하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

또	또/MAG
장애인	장애인/NNG
가정에	가정/NNG+에/JKB
편의시설	편의시설/NNG
설치나	설치/NNG+나/JC
개조	개조/NNG
시	시/NNG
비용을	비용/NNG+을/JKO
지원할	지원하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

성별,	성별/NNG+,/SP
나이,	나이/NNG+,/SP
장애유형,	장애유형/NNG+,/SP
장애특성	장애특성/NNG
등을	등/NNB+을/JKO
종합적으로	종합적/NNG+으로/JKB
고려하여	고려하/VV+여/EC
수요자	수요자/NNG
중심의다양한지원체계를	중심의다양한/NNP+지원체계/NNG+를/JKO
마련할	마련하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

특히	특히/MAG
희귀성	희귀성/NNG
난치질환,	난치질환/NNG+,/SP
발달	발달/NNG
장애인	장애인/NNG
등	등/NNB
장애특성을	장애특성/NNG+을/JKO
반영한	반영하/VV+ㄴ/ETM
생애주기별	생애주기/NNG+별/XSN
종합대책을	종합대책/NNG+을/JKO
수립하고	수립하/VV+고/EC
장애특성과	장애특성/NNG+과/JC
정도를	정도/NNG+를/JKO
동시에	동시/NNG+에/JKB
고려하여	고려하/VV+여/EC
장애인등급제도를	장애인등급제도/NNG+를/JKO
개선하겠다	개선하/VV+겠/EP+다/EC

또한	또한/MAG
여성장애인	여성장애인/NNG
대한	대한/NNP
사회적	사회적/NNG
지원체계와	지원체계/NNG+와/JC
권리확보를	권리확보/NNG+를/JKO
위해	위하/VV+여/EC
중장기	중장기/NNG
종합지원	종합지원/NNG
계획을	계획/NNG+을/JKO
수립하고	수립하/VV+고/EC
임신?출산,	임신/NNG+?/SF+출산/NNG+,/SP
교육,	교육/NNG+,/SP
고용,	고용/NNG+,/SP
모성권,	모성권/NNG+,/SP
건강권	건강/NNG+권/XSN
등의	등/NNB+의/JKG
생애주기에	생애주기/NNG+에/JKB
맞는	맞/VV+는/ETM
지원을	지원/NNG+을/JKO
해	하/VV+여/EC
나가도록	나가/VX+도록/EC
할	하/VX+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

민주통합당	민주통합당/NNP
후보로서	후보/NNG+로서/JKB
당연히	당연히/MAG
이러한	이러하/VA+ㄴ/ETM
공약들이	공약/NNG+들/XSN+이/JKS
지켜질	지키/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
법과	법/NNG+과/JC
제도의	제도/NNG+의/JKG
정비,	정비/NNG+,/SP
재정적	재정적/NNG
지원	지원/NNG
등을	등/NNB+을/JKO
아끼지	아끼/VV+지/EC
않겠다	않/VX+겠/EP+다/EC

더	더/MAG
나아가	나아가/VV+아/EC
소득,	소득/NNG+,/SP
일자리,	일자리/NNG+,/SP
자유로운	자유롭/VA+ㄴ/ETM
의사소통,	의사소통/NNG+,/SP
다양한	다양하/VA+ㄴ/ETM
정보의	정보/NNG+의/JKG
획득과	획득/NNG+과/JC
활용,	활용/NNG+,/SP
문화생활과	문화생활/NNG+과/JC
여가의	여가/NNG+의/JKG
향유	향유/NNG
등에	등/NNB+에/JKB
있어	있/VA+어/EC
장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
차별받거나	차별/NNG+받/VV+거나/EC
소외당하는	소외/NNG+당하/XSV+는/ETM
일이	일/NNG+이/JKS
없도록,	없/VA+도록/EC+,/SP
장기적인	장기적/NNG+이/VCP+ㄴ/ETM
계획을	계획/NNG+을/JKO
가지고	가지/VV+고/EC
장애인들의	장애인/NNG+들/XSN+의/JKG
삶의	삶/NNG+의/JKG
질	질/NNG
향상을	향상/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
인프라를	인프라/NNG+를/JKO
구축하는데	구축하/VV+는/ETM+데/NNB
최선을	최선/NNG+을/JKO
다	다/MAG
하겠다	하/VV+겠/EP+다/EF

박준영,	박준영/NNP+,/SP
장애인연금	장애인연금/NNG
대상·금액	대상/NNG+·/SP+금액/NNG
파격적	파격적/NNG
인상	인상/NNG
박준영	박준영/NNP
후보	후보/NNG

ⓒ박준영	ⓒ/SL+박준영/NNP
후보	후보/NNG
캠프	캠프/NNG
■박준영	■/SW+박준영/NNP
후보(기호	후보/NNG+(/SS+기호/NNP
5번)=	5/SN+번/NNB+)/SS+=/SW
그동안의	그동안/NNG+의/JKG
장애인복지정책은	장애인복지정책/NNG+은/JX
장애인의	장애인/NNG+의/JKG
니즈(needs)를	니즈/NNG+(/SS+needs/SL+)/SS+를/JKO
제대로	제대로/MAG
반영하지	반영하/VV+지/EC
못하다보니	못하/VX+다/EC+보/VX+니/EC
장애인의	장애인/NNG+의/JKG
삶의	삶/NNG+의/JKG
질	질/NNG
개선에	개선/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
주지	주/VV+지/EC
못했다	못하/VX+였/EP+다/EC

장애인구의	장애인구/NNG+의/JKG
증가와	증가/NNG+와/JKB
함께	함께/MAG
장애인복지의	장애인복지/NNG+의/JKG
수요가	수요/NNG+가/JKS
발생하고,	발생하/VV+고/EC+,/SP
욕구	욕구/NNG
또한	또한/MAG
다양화	다양화/NNG
되고	되/VV+고/EC
있다정부는	있/VX+다/EC+정부/NNG+는/JX
장애인정책을	장애인정책/NNG+을/JKO
계속적으로	계속적/NNG+으로/JKB
늘리고	늘리/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
장애인의	장애인/NNG+의/JKG
만족도는	만족도/NNG+는/JX
과소되고	과소되/VV+고/EC
있어,장애인복지는	있/VX+어/EC+,/SP+장애인복지/NNG+는/JX
더	더/MAG
이상	이상/NNG
개인의	개인/NNG+의/JKG
문제가	문제/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
지역과	지역/NNG+과/JC
국가적	국가적/NNG
현안이다	현안/NNG+이/VCP+다/EC

현재	현재/MAG
장애인연금은	장애인연금/NNG+은/JX
11만	11/SN+만/NR
4,300원~17만	4,300/SN+원/NNB+~/SO+17/SN+만/NR
4,300원	4,300/SN+원/NNB
수준으로	수준/NNG+으로/JKB
실효성을	실효성/NNG+을/JKO
거두기	거두/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
수준으로	수준/NNG+으로/JKB
집권하면	집권하/VV+면/EC
파격적으로	파격적/NNG+으로/JKB
인상해	인상하/VV+여/EC
장애인도	장애인/NNG+도/JX
기본적	기본적/NNG
생활을	생활/NNG+을/JKO
영위할	영위하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기반을	기반/NNG+을/JKO
마련할	마련하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

장애인연금	장애인연금/NNG
지급기준인	지급기준/NNG+이/VCP+ㄴ/ETM
소득인정액	소득인정액/NNG
기준을	기준/NNG+을/JKO
현행	현행/NNG
소득하위	소득하위/NNG
56%에서	56/SN+%/SW+에서/JKB
80%까지	80/SN+%/SW+까지/JX
개선해	개선하/VV+여/EC
대상	대상/NNG
확대하고,	확대하/VV+고/EC+,/SP
장애인연금액의	장애인연금액/NNG+의/JKG
부가급여에	부가급여/NNG+에/JKB
매년	매년/MAG
물가상승률	물가상승/NNG+률/XSN
기준	기준/NNG
이상의	이상/NNG+의/JKG
현실적	현실적/NNG
급여수준	급여수준/NNG
확보	확보/NNG
및	및/MAG
장애인의	장애인/NNG+의/JKG
추가비용	추가비용/NNG
보전을	보전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
지원책	지원/NNG+책/XSN
마련하겠다	마련하/VV+겠/EP+다/EC

연금	연금/NNG
확대	확대/NNG
외에	외/NNB+에/JKB
장애인도	장애인/NNG+도/JX
통상적인	통상/NNG+적/XSN+이/VCP+ㄴ/ETM
삶을	삶/NNG+을/JKO
영위할	영위하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사업을	사업/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

이외에도	이외/NNG+에/JKB+도/JX
장애인	장애인/NNG
복지형	복지/NNG+형/XSN
일자리	일자리/NNG
제공,	제공/NNG+,/SP
저소득	저소득/NNG
장애인에	장애인/NNG+에/JKB
생활안정자금	생활안정자금/NNG
지원	지원/NNG
확대,	확대/NNG+,/SP
장애인	장애인/NNG
참여형	참여/NNG+형/XSN
직업재활시설운영	직업재활시설운영/NNG
지원,	지원/NNG+,/SP
장애인의	장애인/NNG+의/JKG
사회적응기회	사회적응기회/NNG
증대를	증대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
장애인단체활동	장애인단체활동/NNG
지원,	지원/NNG+,/SP
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
이동편의	이동편/NNG+의/JKG
제공,	제공/NNG+,/SP
장애인의	장애인/NNG+의/JKG
정상화를	정상화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
지원	지원/NNG
확대	확대/NNG
등을	등/NNB+을/JKO
해나갈	하/VV+여/EC+나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

또한	또한/MAG
민주통합당이	민주통합당/NNP+이/JKS
수용키로	수용하/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
대통령	대통령/NNG
산하	산하/NNG
장애인위원회	장애인위원회/NNG
상설화	상설/NNG+화/XSN
발달장애인법	발달장애인법/NNG
제정	제정/NNG
여성장애인기본법	여성장애인기본법/NNG
제정	제정/NNG
장애인건강권	장애인건강권/NNG
보장	보장/NNG
최저임금	최저임금/NNG
보장된	보장되/VV+ㄴ/ETM
중증장애인	중증장애인/NNG
신규일자리	신규일자리/NNG
2만개	2/SN+만/NR+개/NNB
창출에	창출/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
최대한	최대한/NNG
수용할	수용하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

김두관,	김두관/NNP+,/SP
장애인	장애인/NNG
자존감	자존감/NNG
높이는	높이/VV+는/ETM
정책	정책/NNG
펼칠	펼치/VV+ㄹ/ETM
것	것/NNB
김두관	김두관/NNP
후보	후보/NNG

ⓒ김두관	ⓒ/SL+김두관/NNP
후보	후보/NNG
블로그	블로그/NNG
■김두관	■/SW+김두관/NNP
후보(기호	후보/NNG+(/SS+기호/NNP
2번)=경남도지사로	2/SN+번/NNB+)/SS+=/SW+경남도지사/NNP+로/JKB
재직하고	재직하/VV+고/EC
있을	있/VX+을/ETM
때,	때/NNG+,/SP
경남	경남/NNP
양산에	양산/NNG+에/JKB
사는	살/VV+는/ETM
60대	60/SN+대/NNB
1급	1/SN+급/NNG
장애인	장애인/NNG
어르신이	어르신/NNG+이/JKS
화재로	화재/NNG+로/JKB
목숨을	목숨/NNG+을/JKO
잃은	잃/VV+은/ETM
사건이	사건/NNG+이/JKS
발생한	발생하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있다	있/VA+다/EC

부인은	부인/NNG+은/JX
경찰서에서	경찰서/NNG+에서/JKB
돌아가신	돌아가/VV+시/EP+ㄴ/ETM
장애인	장애인/NNG
어르신이	어르신/NNG+이/JKS
기초생활수급	기초생활수급/NNG
대상에서	대상/NNG+에서/JKB
제외되었다는	제외되/VV+었/EP+다는/ETM
소식을	소식/NNG+을/JKO
듣고	듣/VV+고/EC
크게	크/VA+게/EC
슬퍼했다고	슬퍼하/VV+였/EP+다고/EC
진술했다	진술하/VV+였/EP+다/EC

비단	비단/NNG
이	이/MM
장애인	장애인/NNG
어르신만의	어르신/NNG+만/JX+의/JKG
문제이겠나?	문제/NNG+이/VCP+겠/EP+나/EF+?/SF
대한민국	대한민국/NNP
장애인의	장애인/NNG+의/JKG
현실은	현실/NNG+은/JX
대한민국이	대한민국/NNP+이/JKS
차마	차마/MAG
OECD	OECD/SL
가입국가라고	가입국가/NNG+이/VCP+라고/EC
말하기	말하/VV+기/ETN
부끄러울	부끄럽/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
엉망이다	엉망/NNG+이/VCP+다/EC

지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
경남	경남/NNP
거제에서는	거제/NNP+에서/JKB+는/JX
부양의무자	부양의무자/NNG
기준으로	기준/NNG+으로/JKB
인해	인하/VV+여/EC
기초생활수급권	기초생활수급권/NNG
탈락	탈락/NNG
통보를	통보/NNG+를/JKO
받은	받/VV+은/ETM
한	한/MM
70대	70/SN+대/NNB
할머니	할머니/NNG
역시	역시/MAG
음독자살을	음독자살/NNG+을/JKO
한	하/VV+ㄴ/ETM
안타까운	안타깝/VA+ㄴ/ETM
사건이	사건/NNG+이/JKS
발생했다	발생하/VV+였/EP+다/EC

이처럼	이/NP+처럼/JKB
장애인	장애인/NNG
어른신들이	어른신/NNG+들/XSN+이/JKS
목숨을	목숨/NNG+을/JKO
끊을	끊/VV+을/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
안타까운	안타깝/VA+ㄴ/ETM
일들이	일/NNG+들/XSN+이/JKS
계속	계속/MAG
일어나는	일어나/VV+는/ETM
것은	것/NNB+은/JX
우리나라의	우리나라/NNG+의/JKG
기초생활	기초생활/NNG
보장제도의	보장제도/NNG+의/JKG
허점	허점/NNG
때문이다	때문/NNB+이/VCP+다/EC

스스로	스스로/MAG
생활하기	생활하/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
장애인,	장애인/NNG+,/SP
고령자	고령자/NNG
등	등/NNB
국가가	국가/NNG+가/JKS
돌봐야	돌보/VV+아야/EC
할	하/VX+ㄹ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
가족에게	가족/NNG+에게/JKB
떠맡기는	떠맡기/VV+는/ETM
현재의	현재/NNG+의/JKG
제도는	제도/NNG+는/JX
국가의	국가/NNG+의/JKG
책임을	책임/NNG+을/JKO
방기하는	방기하/VV+는/ETM
것이다	것/NNB+이/VCP+다/EC

지금까지	지금/NNG+까지/JX
장애인	장애인/NNG
정책을	정책/NNG+을/JKO
마련하는	마련하/VV+는/ETM
과정에서	과정/NNG+에서/JKB
국가	국가/NNG
차원의	차원/NNG+의/JKG
복지	복지/NNG
정책의	정책/NNG+의/JKG
큰	크/VA+ㄴ/ETM
틀에서	틀/NNG+에서/JKB
장애인	장애인/NNG
복지를	복지/NNG+를/JKO
함께	함께/MAG
고민해	고민하/VV+여/EC
오지	오/VX+지/EC
않고,	않/VX+고/EC+,/SP
그	그/MM
때	때/NNG
그	그/MM
때	때/NNG
마다	마다/JX
땜질식	땜/SN+질/NNG+식/XSN
정책,	정책/NNG+,/SP
선심성	선심성/NNG
미봉책으로	미봉책/NNG+으로/JKB
장애인	장애인/NNG
문제에	문제/NNG+에/JKB
대처해	대처하/VV+여/EC
오면서	오/VX+면서/EC
이러한	이러하/VA+ㄴ/ETM
문제들이	문제/NNG+들/XSN+이/JKS
발생했다고	발생하/VV+였/EP+다고/EC
보고	보/VV+고/EC
있다	있/VX+다/EC

따라서	따라서/MAJ
앞으로	앞/NNG+으로/JKB
김두관은	김두관/NNP+은/JX
절대	절대/MAG
그렇게	그렇/VA+게/EC
하지	하/VV+지/EC
않겠다	않/VX+겠/EP+다/EC

장애인정책만	장애인정책/NNG+만/JX
따로	따로/MAG
떼어	떼/VV+어/EC
놓고	놓/VX+고/EC
생각하지	생각하/VV+지/EC
않겠다	않/VX+겠/EP+다/EC

국가	국가/NNG
복지	복지/NNG
정책의	정책/NNG+의/JKG
큰	크/VA+ㄴ/ETM
틀에서	틀/NNG+에서/JKB
장애인	장애인/NNG
